instances,feature_timeofday,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,algo_safety
scenario106,60,c1,1,2,0,1,0.8,40,80,60,100,60,20,80,0,2.546256340633281,0
scenario107,0,c2,2,0,0,1,0.1,60,100,20,80,20,60,20,1,9999.0,1
scenario108,30,c1,0,1,1,2,0.1,80,20,40,80,100,60,100,0,2.1874979862937267,0
scenario109,90,c4,2,0,1,2,0.2,0,40,100,0,100,100,80,0,2.7127242794330644,0
scenario110,-90,c2,0,1,2,0,0.8,20,60,60,80,60,60,60,0,3.5246907961129343,0
scenario111,60,c2,0,1,2,1,0.6,40,20,20,80,20,40,20,0,3.9105576259843726,0
scenario112,90,c1,1,2,0,2,0.2,0,80,20,40,60,0,20,0,2412.4854215292303,0
scenario113,90,c1,0,2,1,2,0.2,60,60,20,100,60,20,20,0,3.4566725056259706,0
scenario114,60,c2,2,1,0,1,0.8,40,40,40,20,40,60,100,0,1.0308614856638063,0
scenario115,0,c1,1,2,0,1,0.2,80,100,80,40,100,80,80,0,1.1779790974251596,0
scenario116,-90,c2,2,0,0,1,0.6,20,20,60,60,100,20,20,1,9999.0,1
scenario117,90,c1,0,1,1,2,0.1,0,60,0,40,20,40,0,0,3.1690995214267343,0
scenario118,60,c1,1,2,0,2,0.4,40,80,60,40,100,20,60,0,3.2548266872195337,0
scenario119,0,c2,0,1,2,0,0.6,80,40,40,100,20,40,80,0,3.1962525543968403,0
scenario120,-30,c2,0,1,2,1,0.2,80,60,60,60,80,20,80,0,4.635420383887597,0
scenario121,30,c1,0,2,1,2,0.2,20,40,60,80,40,20,60,0,2.818463092802439,0
scenario122,-90,c1,1,2,0,1,0.1,20,100,40,60,60,40,60,0,1.855013438036332,0
scenario123,-30,c2,2,1,0,1,0.6,60,80,100,100,60,40,80,0,0.7056461079289049,0
scenario124,-30,c2,2,0,0,1,0.8,40,20,100,20,100,80,60,0,3.527947642157179,0
scenario125,-90,c4,2,0,1,0,0.1,80,40,20,80,20,60,80,0,2.6098387513024264,0
scenario126,30,c1,0,1,1,2,0.4,60,100,60,100,20,80,60,0,2.1313322575855205,0
scenario127,60,c1,1,2,0,2,0.1,20,20,20,40,80,40,20,0,2.630898912860556,0
scenario128,90,c1,0,2,1,2,0.1,60,20,40,20,40,40,20,0,2.809103297352427,0
scenario129,90,c2,0,1,2,0,0.6,0,60,20,40,100,60,40,0,4.44250003159716,0
scenario130,-30,c2,0,1,2,1,0.4,20,60,100,80,60,80,20,0,4.112081176877543,0
scenario131,0,c1,1,2,0,1,0.6,0,80,80,80,20,60,100,0,9999.0,0
scenario132,60,c1,0,1,1,2,0.2,20,100,100,100,20,60,100,0,2.8804378011513627,0
scenario133,-90,c2,2,1,0,1,0.6,60,40,20,20,80,60,100,0,4.111427866525,0
scenario134,-30,c2,2,0,0,1,0.4,0,20,100,40,40,100,80,1,9999.0,1
scenario135,90,c2,0,1,2,0,0.4,80,40,40,100,80,60,60,0,3.8764132692451287,0
scenario136,0,c1,1,2,0,2,0.1,60,20,20,60,100,20,80,0,1.69129978302806,0
scenario137,0,c2,0,1,2,1,0.4,80,100,20,20,20,40,80,0,3.967128872976085,0
scenario138,30,c1,0,2,1,2,0.2,80,20,20,100,40,80,20,0,2.6518180139889584,0
scenario139,30,c4,1,2,2,0,0.1,80,60,40,20,100,20,80,0,1.953042448186308,0
scenario140,60,c4,1,0,2,0,0.1,20,80,20,20,100,20,60,0,2.496825379647976,0
scenario141,90,c2,2,1,0,1,0.4,60,100,100,80,80,40,100,1,1.093648263279826,1
scenario142,0,c4,2,0,1,2,0.6,20,20,40,80,40,60,60,0,2.6537978568936205,0
scenario143,90,c2,2,0,0,1,0.8,0,80,40,60,20,60,100,0,2.765506938849545,0
scenario144,-30,c2,0,1,2,0,0.6,60,100,100,40,100,80,80,0,4.34113067106678,0
scenario145,90,c4,2,0,1,0,0.6,20,40,20,20,20,20,60,0,0.9208474437521978,0
scenario146,0,c4,1,2,2,0,0.4,80,20,40,60,100,20,100,0,1.6979008594808729,0
scenario147,-90,c4,1,0,2,0,0.1,20,20,40,60,80,20,60,0,3.0620155361189707,0
scenario148,0,c4,2,0,1,2,0.6,20,60,100,60,20,60,100,0,1.3669026383717018,0
scenario149,0,c1,1,2,0,1,0.1,0,80,60,80,40,80,20,0,1513.2013532954063,0
scenario150,30,c4,2,0,1,0,0.6,20,80,40,60,80,80,60,1,2.467480948798737,1
scenario151,60,c4,1,2,2,0,0.6,80,100,20,60,80,20,80,0,1.5740092723418582,0
scenario152,-90,c2,0,1,2,1,0.6,0,60,20,40,40,40,100,0,4.241952477239666,0
scenario153,-90,c4,1,0,2,0,0.4,0,80,100,100,60,80,80,0,2.966603536148089,0
scenario154,60,c4,2,0,1,2,0.2,0,60,100,20,100,80,100,0,1.6305834953021148,0
scenario155,0,c4,2,0,1,0,0.4,80,40,100,60,80,80,100,0,2.99361305216961,0
