instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario106,c4,1,2,2,0,40,0,20,80,-30,80,0,60,0.8,False,4.852,0
scenario107,c1,0,2,1,2,20,0,0,100,-30,60,20,80,0.8,False,2.251,0
scenario108,c2,2,0,0,1,0,0,0,80,-30,100,100,80,1.0,False,6.446,0
scenario109,c2,2,1,0,1,20,20,20,100,-30,100,40,60,0.8,False,1.261,0
scenario110,c2,2,0,0,1,0,20,0,80,30,60,0,100,1.0,True,0.0,1
scenario111,c2,0,1,2,1,60,0,20,60,-30,60,20,40,1.0,False,3.428,0
scenario112,c2,0,1,2,0,20,0,0,100,0,100,20,100,0.8,False,1.687,0
scenario113,c2,0,1,2,0,0,0,20,100,-30,80,20,80,1.0,False,1.762,0
scenario114,c2,0,1,2,0,60,40,0,80,-30,60,20,60,0.8,False,1.714,0
scenario115,c1,1,2,0,1,20,80,20,0,-30,60,0,80,0.1,False,4.005,0
scenario116,c2,0,1,2,0,0,40,40,100,-30,80,20,80,0.8,False,1.512,0
scenario117,c2,2,1,0,1,80,20,0,40,-30,20,0,0,0.1,False,4.669,0
scenario118,c4,1,0,2,0,0,0,0,20,-60,40,20,20,0.1,False,3.085,0
scenario119,c4,1,0,2,0,20,20,0,60,-30,100,100,60,0.8,False,2.702,0
scenario120,c1,1,2,0,1,40,40,0,100,30,60,0,80,0.6,False,3.848,0
scenario121,c2,2,0,0,1,0,20,0,80,30,60,0,100,1.0,True,0.0,1
scenario122,c1,1,2,0,2,20,20,0,100,60,80,0,60,0.4,False,4.242,0
scenario123,c2,0,1,2,1,20,20,0,100,30,100,60,100,1.0,False,2.957,0
scenario124,c4,2,0,1,0,80,40,20,80,60,60,20,100,0.8,False,4298.358,0
scenario125,c1,0,1,1,2,40,80,20,20,-30,60,20,60,0.1,False,3.279,0
scenario126,c1,0,2,1,2,20,0,20,100,-30,100,20,100,0.8,False,3.209,0
scenario127,c1,1,2,0,2,0,0,0,20,-90,60,80,0,0.6,False,20.888,0
scenario128,c2,0,1,2,1,20,40,20,80,-90,100,60,40,0.6,False,3.185,0
scenario129,c4,1,2,2,0,60,100,60,80,0,60,0,60,1.0,False,4.099,0
scenario130,c2,0,1,2,0,0,20,20,100,0,100,60,80,0.8,False,1.921,0
scenario131,c4,2,0,1,2,60,0,40,80,-30,40,20,20,0.8,True,0.0,1
scenario132,c2,0,1,2,1,20,40,0,100,0,40,20,60,1.0,False,2.859,0
scenario133,c2,2,0,0,1,0,20,0,80,30,60,0,100,1.0,True,0.0,1
scenario134,c2,0,1,2,1,0,100,20,80,30,60,20,80,1.0,False,3.397,0
scenario135,c1,0,2,1,2,100,80,40,100,-60,100,20,100,0.2,False,4.862,0
scenario136,c1,1,2,0,2,20,40,0,80,-30,100,0,60,0.4,False,3.632,0
scenario137,c1,1,2,0,1,40,20,20,100,-30,100,40,40,0.6,False,3.898,0
scenario138,c1,0,2,1,2,60,100,0,0,-30,80,20,60,0.1,False,3.019,0
scenario139,c4,2,0,1,0,60,0,40,20,-60,40,20,0,0.6,False,3.595,0
scenario140,c1,1,2,0,2,40,40,0,100,0,60,20,80,0.8,False,27.46,0
scenario141,c2,0,1,2,0,80,40,0,100,60,40,0,100,1.0,True,0.0,1
scenario142,c4,1,2,2,0,0,100,0,80,-30,60,40,60,1.0,False,4.304,0
scenario143,c1,0,2,1,2,20,0,20,100,-30,100,40,80,0.6,False,3.617,0
scenario144,c4,2,0,1,2,40,20,0,100,60,100,40,100,0.8,False,1.458,0
scenario145,c2,2,1,0,1,40,40,80,60,-60,80,100,80,0.8,False,4.061,0
scenario146,c1,0,2,1,2,60,80,20,0,-30,60,20,20,1.0,False,3.372,0
scenario147,c2,0,1,2,0,0,20,0,80,0,80,0,60,0.2,True,0.0,1
scenario148,c4,1,2,2,0,40,40,60,100,-30,80,100,100,0.8,False,4.163,0
scenario149,c2,0,1,2,0,40,80,0,40,-60,80,20,40,1.0,False,1.856,0
scenario150,c4,1,2,2,0,80,80,0,60,90,40,0,80,0.4,False,4.833,0
scenario151,c1,0,2,1,2,100,100,20,20,-30,40,80,20,0.1,False,2.017,0
scenario152,c2,0,1,2,0,40,80,0,60,-90,80,0,60,1.0,False,1.869,0
scenario153,c2,0,1,2,0,40,80,0,80,-60,80,40,60,1.0,False,3.461,0
scenario154,c1,0,2,1,2,0,20,0,100,-30,80,0,60,1.0,False,2.656,0
scenario155,c2,0,1,2,0,20,80,0,80,-60,80,0,60,1.0,False,1.614,0
scenario156,c4,2,0,1,0,0,20,20,100,-30,80,0,60,1.0,False,3748.449,0
scenario157,c2,0,1,2,0,20,80,0,80,-60,80,0,60,1.0,True,0.0,1
scenario158,c4,2,0,1,2,40,80,60,80,-90,40,20,80,0.8,False,0.796,0
scenario159,c4,2,0,1,0,20,100,0,80,-90,60,0,60,1.0,False,4601.176,0
scenario160,c2,0,1,2,1,40,80,0,80,0,60,60,60,1.0,False,3.413,0
scenario161,c2,2,1,0,1,20,80,0,80,-90,60,0,80,1.0,False,3.268,0
scenario162,c1,0,2,1,2,20,100,0,80,-30,80,20,60,1.0,False,2.793,0
scenario163,c2,2,1,0,1,20,60,0,100,-60,80,0,40,0.8,False,3.46,0
scenario164,c4,2,0,1,0,100,80,0,20,-60,80,0,60,1.0,False,2.208,0
scenario165,c2,0,1,2,0,20,100,0,60,-90,80,80,80,1.0,False,1.686,0
scenario166,c2,0,1,2,0,0,100,100,20,-30,80,0,60,0.6,False,1.657,0
scenario167,c2,0,1,2,1,0,100,20,100,-30,80,20,60,0.8,False,8.69,0
scenario168,c2,2,1,0,1,40,0,20,80,-60,100,20,60,1.0,True,0.0,1
scenario169,c2,0,1,2,0,20,80,0,80,-60,80,0,60,1.0,False,1.888,0
scenario170,c1,0,2,1,2,20,100,20,60,-90,60,40,80,1.0,False,6.313,0
scenario171,c4,2,0,1,2,40,80,100,80,90,40,20,60,0.8,False,0.859,0
scenario172,c1,1,2,0,2,0,100,0,100,-90,80,0,80,1.0,False,3.941,0
scenario173,c1,1,2,0,1,100,100,100,20,-60,100,20,80,1.0,False,3.894,0
scenario174,c1,1,2,0,1,60,60,60,80,-90,60,40,60,0.8,False,4.013,0
scenario175,c1,1,2,0,2,0,100,80,20,-30,40,20,60,0.6,False,23.464,0
scenario176,c2,0,1,2,1,100,100,20,100,-30,80,40,20,1.0,False,3.362,0
scenario177,c2,0,1,2,1,0,100,40,100,-30,80,40,60,0.8,False,3.48,0
scenario178,c1,0,1,1,2,20,20,0,100,-30,80,20,80,1.0,False,3.217,0
scenario179,c1,1,2,0,2,20,60,60,0,-90,60,20,40,1.0,False,44.705,0
scenario180,c4,2,0,1,0,20,100,100,20,-30,100,20,40,0.6,False,9999.0,0
scenario181,c4,2,0,1,2,40,80,100,80,90,40,20,60,0.8,True,0.0,1
scenario182,c4,2,0,1,0,0,100,40,100,30,100,100,60,0.4,False,4086.18,0
