Visibility,VehicleStability,RoadSurface,PathInteraction,Wetness,GoalEgo,WindIntensity,TimeOfDay,FogDistance,PrecipitationDeposits,StartOther,Cloudiness,FogDensity,StartEgo,GoalOther,RoadFriction,Precipitation,Min_TTC,Collision_Occurred
20,40,100,c4,0,left,0,-60,0,0,right,0,100,base,base,1,0,1.5406441590055504,False
20,60,0,c1,0,left,0,-60,0,0,right,0,100,base,base,1,0,1.2525455817518591,False
20,60,0,c2,0,left,0,-60,0,0,base,0,100,right,left,1,0,0.0,True
20,60,0,c4,0,right,0,-60,0,0,base,0,100,left,left,1,0,7.011012799229594,False
20,60,20,c1,0,left,0,-60,0,0,left,0,100,right,right,1,0,0.9319433472209603,False
20,60,20,c2,0,base,0,-60,0,0,base,0,100,left,right,1,0,5.174728410179224,False
20,60,20,c4,0,base,0,-60,0,0,right,0,100,left,base,1,0,3.1004624666830636,False
20,60,40,c1,0,base,0,-60,0,0,base,0,100,left,right,1,0,4.238974429879127,False
20,60,40,c2,0,right,0,-60,0,0,right,0,100,base,base,1,0,1.5389921458013995,False
20,60,40,c4,0,base,0,-60,0,0,right,0,100,left,left,1,0,1.011201700210478,False
20,60,60,c1,0,left,0,-60,0,0,base,0,100,right,right,1,0,1.741237223177873,False
20,60,60,c2,0,right,0,-60,0,0,right,0,100,base,base,1,0,1.6539770339888855,False
20,60,60,c4,0,base,0,-60,0,0,right,0,100,left,base,1,0,2.329156101542415,False
20,60,80,c1,0,base,0,-60,0,0,base,0,100,left,left,1,0,2.8110783045013186,False
20,60,80,c2,0,right,0,-60,0,0,left,0,100,base,base,1,0,4.1242108394637125,False
20,60,80,c4,0,base,0,-60,0,0,left,0,100,right,base,1,0,1.7237974777512293,False
20,60,100,c1,0,right,0,-60,0,0,right,0,100,left,left,1,0,0.8304790082300479,False
20,60,100,c2,0,left,0,-60,0,0,left,0,100,base,right,1,0,3.152948886589341,False
20,60,100,c4,0,base,0,-60,0,0,left,0,100,right,right,1,0,0.8176444680106412,False
20,80,0,c1,0,base,0,-60,0,0,right,0,100,left,base,1,0,5.853728222366728,False
20,80,0,c2,0,left,0,-60,0,0,right,0,100,base,left,1,0,2.9478831435604134,False
20,80,0,c4,0,right,0,-60,0,0,base,0,100,left,left,1,0,7.008405195169215,False
20,80,20,c1,0,right,0,-60,0,0,left,0,100,base,right,1,0,2.5621198320772773,False
20,80,20,c2,0,base,0,-60,0,0,right,0,100,left,left,1,0,3.116957084654992,False
20,80,20,c4,0,left,0,-60,0,0,left,0,100,base,right,1,0,0.7194271438990348,False
20,80,40,c1,0,base,0,-60,0,0,base,0,100,left,left,1,0,3.0720213799639167,False
20,80,40,c2,0,right,0,-60,0,0,left,0,100,base,right,1,0,4.152817900935549,False
20,80,40,c4,0,left,0,-60,0,0,left,0,100,right,base,1,0,3.2859870925269403,False
20,80,60,c1,0,left,0,-60,0,0,left,0,100,base,base,1,0,2.9622771769342826,False
20,80,60,c2,0,base,0,-60,0,0,left,0,100,right,right,1,0,1.0191296039683597,False
