Visibility,VehicleStability,RoadSurface,PathInteraction,GoalOther,Wetness,GoalEgo,FogDensity,TimeOfDay,WindIntensity,FogDistance,Cloudiness,StartOther,Precipitation,PrecipitationDeposits,StartEgo,RoadFriction,Min_TTC,Collision_Occurred
20,100,20,c2,right,80,right,40,0,60,60,80,base,100,100,left,0.1,3.051170169541041,False
20,100,20,c4,right,40,left,40,60,40,60,40,left,40,20,right,0.4,0.8328579522833367,False
20,100,40,c1,right,40,left,20,60,60,100,60,left,40,40,right,0.6,0.861289229346322,False
20,100,40,c2,left,20,right,20,90,40,60,60,base,20,40,left,0.6,4.674480312138318,False
20,100,40,c4,right,40,left,20,90,60,60,60,base,40,20,right,0.6,1.1854642967414852,False
20,100,60,c1,base,20,left,40,-30,20,60,80,left,60,60,base,0.4,3.1716398578301774,False
20,100,60,c2,base,60,base,40,0,20,40,80,left,60,60,right,0.1,1.6803216247925923,False
20,100,60,c4,left,20,base,0,-90,40,100,80,right,80,80,left,0.4,1.179904122067473,False
20,100,80,c1,left,60,left,0,30,60,100,100,base,60,80,right,0.1,3.4744107012751164,False
20,100,80,c2,right,20,base,0,-30,40,100,0,left,20,20,right,0.8,0.0,True
20,100,80,c4,right,0,base,100,0,0,0,20,base,0,20,right,0.8,1.155020696827538,False
20,100,100,c1,right,0,base,40,90,40,40,60,base,20,20,left,1.0,4.86845071511391,False
20,100,100,c2,right,40,base,40,0,60,40,60,left,40,40,right,0.8,1.0490014845849638,False
20,100,100,c4,left,40,right,80,90,0,0,80,right,40,40,base,0.2,3.2202173649393027,False
40,0,0,c1,right,20,left,40,60,0,40,80,left,60,80,right,0.1,3.8182633497890706,False
40,0,0,c2,left,40,left,60,30,60,0,20,right,20,20,base,0.2,3.0875362137774984,False
40,0,0,c4,left,20,left,60,-90,60,80,40,base,0,0,right,0.8,2.725186167497042,False
40,0,20,c1,left,20,base,20,-90,0,60,60,base,40,60,right,0.4,2.788872450896049,False
40,0,20,c2,base,20,left,60,0,20,0,80,right,40,40,base,0.6,1.6008505222557479,False
40,0,20,c4,right,20,right,40,-90,40,80,40,left,40,40,base,0.6,5.170149108810924,False
40,0,40,c1,right,20,right,40,60,20,40,60,left,60,60,base,0.2,0.0,True
40,0,40,c2,left,40,right,20,90,100,100,20,right,40,60,base,0.2,2.010277501099554,False
40,0,40,c4,left,80,left,40,30,60,60,60,base,80,80,right,0.1,2.0782659581770857,False
40,0,60,c1,base,40,base,20,90,60,60,60,left,40,40,right,0.8,2.2828723550656815,False
