instances,pathinteraction,feature_goalego,feature_windintensity,feature_roadfriction,feature_fogdistance,feature_startother,feature_precipitationdeposits,feature_cloudiness,feature_fogdensity,feature_goalother,feature_precipitation,feature_wetness,feature_startego,collision,min_ttc,algo_safety
scenario129,c4,2,100,0.6,20,3,0,60,20,0,20,40,1,0,4.60389823092803,0
scenario130,c4,0,40,0.4,60,2,40,80,40,2,0,100,2,1,0.0,1
scenario131,c1,2,0,0.4,20,0,80,80,0,2,40,80,1,0,7.276378868874031,0
scenario132,c4,2,0,1.0,100,3,40,80,0,0,40,100,1,0,4.555664395767463,0
scenario133,c4,0,0,0.4,100,3,60,20,40,0,100,0,1,0,1.727263518756517,0
scenario134,c1,2,80,0.4,0,2,0,80,60,2,40,40,0,0,2.7971304656472142,0
scenario135,c1,1,60,0.1,40,2,60,60,40,2,100,40,0,0,2.506960142497748,0
scenario136,c1,2,20,0.2,40,2,0,80,40,2,0,0,0,0,3.0635403011075755,0
scenario137,c1,1,80,0.2,40,2,60,40,100,2,0,40,0,0,2.919387786546916,0
scenario138,c1,2,0,1.0,0,1,0,100,20,1,60,20,1,0,0.8480774159668136,0
scenario139,c1,1,80,0.6,20,2,80,60,100,2,40,20,0,0,3.1031691986747294,0
scenario140,c1,2,80,0.6,40,2,0,60,40,2,0,0,0,1,0.0,1
scenario141,c2,1,20,0.6,40,3,0,60,40,1,40,0,0,0,3.2740333789916725,0
scenario142,c4,0,100,0.2,60,3,60,20,0,0,100,40,1,0,3.371911882345156,0
scenario143,c4,0,0,1.0,40,2,80,20,60,2,80,80,2,0,1.0651681171890883,0
scenario144,c2,1,60,0.1,40,1,40,60,60,1,60,0,2,0,2.656263474883689,0
scenario145,c4,0,100,1.0,20,3,80,40,100,0,60,80,1,0,2.6517260354399603,0
scenario146,c2,1,60,0.4,60,1,60,80,60,1,60,60,2,0,5.388332918459305,0
scenario147,c1,2,0,0.8,80,0,0,80,20,2,80,0,1,0,6.786483037432198,0
scenario148,c2,1,20,1.0,100,1,20,100,20,1,60,0,2,0,3.4251035798756773,0
scenario149,c1,2,100,0.4,100,2,60,40,20,2,0,80,0,0,2.5512112729940952,0
scenario150,c1,1,100,0.4,100,2,80,60,60,2,0,80,0,0,2.273321534963128,0
scenario151,c4,2,20,0.6,100,3,100,20,20,0,60,40,1,0,4.705324591408053,0
scenario152,c1,2,100,0.1,100,2,40,100,20,2,40,40,0,0,3.3903542237752697,0
scenario153,c2,0,0,0.6,100,1,20,60,80,1,40,100,2,0,3.7090802149073583,0
scenario154,c1,2,60,0.4,0,2,40,100,80,2,100,20,0,1,0.0,1
scenario155,c4,0,100,0.2,20,3,20,100,40,0,60,0,1,0,2.619157552013523,0
scenario156,c2,1,60,0.1,40,3,20,40,80,1,80,20,0,0,2.92166388800446,0
scenario157,c2,1,40,0.2,80,1,0,80,0,1,40,0,2,0,5.5211892644478,0
scenario158,c4,0,20,0.6,40,2,0,100,0,2,60,20,2,0,1.1196697519912016,0
scenario159,c1,2,80,0.6,100,2,80,0,0,2,60,0,0,0,3.197464223071341,0
scenario160,c2,1,0,0.6,100,3,100,100,20,0,0,20,0,0,1.690873204253745,0
scenario161,c4,0,80,0.2,60,3,60,40,60,0,80,80,1,0,3.4943746560078472,0
scenario162,c2,1,100,0.4,80,3,20,40,40,0,80,100,0,0,1.72299729865719,0
scenario163,c2,1,100,0.8,20,1,20,20,0,1,20,0,2,0,5.21783078958888,0
scenario164,c2,1,60,0.2,40,1,100,0,0,1,40,80,2,0,4.313761847567182,0
scenario165,c4,0,0,0.8,20,2,100,20,20,2,60,0,2,0,0.9089576678180128,0
scenario166,c2,1,60,0.6,100,1,80,100,0,1,20,0,2,0,5.428534034317964,0
scenario167,c4,2,80,0.1,60,3,0,40,0,0,40,20,1,0,1.9407095549363107,0
scenario168,c2,0,80,0.8,60,1,100,100,40,1,80,100,2,0,4.0091029925968105,0
scenario169,c1,2,20,0.2,0,2,100,0,40,2,60,100,0,1,0.0,1
scenario170,c1,2,80,0.4,40,0,100,0,60,2,40,0,1,0,5.214812952619046,0
scenario171,c1,1,20,0.6,0,2,100,40,60,2,40,0,0,0,2.444505429103505,0
scenario172,c4,0,0,0.6,60,3,100,100,80,0,20,60,1,0,1.7452186711337945,0
scenario173,c1,2,40,0.2,0,2,80,0,40,2,80,100,0,0,2.5831544394689825,0
scenario174,c2,0,20,0.1,80,1,60,40,100,1,20,0,2,0,3.5013470931340147,0
scenario175,c2,1,80,0.6,20,3,40,100,100,0,0,60,0,0,1.9353329456146515,0
scenario176,c2,0,60,0.6,100,1,20,100,80,1,80,60,2,0,4.483726129581642,0
scenario177,c1,1,60,0.1,40,2,20,40,20,2,0,20,0,0,2.505092931839482,0
scenario178,c4,0,60,0.1,60,3,60,60,0,0,40,60,1,0,3.351505892677035,0
scenario179,c2,1,0,0.4,100,1,100,80,100,1,40,40,2,0,4.571049162371931,0
scenario180,c1,2,100,0.6,40,2,20,40,40,2,100,40,0,0,3.549176752258512,0
scenario181,c2,0,20,0.8,60,1,0,100,60,1,100,40,2,0,3.5917428672131377,0
scenario182,c4,0,100,0.8,40,3,100,20,40,0,0,60,1,1,0.0,1
scenario183,c2,0,60,0.4,0,1,100,80,20,1,80,60,2,0,3.3643636355488,0
scenario184,c4,0,100,1.0,20,3,60,80,20,0,60,60,1,0,2.82610054607318,0
scenario185,c4,0,100,0.6,80,2,40,20,100,2,60,0,2,0,1.2021136573886249,0
scenario186,c4,0,80,0.1,100,2,20,0,40,0,100,80,2,0,19.60987279845236,0
scenario187,c1,2,40,0.4,60,1,0,80,40,1,40,100,1,0,0.7687837198323324,0
