instances,feature_direction,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario141,1,100,20,100,0,60,100,40,100,0.2,False,1.835,0
scenario142,1,0,100,100,60,0,60,40,60,0.1,False,0.938,0
scenario143,0,60,0,100,80,-30,0,80,100,0.6,False,1.478,0
scenario144,0,80,0,40,40,60,100,40,100,0.1,False,1.341,0
scenario145,1,60,20,60,40,90,40,80,60,0.8,False,0.837,0
scenario146,0,20,60,40,80,60,100,60,100,0.1,False,1.374,0
scenario147,1,0,0,0,60,90,80,40,0,0.1,False,0.842,0
scenario148,0,80,40,60,60,-30,0,20,100,0.6,False,1.419,0
scenario149,1,20,60,80,0,-30,20,20,60,1.0,False,0.758,0
scenario150,0,0,0,40,80,-30,60,20,0,1.0,False,1.729,0
scenario151,0,0,100,80,60,30,40,0,20,0.8,False,0.629,0
scenario152,0,20,40,60,60,30,60,100,80,0.8,False,1.52,0
scenario153,1,40,100,0,60,-60,80,20,100,0.8,False,0.971,0
scenario154,1,100,0,20,60,-60,20,60,40,0.6,False,0.765,0
scenario155,1,100,20,100,20,-30,40,80,0,0.1,False,0.846,0
scenario156,0,0,60,20,20,0,80,0,100,0.2,False,1.363,0
scenario157,1,20,40,20,40,30,60,80,0,0.4,False,1.009,0
scenario158,1,60,20,100,20,30,40,60,80,0.6,False,0.929,0
scenario159,0,40,0,80,100,-90,60,0,60,0.4,False,1.399,0
scenario160,1,80,60,100,20,30,60,40,0,0.6,False,1.043,0
scenario161,0,20,0,60,100,0,100,40,80,0.8,False,1.442,0
scenario162,0,40,0,0,20,60,20,80,20,0.8,False,1.934,0
scenario163,0,20,80,100,40,30,80,60,0,0.1,False,1.183,0
scenario164,1,100,20,60,40,60,20,60,40,0.4,False,1.789,0
scenario165,0,60,100,0,60,30,80,80,80,0.1,False,1.253,0
scenario166,0,60,80,40,80,-30,100,100,60,0.2,False,1.511,0
scenario167,1,20,100,0,100,90,0,100,60,0.6,False,0.762,0
scenario168,1,80,60,80,0,-90,40,40,0,0.1,False,0.935,0
scenario169,1,40,40,20,60,90,0,0,80,0.1,False,0.673,0
scenario170,0,100,0,40,60,30,100,0,80,0.6,False,1.394,0
scenario171,1,20,40,60,80,-90,20,60,20,0.1,False,1.118,0
scenario172,1,100,80,20,20,0,60,20,40,0.2,False,1.52,0
scenario173,0,20,60,80,0,90,20,60,80,0.2,False,1.391,0
scenario174,1,40,80,100,20,30,0,0,100,0.4,False,3.475,0
scenario175,0,80,80,100,80,-60,100,100,20,0.6,False,1.397,0
scenario176,0,80,60,80,0,60,80,100,40,0.8,False,1.437,0
scenario177,0,40,20,80,40,0,0,20,20,0.1,False,1.495,0
scenario178,1,20,100,20,0,-60,40,100,80,0.1,False,0.825,0
scenario179,0,100,20,20,40,30,60,20,0,0.1,False,1.341,0
scenario180,0,20,60,100,100,90,40,20,80,0.8,False,1.34,0
scenario181,0,80,20,80,100,90,20,80,80,0.2,False,1.378,0
scenario182,1,20,20,0,20,0,80,20,60,0.1,False,1.033,0
scenario183,1,20,0,80,80,90,40,100,100,0.8,False,0.77,0
scenario184,0,0,100,40,60,60,100,60,80,0.8,False,1.362,0
scenario185,1,100,0,80,20,60,60,80,80,0.4,False,2.176,0
scenario186,0,80,20,60,20,30,0,80,80,0.2,False,1.879,0
scenario187,1,60,60,100,60,30,100,40,60,0.2,False,1.989,0
scenario188,1,40,80,40,0,-30,100,100,40,0.1,False,0.913,0
scenario189,1,20,100,20,20,-60,0,60,60,0.8,False,0.771,0
scenario190,0,100,40,100,100,-30,0,40,60,0.1,False,1.467,0
scenario191,0,60,40,20,80,-60,60,20,100,1.0,False,0.984,0
scenario192,1,60,100,20,0,30,0,40,0,0.6,False,2.479,0
scenario193,1,80,60,100,40,30,100,100,0,0.4,False,1.413,0
scenario194,0,100,60,60,100,90,100,100,40,0.8,False,1.454,0
scenario195,0,40,80,60,80,0,20,0,60,0.8,False,1.806,0
scenario196,1,0,40,20,80,-90,60,60,60,0.2,False,0.894,0
scenario197,0,20,60,20,20,60,20,0,40,1.0,False,1.471,0
scenario198,0,40,60,20,100,-60,60,20,20,0.1,False,1.368,0
scenario199,1,80,0,0,100,-60,20,40,60,0.4,False,1.992,0
scenario200,1,80,100,80,80,-90,20,80,20,0.8,False,0.845,0
scenario201,0,40,0,100,80,-90,80,60,40,0.4,False,1.399,0
scenario202,0,20,80,60,80,60,40,60,0,1.0,False,1.431,0
scenario203,1,0,0,40,100,0,80,20,60,0.2,False,0.883,0
scenario204,1,0,80,0,0,30,80,20,60,1.0,False,1.82,0
scenario205,0,100,20,40,60,-30,60,0,40,0.6,False,1.357,0
scenario206,1,80,100,20,0,30,20,80,20,0.6,False,1.493,0
scenario207,0,80,20,20,20,-30,100,60,80,0.2,False,1.71,0
scenario208,1,20,80,20,80,-90,0,100,80,1.0,False,0.891,0
scenario209,0,0,0,100,60,-90,60,40,0,0.4,False,1.408,0
scenario210,1,100,40,0,0,90,40,100,40,0.8,False,1.945,0
scenario211,1,0,60,0,80,-90,40,40,40,0.2,False,0.879,0
scenario212,0,60,100,40,20,90,80,80,20,0.8,False,1.369,0
scenario213,0,40,80,20,40,-30,20,100,20,0.1,False,1.368,0
scenario214,1,100,40,80,100,60,20,80,40,0.2,False,1.856,0
scenario215,1,40,20,100,60,-30,100,0,0,1.0,False,0.998,0
scenario216,0,20,40,40,80,-60,60,80,80,0.4,False,1.402,0
scenario217,0,100,40,80,0,-60,40,20,20,0.1,False,1.366,0
scenario218,1,20,100,60,100,90,100,60,40,0.4,False,0.776,0
scenario219,1,60,20,60,80,60,100,60,0,0.6,False,0.775,0
scenario220,0,40,80,60,40,-60,40,60,60,0.6,False,0.92,0
scenario221,0,80,20,0,0,0,40,20,80,0.4,False,1.396,0
scenario222,0,0,100,100,100,-30,40,0,40,1.0,False,0.824,0
scenario223,1,20,60,40,40,-90,40,20,20,0.2,False,1.013,0
scenario224,1,100,0,0,40,0,60,100,0,0.4,False,1.591,0
scenario225,0,100,20,60,0,0,20,0,100,1.0,False,1.953,0
scenario226,1,20,100,60,40,-30,80,60,20,0.2,False,0.781,0
scenario227,0,20,60,80,0,-30,100,40,0,1.0,False,1.212,0
scenario228,1,60,20,0,20,90,40,0,80,0.4,False,1.541,0
scenario229,0,0,20,40,100,60,80,80,100,0.8,False,1.457,0
scenario230,1,40,60,40,0,-90,80,100,60,0.6,False,0.918,0
scenario231,0,80,100,0,80,-90,40,40,60,0.8,False,1.028,0
scenario232,0,80,100,20,40,-60,60,60,80,1.0,False,0.884,0
scenario233,1,0,100,80,20,60,60,80,20,0.6,False,0.769,0
scenario234,1,0,20,80,0,0,20,100,20,0.4,False,0.753,0
scenario235,0,80,80,60,100,-90,0,0,40,1.0,False,1.586,0
scenario236,1,100,60,100,20,-90,60,80,60,0.6,False,0.994,0
scenario237,0,0,20,100,0,30,40,40,40,0.8,False,1.011,0
scenario238,0,40,0,0,80,0,0,100,40,0.8,False,1.688,0
scenario239,1,60,60,100,20,-30,40,60,80,0.6,False,0.968,0
scenario240,0,80,0,40,80,30,20,0,0,0.1,False,0.897,0
scenario241,1,100,40,0,20,-90,0,80,0,1.0,False,1.798,0
scenario242,1,20,0,80,0,60,20,0,20,0.1,False,1.74,0
scenario243,1,20,40,40,40,60,80,20,60,0.1,False,2.239,0
scenario244,0,60,60,20,100,-30,0,100,80,1.0,False,1.525,0
scenario245,1,60,0,0,60,30,0,80,80,0.1,False,1.764,0
scenario246,0,20,80,20,100,-30,40,40,80,1.0,False,0.853,0
scenario247,1,60,0,60,0,60,60,0,60,0.6,False,1.951,0
scenario248,0,100,40,0,100,-30,60,40,100,0.2,False,1.038,0
scenario249,0,80,20,100,60,0,100,0,100,0.4,False,1.369,0
scenario250,1,60,60,40,20,90,100,80,60,0.1,False,0.889,0
scenario251,0,80,0,80,100,-90,40,40,100,1.0,False,1.149,0
scenario252,0,100,80,40,60,30,0,0,80,0.8,False,1.331,0
scenario253,1,20,40,20,60,90,60,40,100,0.4,False,0.944,0
scenario254,1,100,80,20,80,-30,20,20,20,0.4,False,0.754,0
scenario255,1,60,40,60,40,60,80,0,20,0.1,False,0.841,0
scenario256,0,100,20,40,100,-30,60,40,0,0.8,False,0.993,0
scenario257,1,60,80,40,0,30,60,80,60,0.6,False,1.804,0
scenario258,0,20,60,20,40,0,0,20,0,0.8,False,1.392,0
scenario259,1,0,100,0,80,-90,20,100,20,0.4,False,1.834,0
scenario260,0,0,80,40,20,-90,0,60,80,1.0,False,1.398,0
scenario261,0,0,60,40,40,-60,40,60,80,0.4,False,1.37,0
scenario262,1,80,60,40,80,0,20,100,20,1.0,False,0.587,0
scenario263,1,20,80,60,40,60,80,100,80,0.8,False,0.618,0
scenario264,0,80,0,0,100,-60,60,20,60,0.2,False,1.037,0
scenario265,1,0,100,80,80,-30,20,80,0,0.4,False,0.862,0
scenario266,1,80,40,60,0,90,20,60,0,0.8,False,1.469,0
scenario267,0,40,60,100,20,90,40,100,60,0.1,False,1.354,0
scenario268,1,80,100,100,20,30,40,60,80,0.4,False,0.778,0
scenario269,0,40,0,80,20,30,40,40,60,0.8,False,1.434,0
scenario270,0,60,100,100,0,-90,20,100,60,0.1,False,1.611,0
scenario271,0,80,20,20,20,60,60,40,20,0.6,False,1.402,0
scenario272,1,40,40,20,80,-30,100,60,80,0.6,False,1.747,0
scenario273,0,20,60,60,60,60,0,100,20,0.6,False,1.42,0
scenario274,0,40,0,0,40,-60,80,80,40,0.1,False,0.962,0
scenario275,1,0,80,80,60,60,100,60,100,1.0,False,1.132,0
scenario276,1,60,20,0,80,-30,60,20,100,1.0,False,0.952,0
scenario277,1,40,20,80,0,30,0,80,100,0.2,False,3.793,0
scenario278,1,100,40,100,60,30,60,20,40,0.2,False,1.83,0
scenario279,0,80,80,40,100,60,80,40,80,0.2,False,1.37,0
scenario280,0,0,80,20,60,-60,20,60,0,0.6,False,1.38,0
scenario281,1,100,40,80,20,-30,80,0,80,0.6,False,0.873,0
scenario282,0,0,80,100,60,0,20,40,20,0.4,False,1.739,0
scenario283,1,40,100,20,60,-60,60,60,40,0.8,False,0.965,0
scenario284,0,0,60,20,80,90,0,100,100,0.8,False,1.311,0
scenario285,0,0,20,60,60,-90,60,0,80,0.8,False,1.401,0
scenario286,1,40,0,0,100,-90,60,20,40,1.0,False,0.769,0
scenario287,1,0,20,20,40,0,20,100,0,0.2,False,0.891,0
scenario288,0,40,40,0,60,-90,100,40,0,0.4,False,1.393,0
scenario289,1,20,100,60,100,0,100,0,0,0.6,False,0.829,0
scenario290,1,60,20,80,0,-60,100,60,60,0.1,False,0.89,0
scenario291,0,40,0,40,100,-60,20,60,60,0.6,False,1.519,0
scenario292,0,80,40,40,20,30,100,80,80,0.4,False,1.433,0
scenario293,0,100,60,80,60,90,0,0,40,0.4,False,1.354,0
scenario294,0,60,100,40,100,30,0,0,20,0.4,False,1.319,0
scenario295,1,80,0,100,0,-30,100,100,60,0.8,False,0.886,0
scenario296,1,100,0,60,40,0,100,0,100,0.2,False,1.374,0
scenario297,0,100,20,60,20,0,80,20,100,1.0,False,1.442,0
scenario298,0,100,80,60,60,60,0,0,60,0.1,False,1.383,0
scenario299,1,60,60,80,80,-60,60,20,0,0.4,False,0.813,0
scenario300,0,40,40,60,40,-30,60,60,20,0.6,False,1.088,0
scenario301,1,60,20,100,60,90,100,100,0,0.2,False,0.794,0
scenario302,1,0,20,60,40,30,20,100,40,0.6,False,1.606,0
scenario303,0,40,100,100,60,60,100,40,100,0.8,False,1.444,0
scenario304,0,0,60,100,100,-60,60,20,0,0.4,False,1.02,0
scenario305,1,80,0,0,40,90,40,0,60,0.4,False,1.665,0
scenario306,0,0,0,20,80,30,100,100,40,0.1,False,1.497,0
scenario307,1,0,100,40,40,-60,80,80,100,0.2,False,0.772,0
scenario308,1,100,0,100,60,-30,0,80,80,0.1,False,0.738,0
scenario309,1,80,40,80,20,60,40,100,40,0.6,False,0.779,0
scenario310,0,40,100,60,80,30,100,60,100,1.0,False,1.393,0
scenario311,1,20,60,80,40,0,0,0,80,0.1,False,1.782,0
scenario312,1,80,80,100,80,-60,0,40,0,0.6,False,0.811,0
scenario313,0,20,80,0,20,-90,0,20,0,0.4,False,1.374,0
scenario314,0,60,100,40,60,90,0,40,40,0.2,False,1.377,0
scenario315,0,20,80,80,40,90,80,60,20,0.2,False,1.365,0
scenario316,1,100,40,40,40,-60,60,40,100,1.0,False,0.92,0
scenario317,0,20,80,20,20,0,100,80,100,0.1,False,1.393,0
scenario318,1,40,80,0,20,-30,40,20,80,1.0,False,0.802,0
scenario319,1,20,40,0,0,0,0,60,60,0.1,False,0.871,0
scenario320,1,40,40,60,40,90,60,100,100,0.8,False,0.702,0
scenario321,0,80,20,40,60,-90,0,40,60,0.6,False,1.573,0
scenario322,0,40,80,80,40,-60,40,80,40,0.6,False,1.424,0
scenario323,0,60,80,0,0,0,0,0,20,1.0,False,1.343,0
scenario324,1,100,40,80,40,0,80,20,100,0.1,False,1.203,0
scenario325,1,0,0,40,0,-30,80,60,60,1.0,False,0.889,0
scenario326,0,40,80,20,80,90,20,100,100,0.4,False,1.323,0
scenario327,0,60,80,80,100,30,40,60,60,0.6,False,0.637,0
scenario328,0,0,40,40,60,-30,60,20,20,0.8,False,1.389,0
scenario329,1,80,100,0,0,90,60,80,20,0.1,False,1.34,0
scenario330,1,100,20,60,80,-60,80,0,40,1.0,False,0.939,0
scenario331,0,80,20,40,80,-90,40,100,100,0.2,False,1.45,0
scenario332,1,100,100,0,100,0,40,100,80,0.1,False,0.717,0
scenario333,1,80,100,100,100,-30,40,60,0,0.4,False,0.796,0
scenario334,1,20,100,20,60,30,40,0,40,1.0,False,1.887,0
scenario335,0,60,80,40,20,-90,0,80,60,0.8,False,1.434,0
scenario336,1,60,0,60,60,90,40,80,60,1.0,False,1.759,0
scenario337,0,60,60,20,100,60,100,0,100,0.6,False,1.345,0
scenario338,1,0,0,80,20,60,20,0,100,0.6,False,1.392,0
scenario339,0,0,20,100,0,60,100,20,40,0.8,False,1.337,0
scenario340,1,80,40,20,20,-30,100,60,100,0.4,False,0.776,0
scenario341,0,100,100,40,0,-60,40,80,0,1.0,False,1.39,0
scenario342,0,100,40,60,40,-60,40,0,40,0.4,False,1.346,0
scenario343,1,40,20,0,60,60,60,80,100,0.2,False,1.857,0
scenario344,0,40,20,40,0,0,40,60,20,0.4,False,1.435,0
scenario345,1,60,100,60,60,-60,60,20,0,0.1,False,0.718,0
scenario346,0,0,40,0,80,90,60,100,60,0.8,False,1.615,0
scenario347,1,20,60,40,60,90,100,100,40,0.1,False,0.964,0
scenario348,0,0,60,100,80,-30,60,20,60,1.0,False,0.874,0
scenario349,0,60,80,80,0,-90,40,40,80,0.6,False,0.905,0
scenario350,0,0,0,60,0,90,80,40,80,0.4,False,1.429,0
scenario351,1,60,20,0,100,-60,80,20,80,0.2,False,0.712,0
scenario352,1,80,80,100,60,-90,20,60,20,0.8,False,2.069,0
scenario353,0,0,40,20,100,30,20,80,100,0.1,False,2.062,0
scenario354,1,40,80,20,20,-90,80,20,40,0.8,False,0.848,0
scenario355,1,40,100,80,0,60,0,80,20,0.1,False,0.889,0
scenario356,0,20,60,80,100,0,0,0,20,0.8,False,1.414,0
scenario357,0,40,40,20,80,60,0,60,20,0.4,False,2.002,0
scenario358,0,20,40,60,20,0,20,60,80,0.4,False,1.374,0
scenario359,1,20,100,80,40,30,20,20,20,0.6,False,0.802,0
scenario360,1,0,60,60,100,-90,20,0,100,0.6,False,1.542,0
scenario361,0,40,80,20,100,90,60,0,40,0.6,False,1.32,0
scenario362,1,100,60,80,80,-60,0,20,20,0.8,False,0.918,0
scenario363,1,40,20,100,20,-90,80,80,40,0.2,False,0.941,0
scenario364,0,20,0,60,0,90,20,80,80,1.0,False,1.393,0
scenario365,1,100,40,40,60,60,0,0,20,1.0,False,1.784,0
scenario366,0,0,100,0,40,-30,80,80,100,0.2,False,1.407,0
scenario367,1,20,40,20,100,60,40,60,40,1.0,False,0.997,0
scenario368,0,0,20,40,40,-30,80,20,40,1.0,False,1.379,0
scenario369,1,60,20,0,40,90,40,40,80,0.4,False,1.082,0
scenario370,0,40,0,100,40,30,20,0,60,0.2,False,1.397,0
scenario371,0,60,0,80,80,60,100,80,100,1.0,False,1.339,0
scenario372,0,100,60,0,80,-90,100,40,80,0.1,False,1.023,0
scenario373,1,20,100,100,0,0,20,40,0,0.1,False,2.223,0
scenario374,1,20,0,80,100,-30,0,80,0,1.0,False,0.834,0
scenario375,1,60,40,40,80,-60,100,100,40,0.8,False,2.142,0
scenario376,0,80,0,40,100,60,40,0,0,0.8,False,1.402,0
scenario377,1,0,80,40,0,90,80,80,20,0.2,False,0.863,0
scenario378,0,100,60,20,60,0,60,0,80,0.1,False,1.358,0
scenario379,0,80,100,0,100,30,80,40,0,0.8,False,1.366,0
scenario380,1,40,40,0,20,30,60,20,60,0.2,False,2.871,0
scenario381,1,100,20,80,100,30,0,40,40,0.1,False,0.78,0
scenario382,1,80,80,40,20,90,60,0,60,0.6,False,1.525,0
scenario383,1,100,0,80,20,-90,80,60,100,0.4,False,0.948,0
scenario384,0,40,40,60,80,-60,20,80,80,1.0,False,1.559,0
scenario385,0,80,0,100,40,0,80,40,100,0.8,False,1.418,0
scenario386,1,80,40,100,60,0,60,20,100,0.4,False,2.203,0
