Instances,feature_TimeofDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,feature_Direction,Visibility,RoadSurface,VehicleStability,probability,collision,min_ttc,run_duration,algo_safety
scenario124,90,60,40,0,0,0,0.8,0,100,left,60,40,60,0.00165,0,1.2124990693449955,22.243804216384888,0
scenario125,30,40,40,0,0,0,0.8,0,100,right,60,40,80,0.0017,0,0.8472780490483615,26.900440216064453,0
scenario126,-90,20,80,0,0,0,0.8,0,100,left,60,40,100,0.00824,0,1.0652176631027126,22.79008436203003,0
scenario127,90,60,40,0,0,0,0.8,0,100,right,60,60,0,0.0016,0,0.7598492813011277,27.009653329849243,0
scenario128,60,60,20,0,0,0,0.8,0,100,right,60,60,20,0.00151,0,0.8981199350658372,27.215628147125244,0
scenario129,30,40,40,0,0,0,0.8,0,100,left,60,60,40,0.00176,0,1.0377895266385877,22.518953800201416,0
scenario130,-60,40,20,0,0,0,0.8,0,100,right,60,60,60,0.00157,0,0.9260079788093712,27.56818127632141,0
scenario131,60,60,40,0,0,0,0.8,0,100,left,60,60,80,0.00152,0,1.1594834901595186,22.526206254959103,0
scenario132,-60,40,20,0,0,0,0.8,0,100,left,60,60,100,0.00151,0,1.007971092069512,23.159932851791385,0
scenario133,-90,20,40,0,0,0,0.8,0,100,right,60,80,0,0.00805,0,0.891428132317598,27.735466480255127,0
scenario134,0,40,60,0,0,0,0.8,0,100,right,60,80,20,0.00148,0,0.8181060062690941,27.907874584198,0
scenario135,90,40,20,0,0,0,0.8,0,100,left,60,80,40,0.00158,0,1.201343410193821,22.57198190689087,0
scenario136,90,40,20,0,0,0,0.8,0,100,right,60,80,60,0.00167,0,0.794183482979482,27.268213033676147,0
scenario137,-60,60,40,0,0,0,0.8,0,100,right,60,80,80,0.00161,0,0.977155913883034,27.69056272506714,0
scenario138,60,40,40,0,0,0,0.8,0,100,right,60,80,100,0.00161,0,0.957892196533328,26.39599299430847,0
scenario139,-90,20,40,0,0,0,0.8,0,100,right,60,100,0,0.00806,0,0.9146708751997432,27.34702467918396,0
scenario140,-90,20,40,0,0,0,0.8,0,100,left,60,100,20,0.00793,0,0.9707534399457248,26.31400680541992,0
scenario141,-90,20,40,0,0,0,0.8,0,100,right,60,100,40,0.00778,0,0.9711841811341614,27.548401832580566,0
scenario142,-90,20,40,0,0,0,0.8,0,100,left,60,100,60,0.00779,0,1.0609649753837005,22.72905850410461,0
scenario143,-90,20,80,0,0,0,0.8,0,100,left,60,100,80,0.00791,0,1.114176930870978,22.63562798500061,0
scenario144,-90,20,80,0,0,0,0.8,0,100,left,60,100,100,0.00813,0,1.1249374394785394,22.918537855148315,0
scenario145,-90,20,80,0,0,0,0.8,0,100,right,80,0,0,0.008,0,0.8103363037268719,27.206340551376343,0
scenario146,-90,20,40,0,0,0,0.8,0,100,left,80,0,20,0.00789,0,1.069657165505888,22.59213638305664,0
scenario147,-90,20,40,0,0,0,0.8,0,100,right,80,0,40,0.00811,0,0.8428434370297521,27.45027756690979,0
scenario148,-90,20,40,0,0,0,0.8,0,100,right,80,0,60,0.00783,0,0.967184546371722,28.129649877548218,0
scenario149,-90,20,40,0,0,0,0.8,0,100,right,80,0,80,0.0079,0,0.9653232937762032,27.62900424003601,0
scenario150,-90,20,80,0,0,0,0.8,0,100,left,80,0,100,0.00813,0,1.151714867664357,67.45043540000916,0
scenario151,-90,20,40,0,0,0,0.8,0,100,right,80,20,0,0.00833,0,0.921624016504738,27.52265667915344,0
scenario152,-90,20,40,0,0,0,0.8,0,100,left,80,20,20,0.00775,0,1.0970667385785526,22.62870168685913,0
scenario153,-90,20,40,0,0,0,0.8,0,100,left,80,20,40,0.00782,0,1.0367028331680324,23.01223874092102,0
scenario154,-90,20,80,0,0,0,0.8,0,100,right,80,20,60,0.00791,0,0.7894108338012349,27.256532669067383,0
scenario155,-90,20,60,0,0,0,0.8,0,100,left,80,20,80,0.00792,0,1.0669463096798657,22.655882120132446,0
scenario156,-30,40,60,0,0,0,0.8,0,100,right,80,20,100,0.00147,0,0.93681570775154,27.822624683380127,0
scenario157,30,40,80,0,0,0,0.8,0,100,left,80,40,0,0.00148,0,1.0471449856939654,22.28793358802796,0
scenario158,-90,20,40,0,0,0,0.8,0,100,right,80,40,20,0.00775,0,0.8096075240769632,27.55697131156921,0
scenario159,-90,20,80,0,0,0,0.8,0,100,right,80,40,40,0.00798,0,0.9369347273157312,27.46164631843567,0
scenario160,-90,20,40,0,0,0,0.8,0,100,right,80,40,60,0.00795,0,0.8087088640666447,27.684728145599365,0
scenario161,0,40,100,0,0,0,0.8,0,100,right,80,40,80,0.00148,0,0.8950066280350625,28.192651510238647,0
scenario162,-90,20,40,0,0,0,0.8,0,100,left,80,40,100,0.00789,0,1.085472525364225,23.003776788711548,0
scenario163,-90,20,40,0,0,0,0.8,0,100,right,80,60,0,0.00798,0,0.8551126753643311,27.29069709777832,0
scenario164,-90,20,40,0,0,0,0.8,0,100,right,80,60,20,0.00803,0,0.9489586720818172,27.353378534317017,0
scenario165,-90,20,80,0,0,0,0.8,0,100,right,80,60,40,0.00804,0,0.8695884661466513,27.270153045654297,0
scenario166,-90,20,60,0,0,0,0.8,0,100,left,80,60,60,0.00804,0,1.142760800547842,22.880369424819943,0
scenario167,-90,20,40,0,0,0,0.8,0,100,right,80,60,80,0.00782,0,0.8750814276851236,27.59166049957276,0
scenario168,-90,20,40,0,0,0,0.8,0,100,right,80,60,100,0.00807,0,0.7440391627861503,27.683968544006348,0
scenario169,60,40,20,0,0,0,0.8,0,100,left,80,80,0,0.00155,0,1.1607899545664435,22.37590456008911,0
scenario170,-60,40,40,0,0,0,0.8,0,100,left,80,80,20,0.00148,0,1.0547700613243285,23.011743307113647,0
scenario171,-90,20,80,0,0,0,0.8,0,100,right,80,80,40,0.00772,0,0.8408112001445223,27.694047212600708,0
