Instances,feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario129,right,60,20,20,80,30,0,100,20,0.1,False,0.844,0
scenario130,left,100,40,0,0,0,60,100,40,0.4,False,1.021,0
scenario131,right,60,20,20,100,60,100,40,100,0.2,False,0.832,0
scenario132,right,60,80,0,100,90,80,60,60,0.1,False,0.769,0
scenario133,left,60,0,60,20,-30,80,0,20,0.2,False,1.039,0
scenario134,right,0,60,0,40,-60,20,20,60,0.4,False,0.853,0
scenario135,left,20,100,20,100,-90,0,100,0,0.1,False,1.017,0
scenario136,left,20,20,60,0,-30,60,40,20,1.0,False,1.157,0
scenario137,left,80,100,20,0,60,100,40,60,0.6,False,1.174,0
scenario138,right,80,60,0,60,30,100,60,40,0.1,False,0.91,0
scenario139,left,40,40,40,40,-30,20,40,0,0.4,False,1.065,0
scenario140,right,40,60,100,100,-90,60,60,60,0.2,False,0.817,0
scenario141,left,0,60,60,0,90,100,40,60,0.1,False,1.113,0
scenario142,left,20,60,40,60,60,100,0,80,0.6,False,1.107,0
scenario143,right,80,100,80,20,-30,40,80,80,1.0,False,0.805,0
scenario144,left,80,20,60,0,-90,20,60,20,0.4,False,1.075,0
scenario145,right,80,60,40,100,-60,20,80,20,0.8,False,0.938,0
scenario146,left,100,20,100,80,90,60,80,100,0.4,False,1.109,0
scenario147,right,0,100,0,60,30,80,20,80,0.8,False,0.771,0
scenario148,left,60,80,0,100,-90,100,40,100,1.0,False,1.059,0
scenario149,right,100,80,0,40,-90,60,40,40,0.2,False,1.046,0
scenario150,right,40,60,100,0,30,20,100,100,0.1,False,0.771,0
scenario151,left,100,20,60,60,0,40,20,40,0.4,False,1.148,0
scenario152,right,60,60,80,100,-30,60,60,60,0.6,False,0.943,0
scenario153,left,40,40,80,100,-60,80,80,20,0.1,False,1.113,0
scenario154,right,0,0,100,40,-90,0,60,80,0.6,False,0.857,0
scenario155,right,0,80,100,0,-90,60,100,80,0.2,False,0.821,0
scenario156,left,0,100,40,40,-90,80,20,60,0.6,False,1.102,0
scenario157,right,80,20,40,40,60,100,80,100,0.8,False,0.875,0
scenario158,left,100,40,80,80,30,40,0,60,0.8,False,1.107,0
scenario159,left,20,60,80,20,-30,100,100,0,0.8,False,1.096,0
scenario160,left,20,40,0,80,0,40,20,100,1.0,False,1.094,0
scenario161,right,60,40,100,20,90,0,0,20,0.2,False,0.817,0
scenario162,right,60,100,60,80,-60,0,20,60,1.0,False,0.925,0
scenario163,left,20,20,40,100,30,100,60,0,0.4,False,1.189,0
scenario164,right,0,100,80,0,60,80,60,100,0.8,False,0.8,0
scenario165,right,80,40,20,100,0,20,40,20,0.4,False,0.894,0
scenario166,left,40,60,20,80,0,40,20,80,0.6,False,1.086,0
scenario167,left,100,0,20,60,90,100,20,0,0.8,False,1.2,0
scenario168,right,100,40,100,0,0,60,100,40,1.0,False,0.94,0
scenario169,left,0,80,20,60,-90,20,0,0,0.6,False,1.205,0
scenario170,right,60,20,40,40,-60,80,40,40,1.0,False,0.802,0
scenario171,right,60,40,80,80,90,40,40,20,1.0,False,0.99,0
scenario172,left,40,80,80,100,0,80,80,80,0.1,False,1.032,0
scenario173,right,20,20,40,60,-60,0,80,80,0.2,False,0.857,0
scenario174,left,40,100,20,100,-60,0,20,60,0.2,False,2.923,0
scenario175,right,40,80,20,20,-90,100,60,20,0.4,False,0.83,0
scenario176,left,60,0,20,0,0,0,40,20,0.4,False,1.075,0
scenario177,left,0,0,100,40,90,40,80,80,0.8,False,1.121,0
scenario178,right,20,60,40,100,-30,20,80,0,0.4,False,0.908,0
scenario179,left,80,100,20,80,0,100,60,40,0.8,False,1.099,0
scenario180,right,80,20,60,60,0,60,20,80,0.1,False,0.953,0
scenario181,right,0,80,60,0,0,80,80,100,0.6,False,0.835,0
scenario182,right,40,60,40,40,-30,100,60,60,0.4,False,0.818,0
scenario183,left,100,80,60,60,0,80,40,40,0.6,False,1.066,0
scenario184,right,100,100,80,60,60,0,100,100,0.6,False,0.946,0
scenario185,right,20,60,100,20,30,0,100,100,0.1,False,0.78,0
scenario186,left,80,60,60,60,90,60,0,20,0.2,False,1.16,0
scenario187,left,60,100,0,20,-90,20,100,80,0.1,False,1.093,0
scenario188,left,100,40,100,100,90,100,60,40,0.6,False,1.163,0
scenario189,right,40,60,80,40,60,20,20,60,0.2,False,0.984,0
scenario190,left,100,80,40,20,0,20,100,60,0.1,False,1.143,0
scenario191,right,80,80,100,60,-60,60,0,80,0.6,False,0.919,0
scenario192,left,60,20,20,40,60,60,20,0,0.2,False,1.225,0
scenario193,left,40,60,40,20,-90,40,0,40,0.4,False,1.022,0
scenario194,right,20,0,0,20,30,60,80,60,0.1,False,0.896,0
scenario195,right,0,40,0,60,-30,0,100,40,0.8,False,0.82,0
scenario196,left,0,100,20,20,90,40,0,20,0.4,False,1.179,0
scenario197,right,20,80,0,60,30,80,20,0,0.8,False,0.833,0
scenario198,right,20,0,0,20,0,0,60,0,0.6,False,0.934,0
scenario199,left,80,100,40,60,-30,40,100,100,1.0,False,1.011,0
scenario200,left,0,0,100,60,30,40,0,100,0.1,False,1.104,0
scenario201,right,80,80,60,60,60,40,80,20,0.4,False,0.899,0
scenario202,right,60,0,80,100,-60,40,40,40,0.6,False,0.809,0
scenario203,left,100,40,60,20,60,0,0,0,0.8,False,1.076,0
scenario204,right,100,0,0,80,-30,20,100,60,0.4,False,0.826,0
scenario205,left,60,0,100,80,60,100,100,80,1.0,False,1.223,0
scenario206,left,0,40,40,80,90,100,60,0,0.1,False,1.165,0
scenario207,right,40,0,0,0,-60,100,40,60,1.0,False,0.92,0
scenario208,left,60,40,0,40,90,0,20,40,0.2,False,1.119,0
scenario209,right,100,100,20,0,-30,100,40,80,1.0,False,0.979,0
scenario210,left,20,20,0,20,-60,20,80,60,0.8,False,1.063,0
scenario211,left,60,20,80,40,-30,20,80,20,0.8,False,1.139,0
scenario212,left,60,60,0,60,90,40,60,20,0.6,False,1.122,0
scenario213,left,80,20,60,20,90,40,40,100,1.0,False,1.161,0
scenario214,right,40,80,100,0,30,60,60,20,0.6,False,0.846,0
scenario215,right,0,100,20,80,30,0,60,0,0.6,False,0.782,0
scenario216,right,80,40,0,0,60,0,20,100,0.2,False,0.768,0
scenario217,right,80,80,20,100,-90,40,100,0,0.1,False,0.755,0
scenario218,left,0,40,60,60,0,20,80,60,0.2,False,1.096,0
scenario219,left,60,0,100,0,-30,20,20,60,0.4,False,1.251,0
scenario220,right,60,20,20,20,90,20,60,100,1.0,False,0.795,0
scenario221,left,80,0,80,100,-30,60,100,60,0.6,False,0.633,0
scenario222,right,40,60,40,80,-90,0,60,0,0.2,False,0.932,0
scenario223,right,100,20,0,60,90,0,20,60,0.1,False,0.74,0
scenario224,left,60,0,100,20,0,60,0,20,0.2,False,1.152,0
scenario225,left,40,60,20,80,-90,20,40,100,0.8,False,1.219,0
scenario226,left,0,0,60,100,-30,40,80,40,1.0,False,0.835,0
scenario227,right,20,0,0,100,-90,80,0,60,0.4,False,0.817,0
scenario228,right,20,60,40,60,0,100,80,40,0.8,False,0.949,0
scenario229,left,60,20,80,20,90,0,100,20,0.8,False,1.213,0
scenario230,right,100,40,40,80,30,20,100,80,0.6,False,0.768,0
scenario231,right,20,0,20,0,-30,80,0,100,0.1,False,0.972,0
scenario232,right,60,60,80,40,-60,20,100,100,0.8,False,4.773,0
scenario233,left,0,0,100,40,-90,20,80,60,0.6,False,1.053,0
scenario234,left,40,40,20,100,0,80,40,40,0.6,False,1.048,0
scenario235,left,80,80,100,80,0,0,20,0,0.1,False,1.061,0
scenario236,left,0,80,100,80,90,0,20,0,0.4,False,1.151,0
scenario237,right,80,60,40,100,-90,40,20,80,0.1,False,0.86,0
scenario238,right,40,40,20,100,60,60,20,80,1.0,False,0.832,0
scenario239,right,0,60,80,100,60,20,80,20,0.4,False,0.835,0
scenario240,right,0,20,100,60,-90,60,20,60,0.2,False,0.899,0
scenario241,left,60,60,40,20,-60,60,100,100,1.0,False,2.931,0
scenario242,left,80,20,40,80,60,80,80,0,0.1,False,1.19,0
scenario243,right,20,0,20,60,-90,40,60,20,0.8,False,0.821,0
scenario244,right,20,0,80,20,-30,60,0,20,0.4,False,1.011,0
scenario245,left,20,60,0,40,-30,60,100,80,0.1,False,1.068,0
scenario246,right,80,0,0,40,60,60,0,40,0.4,False,0.802,0
scenario247,left,100,100,20,80,-60,0,40,0,0.4,False,1.114,0
scenario248,right,100,40,40,100,-60,20,40,60,0.8,False,0.92,0
scenario249,left,20,80,80,80,-60,60,0,100,0.2,False,1.1,0
scenario250,left,40,80,100,40,-60,0,80,0,0.2,False,1.064,0
scenario251,right,40,100,60,40,30,80,20,40,1.0,False,0.802,0
scenario252,left,60,80,80,40,90,80,20,60,1.0,False,1.112,0
scenario253,left,20,20,40,20,-90,40,60,40,0.8,False,1.022,0
scenario254,right,20,100,80,100,0,60,40,80,0.2,False,1.048,0
scenario255,right,0,80,40,60,-60,80,100,20,0.2,False,0.886,0
scenario256,right,40,80,0,100,0,20,60,0,1.0,False,0.907,0
scenario257,left,60,20,60,0,0,80,40,40,0.4,False,1.057,0
scenario258,left,40,80,60,100,-60,80,80,20,0.6,False,1.075,0
scenario259,left,40,60,40,40,90,40,100,60,1.0,False,1.096,0
scenario260,right,100,100,80,60,30,20,0,0,0.2,False,0.823,0
scenario261,left,80,20,60,20,-60,20,80,40,0.6,False,1.065,0
scenario262,right,20,0,60,40,90,80,0,80,0.1,False,0.768,0
scenario263,right,80,40,80,100,30,80,60,0,0.1,False,0.978,0
scenario264,left,60,20,20,80,30,40,100,20,0.6,False,1.212,0
scenario265,right,100,80,100,0,30,0,0,20,0.8,False,0.956,0
scenario266,left,60,60,0,80,-30,80,60,100,0.4,False,1.082,0
scenario267,left,40,60,60,60,-30,20,60,0,0.2,False,0.846,0
scenario268,right,20,100,60,60,60,40,100,80,0.1,False,0.84,0
scenario269,left,100,80,100,80,60,80,60,20,0.8,False,1.237,0
scenario270,right,80,60,80,60,-90,60,100,60,0.2,False,0.857,0
scenario271,left,40,60,0,40,90,100,60,80,0.6,False,1.158,0
scenario272,left,80,80,40,40,0,0,0,40,0.4,False,1.085,0
scenario273,right,100,0,80,60,90,20,80,60,0.1,False,0.829,0
scenario274,right,60,60,80,80,0,100,80,20,0.6,False,1.033,0
scenario275,left,40,80,40,20,-60,60,40,80,1.0,False,1.063,0
scenario276,left,20,100,100,20,90,100,40,100,0.6,False,1.185,0
scenario277,right,40,100,20,80,-60,60,20,60,1.0,False,0.731,0
scenario278,left,100,0,20,40,90,80,100,20,0.2,False,1.116,0
scenario279,right,100,20,20,100,-60,20,20,40,0.4,False,0.814,0
scenario280,right,0,40,80,60,0,0,60,80,0.2,False,0.881,0
scenario281,right,100,40,20,0,-60,0,20,60,0.6,False,0.697,0
scenario282,left,40,100,100,100,-90,60,80,80,0.1,False,1.089,0
scenario283,right,80,60,40,60,-30,80,60,0,0.6,False,7.116,0
scenario284,left,40,0,80,40,90,100,0,0,0.1,False,1.071,0
scenario285,right,80,0,80,0,30,100,40,100,0.8,False,0.817,0
scenario286,left,60,80,60,80,0,100,80,80,0.6,False,1.068,0
scenario287,right,100,80,0,20,90,60,40,100,1.0,False,0.901,0
scenario288,left,80,100,0,20,-90,0,60,100,0.1,False,2.875,0
scenario289,left,80,20,0,20,-60,40,20,60,0.8,False,1.119,0
scenario290,right,0,100,0,60,0,100,20,40,0.8,False,0.971,0
scenario291,left,40,100,60,20,0,80,100,20,0.8,False,1.097,0
scenario292,right,0,20,20,100,-30,40,20,80,0.2,False,0.767,0
scenario293,right,20,60,60,0,-90,0,80,60,0.2,False,0.891,0
scenario294,left,100,20,100,0,-30,60,80,60,0.2,False,1.18,0
scenario295,right,100,40,20,40,-90,100,20,20,1.0,False,0.81,0
scenario296,right,60,100,40,100,60,0,80,40,0.6,False,0.788,0
scenario297,left,40,20,80,40,-30,40,40,80,0.1,False,1.093,0
scenario298,left,60,40,0,0,30,40,80,40,1.0,False,1.224,0
scenario299,left,80,20,100,20,-90,0,100,60,1.0,False,2.841,0
scenario300,left,40,100,0,60,30,80,40,60,1.0,False,1.213,0
scenario301,right,60,100,20,60,-30,20,40,100,1.0,False,0.959,0
scenario302,right,40,80,40,20,-60,20,40,0,1.0,False,0.883,0
scenario303,right,40,40,100,100,-90,80,0,60,0.8,False,0.859,0
scenario304,left,80,100,60,0,30,20,80,0,0.6,False,1.122,0
