Instances,feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeofDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,collision,min_ttc,algo_safety
scenario288,left,0,100,20,100,30,40,0,60,0.4,0,1.0994987484948435,0
scenario289,left,0,100,20,80,30,40,60,80,0.4,0,1.1313718127878485,0
scenario290,left,0,100,100,80,30,40,0,20,1.0,0,1.223310053258302,0
scenario291,left,40,100,20,80,0,40,0,20,0.4,0,1.063984917843478,0
scenario292,left,0,100,20,80,30,40,80,20,0.6,0,0.9973062594593076,0
scenario293,left,0,20,100,80,30,40,0,20,0.4,0,1.223432353191063,0
scenario294,left,0,0,20,80,30,40,0,100,0.4,0,1.1084180628528053,0
scenario295,left,0,100,20,0,30,40,0,100,0.4,0,1.15089427929842,0
scenario296,left,0,100,40,80,30,40,0,100,0.4,0,1.1218966898112657,0
scenario297,left,0,100,20,80,30,40,0,100,0.0,0,1.1180296610319078,0
scenario298,left,0,100,20,80,60,40,0,100,0.4,0,1.2131066111706326,0
scenario299,left,0,100,20,80,90,40,0,100,0.4,0,1.2330832349376195,0
scenario300,left,80,100,20,80,30,40,60,20,0.4,0,1.1091005303346306,0
scenario301,left,0,100,20,100,30,40,80,20,0.4,0,1.116915041385072,0
scenario302,left,60,100,60,80,30,40,0,20,0.4,0,1.1977188260834863,0
scenario303,left,60,100,20,80,30,20,0,20,0.4,0,1.1854634355131914,0
scenario304,left,40,100,20,80,-30,40,0,20,0.4,0,1.1691445822636886,0
scenario305,left,0,100,60,80,30,40,0,20,0.6,0,1.1164794291999276,0
scenario306,left,0,100,20,80,30,20,0,20,0.6,0,1.193859303063252,0
scenario307,left,0,100,20,60,30,40,60,20,0.4,0,1.1819019712303986,0
scenario308,left,0,80,20,80,30,40,0,20,0.8,0,1.2237620990678573,0
scenario309,left,60,40,20,80,30,40,0,20,0.4,0,1.2179291237349592,0
scenario310,left,0,100,60,100,30,40,0,20,0.4,0,1.011660400236328,0
scenario311,left,0,100,20,100,30,20,0,20,0.4,0,1.1033342739288798,0
scenario312,left,60,100,20,80,30,40,0,20,1.0,0,1.1259697190578617,0
scenario313,left,0,40,20,80,30,40,0,20,0.6,0,1.235820752010412,0
scenario314,left,60,20,20,80,30,40,0,20,0.4,0,1.226794731942218,0
scenario315,left,0,80,20,80,30,40,100,20,0.4,0,1.178879166616707,0
scenario316,left,0,40,20,100,30,40,0,20,0.4,0,1.2030367941137694,0
scenario317,left,0,20,20,80,30,40,0,20,0.6,0,1.211200265948746,0
scenario318,left,0,80,20,80,30,0,0,20,0.4,0,1.1362983758971668,0
scenario319,left,0,100,20,100,30,40,0,20,1.0,0,1.2135457575969817,0
scenario320,left,0,100,20,80,30,40,60,40,0.4,0,1.220269096515037,0
scenario321,left,0,20,20,100,30,40,0,20,0.4,0,1.230574369603478,0
scenario322,left,40,100,20,80,30,80,0,20,0.4,0,1.1929978143119029,0
scenario323,left,40,100,20,80,30,40,0,80,0.4,0,1.1986537358479918,0
scenario324,left,60,100,100,80,30,40,0,20,0.4,0,1.1207140488935097,0
scenario325,left,0,0,20,80,30,40,0,20,0.4,0,1.247726357830221,0
scenario326,left,0,100,20,80,30,40,0,20,0.0,0,1.2098988520081329,0
scenario327,left,0,100,40,80,30,40,0,20,0.4,0,1.0646422531096784,0
scenario328,left,0,100,20,80,60,40,0,20,0.4,0,1.2007337778924327,0
scenario329,left,0,100,20,80,90,40,0,20,0.4,0,1.2145557278687746,0
scenario330,left,0,100,100,80,30,40,0,20,0.6,0,1.110059572244153,0
scenario331,left,0,100,100,100,30,40,0,20,0.4,0,1.1904861686358066,0
scenario332,left,0,100,80,80,30,40,0,20,0.8,0,1.2009873435948406,0
scenario333,left,40,100,20,60,30,40,0,20,0.4,0,1.1594270928283608,0
scenario334,left,0,100,80,80,30,40,100,20,0.4,0,1.2020177342356848,0
scenario335,left,60,100,20,80,30,40,0,20,0.6,0,1.2098201639781865,0
scenario336,left,100,100,20,80,30,40,0,20,0.8,0,1.1973706408393112,0
scenario337,left,0,100,80,80,30,0,0,20,0.4,0,1.131741409137583,0
scenario338,left,60,100,20,100,30,40,0,20,0.4,0,1.2191645453805264,0
scenario339,left,0,100,20,40,0,40,0,20,0.4,0,1.06279682575126,0
scenario340,left,40,100,20,80,30,40,0,40,0.4,0,1.1827556766471303,0
scenario341,left,0,100,20,100,30,40,0,20,0.6,0,1.1242728105119446,0
scenario342,left,0,100,20,40,-30,40,0,20,0.4,0,0.9965001677711182,0
