Row,timeofday,startego,goalego,startother,goalother,roadfriction,fogdensity,precipitation,precipitationdeposits,cloudiness,windintensity,wetness,fogdistance
scenario158,-90,2,0,0,1,0.2,20,60,60,80,100,40,40
scenario159,60,2,0,1,2,0.2,40,40,20,20,0,20,20
scenario160,-30,1,2,0,1,1,100,40,20,60,80,0,0
scenario161,-30,1,2,2,0,1,80,60,100,20,100,20,80
scenario162,-30,2,0,1,2,1,100,0,40,20,40,100,80
scenario163,90,2,0,1,0,0.6,40,100,100,0,0,60,100
scenario164,-60,2,1,0,1,0.8,100,100,40,40,60,60,20
scenario165,30,1,2,0,1,0.8,20,0,0,0,80,60,80
scenario166,30,1,2,0,2,1,20,0,80,0,40,0,60
scenario167,-90,0,1,2,0,0.8,40,80,80,60,40,60,40
scenario168,90,1,2,0,2,0.4,0,60,80,20,80,40,0
scenario169,60,2,0,1,2,0.1,80,0,80,80,0,100,100
scenario170,60,0,1,2,1,1,80,100,20,40,40,20,60
scenario171,-90,2,0,1,2,0.8,60,100,60,0,100,20,60
scenario172,30,0,1,2,0,0.6,0,20,0,0,40,100,20
scenario173,0,1,0,2,0,0.4,20,80,80,60,80,20,100
scenario174,-90,2,0,1,0,0.8,0,40,40,20,20,40,100
scenario175,60,1,2,0,2,0.6,40,100,80,0,100,40,20
scenario176,60,0,1,2,0,0.1,40,20,20,80,60,20,80
scenario177,-60,0,1,2,0,0.8,100,80,60,0,60,100,100
scenario178,-30,2,1,0,1,0.4,60,0,60,60,80,60,20
scenario179,-90,2,0,1,2,0.6,80,60,40,80,20,20,80
scenario180,-30,0,2,1,2,0.8,40,20,20,0,60,60,0
scenario181,-90,0,2,1,2,1,60,0,60,60,60,60,100
scenario182,-60,0,1,2,1,0.2,0,60,20,100,80,80,80
scenario183,90,0,2,1,2,0.4,20,0,100,80,100,80,20
scenario184,60,2,0,0,1,0.2,80,60,0,60,80,40,40
scenario185,-90,1,2,2,0,0.2,60,100,100,0,20,0,0
scenario186,30,0,1,1,2,0.8,100,60,100,60,60,40,60
scenario187,-90,2,0,0,1,0.6,0,100,60,20,40,80,60
scenario188,90,1,0,2,0,1,60,20,80,100,80,20,80
scenario189,-30,0,2,1,2,1,40,40,0,80,60,100,80
scenario190,0,2,0,1,0,1,40,60,100,60,40,80,40
scenario191,30,0,1,2,1,0.1,20,100,60,40,0,20,0
scenario192,90,2,1,0,1,0.2,20,40,80,60,0,40,60
scenario193,30,1,2,2,0,0.2,60,80,20,20,0,100,0
scenario194,0,1,0,2,0,0.8,40,0,80,40,60,40,0
scenario195,0,0,1,1,2,0.1,20,20,20,20,20,80,100
scenario196,-30,0,2,1,2,0.2,0,40,80,0,20,80,20
scenario197,-90,2,1,0,1,1,60,80,40,0,40,40,20
scenario198,-90,1,2,0,1,1,0,40,80,40,100,0,40
scenario199,-30,0,1,2,0,0.4,100,0,20,100,20,40,40
scenario200,60,2,0,1,0,0.4,80,0,0,20,40,0,0
scenario201,-90,2,0,1,0,0.2,80,20,60,40,80,0,100
scenario202,0,1,2,2,0,0.2,60,60,40,60,0,60,0
scenario203,90,1,0,2,0,0.2,100,40,40,100,80,100,60
scenario204,30,2,0,1,0,0.6,100,20,60,20,60,0,40
scenario205,0,0,2,1,2,0.1,0,80,100,0,0,40,40
scenario206,90,2,0,1,2,0.1,80,60,20,0,100,0,80
scenario207,-90,1,0,2,0,0.1,100,20,40,80,0,100,40
scenario208,60,1,2,0,2,0.8,80,60,60,100,20,80,80
scenario209,30,0,1,2,1,1,20,80,40,100,100,60,60
scenario210,0,1,0,2,0,0.4,60,100,20,80,0,80,60
scenario211,-30,2,0,1,0,0.8,60,40,40,60,20,20,60
scenario212,0,1,2,0,1,0.4,100,100,20,100,40,60,100
scenario213,-30,2,1,0,1,1,80,40,40,80,80,80,100
scenario214,-90,1,0,2,0,1,80,100,100,100,60,80,20
scenario215,90,1,2,2,0,0.2,0,60,0,40,60,60,80
scenario216,-60,1,2,0,2,0.4,100,60,100,20,0,80,60
scenario217,90,1,2,0,2,1,20,80,40,0,80,100,40
scenario218,-60,1,0,2,0,0.8,60,0,20,20,20,20,0
scenario219,30,1,2,0,1,1,40,60,100,80,0,100,40
scenario220,-90,2,1,0,1,0.8,80,80,100,100,80,40,0
scenario221,0,2,0,1,0,0.2,20,0,100,80,20,20,60
scenario222,30,1,2,2,0,0.4,20,40,60,60,40,40,0
scenario223,-60,2,0,0,1,0.4,20,40,40,0,40,20,40
scenario224,-90,1,2,0,2,0.4,0,40,40,60,60,20,0
scenario225,30,0,1,1,2,0.1,0,60,60,60,100,20,40
scenario226,-90,0,1,2,1,0.6,20,20,0,20,80,60,0
scenario227,-90,1,2,0,2,0.8,100,20,100,0,40,20,80
scenario228,-90,1,2,0,2,0.1,0,40,0,80,40,20,20
scenario229,-90,2,0,1,0,0.8,0,60,20,40,0,0,20
scenario230,90,0,1,2,1,0.4,80,40,100,40,40,40,100
scenario231,60,0,1,2,1,1,20,40,60,20,100,40,80
scenario232,-90,0,1,1,2,0.2,40,20,40,60,100,80,60
scenario233,-60,0,1,2,1,0.4,80,20,100,100,40,100,20
scenario234,30,0,2,1,2,0.1,40,100,20,40,80,40,60
scenario235,-30,1,2,0,2,1,40,20,60,100,0,20,20
scenario236,-60,2,0,0,1,0.2,100,60,80,80,60,80,0
scenario237,-60,2,1,0,1,0.6,60,0,80,60,40,0,100
scenario238,-60,2,0,1,0,1,40,80,40,20,80,40,40
scenario239,90,1,2,0,2,0.8,20,60,60,60,20,100,100
scenario240,-30,1,2,0,1,0.1,0,80,40,40,100,20,100
scenario241,60,1,0,2,0,0.1,40,60,60,20,80,60,60
scenario242,60,1,2,0,2,1,60,0,0,40,100,0,0
scenario243,-30,2,0,0,1,0.6,40,0,0,40,0,0,40
scenario244,0,1,2,0,2,0.4,0,100,60,40,20,60,20
scenario245,0,0,1,2,0,0.1,80,60,100,0,80,60,20
scenario246,-90,2,0,1,0,0.1,20,0,100,20,100,0,80
scenario247,-30,2,0,1,2,0.8,20,20,0,40,100,100,60
scenario248,90,1,2,2,0,0.6,100,0,60,20,0,0,80
scenario249,60,1,2,0,2,0.8,20,100,20,100,100,0,100
scenario250,90,0,1,2,1,1,40,60,20,80,40,0,20
scenario251,-30,0,1,2,0,0.8,0,40,60,40,100,80,40
scenario252,30,2,0,1,0,0.2,40,80,60,0,40,80,80
scenario253,-30,0,1,2,1,0.1,40,60,100,40,20,100,20
scenario254,-30,1,2,0,2,0.2,20,0,40,20,0,0,100
scenario255,-90,0,1,2,1,0.6,20,80,20,60,60,40,40
scenario256,0,2,1,0,1,0.2,40,40,80,100,20,100,40
scenario257,30,0,1,1,2,0.4,20,20,0,80,20,80,20
scenario258,90,1,2,2,0,0.1,100,80,80,40,40,60,0
scenario259,90,1,2,0,2,0.6,20,100,20,80,80,100,20
scenario260,-90,0,1,1,2,0.1,60,0,60,80,80,100,0
scenario261,60,0,1,1,2,0.4,100,80,80,40,80,40,20
scenario262,-60,1,2,0,2,1,0,80,40,100,60,80,0
scenario263,90,2,0,1,0,1,80,80,80,60,60,60,20
scenario264,30,2,0,0,1,0.8,0,40,60,100,80,100,20
scenario265,30,0,1,2,1,0.4,100,100,100,0,80,0,100
scenario266,-30,0,1,2,1,1,60,100,0,60,20,80,80
scenario267,-60,0,1,2,0,0.1,100,0,100,0,80,20,100
scenario268,60,0,1,2,0,0.8,0,60,40,0,0,40,60
scenario269,-60,1,2,0,2,1,80,20,100,60,0,40,80
scenario270,-60,1,0,2,0,0.2,40,40,20,80,100,100,100
scenario271,0,1,2,0,1,0.2,40,100,40,60,60,20,100
scenario272,-30,0,1,2,1,0.4,80,100,80,40,60,40,60
scenario273,60,1,2,0,1,0.2,80,80,80,80,40,100,80
scenario274,60,2,0,0,1,0.1,20,40,80,100,60,60,40
scenario275,-90,2,0,1,0,0.6,80,0,20,60,100,80,0
scenario276,-60,2,0,1,0,0.1,40,20,60,60,80,0,0
scenario277,0,0,1,2,1,0.4,80,20,0,100,20,40,0
scenario278,-30,2,0,1,0,0.2,60,0,40,80,100,40,80
scenario279,90,1,0,2,0,1,80,0,40,100,60,40,40
scenario280,-90,2,0,0,1,0.8,80,80,0,80,20,60,80
scenario281,90,2,0,1,2,0.8,40,20,40,80,80,0,0
scenario282,-30,2,1,0,1,0.8,100,40,80,20,100,20,0
scenario283,30,1,0,2,0,0.6,100,0,80,80,0,20,60
scenario284,-30,2,0,0,1,0.4,20,20,100,100,0,0,80
scenario285,60,1,2,0,2,0.6,0,100,100,60,20,20,20
scenario286,90,1,0,2,0,0.8,40,40,20,20,60,80,60
scenario287,-90,2,0,1,0,0.2,60,60,0,0,40,100,100
scenario288,90,2,0,1,2,0.1,20,40,0,60,100,60,0
scenario289,30,1,2,0,2,0.2,80,80,0,100,0,20,100
scenario290,-30,2,1,0,1,0.4,60,60,0,20,60,80,20
scenario291,60,2,0,1,0,0.8,20,0,80,20,80,80,40
scenario292,90,2,1,0,1,0.6,60,80,40,20,20,60,100
scenario293,-60,0,2,1,2,0.6,60,100,20,100,0,100,80
scenario294,90,2,0,0,1,0.8,0,80,80,0,20,100,60
scenario295,-60,0,2,1,2,0.4,60,100,40,40,60,0,80
scenario296,-30,1,2,0,1,0.4,80,20,60,20,100,60,100
scenario297,-60,1,2,0,2,0.1,0,100,80,80,80,100,40
scenario298,60,2,0,0,1,0.6,100,0,20,0,60,40,80
scenario299,-60,1,2,0,2,0.2,40,100,0,0,80,60,20
scenario300,-60,2,0,1,0,1,20,100,100,80,40,60,0
scenario301,-60,0,1,2,0,0.1,80,40,40,20,40,40,60
scenario302,0,2,0,1,2,0.8,0,80,80,20,40,20,20
scenario303,-60,2,0,1,0,0.2,100,40,60,60,20,0,20
scenario304,30,2,1,0,1,0.1,60,20,20,100,100,40,60
scenario305,-90,1,2,2,0,0.2,60,80,60,20,100,20,20
scenario306,-30,1,2,0,1,0.2,80,100,0,0,100,20,0
