instances,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,visibility,roadsurface,vehiclestability,pathinteraction,probability,feature_startego,feature_goalego,feature_startother,feature_goalother,collision,min_ttc,algo_safety
scenario98,40,20,0,0,80,0.4,0,100,0,100,40,c2,0.00161,0,1,2,0,0,4.0829978724457625,0
scenario99,20,100,0,20,40,0.8,80,20,0,100,40,c4,0.00148,2,0,1,2,1,0.0,1
scenario100,80,80,0,0,0,0.8,0,100,0,100,60,c1,0.00142,1,2,0,2,0,5920.935931689624,0
scenario101,20,80,20,0,0,0.8,0,100,0,100,60,c2,0.00163,2,0,0,1,0,3.468671308100028,0
scenario102,20,60,0,0,80,0.4,80,20,0,100,60,c4,0.00136,1,0,2,0,1,0.0,1
scenario103,40,60,0,0,80,0.4,0,100,0,100,80,c1,0.00145,0,2,1,2,0,9999.0,0
scenario104,40,20,0,0,0,0.8,80,20,0,100,80,c2,0.00126,0,1,2,1,0,3.807848416677931,0
scenario105,40,80,0,0,80,0.4,0,100,0,100,80,c4,0.00153,1,2,2,0,0,9999.0,0
scenario106,60,100,0,0,80,0.4,0,100,0,100,100,c1,0.0014,0,1,1,2,0,9999.0,0
scenario107,20,40,0,40,40,0.8,0,100,0,100,100,c2,0.00278,2,1,0,1,0,3.066420962455313,0
scenario108,20,80,0,40,40,0.8,0,100,0,100,100,c4,0.00236,2,0,1,0,0,2.4333028170617474,0
scenario109,20,60,0,40,40,0.6,0,100,20,0,0,c1,0.00146,1,2,0,1,0,4751.934687996743,0
scenario110,20,20,0,40,40,0.6,0,100,20,0,0,c2,0.00149,0,1,2,0,0,4.060027550724044,0
scenario111,20,100,0,40,40,0.6,0,100,20,0,0,c4,0.00135,2,0,1,2,1,0.0,1
scenario112,20,20,0,100,40,0.6,0,100,20,0,20,c1,0.00132,1,2,0,2,0,1346.9041453007446,0
scenario113,20,40,0,0,100,0.4,0,100,20,0,20,c2,0.00135,2,0,0,1,0,3.120435533864764,0
scenario114,20,20,0,0,100,0.4,0,100,20,0,20,c4,0.00142,1,0,2,0,0,9999.0,0
scenario115,20,40,0,0,0,0.8,0,100,20,0,40,c1,0.05996,0,2,1,2,0,9999.0,0
scenario116,20,40,0,0,0,0.8,0,100,20,0,40,c2,0.05925,0,1,2,1,0,4.866794841123857,0
scenario117,20,40,0,0,0,0.8,0,100,20,0,40,c4,0.06,1,2,2,0,0,9999.0,0
scenario118,20,40,0,0,0,0.8,0,100,20,0,60,c1,0.05824,0,1,1,2,0,9999.0,0
scenario119,20,40,0,0,0,0.8,0,100,20,0,60,c2,0.06067,2,1,0,1,0,3.391806799551293,0
scenario120,20,40,0,0,0,0.8,0,100,20,0,60,c4,0.05977,2,0,1,0,0,3.322727112121953,0
scenario121,20,40,0,0,0,0.8,0,100,20,0,80,c1,0.06031,1,2,0,1,0,1067.1110757980512,0
scenario122,20,40,0,0,0,0.8,0,100,20,0,80,c2,0.05964,0,1,2,0,0,2.2495233864120694,0
