instances,feature_timeofday,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,feature_direction,visibility,roadsurface,vehiclestability,probability,collision,min_ttc,run_duration,algo_safety
scenario83,-30,20,100,40,0,0,0.8,20,80,1,40,20,80,1e-05,0,0.8135865385351947,27.01958584785461,0
scenario84,-90,20,80,0,80,60,0.6,80,20,0,40,20,100,1e-05,0,1.0373719034195577,22.36853098869324,0
scenario85,30,40,40,20,60,100,0.6,40,60,1,40,40,0,1e-05,0,0.9444002380635346,26.41754651069641,0
scenario86,-90,20,20,0,0,60,0.1,0,100,0,40,40,20,1e-05,0,0.989495372381658,22.36996936798096,0
scenario87,-30,0,100,0,0,0,0.8,80,20,1,40,40,40,1e-05,0,0.9883150187670808,26.838618516922,0
scenario88,-30,60,100,60,0,80,0.4,100,0,0,40,40,60,1e-05,0,1.1558524483625607,22.25315403938293,0
scenario89,30,20,80,0,40,60,0.6,100,0,0,40,40,80,1e-05,0,1.1187987580759644,21.99711537361145,0
scenario90,-60,80,40,0,0,0,0.8,80,20,0,40,40,100,1e-05,0,1.0522400856916545,22.422860145568848,0
scenario91,-60,60,80,0,80,100,0.1,0,100,0,40,60,0,1e-05,0,0.956597781358346,22.313903331756592,0
scenario92,-90,40,100,40,0,80,0.6,0,100,1,40,60,20,1e-05,0,5.03839378856502,64.82520484924316,0
scenario93,0,80,20,0,0,0,0.8,80,20,1,40,60,40,1e-05,0,0.8667081833552898,26.87135338783264,0
scenario94,90,60,100,0,0,80,0.8,0,100,0,40,60,60,1e-05,0,1.189410284855617,22.01483464241028,0
scenario95,-60,80,40,0,60,60,0.6,80,20,0,40,60,80,1e-05,0,1.043325271949292,22.427973985672,0
scenario96,-30,40,80,40,0,80,0.4,40,60,1,40,60,100,1e-05,0,0.9658981529778772,27.01784372329712,0
scenario97,30,80,60,0,0,80,0.8,80,20,1,40,80,0,1e-05,0,0.8539348183736862,26.3454167842865,0
scenario98,0,40,20,20,40,40,0.6,0,100,1,40,80,20,1e-05,0,0.8502252964149166,27.2434470653534,0
scenario99,30,80,100,0,100,40,0.4,80,20,1,40,80,40,1e-05,0,0.7566920745546111,26.287625551223755,0
scenario100,90,20,40,40,60,40,0.6,100,0,1,40,80,60,1e-05,0,0.7732258230233967,26.27519178390503,0
scenario101,-30,60,20,100,40,40,0.8,20,80,0,40,80,80,1e-05,0,0.9874839533508304,22.760321140289307,0
scenario102,60,20,100,40,20,40,0.8,40,60,1,40,80,100,1e-05,0,0.7852976414436587,26.305540800094604,0
scenario103,-90,40,40,0,60,60,0.6,0,100,1,40,100,0,1e-05,0,0.8508313005325353,25.86759090423584,0
scenario104,0,40,60,60,100,100,0.6,100,0,0,40,100,20,1e-05,0,1.0863614877682823,22.5540783405304,0
scenario105,-60,20,60,40,0,100,0.2,40,20,0,40,100,40,1e-05,0,1.148273362041931,22.34032249450684,0
scenario106,-30,20,60,0,0,0,0.8,40,60,0,40,100,60,1e-05,0,1.188688625426934,24.919036388397217,0
scenario107,30,40,40,100,0,80,0.4,80,20,0,40,100,80,1e-05,0,1.1054574189547677,21.97196650505066,0
scenario108,30,40,80,60,0,80,0.4,0,100,1,40,100,100,1e-05,0,0.9529628439884786,26.741466283798218,0
scenario109,30,60,20,0,0,0,0.8,40,60,0,60,0,0,1e-05,0,1.177785954835154,22.19101071357727,0
scenario110,-90,40,40,80,60,40,0.6,40,60,1,60,0,20,1e-05,0,0.8044217789550693,26.06440377235413,0
