Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_TimeOfDay,feature_StartEgo,collision,min_ttc,algo_safety
scenario91,c4,base,60,0.4,80,left,80,80,0,base,100,60,60,right,0,1.6675898260514843,0
scenario92,c1,right,0,0.8,80,base_left_lane,60,100,20,left,60,40,-60,left,0,0.9261457964923706,0
scenario93,c2,base,40,0.1,0,base_left_lane,40,20,40,left,0,60,30,right,0,2.1278949297120286,0
scenario94,c1,right,100,0.1,20,left,0,20,60,right,40,0,0,base,0,1.916662140384844,0
scenario95,c4,right,80,0.2,20,right,80,0,40,base,20,0,-30,left,1,9999.0,1
scenario96,c2,base,40,0.4,40,base_left_lane,40,20,100,left,20,0,60,right,0,2.118596799148061,0
scenario97,c2,base,40,0.8,40,base_left_lane,60,20,80,left,20,0,-90,right,1,9999.0,1
scenario98,c4,base,40,0.4,20,right,80,60,60,base,60,20,0,left,0,2.405635682400262,0
scenario99,c4,base,40,0.4,100,right,100,0,80,base,60,60,30,left,0,2.8464242884327486,0
scenario100,c2,base,100,0.6,40,base_left_lane,20,0,60,left,60,20,60,right,0,2.9607504004500464,0
scenario101,c2,left,100,0.1,80,right,0,40,40,base,0,80,-60,base,0,4.180680831048253,0
scenario102,c1,right,100,0.1,100,left,40,0,40,right,0,100,-90,base,0,1.7527949150109747,0
scenario103,c4,right,60,0.8,100,right,100,40,80,base,20,0,90,left,0,2.6021553117233918,0
scenario104,c2,left,80,0.1,80,right,60,20,40,base,40,0,-60,base,0,3.6560919798550615,0
scenario105,c4,base,60,0.1,20,right,0,40,60,base,80,0,-60,left,0,2.318568789367613,0
scenario106,c4,base,80,0.4,60,right,20,80,80,base,100,80,-90,left,0,3.7716497867541694,0
scenario107,c1,left,100,0.6,20,left,60,80,60,right,40,20,-60,base,0,1.4735418765735575,0
scenario108,c1,right,100,0.1,60,left,20,60,20,right,60,20,0,base,0,2.021953936664634,0
scenario109,c2,left,20,0.4,20,base_left_lane,20,20,40,left,80,40,0,right,0,2.095661587833833,0
scenario110,c1,right,100,0.6,100,base,100,80,100,right,60,0,90,left,1,0.6640739392185651,1
scenario111,c4,base,60,0.2,40,left,100,40,100,base,40,60,90,right,0,2.638623234031359,0
scenario112,c1,left,100,0.2,0,left,40,60,20,right,0,60,60,base,1,2.7542880850801974,1
scenario113,c4,base,80,0.1,60,right,60,100,100,base,100,60,0,left,0,1.442162099567256,0
scenario114,c4,right,0,0.2,20,right,40,0,60,base,80,80,0,left,1,14.624946586895469,1
scenario115,c1,left,0,0.8,80,left,0,80,100,right,60,0,-90,base,0,1.818553390269092,0
scenario116,c2,left,0,0.6,0,right,80,40,40,base,0,0,-30,base,0,4.28792499022086,0
scenario117,c1,right,0,0.6,80,left,60,20,0,right,60,40,-90,base,0,1.947442515343936,0
scenario118,c1,left,100,0.2,60,left,20,0,60,right,100,0,-30,base,1,1.8151524216416863,1
scenario119,c4,base,60,1.0,40,right,40,100,40,base,20,80,90,left,0,1.7183578635745085,0
scenario120,c4,base,80,0.8,100,right,0,100,60,base,40,80,-90,left,0,3.38064971976255,0
scenario121,c4,base,20,0.1,100,left,40,60,20,base,40,0,90,right,1,2.189981186590854,1
scenario122,c2,base,80,0.4,20,base_left_lane,80,80,60,left,60,40,0,right,0,2.368931357360598,0
scenario123,c2,base,20,0.2,20,base_left_lane,80,60,80,left,0,40,60,right,0,1.5017201893803347,0
scenario124,c4,base,20,0.4,40,right,100,0,100,base,60,40,-30,left,0,1.5975675862919732,0
scenario125,c4,base,0,0.8,80,right,40,80,20,base,0,60,-60,left,0,1.5175726732941253,0
scenario126,c2,left,100,1.0,80,right,60,20,20,left,100,100,60,base,0,4.255569447551954,0
scenario127,c4,base,100,0.6,100,left,20,40,80,base,40,80,-30,right,0,1.556394193703655,0
scenario128,c1,left,40,0.1,100,left,100,80,100,right,40,100,90,base,1,9999.0,1
scenario129,c4,base,60,0.8,60,right,40,20,20,base,0,80,90,left,0,1.6627928775466954,0
scenario130,c2,base,40,0.8,20,base_left_lane,60,100,60,left,20,0,-60,right,0,0.9374250348916384,0
scenario131,c4,base,20,0.4,20,right,0,20,20,base,0,20,90,left,0,1.878370322829384,0
scenario132,c2,left,60,0.2,40,right,20,20,0,base,100,60,-30,base,0,3.733156144967263,0
scenario133,c1,right,80,0.4,40,left,0,80,100,right,80,0,60,base,0,1.932084026757473,0
scenario134,c4,base,60,0.1,20,left,20,100,100,right,40,0,0,right,0,2.0034997063358304,0
scenario135,c2,left,60,0.2,60,base_left_lane,40,80,0,left,60,0,30,right,0,2.959240521471627,0
scenario136,c4,base,40,0.1,80,left,60,0,40,right,20,40,30,right,0,1.742532000419354,0
scenario137,c2,left,40,0.4,40,base_left_lane,20,60,80,left,0,20,30,right,0,2.285541268226179,0
scenario138,c1,right,40,1.0,100,left,40,40,0,right,100,20,-60,base,0,1.953403114759107,0
scenario139,c4,base,0,1.0,60,left,0,20,80,base,100,0,30,right,0,1.697372373311958,0
scenario140,c2,left,0,0.2,60,base_left_lane,20,100,0,left,60,40,60,right,0,3.5070385603534278,0
scenario141,c1,right,20,0.4,20,base_left_lane,0,100,40,left,60,0,0,left,0,1.3271045021901364,0
scenario142,c1,right,40,0.2,40,base_left_lane,100,60,40,left,100,60,0,left,0,1.1353304423871096,0
scenario143,c2,left,60,0.1,80,right,0,40,80,base,20,80,-30,base,0,3.6469687931376,0
scenario144,c1,left,40,0.4,40,left,100,80,60,right,100,100,90,base,1,0.4290681850822668,1
scenario145,c4,base,40,1.0,60,left,40,60,40,base,80,40,60,right,0,2.8621024595839986,0
scenario146,c2,left,60,0.4,100,base_left_lane,100,100,20,left,40,60,-30,right,0,0.9148058000774886,0
scenario147,c2,base,40,1.0,40,base_left_lane,20,80,60,left,20,100,90,right,0,0.6176989755048568,0
scenario148,c2,left,100,0.4,80,base_left_lane,80,80,40,left,80,80,0,right,0,3.038997257564478,0
scenario149,c2,left,60,0.2,20,base_left_lane,80,20,100,left,20,20,30,right,0,2.1256744620691856,0
scenario150,c2,left,0,0.2,40,base_left_lane,20,60,0,left,20,20,-60,right,0,3.121681867640069,0
scenario151,c2,base,60,0.2,0,base_left_lane,40,60,80,left,60,80,60,right,0,2.178341518796325,0
scenario152,c2,base,60,0.1,100,base_left_lane,40,40,0,left,60,80,90,right,0,2.729986246716504,0
scenario153,c4,base,40,0.6,40,left,80,40,40,right,80,20,30,right,0,2.145329554711451,0
scenario154,c2,left,80,0.4,20,base_left_lane,60,20,20,left,80,80,0,right,0,9999.0,0
scenario155,c1,right,80,0.8,20,left,40,60,80,right,0,40,30,base,0,3.1133663444038837,0
scenario156,c4,base,40,0.8,60,left,60,60,100,base,20,60,0,right,0,3.840611271179303,0
scenario157,c4,base,40,0.6,20,left,60,80,0,right,0,100,-90,right,0,2.1193485935057352,0
scenario158,c1,right,100,0.1,80,base_left_lane,20,40,60,left,60,80,90,left,0,1.188002037447877,0
scenario159,c2,base,60,0.2,60,base_left_lane,40,40,40,left,0,100,90,right,0,3.1280632716289376,0
scenario160,c2,left,100,1.0,20,base_left_lane,20,0,60,left,80,80,-30,right,0,3.003730704549189,0
scenario161,c2,left,80,0.1,40,base_left_lane,20,100,40,left,40,80,0,right,0,3.188851992319986,0
scenario162,c4,base,40,0.2,20,right,100,0,100,base,80,60,-30,left,0,3.0118209402240645,0
scenario163,c4,base,20,0.8,0,left,0,100,20,base,80,100,90,right,0,3.47517117332078,0
scenario164,c2,base,20,0.8,0,base_left_lane,40,80,60,left,60,20,60,right,0,2.020647258733276,0
scenario165,c1,right,80,0.8,60,left,0,60,60,right,20,60,60,base,0,2.883018117791224,0
scenario166,c2,left,0,0.6,100,base_left_lane,60,40,100,left,100,40,-60,right,0,2.6619029709997437,0
scenario167,c1,right,0,0.8,40,left,80,0,80,right,0,20,-30,base,0,2.094332664073045,0
scenario168,c1,right,60,1.0,40,left,60,80,60,right,40,80,30,base,0,3.3307521693392967,0
scenario169,c4,right,60,1.0,60,right,60,20,100,base,100,40,-30,left,1,9999.0,1
scenario170,c1,left,60,0.8,40,left,60,40,20,right,100,80,60,base,0,2.9239160969407934,0
scenario171,c4,base,0,0.8,40,right,80,0,100,base,80,40,60,left,0,2.361918731152456,0
scenario172,c2,left,60,0.4,20,base_left_lane,60,80,0,left,0,60,30,right,0,1.9389932171584143,0
scenario173,c4,right,40,0.6,100,right,60,0,20,base,80,40,-90,left,0,9999.0,0
scenario174,c1,right,40,0.4,100,base_left_lane,100,60,20,left,40,40,0,left,0,907.6036754442722,0
scenario175,c2,left,80,0.8,20,right,0,80,20,base,60,20,-90,base,0,4.3526751263491175,0
scenario176,c4,base,100,0.6,80,right,0,60,40,base,60,20,30,left,0,3.033388195430212,0
scenario177,c2,base,80,0.6,80,base_left_lane,40,0,0,left,60,0,60,right,0,2.677192511174354,0
scenario178,c1,right,20,0.6,40,base,60,0,20,right,0,60,90,left,1,1.1068854283080214,1
scenario179,c1,right,40,0.6,100,left,60,0,100,right,40,20,-60,base,0,1.739609017634797,0
scenario180,c1,right,80,0.1,40,left,0,60,0,right,20,40,60,base,0,2.3233230331787755,0
scenario181,c1,right,60,0.8,100,left,20,60,60,right,80,20,90,base,0,3.010893951749082,0
scenario182,c4,base,20,0.6,60,left,0,80,100,base,60,60,0,right,0,2.7806829910739586,0
scenario183,c4,base,60,0.8,0,right,80,100,60,base,20,0,-90,left,0,2.437428451590577,0
scenario184,c4,base,0,0.6,60,left,20,40,60,base,0,20,30,right,0,2.8863000452403527,0
scenario185,c1,left,40,0.2,80,left,60,100,80,right,60,20,60,base,0,1.284863206512136,0
scenario186,c2,base,100,0.2,0,base_left_lane,80,100,0,left,80,40,0,right,0,2.99845636922799,0
scenario187,c1,right,0,0.2,20,left,80,0,40,right,80,100,90,base,0,1.9856951204882591,0
scenario188,c1,right,0,1.0,60,left,20,20,20,right,40,20,30,base,0,1.847435761471325,0
scenario189,c1,right,100,0.2,100,left,80,100,60,right,100,100,0,base,0,2.1032459580562706,0
scenario190,c4,base,0,1.0,80,right,100,0,60,base,100,60,-60,left,0,3.434199126839735,0
