Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_TimeOfDay,feature_StartEgo,collision,min_ttc,algo_safety
scenario86,c4,right,0,0.6,60,right,0,0,40,base,60,60,-30,left,1,9999.0,1
scenario87,c1,left,40,0.8,40,left,20,20,0,right,20,0,-90,base,1,9999.0,1
scenario88,c2,left,60,1.0,80,right,40,0,20,base,40,20,-90,base,0,4.213814784799862,0
scenario89,c1,right,0,1.0,0,left,40,80,80,right,0,40,-60,base,0,2.1602097391021955,0
scenario90,c1,left,0,0.6,100,left,100,80,0,right,40,80,60,base,0,2.815782187721496,0
scenario91,c4,base,20,0.4,20,left,100,60,100,base,100,0,-60,right,0,2.5730606200442634,0
scenario92,c1,right,80,0.6,100,base_left_lane,60,40,20,left,100,100,90,left,0,0.6715789432403556,0
scenario93,c4,base,60,0.6,100,left,60,20,80,base,0,0,30,right,0,1.2627209821783492,0
scenario94,c2,left,0,0.2,0,right,80,60,0,left,60,0,-30,base,0,4.615290424685935,0
scenario95,c2,base,60,0.4,80,base_left_lane,80,100,20,left,40,80,30,right,0,2.6823379165631427,0
scenario96,c2,left,60,0.1,80,right,80,80,60,base,0,40,60,base,0,3.1730423386769657,0
scenario97,c4,base,20,0.4,40,left,0,20,60,right,0,60,60,right,0,1.7653298570324336,0
scenario98,c1,right,20,0.1,40,left,60,100,20,right,40,0,-30,base,0,1.929380180068688,0
scenario99,c1,right,80,0.2,80,base_left_lane,20,80,0,left,20,0,-30,left,0,9999.0,0
scenario100,c2,left,40,0.2,40,right,60,40,40,base,100,40,-90,base,0,4.116558018769258,0
scenario101,c2,left,100,0.2,100,right,40,80,80,left,40,100,-30,base,0,3.817602039745122,0
scenario102,c1,left,0,0.2,0,left,20,40,100,right,0,0,30,base,0,1.1203579705774478,0
scenario103,c4,base,100,1.0,40,left,100,80,60,base,60,60,-30,right,0,2.423234502621016,0
scenario104,c2,base,80,0.1,40,base_left_lane,0,100,80,left,60,40,90,right,0,3.072684232322201,0
scenario105,c4,base,0,0.4,80,left,0,100,20,right,40,100,90,right,0,1.1876852514556206,0
scenario106,c2,left,80,0.4,100,base_left_lane,100,100,20,left,60,0,30,right,0,2.364818234206566,0
scenario107,c1,right,60,1.0,0,left,0,80,40,right,100,100,-90,base,0,2.67333631536101,0
scenario108,c1,right,0,0.1,60,base_left_lane,60,0,40,left,0,100,60,left,0,0.8781884424303094,0
scenario109,c2,left,60,0.2,40,right,40,40,0,left,60,40,60,base,0,4.490420327726584,0
scenario110,c4,base,20,0.4,80,right,40,60,40,base,20,40,90,left,0,2.028467325166099,0
scenario111,c1,right,0,0.6,80,base,60,100,20,right,100,100,0,left,0,2.2798172586823693,0
scenario112,c1,right,0,0.8,60,left,0,40,60,right,80,80,30,base,0,1.673937592235818,0
scenario113,c1,right,100,0.4,40,base_left_lane,40,60,20,left,0,40,-30,left,0,0.8696758906915929,0
scenario114,c4,base,80,0.1,20,left,0,100,100,base,60,0,30,right,0,2.6243140601732664,0
scenario115,c1,right,80,0.6,100,base,60,0,100,right,100,0,60,left,0,2.8990882949770835,0
scenario116,c2,left,80,0.8,60,right,100,40,0,base,20,20,-90,base,0,3.979077256995328,0
scenario117,c2,base,100,1.0,80,base_left_lane,80,20,0,left,40,80,-90,right,1,9999.0,1
scenario118,c4,base,20,0.1,100,right,100,40,100,base,40,100,-30,left,0,2.9058808158678087,0
scenario119,c2,left,100,0.1,20,right,60,100,20,base,100,20,-60,base,0,3.39628588521684,0
scenario120,c4,base,100,0.4,20,left,60,40,80,base,60,100,60,right,0,2.662322048904961,0
scenario121,c4,base,80,0.2,20,left,0,0,40,base,20,0,-30,right,0,3.619595422983626,0
scenario122,c4,base,40,1.0,100,left,0,20,100,right,100,40,0,right,0,1.7899530351341977,0
scenario123,c2,left,100,0.2,0,right,40,80,20,left,0,20,0,base,0,4.38332406893946,0
scenario124,c1,right,0,0.6,0,base,20,60,100,right,60,40,-60,left,0,1.55815622345621,0
scenario125,c1,left,60,0.6,40,left,0,20,20,right,60,20,30,base,0,1.9114084249493075,0
scenario126,c2,base,20,1.0,40,base_left_lane,0,40,20,left,80,60,30,right,0,2.798182890368621,0
scenario127,c1,right,40,0.8,80,base_left_lane,60,0,100,left,60,0,30,left,0,1.0924779021115305,0
scenario128,c2,left,40,1.0,20,right,40,60,80,left,0,60,-90,base,0,4.03168332021279,0
scenario129,c4,base,60,0.6,60,right,20,80,0,base,20,80,0,left,0,9999.0,0
scenario130,c2,base,20,1.0,100,base_left_lane,100,0,80,left,40,60,-90,right,0,2.435524011561032,0
scenario131,c2,base,60,0.6,0,base_left_lane,40,100,40,left,40,20,90,right,0,2.8304636321970107,0
scenario132,c1,right,60,1.0,0,base_left_lane,0,80,60,left,0,60,-30,left,0,0.894091266461022,0
scenario133,c4,base,40,0.2,40,left,60,100,100,right,40,80,60,right,0,1.7440151408546078,0
scenario134,c4,right,40,0.2,20,right,80,100,80,base,80,40,60,left,0,3.479574266911349,0
scenario135,c4,base,40,0.8,100,left,80,40,80,right,60,80,90,right,0,1.175812674065405,0
scenario136,c1,left,0,0.2,60,left,60,0,60,right,100,100,-90,base,1,9999.0,1
scenario137,c2,base,40,0.6,40,base_left_lane,60,0,80,left,80,100,-60,right,1,9999.0,1
scenario138,c4,right,0,0.1,20,right,40,80,80,base,0,80,90,left,0,1.8261912149074613,0
scenario139,c4,right,80,0.8,40,right,40,40,0,base,0,80,0,left,0,9999.0,0
scenario140,c1,right,60,0.2,80,left,100,100,0,right,20,100,-30,base,0,2.946938587059646,0
scenario141,c1,right,100,0.2,80,base,20,20,60,right,100,60,0,left,0,2.0976857927830377,0
scenario142,c1,left,20,0.2,60,left,40,100,60,right,20,20,30,base,0,1.6840743600235688,0
scenario143,c1,right,0,0.1,80,left,20,100,80,right,100,0,-60,base,0,2.189906682658461,0
scenario144,c4,base,100,0.8,40,left,80,100,0,right,20,100,90,right,0,1.825786913132956,0
scenario145,c2,base,100,1.0,60,base_left_lane,20,0,100,left,0,60,30,right,0,3.094511906573128,0
scenario146,c2,left,80,0.4,20,right,60,20,20,base,0,20,-90,base,0,4.385037235083537,0
scenario147,c2,left,20,0.1,40,base_left_lane,100,100,40,left,0,100,-90,right,0,3.004393620496033,0
scenario148,c4,base,40,0.8,60,right,60,40,0,base,100,40,60,left,0,9999.0,0
scenario149,c2,left,40,0.1,40,right,40,40,100,base,80,100,90,base,0,3.356950978137838,0
scenario150,c1,right,60,0.2,20,base_left_lane,80,80,100,left,80,0,60,left,0,1.1091804989648444,0
scenario151,c1,right,20,1.0,0,left,0,80,80,right,20,20,-90,base,0,2.898281503691036,0
scenario152,c2,base,20,0.6,100,base_left_lane,60,0,60,left,100,0,60,right,0,3.048939459500672,0
scenario153,c4,right,60,0.6,60,right,100,40,60,base,40,100,-30,left,0,1.3231913192572893,0
scenario154,c4,base,40,0.2,20,right,20,80,20,base,100,40,-30,left,0,2.537007237837276,0
scenario155,c4,base,60,0.6,60,left,80,0,40,base,20,60,90,right,0,2.675692342473491,0
scenario156,c2,left,0,0.4,0,right,20,60,0,left,20,0,-30,base,0,4.6570515561257295,0
scenario157,c4,right,80,0.2,80,right,60,100,20,base,80,100,0,left,0,1.177481265927752,0
scenario158,c4,base,80,0.1,40,left,0,60,0,base,80,0,-60,right,0,1.1681666842060423,0
scenario159,c4,right,40,0.6,80,right,60,100,20,base,40,0,60,left,0,3.5701326358077763,0
scenario160,c2,base,60,0.6,80,base_left_lane,100,20,100,left,20,40,30,right,0,3.1748665965120746,0
