Instances,feature_TimeOfDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario21,-90,20,20,20,80,60,0.6,40,60,0,20,0,c4,1e-05,right,base,left,right,0,1.1654307607409824,0
scenario22,60,80,40,0,0,100,0.1,0,100,0,20,20,c1,1e-05,left,right,base,left,0,1.4702737039777762,0
scenario23,-30,20,80,40,0,80,0.4,20,0,0,20,20,c2,1e-05,base,left,right,left,0,4.0829495116679535,0
scenario24,-30,80,100,40,100,40,0.6,20,80,0,20,20,c4,1e-05,left,base,right,base,0,2.0482519538622683,0
scenario25,-90,40,100,20,0,80,0.8,20,80,0,20,40,c1,1e-05,base,left,left,right,0,1.6208687680857825,0
scenario26,90,20,100,0,0,100,0.1,40,60,0,20,40,c2,1e-05,base,left,right,base,0,3.3701094174173307,0
scenario27,60,20,100,20,80,0,0.6,40,60,0,20,40,c4,1e-05,right,base,left,base,0,2.6568328989773358,0
scenario28,-90,0,80,0,0,0,0.8,80,20,0,20,60,c1,1e-05,base,right,left,right,0,1.9803228683391525,0
scenario29,0,40,40,0,0,100,0.8,80,20,0,20,60,c2,1e-05,right,left,base,left,0,0.9383045448931432,0
scenario30,0,0,40,0,20,40,0.8,40,60,0,20,60,c4,1e-05,left,right,right,base,1,1.6379719708389993,1
scenario31,90,0,100,0,40,40,0.6,0,100,0,20,80,c1,1e-05,left,right,base,right,0,9999.0,0
scenario32,90,60,20,60,20,60,0.2,40,60,0,20,80,c2,1e-05,right,base,base,left,0,1.0623721090939326,0
scenario33,0,40,80,80,0,80,0.4,100,0,0,20,80,c4,1e-05,right,base,left,right,0,1.845752648152936,0
scenario34,30,20,20,40,100,40,0.6,40,60,0,20,100,c1,1e-05,left,right,base,left,0,2.706654912358108,0
scenario35,-60,80,20,0,60,40,0.6,0,100,0,20,100,c2,1e-05,base,left,right,left,0,4.213624386969908,0
scenario36,-90,20,100,40,100,0,0.6,40,60,0,20,100,c4,1e-05,left,base,right,base,0,2.8766953639607107,0
scenario37,30,20,100,40,100,0,0.6,100,0,0,40,0,c1,1e-05,base,left,left,right,0,2.515038738111004,0
scenario38,-30,40,40,100,0,20,0.8,80,20,0,40,0,c2,1e-05,base,left,right,base,0,4.676087820444083,0
scenario39,-90,60,80,20,0,0,0.6,0,100,0,40,0,c4,1e-05,right,base,left,base,0,1.2483369741169803,0
scenario40,60,60,20,80,0,80,0.6,100,0,0,40,20,c1,1e-05,base,right,left,right,0,3.1073095733522864,0
scenario41,90,80,80,0,0,80,0.4,80,20,0,40,20,c2,1e-05,right,left,base,left,0,1.47158011387647,0
scenario42,90,20,100,60,100,40,0.6,0,100,0,40,20,c4,1e-05,left,right,right,base,0,9999.0,0
scenario43,90,20,60,20,60,60,0.6,40,60,0,40,40,c1,1e-05,left,right,base,right,0,2.5207957929280176,0
scenario44,0,80,20,20,0,0,0.8,0,100,0,40,40,c2,1e-05,right,base,base,left,1,9999.0,1
scenario45,0,20,100,20,60,0,0.6,0,100,0,40,40,c4,1e-05,right,base,left,right,0,1.6817707760819296,0
scenario46,30,20,100,80,0,0,0.8,100,0,0,40,60,c1,1e-05,left,right,base,left,0,2.8415287509209506,0
scenario47,90,20,20,0,0,0,0.6,80,20,0,40,60,c2,1e-05,base,left,right,left,0,4.344119492337139,0
scenario48,90,0,20,0,0,80,0.4,0,100,0,40,60,c4,1e-05,left,base,right,base,0,9999.0,0
scenario49,30,20,40,40,0,100,0.2,20,80,0,40,80,c1,1e-05,base,left,left,right,0,3.014189514965297,0
scenario50,-90,20,40,60,0,100,0.4,40,60,0,40,80,c2,1e-05,base,left,right,base,0,4.545287851875651,0
scenario51,-30,20,80,20,100,100,0.6,20,80,0,40,80,c4,1e-05,right,base,left,base,0,2.533426428957921,0
scenario52,90,20,60,40,40,40,0.8,100,0,0,40,100,c1,1e-05,base,right,left,right,0,3.003346986233526,0
scenario53,90,80,100,0,40,40,0.6,0,100,0,40,100,c2,1e-05,right,left,base,left,0,0.6812267806833351,0
scenario54,-60,0,20,0,20,40,0.8,0,100,0,40,100,c4,1e-05,left,right,right,base,0,9999.0,0
scenario55,-90,60,40,20,20,40,0.8,100,0,0,60,0,c1,1e-05,left,right,base,right,0,0.864692645705305,0
scenario56,-30,20,20,20,80,40,0.6,100,0,0,60,0,c2,1e-05,right,base,base,left,0,0.9343232840557354,0
scenario57,-30,40,20,100,0,100,0.4,0,100,0,60,0,c4,1e-05,right,base,left,right,0,1.6050298695827108,0
scenario58,-90,60,40,20,40,0,0.8,40,60,0,60,20,c1,1e-05,left,right,base,left,0,3.499731001758983,0
scenario59,30,60,80,20,40,40,0.8,100,0,0,60,20,c2,1e-05,base,left,right,left,0,3.593062085806906,0
scenario60,30,80,60,0,100,0,0.6,0,100,0,60,20,c4,1e-05,left,base,right,base,0,9999.0,0
scenario61,30,0,100,0,0,100,0.1,0,100,0,60,40,c1,1e-05,base,left,left,right,0,2.307631475537705,0
scenario62,0,20,100,0,0,60,0.2,80,20,0,60,40,c2,1e-05,base,left,right,base,0,4.27572977072825,0
scenario63,-90,80,100,40,60,40,0.6,40,60,0,60,40,c4,1e-05,right,base,left,base,0,2.9253471254801013,0
scenario64,90,60,100,0,100,40,0.6,80,20,0,60,60,c1,1e-05,base,right,left,right,0,2.646245013315741,0
scenario65,90,20,20,20,80,0,0.6,20,80,0,60,60,c2,1e-05,right,left,base,left,0,0.8357886682467337,0
scenario66,30,20,60,0,0,0,0.0,0,100,0,60,60,c4,1e-05,left,right,right,base,0,9999.0,0
scenario67,-90,20,60,100,100,40,0.6,40,60,0,60,80,c1,1e-05,left,right,base,right,0,2.3059704908540035,0
scenario68,60,60,20,0,40,40,0.8,80,20,0,60,80,c2,1e-05,right,base,base,left,1,1.7878721475280166,1
scenario69,0,60,20,0,0,0,0.8,0,0,0,60,80,c4,1e-05,right,base,left,right,0,1.4029842054932786,0
scenario70,30,60,100,20,60,100,0.6,40,60,0,60,100,c1,1e-05,left,right,base,left,0,0.3737243942679581,1
