Instances,feature_TimeOfDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario99,30,40,20,0,0,0,0.8,0,100,0,100,40,c4,0.00247,right,base,left,base,0,3.3357345786816346,0
scenario100,0,60,60,0,0,0,0.8,0,100,0,100,60,c1,0.0022,left,right,base,right,0,9999.0,0
scenario101,60,60,100,0,0,0,0.8,0,100,0,100,60,c2,0.00245,base,left,right,left,0,3.714238982770193,0
scenario102,60,40,80,0,0,0,0.8,0,100,0,100,60,c4,0.00238,left,right,right,base,0,9999.0,0
scenario103,-30,60,100,0,0,0,0.8,0,100,0,100,80,c1,0.00225,left,right,base,left,0,9999.0,0
scenario104,90,40,100,0,0,0,0.8,0,100,0,100,80,c2,0.00218,base,left,right,base,0,4.055788636595027,0
scenario105,90,40,60,0,0,0,0.8,0,100,0,100,80,c4,0.002,left,base,right,base,0,9999.0,0
scenario106,30,60,100,0,0,0,0.8,0,100,0,100,100,c1,0.00203,base,left,left,right,0,2.725786799566731,0
scenario107,-60,60,60,0,0,0,0.8,0,100,0,100,100,c2,0.00201,right,base,base,left,1,9999.0,1
scenario108,-30,60,60,0,0,0,0.8,0,100,0,100,100,c4,0.00216,right,base,left,right,0,1.7395366479411791,0
scenario109,-90,20,40,0,0,0,0.8,0,100,20,0,0,c1,0.01566,base,right,left,right,0,3.1659549349424494,0
scenario110,-90,20,80,0,0,0,0.8,0,100,20,0,0,c2,0.01571,right,left,base,left,0,1.634944467598441,0
scenario111,-90,20,40,0,0,0,0.8,0,100,20,0,0,c4,0.01594,right,base,left,base,0,1.3730137163964478,0
scenario112,-90,20,40,0,0,0,0.8,0,100,20,0,20,c1,0.01578,left,right,base,right,0,1292.04899239651,0
scenario113,-90,20,80,0,0,0,0.8,0,100,20,0,20,c2,0.01574,base,left,right,left,0,3.571930624422599,0
scenario114,-90,20,40,0,0,0,0.8,0,100,20,0,20,c4,0.01534,left,right,right,base,0,9999.0,0
scenario115,-90,20,60,0,0,0,0.8,0,100,20,0,40,c1,0.01526,left,right,base,left,0,1774.4681080037194,0
scenario116,-90,20,40,0,0,0,0.8,0,100,20,0,40,c2,0.01565,base,left,right,base,0,3.1008483673933678,0
scenario117,-90,20,40,0,0,0,0.8,0,100,20,0,40,c4,0.0161,left,base,right,base,0,9999.0,0
scenario118,-90,20,60,0,0,0,0.8,0,100,20,0,60,c1,0.01513,base,left,left,right,0,2.98783904259044,0
scenario119,-90,20,80,0,0,0,0.8,0,100,20,0,60,c2,0.01534,right,base,base,left,1,9999.0,1
scenario120,-90,20,80,0,0,0,0.8,0,100,20,0,60,c4,0.01513,right,base,left,right,0,1.467395029738181,0
scenario121,-90,20,40,0,0,0,0.8,0,100,20,0,80,c1,0.01526,base,right,left,right,0,3.29633255554291,0
scenario122,-90,20,40,0,0,0,0.8,0,100,20,0,80,c2,0.01639,right,left,base,left,0,0.7153993500314662,0
scenario123,-90,20,40,0,0,0,0.8,0,100,20,0,80,c4,0.01573,right,base,left,base,1,2.317293169238644,1
scenario124,-90,20,40,0,0,0,0.8,0,100,20,0,100,c1,0.01548,left,right,base,right,0,5316.682718214311,0
scenario125,-90,20,40,0,0,0,0.8,0,100,20,0,100,c2,0.01557,base,left,right,left,0,4.059212479518808,0
scenario126,-90,20,20,0,20,40,0.8,0,100,20,0,100,c4,0.00193,left,right,right,base,0,9999.0,0
scenario127,-30,60,20,0,0,0,0.8,0,100,20,20,0,c1,0.002,left,right,base,left,0,1781.4783998630369,0
scenario128,-90,20,40,0,0,0,0.8,0,100,20,20,0,c2,0.01581,base,left,right,base,0,4.518853235897973,0
scenario129,-90,20,100,0,0,0,0.8,80,20,20,20,0,c4,0.002,left,base,right,base,0,2.7322532419769607,0
scenario130,-90,20,60,0,0,0,0.8,0,100,20,20,20,c1,0.01543,base,left,left,right,1,9999.0,1
scenario131,-90,20,40,0,0,0,0.8,0,100,20,20,20,c2,0.01492,right,base,base,left,0,0.9857124382470278,0
scenario132,-90,20,80,0,0,0,0.8,0,100,20,20,20,c4,0.01595,right,base,left,right,0,1.8107609365502213,0
scenario133,-90,20,40,0,0,0,0.8,0,100,20,20,40,c1,0.01606,base,right,left,right,0,3.138961361697639,0
scenario134,-90,20,40,0,0,0,0.8,0,100,20,20,40,c2,0.01619,right,left,base,left,0,0.6344635982352641,0
scenario135,-90,20,40,0,0,0,0.8,0,100,20,20,40,c4,0.01565,right,base,left,base,1,1.2537734246797545,1
scenario136,-90,20,60,0,0,0,0.8,0,100,20,20,60,c1,0.01572,left,right,base,right,0,1645.042376666366,0
scenario137,-90,20,60,0,0,0,0.8,0,100,20,20,60,c2,0.0155,base,left,right,left,0,3.998182171386255,0
scenario138,-90,20,40,0,0,0,0.8,0,100,20,20,60,c4,0.01535,left,right,right,base,0,9999.0,0
scenario139,-90,20,40,0,0,0,0.8,0,100,20,20,80,c1,0.01572,left,right,base,left,0,1631.0502959595303,0
scenario140,-90,20,40,0,0,0,0.8,0,100,20,20,80,c2,0.01528,base,left,right,base,0,4.197870735819282,0
scenario141,-90,20,80,0,0,0,0.8,0,100,20,20,80,c4,0.01538,left,base,right,base,0,9999.0,0
scenario142,-90,20,60,0,0,0,0.8,0,100,20,20,100,c1,0.01516,base,left,left,right,0,3.164606336220944,0
scenario143,-90,20,60,0,0,0,0.8,0,100,20,20,100,c2,0.01567,right,base,base,left,1,9999.0,1
scenario144,-90,20,40,0,0,0,0.8,0,100,20,20,100,c4,0.01551,right,base,left,right,0,2.37467269359057,0
scenario145,-90,20,60,0,0,0,0.8,0,100,20,40,0,c1,0.01549,base,right,left,right,0,3.659646477520992,0
scenario146,-90,20,40,0,0,0,0.8,0,100,20,40,0,c2,0.01585,right,left,base,left,0,3.1004226966869863,0
scenario147,-90,20,40,0,0,0,0.8,0,100,20,40,0,c4,0.0156,right,base,left,base,0,2.521055814524627,0
scenario148,-90,20,40,0,0,0,0.8,0,100,20,40,20,c1,0.01556,left,right,base,right,0,9999.0,0
scenario149,-90,20,40,0,0,0,0.8,0,100,20,40,20,c2,0.01587,base,left,right,left,0,3.915574689848807,0
scenario150,-90,20,40,0,0,0,0.8,0,100,20,40,20,c4,0.01562,left,right,right,base,0,9999.0,0
scenario151,-90,20,40,0,0,0,0.8,0,100,20,40,40,c1,0.01566,left,right,base,left,0,3497.9311082766912,0
scenario152,-90,20,40,0,0,0,0.8,0,100,20,40,40,c2,0.01549,base,left,right,base,0,4.255678350331968,0
scenario153,-90,20,40,0,0,0,0.8,0,100,20,40,40,c4,0.01576,left,base,right,base,0,9999.0,0
scenario154,-90,20,60,0,0,0,0.8,0,100,20,40,60,c1,0.01519,base,left,left,right,0,2.912523393130722,0
scenario155,-90,20,80,0,0,0,0.8,0,100,20,40,60,c2,0.01585,right,base,base,left,1,1.4658537283132136,1
scenario156,-90,20,40,0,0,0,0.8,0,100,20,40,60,c4,0.01558,right,base,left,right,0,1.167075226541994,0
scenario157,-90,20,40,0,0,0,0.8,0,100,20,40,80,c1,0.01564,base,right,left,right,0,3.251506060008695,0
scenario158,-90,20,40,0,0,0,0.8,0,100,20,40,80,c2,0.01542,right,left,base,left,0,0.7133551341103738,0
scenario159,-90,20,40,0,0,0,0.8,0,100,20,40,80,c4,0.01594,right,base,left,base,0,1.2301754504027609,0
scenario160,-90,20,40,0,0,0,0.8,0,100,20,40,100,c1,0.01552,left,right,base,right,0,2044.6294609938143,0
scenario161,-90,20,60,0,0,0,0.8,0,100,20,40,100,c2,0.01526,base,left,right,left,0,4.240542942861941,0
scenario162,-90,20,40,0,0,0,0.8,0,100,20,40,100,c4,0.01494,left,right,right,base,0,9999.0,0
scenario163,-90,20,40,0,0,0,0.8,0,100,20,60,0,c1,0.01598,left,right,base,left,0,1697.5627402925809,0
scenario164,-90,20,40,0,0,0,0.8,0,100,20,60,0,c2,0.01545,base,left,right,base,0,3.816361983341769,0
scenario165,-90,20,40,0,0,0,0.8,0,100,20,60,0,c4,0.01513,left,base,right,base,0,9999.0,0
scenario166,-90,20,40,0,0,0,0.8,0,100,20,60,20,c1,0.01552,base,left,left,right,0,1.8375909060192344,0
scenario167,-90,20,80,0,0,0,0.8,0,100,20,60,20,c2,0.01525,right,base,base,left,0,2.9546882863768604,0
scenario168,-90,20,40,0,0,0,0.8,0,100,20,60,20,c4,0.01574,right,base,left,right,0,1.7312283773413368,0
scenario169,-90,20,60,0,0,0,0.8,0,100,20,60,40,c1,0.01547,base,right,left,right,0,2.528671093815934,0
scenario170,-90,20,80,0,0,0,0.8,0,100,20,60,40,c2,0.01564,right,left,base,left,1,6.342241162887117,1
scenario171,-90,20,40,0,0,0,0.8,0,100,20,60,40,c4,0.01545,right,base,left,base,0,2.2541636823009616,0
scenario172,-90,20,60,0,0,0,0.8,0,100,20,60,60,c1,0.01596,left,right,base,right,0,9999.0,0
scenario173,-90,20,60,0,0,0,0.8,0,100,20,60,60,c2,0.01563,base,left,right,left,0,4.522155390557984,0
scenario174,-90,20,40,0,0,0,0.8,0,100,20,60,60,c4,0.01554,left,right,right,base,0,9999.0,0
scenario175,-90,20,80,0,0,0,0.8,0,100,20,60,80,c1,0.0154,left,right,base,left,0,9999.0,0
scenario176,-90,20,40,0,0,0,0.8,0,100,20,60,80,c2,0.01558,base,left,right,base,0,4.012946871605132,0
scenario177,-90,20,80,0,0,0,0.8,0,100,20,60,80,c4,0.01556,left,base,right,base,0,9999.0,0
scenario178,-90,20,80,0,0,0,0.8,0,100,20,60,100,c1,0.01568,base,left,left,right,1,9999.0,1
scenario179,-90,20,40,0,0,0,0.8,0,100,20,60,100,c2,0.01576,right,base,base,left,0,0.8420599267272066,0
scenario180,-90,20,40,0,0,0,0.8,0,100,20,60,100,c4,0.01583,right,base,left,right,0,1.6344336576758396,0
scenario181,-90,20,80,0,0,0,0.8,0,100,20,80,0,c1,0.01535,base,right,left,right,0,3.735973885200716,0
scenario182,-90,20,40,0,0,0,0.8,0,100,20,80,0,c2,0.01535,right,left,base,left,0,0.6708256362574532,0
scenario183,-90,20,40,0,0,0,0.8,0,100,20,80,0,c4,0.01611,right,base,left,base,1,2.1669609321988723,1
scenario184,-90,20,40,0,0,0,0.8,0,100,20,80,20,c1,0.01551,left,right,base,right,0,9999.0,0
