Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario291,c2,base,left,right,base,0,40,0,100,-60,100,60,80,0.6,False,3.327,0
scenario292,c4,right,base,left,right,100,40,100,100,-30,20,60,40,0.2,False,2.195,0
scenario293,c2,base,left,right,left,20,60,80,60,0,0,60,40,1.0,False,4.2,0
scenario294,c2,base,left,right,left,0,100,20,100,-90,100,60,40,0.8,False,4.593,0
scenario295,c2,base,left,right,left,100,80,100,60,-60,20,60,60,0.2,False,4.412,0
scenario296,c2,right,base,base,left,60,40,0,80,-30,100,60,60,0.6,False,1.276,0
scenario297,c2,right,left,base,left,60,80,80,100,-30,20,80,40,0.8,False,1.566,0
scenario298,c1,base,right,left,right,80,20,40,80,0,60,40,0,0.1,False,2.339,0
scenario299,c4,right,base,left,base,20,60,0,20,-90,100,60,0,0.2,False,2.25,0
scenario300,c1,left,right,base,right,60,100,60,80,-30,40,80,80,0.6,False,2.785,0
scenario301,c2,right,left,base,left,60,60,40,100,30,40,20,0,0.8,False,0.81,0
scenario302,c2,right,base,base,left,40,40,80,60,-90,100,60,60,0.8,False,0.606,0
