Instances,feature_TimeOfDay,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,algo_safety
scenario84,0,c4,right,base,left,base,0.4,80,100,0,40,100,100,40,0,3.8195487501817498,0
scenario85,0,c4,right,base,left,base,0.1,0,20,80,60,20,100,80,0,2.447098937642276,0
scenario86,-90,c1,left,right,base,right,0.2,40,60,0,100,80,60,100,0,0.8714994799090341,0
scenario87,60,c2,base,left,right,base,0.1,60,100,100,60,100,60,80,0,3.447955133831145,0
scenario88,0,c2,right,base,base,left,0.2,60,80,40,40,40,40,60,0,3.7278537518391,0
scenario89,30,c1,left,right,base,right,0.8,80,60,20,20,40,20,100,0,0.8856605727393705,0
scenario90,-90,c1,base,right,left,right,0.4,80,80,100,20,20,80,40,0,3.3741307829381464,0
scenario91,-60,c1,left,right,base,right,0.1,80,0,60,40,60,80,80,0,1.1867926075833213,0
scenario92,60,c2,base,left,right,left,0.4,100,0,100,60,60,100,0,0,3.74861038023042,0
scenario93,-90,c2,base,left,right,left,0.8,60,40,20,40,60,100,80,0,3.91428424968154,0
scenario94,-60,c1,base,left,left,right,0.1,20,60,80,100,100,100,20,1,60.98919653917053,1
scenario95,-60,c1,left,right,base,right,0.6,80,80,0,60,60,20,60,0,1.197136987023527,0
scenario96,90,c1,left,right,base,right,1.0,100,40,100,80,20,0,100,0,1.8206665033416105,0
scenario97,-90,c2,right,left,base,left,1.0,20,20,40,60,20,20,20,0,0.7046799399747117,0
scenario98,-30,c4,right,base,left,base,0.4,100,60,0,80,80,20,20,0,3.0110805575826656,0
scenario99,-90,c4,right,base,left,right,0.1,40,80,20,60,40,100,100,0,1.1460275754639484,0
scenario100,30,c2,base,left,right,left,0.6,80,100,40,60,80,100,80,0,4.199121738339736,0
scenario101,-90,c4,right,base,left,base,0.6,80,20,80,40,40,20,0,0,1.9057465719147115,0
scenario102,30,c4,right,base,left,right,0.4,60,60,60,80,40,60,80,0,1.591275760653338,0
scenario103,90,c1,base,left,left,right,1.0,80,100,60,100,0,60,0,0,2.8623044486997093,0
scenario104,60,c1,left,right,base,left,0.1,0,80,20,20,60,0,20,0,2343.098771326258,0
scenario105,30,c2,base,left,right,left,0.2,0,0,100,20,0,40,20,0,4.3788587406927615,0
scenario106,90,c2,right,left,base,left,0.8,100,60,40,100,100,80,80,0,1.1251596234868948,0
scenario107,-30,c2,right,left,base,left,0.8,40,100,100,20,80,100,100,0,3.071821769418968,0
scenario108,-90,c2,base,left,right,left,0.4,80,40,20,0,100,60,20,0,4.693913870629802,0
scenario109,0,c4,left,right,right,base,1.0,100,20,80,80,100,40,60,0,1.6822400711446948,0
scenario110,-30,c2,base,left,right,left,0.1,0,0,40,80,20,60,0,0,3.736376079853165,0
scenario111,-60,c4,right,base,left,base,0.6,100,80,100,100,20,60,80,0,3.152690511497309,0
scenario112,90,c1,left,right,base,right,0.8,80,0,40,40,80,20,20,0,2.019659050694508,0
scenario113,60,c2,right,left,base,left,0.2,60,20,100,100,60,40,100,0,1.598083793383538,0
scenario114,-90,c2,base,left,right,left,0.6,40,0,80,20,20,100,20,0,3.5146262545703126,0
scenario115,-90,c1,base,left,left,right,0.2,20,100,0,60,0,0,80,0,2.4183651377405013,0
scenario116,-60,c2,base,left,right,left,0.1,60,60,0,20,20,0,40,0,4.178553421566036,0
