Rootdir,Boundary_area,prunedBoundaryArea,Footprint_area,COV_boundary,COV_prunnedBoundary,Footprint_density,Good_footprint_area
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_1_bayscen_common_run2/,6.84110605463325,6.84110605463325,0,0,0,0,0
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_1_bayscen_common_run3/,4.91619070002838,4.91619070002838,0,0,0,0,0
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_1_ctbc_run1/,41.1598659933928,38.9890662252046,7.62496757156797,18.5252487770294,19.5566816797443,11.409884590776,7.016
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_1_ctbc_run2/,40.9821377871311,38.4569228059572,8.94507820231134,21.826773041401,23.2599946892415,9.61422561714198,6.442
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_1_ctbc_run3/,41.4676787988248,39.913418326485,8.39009490923932,20.2328540016498,21.0207375389644,10.7269346739916,8.391
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_1_pict_2way_run1/,22.2926655759294,22.2926655759294,4.10900008943055,18.4320716400432,18.4320716400432,14.1153562272222,1.915
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_1_pict_2way_run2/,25.7426882737128,25.7426882737128,3.2078698546435,12.4612853969848,12.4612853969848,18.0805340079627,1.872
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_1_pict_2way_run3/,21.0491739645595,21.0491739645595,2.54346881110632,12.0834614003797,12.0834614003797,22.8035035250823,1.729
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_1_pict_3way_run1/,18.2756173588124,18.2756173588124,2.0720203406191,11.3376215967883,11.3376215967883,194.013539403714,1.784
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_1_pict_3way_run2/,17.5782694548698,17.5782694548698,1.77241324593719,10.0829791606487,10.0829791606487,225.116801013875,1.576
