instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario105,c2,0,1,2,1,60,100,60,40,40,40,80,0.8,False,5.242,0
scenario106,c1,1,2,0,2,60,80,80,20,40,40,100,0.4,False,6.935,0
scenario107,c1,1,2,0,1,80,20,60,40,40,20,40,0.8,False,5.161,0
scenario108,c1,0,2,1,2,80,100,60,100,60,100,100,0.6,False,9999.0,0
scenario109,c4,1,2,2,0,60,100,60,20,40,40,100,0.6,False,2.556,0
scenario110,c2,0,1,2,1,60,100,40,20,0,60,20,1.0,False,4.239,0
scenario111,c1,1,2,0,1,60,100,0,20,60,20,80,0.8,False,4.493,0
scenario112,c1,0,2,1,2,80,20,40,40,20,20,20,1.0,False,4.941,0
scenario113,c4,1,2,2,0,80,60,20,0,40,60,40,0.1,True,0.0,1
scenario114,c1,1,2,0,2,60,60,80,20,20,80,0,0.4,False,2814.24,0
scenario115,c1,0,2,1,2,40,80,60,20,80,40,80,0.8,False,5.188,0
scenario116,c1,1,2,0,1,40,60,100,0,60,40,80,0.2,False,4.76,0
scenario117,c2,0,1,2,1,60,80,40,20,0,40,40,0.8,False,4.808,0
scenario118,c1,1,2,0,1,20,100,60,0,20,60,100,0.2,False,4.735,0
scenario119,c4,1,0,2,0,60,100,60,60,60,60,80,0.6,False,1.639,0
scenario120,c4,2,0,1,0,0,100,100,60,60,80,80,0.4,False,3.186,0
scenario121,c4,1,2,2,0,80,60,20,0,40,60,40,0.1,True,0.0,1
scenario122,c2,2,1,0,1,40,80,20,80,60,0,60,0.8,False,2.325,0
scenario123,c2,2,1,0,1,80,100,60,20,40,60,80,0.6,False,3.806,0
scenario124,c4,1,2,2,0,40,80,100,40,40,60,80,0.4,False,2.103,0
scenario125,c4,1,0,2,0,60,0,80,20,80,40,80,0.4,False,2.104,0
scenario126,c2,0,1,2,1,20,100,60,0,40,40,100,0.2,False,4.844,0
scenario127,c1,1,2,0,1,0,100,80,0,0,60,100,0.4,False,1050.253,0
scenario128,c1,0,1,1,2,60,20,60,0,0,100,100,0.4,False,5.243,0
scenario129,c1,0,2,1,2,60,80,60,40,0,80,0,1.0,False,9999.0,0
scenario130,c4,1,2,2,0,60,100,60,60,60,80,20,0.4,False,1.979,0
scenario131,c4,2,0,1,0,40,100,60,40,80,80,80,0.4,False,3.418,0
scenario132,c1,1,2,0,1,20,60,80,20,20,40,100,0.2,False,5.067,0
scenario133,c4,1,2,2,0,80,60,20,0,40,60,40,0.1,False,2.446,0
scenario134,c1,0,1,1,2,60,40,60,0,0,100,100,0.4,False,5.077,0
scenario135,c1,1,2,0,2,60,20,80,20,80,60,80,0.6,False,2.742,0
scenario136,c1,1,2,0,1,80,40,20,20,60,60,20,0.2,False,4.147,0
scenario137,c4,1,2,2,0,80,0,80,20,80,40,60,0.4,False,2.249,0
scenario138,c2,2,1,0,1,40,60,0,100,80,0,80,0.2,True,0.0,1
scenario139,c1,1,2,0,1,100,0,60,0,20,100,100,0.4,False,4.844,0
scenario140,c4,2,0,1,2,40,40,40,0,20,100,100,1.0,True,0.0,1
scenario141,c1,0,1,1,2,40,100,80,100,60,40,80,0.4,False,4.041,0
scenario142,c4,2,0,1,2,60,0,60,0,0,20,80,0.6,True,0.0,1
scenario143,c4,2,0,1,0,20,80,100,40,40,0,80,0.4,False,2.931,0
scenario144,c4,1,2,2,0,40,40,80,0,60,100,100,0.6,False,2.015,0
scenario145,c4,2,0,1,2,0,60,100,80,60,100,80,1.0,True,0.0,1
