instances,feature_direction,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario225,1,80,40,20,100,0,0,40,20,0.4,False,0.858,0
scenario226,1,20,80,100,0,90,0,60,100,0.8,False,0.794,0
scenario227,1,80,80,0,60,-30,0,0,0,0.2,False,1.078,0
scenario228,1,80,100,0,80,30,80,60,80,0.2,False,0.861,0
scenario229,0,20,0,100,100,0,100,20,0,1.0,False,1.14,0
scenario230,0,0,60,0,100,-90,40,20,40,0.8,False,1.294,0
scenario231,1,40,20,60,0,-30,0,60,80,1.0,False,0.854,0
scenario232,0,60,80,80,0,90,0,60,80,1.0,False,1.101,0
scenario233,1,60,0,0,100,0,80,80,100,0.2,False,0.842,0
scenario234,1,60,80,0,0,60,60,20,20,1.0,False,0.79,0
scenario235,0,60,0,0,100,60,0,0,20,0.1,False,1.121,0
scenario236,0,60,0,40,100,30,20,60,100,1.0,False,1.004,0
scenario237,0,0,40,100,100,60,20,100,0,0.4,False,1.026,0
scenario238,1,60,100,40,0,60,0,0,0,0.1,False,0.782,0
scenario239,0,60,40,40,100,30,20,60,80,0.1,False,1.172,0
scenario240,1,40,80,100,60,0,100,20,20,0.1,False,0.87,0
scenario241,1,100,20,100,60,0,60,60,40,0.8,False,0.695,0
scenario242,1,40,40,0,80,60,100,80,40,0.8,False,0.792,0
scenario243,0,20,80,40,80,0,20,60,60,1.0,False,1.076,0
scenario244,1,80,20,60,40,60,0,40,40,0.4,False,0.937,0
scenario245,1,20,80,0,40,90,20,80,20,0.4,False,0.903,0
scenario246,1,40,80,0,80,30,60,60,20,1.0,False,0.885,0
scenario247,0,40,80,0,100,0,60,100,20,0.4,False,0.996,0
scenario248,0,60,60,80,0,30,40,0,20,0.6,False,1.189,0
scenario249,1,80,40,60,80,30,20,20,20,0.2,False,0.814,0
scenario250,0,20,100,40,40,30,80,40,60,0.8,False,1.235,0
scenario251,0,20,0,60,40,90,0,40,100,0.6,False,1.119,0
scenario252,0,20,40,80,0,-30,40,80,80,0.1,False,0.959,0
scenario253,0,0,20,80,60,30,80,20,40,0.4,False,1.127,0
scenario254,1,0,60,80,80,-60,40,0,40,0.2,False,0.826,0
scenario255,0,60,0,0,0,-90,80,40,100,0.6,False,0.996,0
scenario256,1,0,80,100,60,-90,100,0,40,0.4,False,0.795,0
scenario257,0,100,0,100,80,0,20,60,20,0.4,False,1.09,0
scenario258,0,100,20,20,0,-30,40,0,80,0.1,False,1.112,0
scenario259,0,40,80,100,100,60,60,0,0,0.2,False,1.108,0
scenario260,1,0,20,100,100,-30,80,80,60,1.0,False,0.819,0
scenario261,0,60,40,40,40,0,0,40,60,0.6,False,1.073,0
scenario262,0,60,20,20,100,-90,60,100,20,0.1,False,1.074,0
scenario263,0,20,0,80,40,60,20,60,0,0.6,False,1.089,0
scenario264,0,100,0,60,40,-30,20,60,0,1.0,False,1.093,0
scenario265,1,20,40,20,100,-90,20,100,60,0.8,False,0.977,0
scenario266,0,60,20,40,60,0,20,20,0,0.4,False,1.122,0
scenario267,1,40,20,40,60,-90,40,60,60,0.1,False,0.969,0
scenario268,0,80,0,100,100,-60,80,60,40,0.1,False,1.086,0
scenario269,1,20,40,60,40,-60,20,0,60,0.4,False,0.814,0
scenario270,1,20,0,100,40,-60,100,0,60,0.8,False,0.798,0
scenario271,1,80,20,60,0,90,80,40,20,0.4,False,0.916,0
scenario272,1,0,60,20,40,30,20,20,20,0.8,False,0.802,0
scenario273,0,100,20,20,80,-90,0,80,100,0.6,False,1.059,0
scenario274,1,20,20,20,80,60,100,100,20,0.8,False,0.757,0
scenario275,1,20,0,0,100,60,80,60,100,0.1,False,0.792,0
scenario276,1,40,40,100,60,-90,0,60,60,0.2,False,0.952,0
