instances,pathinteraction,feature_goalego,feature_windintensity,feature_roadfriction,feature_fogdistance,feature_startother,feature_precipitationdeposits,feature_cloudiness,feature_fogdensity,feature_goalother,feature_precipitation,feature_wetness,feature_timeofday,feature_startego,collision,min_ttc,algo_safety
scenario113,c1,2,100,0.4,40,1,40,60,20,1,0,40,-30,1,0,1.0111961689145486,0
scenario114,c4,0,80,0.1,20,2,0,100,100,0,60,0,30,2,0,2.910293903126658,0
scenario115,c1,2,80,0.6,100,0,60,0,100,2,100,0,60,1,0,3.40650015329678,0
scenario116,c2,1,80,0.8,60,3,100,40,0,0,20,20,-90,0,0,1.4742447785507151,0
scenario117,c2,0,100,1.0,80,1,80,20,0,1,40,80,-90,2,0,3.89576939689553,0
scenario118,c4,0,20,0.1,100,3,100,40,100,0,40,100,-30,1,0,3.044105060483824,0
scenario119,c2,1,100,0.1,20,3,60,100,20,0,100,20,-60,0,0,1.7123095499725054,0
scenario120,c4,0,100,0.4,20,2,60,40,80,0,60,100,60,2,0,1.994500708074036,0
scenario121,c4,0,80,0.2,20,2,0,0,40,0,20,0,-30,2,0,3.430595948435433,0
scenario122,c4,0,40,1.0,100,2,0,20,100,2,100,40,0,2,0,1.0123190467176184,0
scenario123,c2,1,100,0.2,0,3,40,80,20,1,0,20,0,0,0,2.8864371559831605,0
scenario124,c1,2,0,0.6,0,0,20,60,100,2,60,40,-60,1,0,3.133099567628941,0
scenario125,c1,1,60,0.6,40,2,0,20,20,2,60,20,30,0,0,3.197667754246077,0
scenario126,c2,0,20,1.0,40,1,0,40,20,1,80,60,30,2,0,3.013100746447279,0
scenario127,c1,2,40,0.8,80,1,60,0,100,1,60,0,30,1,0,1.0367131167109858,0
scenario128,c2,1,40,1.0,20,3,40,60,80,1,0,60,-90,0,0,3.2585093429486385,0
scenario129,c4,0,60,0.6,60,3,20,80,0,0,20,80,0,1,0,2.129119188740213,0
scenario130,c2,0,20,1.0,100,1,100,0,80,1,40,60,-90,2,0,2.666312918372181,0
scenario131,c2,0,60,0.6,0,1,40,100,40,1,40,20,90,2,0,3.0018893989413784,0
