Row,goalego,windintensity,roadfriction,fogdistance,startother,precipitationdeposits,cloudiness,fogdensity,goalother,precipitation,wetness,timeofday,startego
scenario33,0.25150790426827,-1.72987552621788,-0.262252066891402,-0.103860476478635,1.15469373530813,-0.103687582892591,-1.7320657245821,0.841559425777797,-1.20301452220398,-1.660115969695,0.86078044836283,-1.81598244166587,-1.26064747124053
scenario34,-1.15287781284841,-1.72987552621788,1.41574524478508,0.412466231431965,-1.12482529767931,0.8757237128577,1.23660419840849,-1.76148733671742,0.167872494244836,-1.660115969695,-1.72676197191635,0.546137799578477,1.17060717397565
scenario35,1.18300374131107,1.25367236431317,-0.98492297758744,0.868568895877142,1.15469373530813,0.416346287330929,-1.7320657245821,0.841559425777797,-1.20301452220398,-0.574699797682419,1.24967845801396,1.25216238411052,0.0925886075648372
scenario36,1.18300374131107,-0.0888267508506638,-0.98492297758744,-0.728255814569985,-0.0963827026737414,0.416346287330929,-0.0992003172411591,-0.749243321409427,1.17012933131472,-1.660115969695,0.42990142404788,-0.315196174990568,-1.26064747124053
scenario37,0.25150790426827,0.853977547714663,-1.39292550123197,1.28437879115489,-0.0963827026737414,-0.73256600278132,-1.7320657245821,0.38717682081696,1.17012933131472,0.49078400328234,-1.72676197191635,1.25216238411052,-1.26064747124053
scenario38,1.18300374131107,-0.702437442654243,0.364524499941289,-0.728255814569985,-1.88728312915263,-1.75593715449419,0.400471888412084,-0.12720271002104,1.17012933131472,-0.574699797682419,0.42990142404788,-0.315196174990568,0.0925886075648372
scenario39,-1.15287781284841,1.25367236431317,0.364524499941289,-0.103860476478635,-1.12482529767931,0.416346287330929,0.838902527797785,0.38717682081696,0.167872494244836,1.25823710858064,-0.0644810639277774,-0.315196174990568,1.17060717397565
scenario40,0.25150790426827,-1.72987552621788,0.364524499941289,1.28437879115489,-1.12482529767931,-0.103687582892591,-0.0992003172411591,-1.76148733671742,0.167872494244836,1.25823710858064,1.24967845801396,-0.873194132088962,1.17060717397565
scenario41,-1.15287781284841,-1.72987552621788,-0.262252066891402,0.412466231431965,-0.0963827026737414,-0.103687582892591,-0.709751135266908,-0.12720271002104,1.17012933131472,0.0194494154861099,-0.674868260520131,1.25216238411052,1.17060717397565
scenario42,-1.15287781284841,-1.72987552621788,0.364524499941289,-0.103860476478635,-0.0963827026737414,0.416346287330929,0.838902527797785,-0.12720271002104,1.17012933131472,-0.574699797682419,-0.0644810639277774,0.546137799578477,1.17060717397565
scenario43,0.25150790426827,-0.0888267508506638,-1.39292550123197,-1.74433166652838,1.15469373530813,-0.73256600278132,0.838902527797785,0.841559425777797,-1.20301452220398,0.49078400328234,1.24967845801396,0.546137799578477,-1.26064747124053
scenario44,0.25150790426827,-0.0888267508506638,1.41574524478508,-0.103860476478635,1.15469373530813,0.416346287330929,-0.709751135266908,1.25580121411426,0.167872494244836,1.25823710858064,0.42990142404788,-0.873194132088962,-1.26064747124053
