PathInteraction,GoalEgo,WindIntensity,RoadFriction,FogDistance,StartOther,PrecipitationDeposits,Cloudiness,FogDensity,GoalOther,Precipitation,Wetness,TimeOfDay,StartEgo,Min_TTC,Collision_Occurred
c4,base,60,0.1,20,right,0,40,60,base,80,0,-60,left,2.720025977049834,False
c4,base,80,0.4,60,right,20,80,80,base,100,80,-90,left,2.2631096851361616,False
c1,left,100,0.6,20,left,60,80,60,right,40,20,-60,base,2.8112233428907984,False
c1,right,100,0.1,60,left,20,60,20,right,60,20,0,base,3.7048464350354964,False
c2,left,20,0.4,20,base_left_lane,20,20,40,left,80,40,0,right,1.4665746913510955,False
c1,right,100,0.6,100,base,100,80,100,right,60,0,90,left,3.30718808951577,False
c4,base,60,0.2,40,left,100,40,100,base,40,60,90,right,3.3114231490676485,False
c1,left,100,0.2,0,left,40,60,20,right,0,60,60,base,3.703162235640652,False
c4,base,80,0.1,60,right,60,100,100,base,100,60,0,left,1.5228003136544095,False
c4,right,0,0.2,20,right,40,0,60,base,80,80,0,left,5.518566806096248,False
c1,left,0,0.8,80,left,0,80,100,right,60,0,-90,base,2.688752839731254,False
c2,left,0,0.6,0,right,80,40,40,base,0,0,-30,base,1.6506749204284505,False
c1,right,0,0.6,80,left,60,20,0,right,60,40,-90,base,0.0,True
c1,left,100,0.2,60,left,20,0,60,right,100,0,-30,base,2.4263843466186685,False
c4,base,60,1.0,40,right,40,100,40,base,20,80,90,left,1.619911364749303,False
c4,base,80,0.8,100,right,0,100,60,base,40,80,-90,left,2.5815142240087816,False
c4,base,20,0.1,100,left,40,60,20,base,40,0,90,right,2.71776801875386,False
c2,base,80,0.4,20,base_left_lane,80,80,60,left,60,40,0,right,2.7869208588039336,False
c2,base,20,0.2,20,base_left_lane,80,60,80,left,0,40,60,right,3.229553261765303,False
c4,base,20,0.4,40,right,100,0,100,base,60,40,-30,left,2.7005970808512774,False
c4,base,0,0.8,80,right,40,80,20,base,0,60,-60,left,2.4224356938915066,False
c2,left,100,1.0,80,right,60,20,20,left,100,100,60,base,2.7967449470776344,False
c4,base,100,0.6,100,left,20,40,80,base,40,80,-30,right,3.859002876517903,False
c1,left,40,0.1,100,left,100,80,100,right,40,100,90,base,4.144432990906908,False
c4,base,60,0.8,60,right,40,20,20,base,0,80,90,left,3.323662666473907,False
c2,base,40,0.8,20,base_left_lane,60,100,60,left,20,0,-60,right,3.0947932229509436,False
c4,base,20,0.4,20,right,0,20,20,base,0,20,90,left,4.577062745135685,False
c2,left,60,0.2,40,right,20,20,0,base,100,60,-30,base,1.8389017784253463,False
c1,right,80,0.4,40,left,0,80,100,right,80,0,60,base,1.8617951148700378,False
c4,base,60,0.1,20,left,20,100,100,right,40,0,0,right,0.0,True
c2,left,60,0.2,60,base_left_lane,40,80,0,left,60,0,30,right,5.409866430793516,False
c4,base,40,0.1,80,left,60,0,40,right,20,40,30,right,1.0087579728195832,False
c2,left,40,0.4,40,base_left_lane,20,60,80,left,0,20,30,right,4.0006014657146025,False
c1,right,40,1.0,100,left,40,40,0,right,100,20,-60,base,3.746152991395772,False
c4,base,0,1.0,60,left,0,20,80,base,100,0,30,right,2.00048387710349,False
c2,left,0,0.2,60,base_left_lane,20,100,0,left,60,40,60,right,5.3806947123149325,False
c1,right,20,0.4,20,base_left_lane,0,100,40,left,60,0,0,left,0.9488646354343789,False
c1,right,40,0.2,40,base_left_lane,100,60,40,left,100,60,0,left,1.012617698129487,False
c2,left,60,0.1,80,right,0,40,80,base,20,80,-30,base,1.8799562495006832,False
c1,left,40,0.4,40,left,100,80,60,right,100,100,90,base,3.4613737325669724,False
c4,base,40,1.0,60,left,40,60,40,base,80,40,60,right,2.4873596249284757,False
c2,left,60,0.4,100,base_left_lane,100,100,20,left,40,60,-30,right,4.4774210798922285,False
c2,base,40,1.0,40,base_left_lane,20,80,60,left,20,100,90,right,2.9461698184019305,False
c2,left,100,0.4,80,base_left_lane,80,80,40,left,80,80,0,right,5.096174466372673,False
c2,left,60,0.2,20,base_left_lane,80,20,100,left,20,20,30,right,3.462886172389405,False
c2,left,0,0.2,40,base_left_lane,20,60,0,left,20,20,-60,right,5.255468664890795,False
