PathInteraction,GoalEgo,WindIntensity,RoadFriction,FogDistance,StartOther,PrecipitationDeposits,Cloudiness,FogDensity,GoalOther,Precipitation,Wetness,StartEgo,Min_TTC,Collision_Occurred
c1,right,100,1.0,20,left,60,80,0,right,100,100,base,2.1593184200055475,False
c4,base,60,0.1,60,left,80,20,60,base,100,100,right,3.081264141372166,False
c2,left,60,0.2,80,base_left_lane,80,100,40,left,100,60,right,3.12033688613134,False
c1,right,20,0.1,80,left,100,60,40,right,20,0,base,3.3065319230422268,False
c4,base,80,0.1,40,left,40,40,100,base,0,100,right,2.42776562882972,False
c1,right,100,0.6,80,left,40,40,80,right,20,80,base,3.213445610629816,False
c2,left,20,0.6,60,base_left_lane,80,80,20,left,20,60,right,5.364091604387861,False
c1,left,80,0.4,0,left,40,60,80,right,0,20,base,2.1355934876297895,False
c4,base,100,0.1,0,left,80,20,80,base,100,40,right,2.5365288389269303,False
c4,base,60,0.4,100,right,80,20,0,base,20,40,left,3.9350662719665626,False
c2,base,60,0.4,100,base_left_lane,100,60,0,left,0,100,right,4.15835961631134,False
c4,base,0,0.8,80,right,100,20,100,base,20,100,left,2.6626290542609565,False
c2,left,40,0.8,40,base_left_lane,100,60,60,left,0,0,right,3.37020535803085,False
c4,base,0,0.6,80,right,100,0,80,base,20,100,left,0.0,True
c1,right,40,0.6,0,base,0,0,60,right,0,100,left,4.670343424233653,False
c2,base,100,0.1,40,base_left_lane,20,0,80,left,80,40,right,4.8770571993885365,False
c4,right,100,0.6,20,right,0,60,20,base,20,40,left,4.60389823092803,False
c4,base,40,0.4,60,left,40,80,40,right,0,100,right,0.0,True
c1,right,0,0.4,20,base,80,80,0,right,40,80,left,7.276378868874031,False
c4,right,0,1.0,100,right,40,80,0,base,40,100,left,4.5556643957674625,False
c4,base,0,0.4,100,right,60,20,40,base,100,0,left,1.727263518756517,False
c1,right,80,0.4,0,left,0,80,60,right,40,40,base,2.7971304656472142,False
c1,left,60,0.1,40,left,60,60,40,right,100,40,base,2.506960142497748,False
c1,right,20,0.2,40,left,0,80,40,right,0,0,base,3.0635403011075755,False
c1,left,80,0.2,40,left,60,40,100,right,0,40,base,2.919387786546916,False
c1,right,0,1.0,0,base_left_lane,0,100,20,left,60,20,left,0.8480774159668136,False
c1,left,80,0.6,20,left,80,60,100,right,40,20,base,3.1031691986747294,False
c1,right,80,0.6,40,left,0,60,40,right,0,0,base,0.0,True
c2,left,20,0.6,40,right,0,60,40,left,40,0,base,3.2740333789916725,False
c4,base,100,0.2,60,right,60,20,0,base,100,40,left,3.371911882345156,False
c4,base,0,1.0,40,left,80,20,60,right,80,80,right,1.0651681171890885,False
c2,left,60,0.1,40,base_left_lane,40,60,60,left,60,0,right,2.656263474883689,False
c4,base,100,1.0,20,right,80,40,100,base,60,80,left,2.6517260354399603,False
c2,left,60,0.4,60,base_left_lane,60,80,60,left,60,60,right,5.388332918459305,False
c1,right,0,0.8,80,base,0,80,20,right,80,0,left,6.786483037432198,False
c2,left,20,1.0,100,base_left_lane,20,100,20,left,60,0,right,3.4251035798756773,False
c1,right,100,0.4,100,left,60,40,20,right,0,80,base,2.5512112729940952,False
c1,left,100,0.4,100,left,80,60,60,right,0,80,base,2.273321534963128,False
c4,right,20,0.6,100,right,100,20,20,base,60,40,left,4.705324591408053,False
c1,right,100,0.1,100,left,40,100,20,right,40,40,base,3.3903542237752697,False
c2,base,0,0.6,100,base_left_lane,20,60,80,left,40,100,right,3.7090802149073583,False
c1,right,60,0.4,0,left,40,100,80,right,100,20,base,0.0,True
c4,base,100,0.2,20,right,20,100,40,base,60,0,left,2.619157552013523,False
c2,left,60,0.1,40,right,20,40,80,left,80,20,base,2.92166388800446,False
