Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario175,c4,right,base,left,base,20,80,0,100,-90,20,100,80,1.0,False,4297.996,0
scenario176,c1,left,right,base,left,80,40,40,60,-30,40,20,40,0.8,False,3.922,0
scenario177,c2,right,left,base,left,0,80,0,100,-60,60,80,80,1.0,False,1.162,0
scenario178,c2,base,left,right,base,20,100,100,100,-60,20,20,100,0.8,False,1.903,0
scenario179,c1,base,right,left,right,60,100,20,40,-30,0,20,60,0.8,False,3.54,0
scenario180,c1,left,right,base,right,80,100,20,80,30,20,0,40,0.8,False,19.967,0
scenario181,c4,right,base,left,right,60,100,20,20,60,20,20,60,0.8,False,4569.395,0
scenario182,c1,base,right,left,right,0,80,20,20,-30,20,80,40,0.6,True,0.0,1
scenario183,c1,base,left,left,right,100,80,80,60,30,20,0,0,0.8,False,1.981,0
scenario184,c1,base,right,left,right,80,100,20,60,-30,0,20,100,0.6,False,2.072,0
scenario185,c4,right,base,left,base,80,80,0,60,-60,20,20,80,0.8,False,3448.891,0
scenario186,c2,base,left,right,base,40,100,0,40,60,0,0,60,0.8,False,91.929,0
scenario187,c4,left,base,right,base,100,100,20,100,30,20,0,60,0.8,False,2.624,0
scenario188,c4,right,base,left,base,0,100,0,60,-30,20,100,40,0.8,False,26.337,0
scenario189,c2,right,left,base,left,0,100,0,100,-90,60,80,80,1.0,True,0.0,1
scenario190,c1,left,right,base,left,100,80,60,60,-30,20,40,40,1.0,False,4.631,0
scenario191,c2,base,left,right,base,80,100,0,80,60,0,0,40,0.8,False,565.321,0
scenario192,c2,base,left,right,left,100,40,20,100,0,20,0,40,0.6,False,3.528,0
scenario193,c1,base,right,left,right,40,100,0,80,90,60,20,40,1.0,False,3.369,0
scenario194,c1,base,right,left,right,0,80,20,20,-30,20,80,40,0.6,False,2.784,0
scenario195,c1,base,left,left,right,100,20,60,80,-60,40,40,40,1.0,False,2.562,0
scenario196,c4,right,base,left,base,0,100,60,0,-60,20,60,20,0.6,False,82.435,0
scenario197,c4,left,base,right,base,80,20,0,100,0,40,0,0,0.8,False,3.969,0
scenario198,c1,base,right,left,right,60,100,0,0,60,40,20,40,0.8,False,2.295,0
