Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_TimeOfDay,feature_StartEgo,collision,min_ttc,algo_safety
scenario127,c1,right,40,0.8,80,base_left_lane,60,0,100,left,60,0,30,left,0,0.9754994148582632,0
scenario128,c2,left,40,1.0,20,right,40,60,80,left,0,60,-90,base,0,2.681632395664939,0
scenario129,c4,base,60,0.6,60,right,20,80,0,base,20,80,0,left,0,2.610044198286998,0
scenario130,c2,base,20,1.0,100,base_left_lane,100,0,80,left,40,60,-90,right,0,2.534648227762928,0
scenario131,c2,base,60,0.6,0,base_left_lane,40,100,40,left,40,20,90,right,0,2.7211961202007773,0
scenario132,c1,right,60,1.0,0,base_left_lane,0,80,60,left,0,60,-30,left,0,0.8553456204106527,0
scenario133,c4,base,40,0.2,40,left,60,100,100,right,40,80,60,right,0,0.7612535409327428,0
scenario134,c4,right,40,0.2,20,right,80,100,80,base,80,40,60,left,0,4.102193672216608,0
scenario135,c4,base,40,0.8,100,left,80,40,80,right,60,80,90,right,0,0.9790969783134288,0
scenario136,c1,left,0,0.2,60,left,60,0,60,right,100,100,-90,base,0,3.334178780102988,0
scenario137,c2,base,40,0.6,40,base_left_lane,60,0,80,left,80,100,-60,right,0,2.5717855295600787,0
scenario138,c4,right,0,0.1,20,right,40,80,80,base,0,80,90,left,0,4.997662888069504,0
scenario139,c4,right,80,0.8,40,right,40,40,0,base,0,80,0,left,0,3.80822600929916,0
scenario140,c1,right,60,0.2,80,left,100,100,0,right,20,100,-30,base,0,3.3527636523434974,0
scenario141,c1,right,100,0.2,80,base,20,20,60,right,100,60,0,left,0,3.1595255740555346,0
scenario142,c1,left,20,0.2,60,left,40,100,60,right,20,20,30,base,0,2.976712364876404,0
scenario143,c1,right,0,0.1,80,left,20,100,80,right,100,0,-60,base,0,2.0842174311673056,0
scenario144,c4,base,100,0.8,40,left,80,100,0,right,20,100,90,right,0,1.0072938234164457,0
scenario145,c2,base,100,1.0,60,base_left_lane,20,0,100,left,0,60,30,right,0,3.082809007521229,0
scenario146,c2,left,80,0.4,20,right,60,20,20,base,0,20,-90,base,0,1.7402474966952075,0
scenario147,c2,left,20,0.1,40,base_left_lane,100,100,40,left,0,100,-90,right,0,3.6132080595941583,0
scenario148,c4,base,40,0.8,60,right,60,40,0,base,100,40,60,left,0,2.8149110709127863,0
scenario149,c2,left,40,0.1,40,right,40,40,100,base,80,100,90,base,0,1.648471074456875,0
scenario150,c1,right,60,0.2,20,base_left_lane,80,80,100,left,80,0,60,left,0,1.206323423534505,0
scenario151,c1,right,20,1.0,0,left,0,80,80,right,20,20,-90,base,0,4.485351902141349,0
scenario152,c2,base,20,0.6,100,base_left_lane,60,0,60,left,100,0,60,right,0,3.821010123798769,0
