Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_TimeOfDay,feature_StartEgo,collision,min_ttc,algo_safety
scenario176,c4,base,100,0.6,80,right,0,60,40,base,60,20,30,left,0,1.9108804944938944,0
scenario177,c2,base,80,0.6,80,base_left_lane,40,0,0,left,60,0,60,right,0,3.709182466727923,0
scenario178,c1,right,20,0.6,40,base,60,0,20,right,0,60,90,left,0,3.670626220828484,0
scenario179,c1,right,40,0.6,100,left,60,0,100,right,40,20,-60,base,0,4.097226788728471,0
scenario180,c1,right,80,0.1,40,left,0,60,0,right,20,40,60,base,0,4.456337083435999,0
scenario181,c1,right,60,0.8,100,left,20,60,60,right,80,20,90,base,0,3.59418899685508,0
scenario182,c4,base,20,0.6,60,left,0,80,100,base,60,60,0,right,0,2.7125452956981286,0
scenario183,c4,base,60,0.8,0,right,80,100,60,base,20,0,-90,left,0,2.372980956395988,0
scenario184,c4,base,0,0.6,60,left,20,40,60,base,0,20,30,right,0,2.721687120862606,0
scenario185,c1,left,40,0.2,80,left,60,100,80,right,60,20,60,base,0,2.408765933305289,0
scenario186,c2,base,100,0.2,0,base_left_lane,80,100,0,left,80,40,0,right,0,5.21682822150526,0
scenario187,c1,right,0,0.2,20,left,80,0,40,right,80,100,90,base,0,3.731321694175359,0
scenario188,c1,right,0,1.0,60,left,20,20,20,right,40,20,30,base,0,3.2332619127015847,0
scenario189,c1,right,100,0.2,100,left,80,100,60,right,100,100,0,base,0,3.38288536824519,0
scenario190,c4,base,0,1.0,80,right,100,0,60,base,100,60,-60,left,0,2.387291008735644,0
scenario191,c4,base,40,1.0,60,left,0,60,40,base,0,60,-30,right,0,2.576277325102506,0
scenario192,c1,right,40,1.0,100,left,80,80,60,right,60,40,0,base,0,1.5988665395525952,0
scenario193,c2,left,60,1.0,80,right,80,60,100,left,60,100,-90,base,0,3.5876535667830725,0
scenario194,c1,right,0,1.0,100,left,40,80,40,right,100,40,30,base,0,2.175953051255252,0
scenario195,c2,left,20,0.2,0,base_left_lane,20,40,40,left,80,80,-60,right,0,3.164189949862141,0
scenario196,c2,left,80,0.4,0,base_left_lane,80,60,80,left,20,60,0,right,0,3.797360251079848,0
scenario197,c1,right,0,0.8,80,left,40,80,100,right,80,0,60,base,0,2.982828345435761,0
scenario198,c1,right,20,0.2,0,base_left_lane,100,40,20,left,80,80,90,left,0,1.178695770408815,0
scenario199,c2,base,0,0.6,100,base_left_lane,40,60,60,left,80,60,-60,right,0,3.455498905915229,0
scenario200,c2,left,80,0.6,60,base_left_lane,40,40,60,left,60,20,30,right,0,2.630289467192093,0
scenario201,c4,base,100,0.6,60,right,100,0,80,base,20,40,-60,left,0,2.176684842113816,0
scenario202,c1,right,0,0.4,0,base_left_lane,20,20,20,left,40,100,30,left,0,1.0210823104875053,0
scenario203,c2,left,60,0.6,20,base_left_lane,60,60,80,left,80,20,30,right,0,4.785556927328178,0
scenario204,c1,right,20,0.8,100,left,40,0,80,right,60,100,-90,base,0,4.506168978430325,0
scenario205,c4,base,100,0.1,0,right,80,100,80,base,100,80,-60,left,0,2.620190262965756,0
scenario206,c4,base,60,0.2,80,left,0,20,60,right,80,20,-30,right,1,0.0,1
scenario207,c2,left,100,0.4,80,right,60,100,60,left,0,0,-30,base,0,3.621904493987113,0
scenario208,c4,base,60,1.0,60,right,0,0,40,base,80,0,-90,left,0,4.237874910204067,0
scenario209,c4,right,60,1.0,60,right,60,20,60,base,0,0,60,left,0,4.449395029282995,0
scenario210,c4,base,0,0.1,20,right,40,0,0,base,40,20,0,left,0,2.419015932289785,0
scenario211,c4,right,100,1.0,60,right,20,60,20,base,60,80,30,left,0,6.328056010645984,0
scenario212,c1,right,20,0.2,80,base,60,0,40,right,60,40,-90,left,0,3.7032523364574,0
scenario213,c4,base,40,0.1,40,right,60,20,80,base,20,40,-90,left,0,2.042985469390964,0
scenario214,c1,right,20,0.6,40,base_left_lane,100,20,80,left,80,40,-90,left,0,1.1727306146850236,0
scenario215,c2,left,40,0.2,20,base_left_lane,20,20,80,left,100,100,-60,right,0,1.295245380899403,0
scenario216,c2,base,80,0.1,0,base_left_lane,60,100,60,left,60,0,-90,right,0,3.2623741175567287,0
scenario217,c2,left,40,0.2,60,base_left_lane,60,100,80,left,100,40,0,right,0,2.030440740368592,0
scenario218,c4,base,80,0.2,80,right,60,20,80,base,20,0,60,left,0,2.664068619486938,0
scenario219,c2,left,60,0.4,0,base_left_lane,60,0,0,left,40,20,-60,right,0,4.853877213546476,0
scenario220,c4,base,60,0.8,100,right,20,0,100,base,40,100,-30,left,0,2.048250960468443,0
scenario221,c2,left,100,0.1,0,right,40,0,0,base,60,80,-30,base,0,2.0177629840526405,0
scenario222,c2,left,60,1.0,100,base_left_lane,0,20,40,left,0,0,30,right,0,3.439641946236722,0
scenario223,c4,right,100,0.8,60,right,0,40,0,base,40,0,0,left,0,4.099534276218903,0
scenario224,c4,base,0,0.6,100,left,80,80,0,base,0,0,-90,right,0,2.795944722992044,0
scenario225,c1,left,0,0.1,0,left,80,60,80,right,60,40,30,base,0,2.6879884595653443,0
scenario226,c4,base,80,0.4,40,right,60,100,60,base,0,0,60,left,0,3.146882826458432,0
scenario227,c2,left,100,1.0,20,right,40,80,60,left,20,40,0,base,0,3.235890900002268,0
scenario228,c4,base,80,0.4,20,right,20,20,20,base,60,20,-30,left,0,2.617994342941833,0
scenario229,c4,base,60,1.0,20,left,0,40,40,base,20,60,0,right,0,6.944951826175938,0
scenario230,c4,base,40,0.4,0,left,0,40,80,right,0,100,90,right,0,0.7548298980797377,0
scenario231,c2,left,60,0.1,40,base_left_lane,60,100,0,left,20,20,-60,right,0,4.661309872689309,0
scenario232,c4,right,80,0.2,40,right,100,60,100,base,0,0,60,left,0,4.6662176059691145,0
scenario233,c2,left,60,0.4,0,right,0,20,100,left,100,20,30,base,0,3.13595397685425,0
scenario234,c1,right,60,0.1,60,left,100,0,60,right,60,20,-60,base,0,4.159178347464841,0
scenario235,c4,base,100,0.2,100,right,100,40,20,base,40,20,90,left,0,2.829879907736953,0
scenario236,c2,left,20,1.0,0,base_left_lane,80,20,40,left,0,60,60,right,0,4.118637301678621,0
scenario237,c2,left,40,0.4,100,right,0,40,60,base,20,60,90,base,0,1.6605510530809484,0
scenario238,c1,right,100,1.0,0,left,60,100,100,right,40,40,-30,base,0,4.102137502260447,0
scenario239,c1,left,20,0.2,100,left,100,80,100,right,80,60,0,base,0,1.9717194110706424,0
scenario240,c2,base,40,0.2,80,base_left_lane,40,80,40,left,40,40,0,right,0,3.0958929613453225,0
scenario241,c1,right,100,1.0,0,left,20,80,20,right,20,60,-30,base,0,2.086268607768506,0
scenario242,c2,left,0,1.0,60,right,60,0,20,base,100,100,-60,base,0,1.582655236706814,0
scenario243,c2,left,100,1.0,100,base_left_lane,100,40,80,left,20,100,-30,right,0,2.908631901362136,0
scenario244,c2,base,80,0.4,100,base_left_lane,20,100,80,left,60,80,-90,right,0,4.032944476270623,0
scenario245,c2,left,100,0.6,20,base_left_lane,20,40,0,left,20,20,30,right,0,3.602026929978021,0
scenario246,c1,right,0,0.6,20,left,100,60,0,right,40,40,30,base,0,2.964547526488629,0
scenario247,c2,left,0,0.4,40,right,100,80,80,base,80,0,0,base,0,1.5955942359666528,0
scenario248,c2,left,40,0.2,60,base_left_lane,20,20,0,left,100,80,90,right,0,6.164721037961322,0
scenario249,c4,base,20,0.2,80,left,100,40,60,right,60,20,-30,right,0,0.9299505929500206,0
scenario250,c2,left,0,0.1,60,base_left_lane,60,100,60,left,40,0,-30,right,0,3.671846625273481,0
scenario251,c2,base,60,0.4,60,base_left_lane,20,100,80,left,40,40,0,right,0,3.285485340414208,0
scenario252,c1,right,40,0.8,20,left,0,20,20,right,0,40,90,base,0,2.0666317541721333,0
scenario253,c4,right,0,0.6,60,right,20,0,60,base,40,80,-30,left,0,5.665907048139797,0
scenario254,c4,base,20,1.0,20,right,40,20,100,base,0,0,30,left,0,2.237818416061102,0
scenario255,c1,right,40,1.0,0,base_left_lane,0,60,20,left,40,100,-30,left,0,0.9954303826816794,0
scenario256,c1,right,0,0.8,20,left,80,80,80,right,0,80,-90,base,0,1.7670299856156653,0
scenario257,c4,base,40,1.0,0,right,40,20,40,base,80,0,-90,left,0,1.760021715994795,0
scenario258,c2,base,0,1.0,60,base_left_lane,40,80,100,left,100,20,-30,right,0,3.306050755742702,0
scenario259,c1,right,60,0.2,60,left,40,0,60,right,0,40,0,base,0,2.1064689554417435,0
scenario260,c2,left,80,0.4,40,right,0,0,40,base,80,20,-30,base,0,1.8254378603242405,0
scenario261,c4,base,80,0.6,20,right,60,40,60,base,20,60,30,left,0,2.2348849360444896,0
scenario262,c2,left,80,0.2,0,right,60,80,20,left,0,0,-60,base,0,1.9110254522655483,0
scenario263,c1,right,100,1.0,0,base,100,20,60,right,100,80,60,left,0,3.2931687061028194,0
scenario264,c2,left,40,0.2,0,right,60,100,60,base,80,80,-60,base,0,1.5891879145389558,0
scenario265,c4,base,0,1.0,60,right,80,100,100,base,20,20,30,left,0,1.8808173195922464,0
scenario266,c2,base,40,0.2,100,base_left_lane,60,40,20,left,20,40,90,right,0,3.1167137411703143,0
scenario267,c2,left,20,0.8,80,base_left_lane,20,40,20,left,100,0,60,right,0,4.744426396848035,0
scenario268,c2,left,100,0.4,40,base_left_lane,100,0,20,left,80,100,30,right,0,4.909218698838664,0
scenario269,c1,right,60,0.2,60,left,40,100,60,right,60,0,60,base,0,2.4518305093926465,0
