Instances,feature_TimeOfDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario150,0,60,20,0,20,40,0.8,80,20,20,40,20,c4,1e-05,left,right,right,base,0,3.970765707573954,0
scenario151,-60,20,60,0,40,60,0.8,80,20,20,40,40,c1,1e-05,left,right,base,right,0,3.249790959182034,0
scenario152,60,20,40,60,0,40,0.8,40,60,20,40,40,c2,1e-05,right,base,base,left,1,0.0,1
scenario153,30,20,20,0,80,0,0.6,0,100,20,40,40,c4,1e-05,right,base,left,right,0,0.7442016199380295,0
scenario154,-30,40,80,0,100,0,0.6,0,100,20,40,60,c1,1e-05,left,right,base,left,0,3.4809700893417035,0
scenario155,30,20,60,0,80,40,0.6,80,20,20,40,60,c2,1e-05,base,left,right,left,0,3.4028407594681003,0
scenario156,0,20,40,60,100,40,0.6,100,0,20,40,60,c4,1e-05,left,base,right,base,0,2.3441802684348767,0
scenario157,-30,60,60,0,40,0,0.8,0,100,20,40,80,c1,1e-05,base,left,left,right,0,3.685347878097971,0
scenario158,-90,40,80,100,100,60,0.6,100,0,20,40,80,c2,1e-05,base,left,right,base,0,1.5957733937930405,0
scenario159,-30,40,40,40,100,100,0.1,100,0,20,40,80,c4,1e-05,right,base,left,base,0,2.31055630312861,0
scenario160,30,40,40,20,20,60,0.2,60,40,20,40,100,c1,1e-05,base,right,left,right,0,2.627121381093194,0
scenario161,30,60,20,40,0,0,0.8,40,60,20,40,100,c2,1e-05,right,left,base,left,1,0.0,1
scenario162,-60,20,100,0,40,60,0.6,0,100,20,40,100,c4,1e-05,left,right,right,base,0,3.911468908433016,0
scenario163,-60,40,100,20,80,60,0.6,40,60,20,60,0,c1,1e-05,left,right,base,right,0,3.6476761754718776,0
scenario164,-30,20,60,40,100,60,0.6,60,40,20,60,0,c2,1e-05,right,base,base,left,0,2.6907511640956896,0
scenario165,-30,60,80,60,0,0,0.8,40,60,20,60,0,c4,1e-05,right,base,left,right,0,0.2816237426033985,1
scenario166,30,80,40,0,0,0,0.8,80,20,20,60,20,c1,1e-05,left,right,base,left,0,3.968965998024564,0
scenario167,-30,20,100,40,100,0,0.6,60,40,20,60,20,c2,1e-05,base,left,right,left,0,2.9439822314564714,0
scenario168,30,60,100,0,0,100,0.2,80,20,20,60,20,c4,1e-05,left,base,right,base,0,2.588595992911068,0
scenario169,-90,0,40,0,0,80,0.4,40,60,20,60,40,c1,1e-05,base,left,left,right,0,2.278711564556577,0
scenario170,-90,60,60,40,100,100,0.1,40,60,20,60,40,c2,1e-05,base,left,right,base,0,1.738984728200032,0
