Instances,feature_TimeOfDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario69,-60,20,100,0,0,0,0.8,0,100,0,60,80,c4,0.00664,left,base,right,base,0,2.32627361816486,0
scenario70,60,20,100,0,0,0,0.8,0,100,0,60,100,c1,0.00591,base,left,left,right,0,3.03416985663544,0
scenario71,90,20,80,0,0,0,0.8,0,100,0,60,100,c2,0.00611,right,base,base,left,0,1.9438973913943427,0
scenario72,30,20,100,0,0,0,0.8,0,100,0,60,100,c4,0.00574,right,base,left,right,0,0.9109183894236074,0
scenario73,-60,20,60,0,0,0,0.8,0,100,0,80,0,c1,0.00587,base,right,left,right,0,3.1133772536098485,0
scenario74,-90,40,60,0,0,0,0.8,0,100,0,80,0,c2,0.00583,right,left,base,left,0,3.063577786957393,0
scenario75,-90,40,100,0,0,0,0.8,0,100,0,80,0,c4,0.00499,right,base,left,base,0,2.6595903968940564,0
scenario76,-90,60,40,0,0,0,0.8,0,100,0,80,20,c1,0.00481,left,right,base,right,0,3.1454705729450696,0
scenario77,-90,60,80,0,0,0,0.8,0,100,0,80,20,c2,0.00442,base,left,right,left,0,3.1170021058786346,0
scenario78,-90,40,20,0,0,0,0.8,0,100,0,80,20,c4,0.00368,left,right,right,base,0,4.47795713369267,0
scenario79,90,60,40,0,0,0,0.8,0,100,0,80,40,c1,0.00319,left,right,base,left,0,3.7240577202995753,0
scenario80,0,40,40,0,0,0,0.8,0,100,0,80,40,c2,0.00296,base,left,right,base,0,1.734665249689167,0
scenario81,-30,40,40,0,0,0,0.8,0,100,0,80,40,c4,0.00294,left,base,right,base,0,2.955514231232032,0
scenario82,-30,40,80,0,0,0,0.8,0,100,0,80,60,c1,0.0029,base,left,left,right,0,2.045588436814199,0
scenario83,90,40,20,0,0,0,0.8,0,100,0,80,60,c2,0.00293,right,base,base,left,0,2.727126024149391,0
scenario84,-60,60,20,0,0,0,0.8,0,100,0,80,60,c4,0.00276,right,base,left,right,0,0.9762820086572908,0
scenario85,60,60,40,0,0,0,0.8,0,100,0,80,80,c1,0.00278,base,right,left,right,0,2.2189583577318825,0
scenario86,0,40,100,0,0,0,0.8,0,100,0,80,80,c2,0.00283,right,left,base,left,0,2.615146188070653,0
scenario87,30,60,40,0,0,0,0.8,0,100,0,80,80,c4,0.00273,right,base,left,base,0,2.8468129793711183,0
scenario88,30,40,80,0,0,0,0.8,0,100,0,80,100,c1,0.00264,left,right,base,right,0,3.715091517384891,0
scenario89,60,40,20,0,0,0,0.8,0,100,0,80,100,c2,0.00264,base,left,right,left,0,2.2450811141289617,0
scenario90,30,40,60,0,0,0,0.8,0,100,0,80,100,c4,0.0027,left,right,right,base,0,4.014545956162255,0
scenario91,-60,40,40,0,0,0,0.8,0,100,0,100,0,c1,0.00273,left,right,base,left,0,3.5153484409744835,0
scenario92,60,40,60,0,0,0,0.8,0,100,0,100,0,c2,0.00243,base,left,right,base,0,1.7492171055555483,0
scenario93,-60,60,100,0,0,0,0.8,0,100,0,100,0,c4,0.00236,left,base,right,base,0,3.4828232837004247,0
scenario94,90,60,80,0,0,0,0.8,0,100,0,100,20,c1,0.00239,base,left,left,right,0,2.5981998817338137,0
scenario95,-90,20,60,0,20,40,0.8,0,100,0,100,20,c2,0.00245,right,base,base,left,0,2.304793035622072,0
scenario96,0,60,80,0,0,0,0.8,0,100,0,100,20,c4,0.00241,right,base,left,right,0,0.9268755861218791,0
scenario97,-90,20,80,0,20,40,0.8,0,100,0,100,40,c1,0.0025,base,right,left,right,0,3.15515606207318,0
scenario98,-60,40,80,0,0,0,0.8,0,100,0,100,40,c2,0.00247,right,left,base,left,0,3.1422160747806047,0
scenario99,30,40,20,0,0,0,0.8,0,100,0,100,40,c4,0.00247,right,base,left,base,0,4.870599165661638,0
scenario100,0,60,60,0,0,0,0.8,0,100,0,100,60,c1,0.0022,left,right,base,right,0,3.8865559692428655,0
scenario101,60,60,100,0,0,0,0.8,0,100,0,100,60,c2,0.00245,base,left,right,left,0,2.8024107716268656,0
scenario102,60,40,80,0,0,0,0.8,0,100,0,100,60,c4,0.00238,left,right,right,base,0,4.172600817923563,0
scenario103,-30,60,100,0,0,0,0.8,0,100,0,100,80,c1,0.00225,left,right,base,left,0,3.785242700946053,0
scenario104,90,40,100,0,0,0,0.8,0,100,0,100,80,c2,0.00218,base,left,right,base,0,1.7302158170859188,0
scenario105,90,40,60,0,0,0,0.8,0,100,0,100,80,c4,0.002,left,base,right,base,0,2.611470547756559,0
scenario106,30,60,100,0,0,0,0.8,0,100,0,100,100,c1,0.00203,base,left,left,right,0,1.766105365017276,0
scenario107,-60,60,60,0,0,0,0.8,0,100,0,100,100,c2,0.00201,right,base,base,left,0,2.898351262462888,0
scenario108,-30,60,60,0,0,0,0.8,0,100,0,100,100,c4,0.00216,right,base,left,right,0,0.8925298951555152,0
scenario109,-90,20,40,0,0,0,0.8,0,100,20,0,0,c1,0.01566,base,right,left,right,1,0.0,1
scenario110,-90,20,80,0,0,0,0.8,0,100,20,0,0,c2,0.01571,right,left,base,left,0,3.2842267318531024,0
scenario111,-90,20,40,0,0,0,0.8,0,100,20,0,0,c4,0.01594,right,base,left,base,0,3.707853022123165,0
scenario112,-90,20,40,0,0,0,0.8,0,100,20,0,20,c1,0.01578,left,right,base,right,0,3.3924551757289656,0
scenario113,-90,20,80,0,0,0,0.8,0,100,20,0,20,c2,0.01574,base,left,right,left,0,1.9666894967135813,0
scenario114,-90,20,40,0,0,0,0.8,0,100,20,0,20,c4,0.01534,left,right,right,base,0,4.324054876712624,0
scenario115,-90,20,60,0,0,0,0.8,0,100,20,0,40,c1,0.01526,left,right,base,left,0,4.082008547739239,0
scenario116,-90,20,40,0,0,0,0.8,0,100,20,0,40,c2,0.01565,base,left,right,base,0,1.785386731607205,0
scenario117,-90,20,40,0,0,0,0.8,0,100,20,0,40,c4,0.0161,left,base,right,base,0,2.205922154280536,0
scenario118,-90,20,60,0,0,0,0.8,0,100,20,0,60,c1,0.01513,base,left,left,right,0,1.9883404403719909,0
scenario119,-90,20,80,0,0,0,0.8,0,100,20,0,60,c2,0.01534,right,base,base,left,0,2.490009954730499,0
scenario120,-90,20,80,0,0,0,0.8,0,100,20,0,60,c4,0.01513,right,base,left,right,0,0.8462861261039263,0
scenario121,-90,20,40,0,0,0,0.8,0,100,20,0,80,c1,0.01526,base,right,left,right,0,2.5763102168416063,0
scenario122,-90,20,40,0,0,0,0.8,0,100,20,0,80,c2,0.01639,right,left,base,left,0,3.87813717856387,0
scenario123,-90,20,40,0,0,0,0.8,0,100,20,0,80,c4,0.01573,right,base,left,base,0,2.7012697739267058,0
scenario124,-90,20,40,0,0,0,0.8,0,100,20,0,100,c1,0.01548,left,right,base,right,0,3.5689805846192626,0
scenario125,-90,20,40,0,0,0,0.8,0,100,20,0,100,c2,0.01557,base,left,right,left,0,3.911547566503121,0
scenario126,-90,20,20,0,20,40,0.8,0,100,20,0,100,c4,0.00193,left,right,right,base,0,3.84267619206355,0
scenario127,-30,60,20,0,0,0,0.8,0,100,20,20,0,c1,0.002,left,right,base,left,0,4.367370109743352,0
scenario128,-90,20,40,0,0,0,0.8,0,100,20,20,0,c2,0.01581,base,left,right,base,0,1.7723001863352923,0
scenario129,-90,20,100,0,0,0,0.8,80,20,20,20,0,c4,0.002,left,base,right,base,0,1.236499669616665,0
scenario130,-90,20,60,0,0,0,0.8,0,100,20,20,20,c1,0.01543,base,left,left,right,0,2.744010461459879,0
