instances,pathinteraction,feature_goalego,feature_windintensity,feature_roadfriction,feature_fogdistance,feature_startother,feature_precipitationdeposits,feature_cloudiness,feature_fogdensity,feature_goalother,feature_precipitation,feature_wetness,feature_startego,collision,min_ttc,algo_safety
scenario138,c1,2,0,1.0,0,1,0,100,20,1,60,20,1,1,0.0,1
scenario139,c1,1,80,0.6,20,2,80,60,100,2,40,20,0,0,2.725058509289992,0
scenario140,c1,2,80,0.6,40,2,0,60,40,2,0,0,0,1,0.0,1
scenario141,c2,1,20,0.6,40,3,0,60,40,1,40,0,0,0,4.942968655519032,0
scenario142,c4,0,100,0.2,60,3,60,20,0,0,100,40,1,0,9999.0,0
scenario143,c4,0,0,1.0,40,2,80,20,60,2,80,80,2,1,0.0,1
scenario144,c2,1,60,0.1,40,1,40,60,60,1,60,0,2,0,2.8064278862265204,0
scenario145,c4,0,100,1.0,20,3,80,40,100,0,60,80,1,1,0.0,1
scenario146,c2,1,60,0.4,60,1,60,80,60,1,60,60,2,0,3.4318260052547087,0
scenario147,c1,2,0,0.8,80,0,0,80,20,2,80,0,1,0,3.949723897280194,0
scenario148,c2,1,20,1.0,100,1,20,100,20,1,60,0,2,0,9999.0,0
scenario149,c1,2,100,0.4,100,2,60,40,20,2,0,80,0,0,4.7915044768448505,0
scenario150,c1,1,100,0.4,100,2,80,60,60,2,0,80,0,0,8.104225487877052,0
scenario151,c4,2,20,0.6,100,3,100,20,20,0,60,40,1,0,9999.0,0
scenario152,c1,2,100,0.1,100,2,40,100,20,2,40,40,0,0,9999.0,0
scenario153,c2,0,0,0.6,100,1,20,60,80,1,40,100,2,0,3.3040320077514767,0
scenario154,c1,2,60,0.4,0,2,40,100,80,2,100,20,0,0,4.747370634532008,0
scenario155,c4,0,100,0.2,20,3,20,100,40,0,60,0,1,1,0.0,1
scenario156,c2,1,60,0.1,40,3,20,40,80,1,80,20,0,0,3.869206394841915,0
scenario157,c2,1,40,0.2,80,1,0,80,0,1,40,0,2,0,9999.0,0
scenario158,c4,0,20,0.6,40,2,0,100,0,2,60,20,2,1,0.0,1
scenario159,c1,2,80,0.6,100,2,80,0,0,2,60,0,0,0,9999.0,0
scenario160,c2,1,0,0.6,100,3,100,100,20,0,0,20,0,0,2.6478759552868114,0
scenario161,c4,0,80,0.2,60,3,60,40,60,0,80,80,1,1,0.0,1
scenario162,c2,1,100,0.4,80,3,20,40,40,0,80,100,0,0,3.5871164943899183,0
scenario163,c2,1,100,0.8,20,1,20,20,0,1,20,0,2,0,3.3417507312170525,0
scenario164,c2,1,60,0.2,40,1,100,0,0,1,40,80,2,0,2.267250717708841,0
scenario165,c4,0,0,0.8,20,2,100,20,20,2,60,0,2,1,0.0,1
scenario166,c2,1,60,0.6,100,1,80,100,0,1,20,0,2,0,9999.0,0
scenario167,c4,2,80,0.1,60,3,0,40,0,0,40,20,1,0,9999.0,0
scenario168,c2,0,80,0.8,60,1,100,100,40,1,80,100,2,0,3.426457413906164,0
scenario169,c1,2,20,0.2,0,2,100,0,40,2,60,100,0,0,5.393404428873867,0
scenario170,c1,2,80,0.4,40,0,100,0,60,2,40,0,1,0,2.789094053102819,0
scenario171,c1,1,20,0.6,0,2,100,40,60,2,40,0,0,0,3.8867796208307146,0
scenario172,c4,0,0,0.6,60,3,100,100,80,0,20,60,1,1,0.0,1
scenario173,c1,2,40,0.2,0,2,80,0,40,2,80,100,0,0,5.00645677912312,0
scenario174,c2,0,20,0.1,80,1,60,40,100,1,20,0,2,0,3.358985313609207,0
scenario175,c2,1,80,0.6,20,3,40,100,100,0,0,60,0,0,2.8722276104933986,0
scenario176,c2,0,60,0.6,100,1,20,100,80,1,80,60,2,0,9999.0,0
scenario177,c1,1,60,0.1,40,2,20,40,20,2,0,20,0,0,8.258736695093653,0
scenario178,c4,0,60,0.1,60,3,60,60,0,0,40,60,1,0,9999.0,0
scenario179,c2,1,0,0.4,100,1,100,80,100,1,40,40,2,0,2.878150277720832,0
scenario180,c1,2,100,0.6,40,2,20,40,40,2,100,40,0,0,4.614778580697577,0
scenario181,c2,0,20,0.8,60,1,0,100,60,1,100,40,2,0,3.143021094199696,0
scenario182,c4,0,100,0.8,40,3,100,20,40,0,0,60,1,1,0.0,1
scenario183,c2,0,60,0.4,0,1,100,80,20,1,80,60,2,0,3.411828096774758,0
scenario184,c4,0,100,1.0,20,3,60,80,20,0,60,60,1,1,0.0,1
scenario185,c4,0,100,0.6,80,2,40,20,100,2,60,0,2,1,0.0,1
scenario186,c4,0,80,0.1,100,2,20,0,40,0,100,80,2,0,3.0586067672262374,0
scenario187,c1,2,40,0.4,60,1,0,80,40,1,40,100,1,1,0.0,1
scenario188,c1,2,100,0.4,40,2,60,20,60,2,80,100,0,0,4.983294344320726,0
scenario189,c1,1,40,0.4,0,2,0,40,20,2,100,80,0,0,4.688592098604255,0
scenario190,c1,2,0,0.6,100,2,80,40,100,2,100,20,0,0,4.99960464647089,0
scenario191,c4,2,80,0.6,20,3,20,60,60,0,60,60,1,1,0.0,1
scenario192,c2,1,0,0.4,0,1,80,100,0,1,20,20,2,0,9999.0,0
scenario193,c4,0,100,0.2,60,3,20,0,80,0,40,0,1,1,0.0,1
scenario194,c2,0,0,1.0,60,1,20,40,80,1,20,20,2,0,3.4612854364244914,0
scenario195,c4,0,100,0.6,20,3,40,0,0,0,0,80,1,0,9999.0,0
scenario196,c1,2,100,0.8,20,2,100,0,80,2,40,0,0,0,5.511857385754457,0
scenario197,c4,0,80,1.0,100,2,60,80,80,2,20,0,2,1,0.0,1
scenario198,c4,0,40,0.4,80,3,40,60,100,0,0,100,1,1,0.0,1
scenario199,c4,0,100,1.0,0,3,60,40,80,0,100,80,1,1,0.0,1
scenario200,c2,1,80,0.8,80,3,0,0,0,0,40,0,0,0,3.985048709678381,0
scenario201,c4,0,20,0.2,40,3,80,80,40,0,20,20,1,1,0.0,1
scenario202,c4,0,80,0.6,20,3,100,20,40,0,100,100,1,1,0.0,1
scenario203,c2,1,20,0.1,80,1,100,100,0,1,80,0,2,0,5.925225038032257,0
scenario204,c2,1,60,0.4,60,1,100,40,20,1,40,100,2,0,5.619849808493388,0
scenario205,c2,1,20,0.4,100,1,80,40,80,1,80,80,2,0,3.086903711438719,0
scenario206,c2,0,0,0.2,80,1,80,0,40,1,40,40,2,0,5.149806572949051,0
scenario207,c4,2,80,0.6,20,3,100,100,80,0,60,100,1,1,0.0,1
scenario208,c2,1,20,0.6,0,1,40,100,40,1,40,60,2,0,3.283755424685568,0
