Row,timeofday,direction,roadfriction,fogdensity,precipitation,precipitationdeposits,cloudiness,windintensity,wetness,fogdistance
scenario69,60,0,0.8,40,40,40,40,60,20,0
scenario70,-30,1,0.1,60,40,100,0,20,20,80
scenario71,60,0,0.8,20,100,60,100,20,80,80
scenario72,-30,1,0.6,20,100,100,40,0,40,60
scenario73,60,0,0.6,60,100,20,20,40,0,40
scenario74,30,1,0.4,100,60,100,40,80,0,20
scenario75,90,0,0.8,100,20,0,40,20,0,100
scenario76,60,1,0.6,0,80,40,60,40,20,20
scenario77,-90,1,0.6,100,0,80,100,40,80,80
scenario78,-90,1,1,80,0,0,0,40,100,0
scenario79,60,1,1,100,20,20,80,100,60,100
scenario80,60,1,0.8,20,20,80,80,40,100,60
scenario81,-60,0,0.2,80,20,20,100,80,60,40
scenario82,-60,0,0.1,100,60,20,60,100,100,0
scenario83,90,0,0.8,60,0,80,0,60,40,80
scenario84,-30,1,0.4,60,80,0,40,60,80,80
scenario85,90,0,0.1,40,60,60,100,0,40,100
scenario86,30,0,0.8,40,100,0,20,0,100,20
scenario87,-90,1,0.4,0,80,20,20,20,80,60
scenario88,30,0,0.6,0,20,60,0,0,40,0
scenario89,-30,1,0.2,20,40,60,100,60,100,100
scenario90,-60,0,1,80,100,100,60,20,0,60
scenario91,-30,0,0.1,100,80,80,0,80,80,40
scenario92,-90,0,0.1,80,80,40,100,100,0,20
scenario93,30,0,0.2,0,60,40,40,40,60,60
scenario94,-90,0,0.1,60,40,20,80,60,100,40
scenario95,90,1,0.4,80,40,20,60,40,60,20
scenario96,-30,0,0.6,60,60,60,40,80,100,0
scenario97,0,1,0.2,100,100,80,40,100,0,80
scenario98,90,0,0.4,20,20,100,60,80,20,40
scenario99,0,1,0.8,60,60,40,60,60,0,100
scenario100,-90,0,0.6,20,20,20,0,100,20,100
scenario101,-30,1,0.1,0,40,80,40,60,60,60
scenario102,0,1,0.2,100,40,0,80,80,20,60
scenario103,-30,0,0.6,40,0,80,20,0,60,40
scenario104,90,1,0.6,80,20,0,20,20,100,80
scenario105,90,0,1,100,100,100,80,20,20,0
scenario106,60,1,0.4,0,100,0,80,60,0,20
scenario107,30,1,0.8,100,100,60,0,100,20,40
scenario108,-90,1,0.8,100,60,40,80,20,80,20
scenario109,-60,0,0.6,0,40,100,40,20,60,20
scenario110,-90,0,0.4,100,0,40,0,0,0,60
scenario111,-30,0,0.8,40,20,20,100,100,80,0
scenario112,-60,0,1,100,0,60,20,80,80,100
scenario113,-60,1,0.6,80,100,80,80,60,80,0
scenario114,30,1,0.2,20,80,100,100,40,100,40
scenario115,-60,1,0.1,0,100,0,100,60,20,80
scenario116,90,0,0.6,100,100,80,60,40,100,100
scenario117,-90,1,0.2,40,40,60,60,0,80,40
scenario118,-30,1,1,80,60,40,80,80,40,80
scenario119,90,1,0.2,40,80,40,20,80,0,0
scenario120,-90,0,0.8,60,80,60,20,60,60,80
scenario121,-30,1,0.8,0,40,40,0,40,40,40
scenario122,30,1,0.8,60,20,100,20,20,80,40
scenario123,30,1,0.1,60,0,60,60,0,100,60
scenario124,0,1,0.1,40,100,0,60,20,40,0
scenario125,30,1,0.4,80,80,20,20,100,100,100
scenario126,-60,0,0.8,40,100,60,80,80,60,60
scenario127,-60,0,0.4,60,60,80,20,0,20,60
scenario128,60,0,0.2,100,20,40,60,100,80,60
scenario129,90,0,0.4,0,0,60,60,100,0,80
scenario130,-30,0,0.1,0,100,60,80,40,100,20
scenario131,0,0,1,0,80,20,0,60,100,100
scenario132,-60,1,1,60,40,0,40,0,40,0
scenario133,0,0,0.1,40,20,100,100,0,0,60
scenario134,30,1,0.1,40,60,80,80,100,20,60
scenario135,0,0,0.4,60,0,40,20,100,60,60
scenario136,90,1,0.8,100,80,0,100,0,60,20
scenario137,-90,0,0.2,100,80,100,0,20,100,80
scenario138,-30,0,0.4,80,20,80,100,20,40,20
scenario139,90,0,0.4,20,100,60,40,0,60,100
scenario140,30,1,0.4,0,60,20,60,20,20,0
scenario141,60,0,0.4,0,40,40,100,0,100,100
scenario142,90,0,0.1,100,20,40,40,0,100,40
scenario143,-30,0,0.1,20,80,60,20,20,0,20
scenario144,60,0,0.6,80,60,40,80,100,20,40
scenario145,0,1,1,0,20,80,0,100,20,20
scenario146,60,1,0.6,100,40,80,20,20,40,100
scenario147,30,0,0.1,80,80,100,40,0,80,0
scenario148,30,0,1,100,100,20,100,40,40,0
scenario149,30,1,0.6,20,0,20,80,20,60,80
scenario150,0,0,0.2,60,0,40,100,40,20,0
scenario151,30,1,0.6,60,0,0,100,80,0,40
scenario152,30,1,0.4,0,80,100,80,0,60,40
scenario153,30,0,0.4,100,20,0,0,40,80,80
scenario154,60,1,1,60,60,0,40,20,100,60
scenario155,-60,1,0.8,100,40,40,60,0,60,80
scenario156,-30,0,0.2,80,20,100,40,60,20,100
scenario157,-90,0,0.2,40,0,0,0,20,60,20
scenario158,-60,1,1,20,60,80,20,80,40,40
scenario159,30,0,1,60,40,20,20,80,60,0
scenario160,-30,1,0.1,100,40,0,0,100,100,20
scenario161,90,0,0.4,80,80,40,80,60,100,60
scenario162,0,0,0.2,80,60,20,60,80,80,80
scenario163,0,0,0.6,0,80,80,80,80,0,100
scenario164,-90,1,0.2,60,100,60,0,100,80,0
scenario165,-60,0,0.8,0,20,0,20,40,0,0
scenario166,60,0,0.8,0,60,100,0,100,40,0
scenario167,-90,1,0.6,40,20,20,40,60,0,60
scenario168,30,0,0.4,20,0,60,80,80,80,60
scenario169,-60,1,0.2,0,80,60,0,40,40,100
scenario170,90,0,0.6,60,80,100,20,80,40,60
scenario171,90,0,0.6,40,40,100,60,100,20,100
scenario172,0,1,0.2,40,20,100,80,60,40,80
scenario173,-90,0,0.8,40,60,80,0,40,0,40
scenario174,60,0,0.1,100,60,60,40,40,20,80
scenario175,-90,0,0.4,40,20,80,60,60,100,20
scenario176,60,1,1,40,100,20,0,40,60,80
scenario177,-30,1,1,20,100,20,20,60,20,40
scenario178,-60,1,0.2,20,60,20,40,0,0,0
scenario179,-30,0,0.8,0,100,100,100,80,60,80
scenario180,0,0,0.6,60,100,40,40,20,100,20
scenario181,30,0,1,20,40,40,0,20,0,60
scenario182,-30,1,1,20,0,100,60,40,0,80
scenario183,-90,0,0.2,20,60,20,80,40,20,20
scenario184,-90,1,0.1,0,100,100,60,20,80,100
scenario185,90,1,0.2,20,80,80,20,60,80,20
scenario186,30,1,1,40,0,40,40,60,80,80
scenario187,0,0,0.8,80,100,20,60,0,20,40
scenario188,-30,0,0.6,80,0,20,0,0,80,100
scenario189,90,1,0.4,80,60,0,0,80,40,0
scenario190,0,0,0.6,80,40,60,0,60,60,0
scenario191,0,1,1,20,80,0,80,100,80,0
scenario192,0,1,1,80,20,20,20,80,0,20
scenario193,-30,1,0.8,60,80,20,80,0,0,60
scenario194,0,1,0.8,100,80,20,20,40,40,60
scenario195,30,0,0.6,100,20,40,80,60,100,0
scenario196,-60,1,0.1,80,0,60,40,20,40,60
scenario197,60,0,0.4,40,80,60,0,20,100,40
scenario198,-90,0,0.4,40,100,80,80,0,20,80
scenario199,-30,1,0.1,20,60,40,100,100,60,0
scenario200,60,0,0.6,60,40,0,60,80,80,80
scenario201,60,0,1,100,80,100,60,60,0,40
scenario202,-60,0,0.1,40,40,20,20,60,40,20
scenario203,0,1,0.4,80,0,0,100,20,80,100
scenario204,0,1,0.1,80,80,0,40,80,60,40
scenario205,0,1,0.8,0,40,100,60,40,100,60
scenario206,60,1,0.8,60,40,60,60,80,0,20
scenario207,90,0,0.4,60,40,60,100,20,20,20
scenario208,-90,0,0.6,100,60,60,60,20,0,0
scenario209,-90,1,0.2,0,20,40,100,80,60,100
scenario210,0,0,0.6,60,40,20,100,100,40,80
scenario211,30,0,0.2,40,0,100,100,100,80,20
scenario212,30,1,0.8,80,60,60,100,60,100,20
scenario213,-60,1,0.4,80,20,0,60,0,100,100
scenario214,-60,0,0.8,0,60,80,100,0,80,80
scenario215,0,1,0.6,40,60,60,80,40,60,0
scenario216,-90,0,0.6,80,100,40,100,40,20,60
scenario217,90,0,0.1,100,0,0,80,80,60,0
scenario218,0,0,0.8,40,40,40,0,80,80,100
scenario219,-90,0,0.8,80,40,100,40,80,40,20
scenario220,30,0,0.2,40,80,80,40,0,40,40
scenario221,60,1,0.6,40,0,0,0,60,40,60
scenario222,-90,1,1,60,20,20,100,20,100,100
scenario223,-90,0,0.4,20,80,0,60,100,40,60
scenario224,-90,0,0.6,0,60,40,20,80,100,40
scenario225,-90,1,0.4,60,20,40,20,0,40,20
scenario226,-60,0,0.1,20,0,40,0,60,0,40
scenario227,30,1,0.1,20,40,20,40,40,80,20
scenario228,-60,0,1,0,100,0,0,100,60,60
scenario229,90,0,0.1,0,100,20,0,0,0,20
scenario230,-60,1,0.4,80,0,40,0,100,20,0
scenario231,-90,0,1,60,60,100,20,100,0,80
scenario232,-60,0,0.1,60,80,60,60,60,20,0
scenario233,-60,0,0.2,40,20,40,80,20,20,100
scenario234,-30,1,0.8,0,0,60,60,20,60,100
scenario235,60,0,1,0,80,20,100,80,80,0
scenario236,-90,0,0.4,100,20,60,100,40,60,40
scenario237,-30,0,0.4,0,0,20,40,100,40,40
scenario238,-30,0,0.2,100,0,20,20,0,100,80
scenario239,-90,0,0.4,60,20,100,40,40,60,0
scenario240,0,0,0.6,40,60,80,20,80,20,0
scenario241,0,1,1,60,40,80,80,20,0,40
scenario242,0,0,0.1,80,100,60,20,60,80,60
scenario243,30,0,0.1,80,100,40,100,20,60,100
scenario244,-90,1,0.8,0,40,80,20,100,20,20
scenario245,-60,1,1,40,80,80,60,40,20,20
scenario246,-60,1,0.6,100,0,100,40,0,20,80
scenario247,90,0,0.8,40,0,40,20,40,20,80
scenario248,-30,0,0.4,100,40,100,80,40,80,0
scenario249,30,0,0.2,0,100,80,100,60,0,20
scenario250,-90,0,0.8,20,80,0,80,0,20,0
scenario251,-60,1,0.2,100,20,80,80,40,0,20
scenario252,-30,1,0.4,40,20,40,60,80,100,60
scenario253,90,0,1,60,20,100,0,0,60,60
scenario254,90,1,0.8,20,0,0,100,100,80,40
scenario255,0,1,0.8,80,20,60,40,100,60,80
scenario256,-90,1,0.1,60,0,80,40,100,0,100
scenario257,30,1,1,20,60,100,0,80,80,100
scenario258,-60,1,0.6,100,100,60,60,100,40,20
scenario259,90,1,1,20,40,40,40,100,100,80
scenario260,90,1,1,0,60,0,20,60,40,100
scenario261,60,0,0.2,0,40,60,20,0,60,60
scenario262,60,1,0.2,20,100,20,60,80,40,100
scenario263,-60,0,0.8,60,20,60,80,100,100,40
scenario264,-30,0,0.6,100,40,60,100,100,0,60
scenario265,60,1,0.2,60,0,80,40,40,80,100
scenario266,90,1,0.1,0,20,20,40,40,80,80
scenario267,60,1,0.2,60,80,80,100,20,60,60
scenario268,0,1,0.1,0,0,0,20,20,100,80
scenario269,30,0,0.6,60,60,100,0,60,20,20
scenario270,90,1,0.8,40,0,20,40,80,100,60
scenario271,-90,0,0.1,20,20,80,60,80,60,80
scenario272,30,1,0.2,60,80,0,0,0,20,40
scenario273,-60,1,1,40,60,0,80,60,100,80
scenario274,0,0,1,60,20,60,40,0,80,20
scenario275,-90,0,0.2,80,0,60,20,40,40,40
scenario276,-90,1,0.1,40,60,0,60,40,40,40
scenario277,-30,0,0.2,20,100,80,80,100,60,0
scenario278,-60,0,0.6,80,60,80,40,40,40,20
scenario279,30,0,1,100,0,80,40,20,40,60
scenario280,60,1,0.1,80,40,100,40,100,0,40
scenario281,-60,0,0.4,40,0,20,100,40,0,100
scenario282,-30,1,1,100,0,40,100,0,100,100
scenario283,60,1,1,40,80,100,20,20,20,80
scenario284,30,0,0.4,60,100,100,60,100,40,100
scenario285,-60,0,0.1,80,20,80,0,20,60,0
scenario286,-60,1,0.8,20,100,100,40,60,100,100
scenario287,-30,0,0.8,40,60,100,100,20,20,60
scenario288,90,0,0.4,40,40,80,60,20,0,40
scenario289,0,0,0.4,20,80,100,60,20,100,20
scenario290,90,0,0.6,40,60,0,80,100,0,20
scenario291,-30,0,1,0,100,40,0,60,0,0
scenario292,90,1,0.6,80,80,60,40,20,80,40
scenario293,60,0,0.1,100,60,20,100,80,100,20
scenario294,30,0,0.2,40,40,20,40,20,0,0
scenario295,-90,0,1,0,80,60,40,60,80,60
scenario296,0,1,0.1,60,20,0,0,100,20,100
scenario297,30,0,0.8,60,80,0,60,40,0,80
scenario298,60,0,0.2,100,60,80,60,60,20,80
scenario299,0,0,0.1,80,60,20,80,20,60,20
scenario300,0,0,0.1,20,40,80,100,0,20,40
scenario301,30,1,0.1,100,20,60,20,100,60,20
scenario302,-30,0,0.2,100,100,0,80,20,100,40
scenario303,-30,1,0.4,80,20,60,0,0,0,80
scenario304,-30,1,0.2,40,80,0,100,60,40,0
scenario305,30,0,0.6,80,100,80,0,80,100,60
scenario306,60,0,0.8,100,0,0,80,0,40,40
scenario307,30,0,0.1,60,100,100,80,80,80,80
scenario308,-90,0,0.6,20,40,0,100,60,0,80
scenario309,0,1,0.4,0,0,80,80,40,40,0
scenario310,-30,1,0.6,60,20,60,20,40,40,100
scenario311,-30,1,0.1,40,100,40,60,100,80,80
scenario312,60,1,0.6,20,60,100,60,0,60,20
scenario313,0,0,0.8,20,100,20,0,80,0,0
scenario314,30,1,1,20,20,0,80,40,60,40
scenario315,-30,0,0.2,40,40,0,40,80,60,20
scenario316,30,1,0.8,20,0,40,60,60,80,20
scenario317,-90,0,0.8,80,100,20,40,60,40,80
scenario318,30,1,0.4,100,20,20,100,60,100,60
scenario319,-30,1,0.8,80,80,100,100,40,20,100
scenario320,0,0,0.4,20,40,100,20,0,0,100
scenario321,90,1,0.8,40,40,100,0,20,100,0
scenario322,90,1,0.2,0,80,40,60,20,40,80
scenario323,-60,1,1,0,80,40,100,20,80,40
scenario324,30,0,1,100,40,20,60,60,20,60
scenario325,30,1,0.1,0,0,100,0,80,40,40
scenario326,-90,0,0.4,80,80,60,60,80,80,100
scenario327,-90,0,1,80,40,80,60,0,60,0
scenario328,0,1,0.2,20,60,80,0,60,60,40
scenario329,30,0,0.8,60,40,20,40,0,20,100
scenario330,0,0,0.8,80,80,40,40,40,100,40
scenario331,-30,0,1,60,0,20,80,40,60,20
scenario332,-60,1,0.6,20,80,60,100,100,60,100
scenario333,60,0,0.6,40,20,60,80,0,20,0
scenario334,0,1,0.6,100,100,0,20,0,80,40
scenario335,-90,0,1,20,100,60,100,100,100,20
scenario336,-30,1,1,0,40,80,60,60,80,100
scenario337,-90,0,1,0,20,20,80,80,40,60
scenario338,0,1,0.4,0,20,80,40,80,100,0
scenario339,0,0,0.6,100,0,100,0,20,60,0
scenario340,-90,0,1,40,0,60,100,80,0,0
scenario341,-30,1,0.2,20,60,0,0,40,80,60
scenario342,30,1,0.1,100,60,0,20,80,0,60
scenario343,-30,1,0.1,100,60,80,80,60,100,100
scenario344,90,1,0.6,60,60,100,100,0,100,80
scenario345,90,1,0.2,60,60,60,60,40,100,60
scenario346,-30,1,0.4,80,100,0,40,100,20,60
scenario347,30,1,0.8,0,60,20,80,60,80,40
scenario348,90,0,0.1,60,80,20,100,60,20,100
scenario349,0,0,0.2,40,0,60,40,60,0,20
scenario350,0,0,0.1,100,80,40,0,40,20,60
scenario351,0,0,1,100,0,80,60,80,100,40
scenario352,60,1,0.2,60,80,0,80,100,20,80
scenario353,-30,1,0.6,0,80,80,80,0,100,80
scenario354,60,0,1,20,20,40,60,20,40,0
scenario355,0,1,0.4,40,80,100,100,80,20,80
scenario356,-90,1,0.2,0,100,40,40,0,100,80
scenario357,-60,1,0.6,60,20,40,40,80,80,60
scenario358,90,0,0.8,100,100,100,20,100,80,60
scenario359,90,0,0.4,60,60,80,80,40,20,40
scenario360,90,0,0.2,60,40,0,0,40,60,100
scenario361,90,0,0.1,0,40,100,60,60,0,0
scenario362,-60,0,1,40,80,100,80,0,40,60
scenario363,-30,0,0.4,20,20,80,20,100,0,40
scenario364,-30,1,0.8,0,20,100,0,0,80,20
scenario365,-90,0,0.6,40,60,0,40,40,80,100
scenario366,-90,0,0.4,0,40,40,0,20,40,80
scenario367,-30,0,0.8,20,0,40,20,80,20,100
scenario368,-90,0,1,40,100,40,80,100,60,40
scenario369,-60,0,0.2,80,100,100,20,40,40,80
scenario370,-60,0,0.4,80,40,100,0,80,100,40
scenario371,-60,1,0.8,60,0,20,0,20,40,20
scenario372,60,1,0.6,60,80,40,0,60,0,100
scenario373,-90,1,0.2,0,0,20,60,60,60,0
scenario374,60,0,0.1,80,20,0,20,60,20,20
scenario375,-30,1,0.8,100,20,80,80,0,20,0
scenario376,-60,1,0.8,80,80,0,20,60,0,60
scenario377,90,0,0.8,80,60,20,20,80,60,100
scenario378,60,0,0.1,20,40,60,80,80,40,40
scenario379,60,1,0.4,100,100,80,0,20,80,100
scenario380,-90,0,0.4,40,60,100,100,60,20,40
scenario381,-60,0,0.6,20,40,40,20,40,100,60
scenario382,-90,1,1,100,60,20,100,0,0,80
scenario383,90,1,0.2,100,60,40,40,60,80,0
scenario384,90,1,0.4,60,40,40,20,40,0,20
scenario385,60,0,0.8,40,80,80,100,100,0,80
scenario386,-60,1,0.8,100,80,100,40,100,80,0
scenario387,-30,0,0.1,40,0,20,60,80,40,20
scenario388,-60,1,0.1,60,40,40,80,80,0,0
scenario389,90,0,1,20,100,40,80,40,40,20
scenario390,-60,1,0.4,80,0,60,80,60,60,20
scenario391,0,0,0.2,40,60,100,40,100,40,60
scenario392,30,0,0.2,100,20,60,20,60,40,80
scenario393,60,0,1,0,100,80,40,80,20,40
scenario394,-30,0,0.8,20,60,0,80,100,100,100
scenario395,-30,0,0.1,40,60,60,0,0,60,40
scenario396,-90,1,0.1,80,80,80,20,40,80,40
scenario397,60,0,0.2,40,40,100,80,40,0,60
scenario398,30,0,0.6,20,0,40,20,0,0,0
scenario399,-30,0,0.6,40,60,40,100,20,40,20
scenario400,30,1,0.6,60,20,80,60,80,60,60
scenario401,-90,0,0.6,80,20,0,80,20,0,20
scenario402,60,1,0.4,80,40,20,100,40,20,0
scenario403,-60,1,1,100,40,0,0,0,20,40
scenario404,0,1,0.2,0,40,40,80,80,80,20
scenario405,-60,0,0.2,80,40,80,20,100,80,80
scenario406,30,0,0.4,20,100,0,20,80,20,100
scenario407,-60,0,1,100,60,20,40,20,60,80
scenario408,-90,0,0.8,20,20,40,60,60,100,60
scenario409,60,1,0.6,20,60,0,40,20,20,20
scenario410,-30,1,1,80,20,40,40,40,0,100
scenario411,-30,1,0.1,100,20,100,60,100,60,60
scenario412,-90,1,0.1,20,20,80,20,0,80,100
scenario413,-60,0,1,0,60,60,20,0,20,0
scenario414,0,0,0.2,20,0,60,100,80,100,80
scenario415,-60,1,0.2,100,0,40,100,60,60,20
scenario416,30,1,1,20,40,100,100,100,60,0
scenario417,-60,1,0.6,40,80,20,60,40,100,40
scenario418,0,1,1,40,100,20,80,20,80,60
scenario419,60,1,1,20,80,60,0,100,40,20
scenario420,-60,1,0.4,60,100,20,80,20,60,60
scenario421,-60,1,0.2,0,0,0,80,80,20,20
scenario422,-90,1,0.1,0,40,80,0,40,0,60
scenario423,60,0,0.1,60,100,40,40,0,60,0
scenario424,-90,1,0.6,60,20,0,100,40,40,60
scenario425,-30,1,1,100,80,100,40,20,40,20
scenario426,-90,0,0.1,100,40,60,80,60,20,100
scenario427,-30,1,0.4,0,60,100,20,80,0,80
scenario428,30,0,0.4,100,60,0,60,0,60,20
scenario429,-60,0,0.4,0,80,20,0,80,60,80
scenario430,0,1,0.2,80,80,40,0,100,40,100
scenario431,90,1,0.6,80,20,60,20,100,60,0
scenario432,-30,0,0.8,60,100,100,100,60,100,40
scenario433,0,0,0.4,100,20,20,60,40,0,60
scenario434,-30,1,0.6,80,40,20,60,0,100,0
scenario435,-90,0,0.6,100,40,20,40,80,100,40
scenario436,30,0,0.4,40,40,60,40,40,100,0
scenario437,0,0,0.6,20,100,0,80,40,0,80
scenario438,30,0,0.6,100,80,20,20,40,80,20
scenario439,0,1,0.8,40,100,80,100,0,40,60
scenario440,30,0,0.2,60,20,40,40,100,40,40
scenario441,60,0,0.4,60,20,0,60,80,100,80
scenario442,30,0,0.6,0,40,0,40,20,0,60
scenario443,90,0,0.4,100,100,0,60,0,80,60
scenario444,-30,0,0.2,0,0,100,100,60,20,60
scenario445,30,1,0.2,60,80,20,0,60,100,0
scenario446,90,0,1,40,0,40,20,20,20,100
scenario447,90,0,0.4,40,20,20,100,0,60,100
scenario448,0,1,0.6,20,40,80,60,100,80,40
scenario449,0,1,0.8,0,40,60,80,0,40,20
scenario450,-30,0,0.2,60,60,80,20,20,100,0
scenario451,0,0,0.6,40,100,20,20,60,20,100
scenario452,30,1,0.1,100,60,80,100,20,80,100
scenario453,0,1,0.8,40,20,0,0,20,60,40
scenario454,60,1,1,80,0,0,60,100,60,80
scenario455,30,1,0.8,0,60,80,100,40,60,20
scenario456,0,0,0.4,80,20,80,80,100,100,0
scenario457,-90,0,0.4,40,80,0,20,0,0,80
scenario458,-60,0,0.1,20,100,20,20,20,100,100
scenario459,60,1,0.2,80,60,0,100,60,0,0
scenario460,60,1,0.1,0,80,80,80,0,80,60
scenario461,60,0,0.4,0,20,20,40,20,40,60
scenario462,-30,0,0.1,60,0,0,20,40,80,0
scenario463,90,1,0.2,60,20,100,0,60,100,20
scenario464,90,0,0.8,80,20,80,60,80,40,60
scenario465,-60,1,1,20,20,100,100,60,40,80
scenario466,-30,1,0.4,20,40,80,100,40,20,60
scenario467,30,1,0.1,100,0,100,0,60,20,100
scenario468,-60,0,0.8,60,60,40,100,60,40,80
scenario469,0,0,1,60,80,0,0,80,0,100
scenario470,90,0,0.1,80,40,20,0,40,100,100
scenario471,60,0,0.1,0,60,60,0,60,20,100
scenario472,-30,0,0.6,80,60,0,40,100,60,40
scenario473,60,1,0.8,100,100,40,40,80,60,80
scenario474,60,0,0.8,100,0,20,100,100,80,20
scenario475,-60,1,0.8,0,100,40,100,100,20,20
scenario476,90,1,0.6,0,0,40,100,100,100,100
scenario477,30,0,0.2,60,0,100,60,40,20,60
scenario478,-60,0,1,20,100,80,60,0,80,100
scenario479,90,0,0.1,20,100,100,80,20,0,20
scenario480,30,1,0.8,20,80,80,100,20,0,100
scenario481,90,1,0.2,40,60,40,100,0,100,100
scenario482,30,0,0.2,0,20,0,60,80,20,0
scenario483,-90,1,0.2,20,20,40,80,0,0,60
scenario484,0,0,0.8,100,40,80,40,20,20,80
scenario485,-30,1,1,80,40,60,0,40,80,60
scenario486,0,1,1,20,40,60,80,0,60,80
scenario487,-90,1,0.4,60,100,60,0,60,0,20
scenario488,90,0,0.6,40,80,60,0,40,20,100
scenario489,0,1,0.2,60,100,60,60,20,60,100
scenario490,-90,1,0.6,40,80,20,0,80,80,40
scenario491,0,1,0.6,0,60,100,40,40,0,0
scenario492,60,0,1,60,100,20,40,60,40,100
scenario493,0,0,0.8,60,40,100,100,60,40,0
scenario494,90,0,0.6,0,100,20,0,80,40,100
scenario495,90,0,0.4,100,40,100,40,20,20,60
scenario496,0,1,0.4,80,100,40,60,60,100,40
scenario497,60,0,0.2,40,80,40,20,60,60,100
scenario498,90,0,0.6,80,20,40,0,100,80,80
scenario499,60,1,0.4,40,100,100,80,60,40,0
scenario500,-90,0,0.8,100,40,0,100,60,20,100
scenario501,90,1,0.2,20,80,40,60,0,40,40
scenario502,-30,0,0.1,80,80,60,100,80,20,20
scenario503,60,1,0.6,60,40,20,60,0,100,60
scenario504,90,1,0.8,80,100,100,100,40,0,0
scenario505,30,0,0.4,40,100,40,40,0,0,0
scenario506,30,1,0.8,80,20,60,80,40,0,100
scenario507,60,0,0.4,80,60,0,40,80,80,100
scenario508,30,1,0.6,100,0,60,20,20,100,0
scenario509,-60,0,0.1,0,40,20,40,100,40,100
scenario510,-30,1,0.8,20,60,60,40,100,20,0
scenario511,90,0,0.6,40,60,20,80,60,40,80
scenario512,-30,0,0.4,100,60,20,20,80,40,40
