Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_StartEgo,collision,min_ttc,algo_safety
scenario132,c2,left,80,0.8,40,right,80,80,60,left,80,0,base,0,3.329302703511461,0
scenario133,c4,base,20,0.4,80,left,100,80,80,right,60,20,right,0,0.8839394592261154,0
scenario134,c1,left,80,0.1,60,left,40,80,60,right,40,20,base,0,4.716535104006373,0
scenario135,c2,base,20,1.0,80,base_left_lane,20,0,80,left,40,100,right,0,3.266745074636774,0
scenario136,c4,base,60,0.6,80,right,60,80,100,base,60,20,left,1,0.0,1
scenario137,c4,base,100,0.4,60,left,80,60,80,base,40,20,right,0,3.017353674240758,0
scenario138,c2,left,0,1.0,100,right,0,0,20,base,40,20,base,0,2.697115960631342,0
scenario139,c2,left,0,0.4,60,right,80,100,0,base,20,60,base,0,4.1007424166426,0
scenario140,c4,base,80,0.8,100,left,100,60,40,base,60,80,right,0,2.6939294556990045,0
scenario141,c2,base,20,0.6,100,base_left_lane,40,0,80,left,100,20,right,0,9999.0,0
scenario142,c4,base,80,0.8,100,right,80,20,40,base,40,40,left,0,9999.0,0
scenario143,c4,base,20,0.2,20,left,20,80,60,base,80,80,right,0,3.0252152859788413,0
scenario144,c1,left,40,0.1,60,left,60,80,40,right,0,100,base,0,3.590727032658105,0
scenario145,c1,right,80,1.0,60,base_left_lane,0,100,0,left,40,20,left,0,9999.0,0
scenario146,c4,base,0,0.2,20,left,60,80,80,right,60,40,right,1,0.0,1
scenario147,c4,right,60,0.6,80,right,0,80,20,base,20,0,left,1,0.0,1
scenario148,c4,base,40,0.6,80,right,80,100,0,base,80,0,left,0,9999.0,0
scenario149,c4,right,0,0.2,0,right,20,40,80,base,40,0,left,1,0.0,1
scenario150,c1,right,20,0.4,40,left,40,40,100,right,20,60,base,0,3.9535199280273634,0
scenario151,c1,right,80,0.4,60,left,100,60,0,right,100,20,base,0,4.88198001817893,0
scenario152,c2,left,20,0.1,100,right,20,100,20,left,0,20,base,0,3.4810418797480582,0
scenario153,c2,left,0,0.6,40,right,100,20,20,left,0,40,base,0,4.957711415256378,0
scenario154,c1,left,0,0.8,40,left,20,0,0,right,80,0,base,0,9999.0,0
scenario155,c1,right,80,0.8,60,base_left_lane,60,100,80,left,0,80,left,1,0.0,1
scenario156,c1,right,40,0.1,0,left,100,40,100,right,0,0,base,0,2.089713500586752,0
scenario157,c2,base,0,1.0,20,base_left_lane,80,40,40,left,20,60,right,0,3.1020005884748474,0
scenario158,c4,base,80,0.2,20,left,100,60,20,right,100,80,right,0,0.966050923994302,0
scenario159,c2,left,100,0.4,0,right,80,100,60,base,20,0,base,0,2.7319286886384315,0
scenario160,c2,left,80,1.0,60,base_left_lane,40,20,60,left,60,40,right,0,4.717687228810748,0
scenario161,c4,base,20,0.6,100,left,20,0,100,base,80,100,right,0,2.5931796478334554,0
scenario162,c1,right,100,0.8,0,base,20,0,40,right,20,40,left,0,4.02268997750031,0
scenario163,c1,right,100,0.1,40,base_left_lane,60,100,80,left,40,40,left,1,0.0,1
scenario164,c2,left,40,0.6,60,right,40,80,100,base,20,100,base,0,2.4911200593016014,0
scenario165,c2,left,60,0.1,80,base_left_lane,60,80,40,left,100,100,right,0,3.5175840532124387,0
scenario166,c4,right,80,0.2,20,right,60,80,40,base,0,20,left,1,0.0,1
scenario167,c4,base,60,0.6,20,right,80,0,80,base,60,100,left,0,1.7803531041492764,0
scenario168,c2,left,60,0.6,80,base_left_lane,40,60,60,left,40,60,right,0,3.15470071228833,0
scenario169,c4,base,100,0.2,60,left,0,0,0,right,20,60,right,1,0.0,1
scenario170,c4,base,40,1.0,100,left,20,100,0,right,40,0,right,1,0.0,1
scenario171,c2,left,60,0.4,40,right,60,60,0,left,100,0,base,0,3.5653474754186183,0
scenario172,c1,left,100,0.6,100,left,0,60,80,right,40,40,base,0,9999.0,0
scenario173,c2,base,80,1.0,40,base_left_lane,40,20,40,left,0,0,right,0,3.268012447111259,0
scenario174,c2,left,60,0.8,0,base_left_lane,0,100,0,left,100,40,right,0,3.340784021998512,0
scenario175,c1,right,80,0.8,0,left,0,20,60,right,0,60,base,0,4.210277415385464,0
scenario176,c4,base,20,0.1,80,right,100,60,20,base,100,0,left,0,9999.0,0
scenario177,c1,left,80,0.4,60,left,100,20,60,right,80,40,base,0,4.491466854515942,0
scenario178,c2,left,60,0.8,40,right,80,80,100,base,20,40,base,0,2.929596258979663,0
scenario179,c4,base,20,0.1,40,left,100,40,60,base,80,60,right,0,2.502439853506237,0
scenario180,c1,right,80,0.6,80,base,20,40,100,right,40,100,left,0,3.011012071337289,0
scenario181,c1,right,60,0.4,20,base_left_lane,60,40,20,left,60,100,left,1,0.0,1
scenario182,c2,left,20,1.0,60,right,60,80,80,base,100,80,base,0,4.144607722080308,0
scenario183,c1,right,60,1.0,60,base_left_lane,40,80,40,left,40,100,left,1,0.0,1
scenario184,c4,base,40,0.2,60,left,20,20,100,right,100,100,right,1,0.0,1
scenario185,c4,base,100,0.6,0,right,100,0,20,base,80,60,left,1,0.0,1
scenario186,c1,right,100,0.4,0,left,80,80,20,right,0,100,base,0,4.686015505833521,0
scenario187,c4,base,20,0.1,100,left,60,40,80,base,0,20,right,0,2.311202275617175,0
scenario188,c4,base,0,0.2,20,left,20,100,100,base,80,80,right,0,2.360213760356405,0
scenario189,c2,left,40,0.6,60,right,0,20,0,left,20,60,base,0,3.8701091954263767,0
scenario190,c2,left,80,0.1,80,right,20,40,20,left,20,80,base,0,10.397558582723818,0
scenario191,c1,right,0,0.4,80,base,40,20,40,right,40,40,left,0,3.38467131459426,0
scenario192,c1,left,80,0.6,100,left,100,100,40,right,100,20,base,0,9999.0,0
scenario193,c1,right,20,0.8,100,left,40,80,40,right,20,40,base,0,9999.0,0
scenario194,c2,base,0,0.2,40,base_left_lane,80,60,20,left,20,80,right,0,3.4689162886497145,0
scenario195,c4,base,40,0.2,100,left,40,80,40,right,60,100,right,1,0.0,1
scenario196,c4,base,60,0.8,0,right,40,20,100,base,0,0,left,1,0.0,1
scenario197,c4,base,20,0.1,0,left,20,0,80,right,60,40,right,1,0.0,1
scenario198,c4,base,100,0.4,0,left,20,80,100,base,0,0,right,0,2.1424208257888218,0
scenario199,c4,right,100,0.2,80,right,60,60,80,base,0,60,left,1,0.0,1
scenario200,c4,right,40,1.0,80,right,20,40,0,base,20,100,left,1,0.0,1
scenario201,c2,left,40,0.6,20,right,80,80,80,left,60,0,base,0,4.303453333230152,0
scenario202,c2,left,100,1.0,80,right,40,100,100,left,40,100,base,0,3.4648883516426774,0
scenario203,c1,right,20,0.6,40,base,0,80,20,right,80,20,left,0,5.658323737260529,0
scenario204,c4,base,0,1.0,100,left,100,60,60,base,20,0,right,0,5.074206813232715,0
scenario205,c1,right,0,0.2,100,base_left_lane,80,60,40,left,100,40,left,1,0.0,1
scenario206,c2,left,100,1.0,80,right,0,0,40,base,100,40,base,0,3.9347642139667776,0
scenario207,c2,base,0,0.6,40,base_left_lane,60,40,0,left,60,60,right,0,9999.0,0
scenario208,c2,left,100,0.6,40,base_left_lane,80,80,100,left,20,60,right,0,2.016120867235072,0
scenario209,c2,base,40,0.4,20,base_left_lane,100,20,60,left,0,20,right,0,2.7993585707355804,0
scenario210,c1,right,60,0.1,0,left,0,100,100,right,0,80,base,0,2.4294706880599266,0
scenario211,c4,base,20,1.0,40,right,0,40,60,base,100,20,left,0,1.940273571822533,0
scenario212,c4,right,80,0.1,80,right,60,20,0,base,40,60,left,0,9999.0,0
scenario213,c2,left,60,0.2,100,right,60,80,0,base,20,40,base,0,2.845536372319805,0
scenario214,c1,right,40,0.6,100,left,100,40,20,right,0,0,base,0,4.620081664326561,0
scenario215,c2,base,20,0.2,40,base_left_lane,80,40,20,left,20,40,right,0,3.5115468182022944,0
scenario216,c4,right,0,1.0,60,right,20,0,20,base,100,60,left,1,0.0,1
