Instances,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario78,80,60,0,40,0,0.8,0,100,0,80,20,c4,1e-05,right,base,left,base,0,2.503241120552959,0
scenario79,60,20,60,0,60,0.4,100,0,0,80,40,c1,1e-05,base,right,left,right,1,0.0,1
scenario80,20,100,60,40,40,0.8,0,100,0,80,40,c2,1e-05,right,base,base,left,0,4.163438430901053,0
scenario81,20,100,0,100,40,0.2,80,20,0,80,40,c4,1e-05,left,base,right,base,1,0.0,1
scenario82,20,40,20,60,60,0.6,20,80,0,80,60,c1,1e-05,left,right,base,right,0,3.917286527227869,0
scenario83,20,40,40,0,80,0.4,60,40,0,80,60,c2,1e-05,base,left,right,base,0,3.7651820333509503,0
scenario84,60,100,0,0,40,0.8,80,20,0,80,60,c4,1e-05,left,right,right,base,1,0.0,1
scenario85,20,20,80,0,0,0.8,100,0,0,80,80,c1,1e-05,base,left,left,right,0,2.887308433693672,0
scenario86,40,40,0,0,80,0.4,20,0,0,80,80,c2,1e-05,base,left,right,left,0,4.734533570873,0
scenario87,20,60,0,0,20,0.8,40,60,0,80,80,c4,1e-05,right,base,left,right,1,0.0,1
scenario88,80,100,0,60,40,0.6,40,60,0,80,100,c1,1e-05,left,right,base,left,0,5.1534383446008745,0
scenario89,20,100,0,80,100,0.1,0,100,0,80,100,c2,1e-05,right,left,base,left,1,0.0,1
scenario90,40,100,80,100,40,0.6,40,60,0,80,100,c4,1e-05,right,base,left,base,0,2.342162588342476,0
scenario91,20,60,20,40,0,0.6,100,0,0,100,0,c1,1e-05,base,right,left,right,0,4.554986889710013,0
scenario92,0,100,0,0,60,0.8,20,80,0,100,0,c2,1e-05,right,base,base,left,1,0.0,1
scenario93,60,20,80,0,80,0.4,20,80,0,100,0,c4,1e-05,left,base,right,base,1,0.0,1
scenario94,60,60,60,40,40,0.8,0,100,0,100,20,c1,1e-05,left,right,base,right,0,1132.9186072754435,0
scenario95,60,60,20,20,60,0.2,40,60,0,100,20,c2,1e-05,base,left,right,base,0,4.23673314401764,0
scenario96,20,60,20,20,60,0.2,100,0,0,100,20,c4,1e-05,left,right,right,base,1,0.0,1
scenario97,40,40,20,100,40,0.6,100,60,0,100,40,c1,1e-05,base,left,left,right,0,4.867502312558006,0
scenario98,20,20,0,100,100,0.1,80,20,0,100,40,c2,1e-05,base,left,right,left,0,5.378165565223507,0
scenario99,20,100,40,60,40,0.6,100,0,0,100,40,c4,1e-05,right,base,left,right,0,2.2635421221379706,0
scenario100,20,60,60,0,0,0.4,0,100,0,100,60,c1,1e-05,left,right,base,left,0,6.040798854182933,0
scenario101,80,60,20,20,40,0.8,100,0,0,100,60,c2,1e-05,right,left,base,left,1,0.0,1
scenario102,60,60,0,0,0,0.4,80,20,0,100,60,c4,1e-05,right,base,left,base,0,2.488602444821068,0
scenario103,60,100,40,0,80,0.4,60,40,0,100,80,c1,1e-05,base,right,left,right,0,2.0499747993350863,0
scenario104,0,60,100,100,40,0.6,40,60,0,100,80,c2,1e-05,right,base,base,left,0,2.335312408312857,0
scenario105,20,20,40,100,0,0.6,40,60,0,100,80,c4,1e-05,left,base,right,base,1,0.0,1
scenario106,20,80,40,60,0,0.6,0,100,0,100,100,c1,1e-05,left,right,base,right,0,3846.280544291845,0
scenario107,80,20,0,0,0,0.8,40,60,0,100,100,c2,1e-05,base,left,right,base,1,0.0,1
scenario108,20,60,20,20,40,0.8,20,20,0,100,100,c4,1e-05,left,right,right,base,0,1.7711763323918115,0
scenario109,80,80,0,100,40,0.6,80,20,20,0,0,c1,1e-05,base,left,left,right,0,2.501242722190065,0
scenario110,40,80,20,60,20,0.6,40,60,20,0,0,c2,1e-05,base,left,right,left,0,3.3233519503064075,0
scenario111,40,80,60,40,40,0.8,60,40,20,0,0,c4,1e-05,right,base,left,right,1,0.0,1
scenario112,20,40,100,100,40,0.6,80,20,20,0,20,c1,1e-05,left,right,base,left,0,2.8325470099891947,0
scenario113,80,60,0,0,40,0.4,0,100,20,0,20,c2,1e-05,right,left,base,left,0,4669.1715105744815,0
scenario114,80,40,0,40,80,0.8,0,100,20,0,20,c4,1e-05,right,base,left,base,0,2.592593301333398,0
scenario115,60,100,40,100,0,0.6,60,40,20,0,40,c1,1e-05,base,right,left,right,1,0.0,1
scenario116,60,60,60,100,100,0.1,40,60,20,0,40,c2,1e-05,right,base,base,left,0,3.2339791835264213,0
scenario117,60,40,20,100,0,0.6,20,80,20,0,40,c4,1e-05,left,base,right,base,1,0.0,1
scenario118,40,60,20,0,20,0.8,0,100,20,0,60,c1,1e-05,left,right,base,right,0,9999.0,0
scenario119,80,100,0,0,80,0.4,40,60,20,0,60,c2,1e-05,base,left,right,base,1,0.0,1
scenario120,20,60,0,0,0,0.8,0,20,20,0,60,c4,1e-05,left,right,right,base,0,9999.0,0
scenario121,20,80,80,20,40,0.8,100,0,20,0,80,c1,1e-05,base,left,left,right,0,2.826503787302262,0
scenario122,80,40,40,0,100,0.6,0,100,20,0,80,c2,1e-05,base,left,right,left,0,4.705649195919094,0
scenario123,20,60,60,0,80,0.8,100,0,20,0,80,c4,1e-05,right,base,left,right,1,0.0,1
scenario124,60,40,0,60,60,0.6,40,60,20,0,100,c1,1e-05,left,right,base,left,0,4.973151226946062,0
scenario125,20,20,0,0,0,0.4,80,20,20,0,100,c2,1e-05,right,left,base,left,1,0.0,1
scenario126,0,80,0,40,40,0.6,0,100,20,0,100,c4,1e-05,right,base,left,base,0,2.037071438023212,0
scenario127,0,20,0,0,100,0.6,80,20,20,20,0,c1,1e-05,base,right,left,right,0,4.442170649731964,0
scenario128,60,40,20,80,100,0.6,60,40,20,20,0,c2,1e-05,right,base,base,left,0,3.707770188213056,0
scenario129,20,100,60,100,100,0.6,40,60,20,20,0,c4,1e-05,left,base,right,base,0,2.1701729209326177,0
scenario130,20,20,20,20,0,0.8,0,100,20,20,20,c1,1e-05,left,right,base,right,0,5.877133318542498,0
scenario131,20,20,60,0,40,0.8,0,100,20,20,20,c2,1e-05,base,left,right,base,0,2.598591556843638,0
scenario132,40,80,20,60,100,0.6,40,60,20,20,20,c4,1e-05,left,right,right,base,1,0.0,1
scenario133,60,40,100,0,0,0.8,20,80,20,20,40,c1,1e-05,base,left,left,right,0,4350.497249911957,0
scenario134,80,100,60,60,40,0.6,40,60,20,20,40,c2,1e-05,base,left,right,left,0,4.040767563949962,0
scenario135,60,60,60,0,80,0.6,40,60,20,20,40,c4,1e-05,right,base,left,right,1,0.0,1
scenario136,60,40,80,60,60,0.6,40,60,20,20,60,c1,1e-05,left,right,base,left,0,8.110805965298404,0
scenario137,20,20,0,100,100,0.1,20,80,20,20,60,c2,1e-05,right,left,base,left,0,799.1227230007845,0
scenario138,40,60,20,0,80,0.8,20,80,20,20,60,c4,1e-05,right,base,left,base,0,2.9530202250838617,0
scenario139,80,100,0,0,80,0.2,0,100,20,20,80,c1,1e-05,base,right,left,right,0,9999.0,0
scenario140,20,40,20,0,80,0.4,100,100,20,20,80,c2,1e-05,right,base,base,left,0,3558.298809683288,0
scenario141,80,20,0,20,40,0.8,20,80,20,20,80,c4,1e-05,left,base,right,base,1,0.0,1
scenario142,20,100,60,0,80,0.4,40,60,20,20,100,c1,1e-05,left,right,base,right,0,3.7654508841974494,0
scenario143,60,20,0,0,80,0.1,40,60,20,20,100,c2,1e-05,base,left,right,base,0,2.604413031196215,0
scenario144,60,60,20,100,60,0.6,60,100,20,20,100,c4,1e-05,left,right,right,base,0,1.7502532299471194,0
scenario145,80,20,60,20,40,0.8,20,80,20,40,0,c1,1e-05,base,left,left,right,0,9999.0,0
scenario146,60,20,40,100,60,0.2,100,0,20,40,0,c2,1e-05,base,left,right,left,0,3.677775159699148,0
scenario147,20,20,60,60,40,0.6,0,100,20,40,0,c4,1e-05,right,base,left,right,0,2.013862660425468,0
