Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario240,c1,base,left,left,right,60,0,0,20,20,60,0,0.4,False,2.59,0
scenario241,c4,left,right,right,base,60,0,60,80,80,40,0,1.0,False,1.802,0
scenario242,c2,right,left,base,left,40,0,0,100,40,60,80,0.2,False,3.948,0
scenario243,c2,right,left,base,left,100,0,40,40,100,60,80,0.8,False,4.179,0
scenario244,c4,right,base,left,right,60,20,20,20,100,60,80,1.0,True,0.0,1
scenario245,c1,base,left,left,right,80,20,20,100,20,40,100,0.8,False,4.991,0
scenario246,c4,right,base,left,right,0,60,100,80,60,100,80,1.0,True,0.0,1
scenario247,c4,right,base,left,right,0,80,100,0,60,60,60,0.4,True,0.0,1
scenario248,c4,right,base,left,right,0,60,40,60,60,80,80,0.8,False,0.813,0
scenario249,c4,left,base,right,base,20,100,80,0,80,0,100,0.2,False,1.721,0
scenario250,c4,right,base,left,right,0,100,80,20,80,0,100,0.1,True,0.0,1
scenario251,c4,right,base,left,right,40,100,80,0,100,0,100,0.2,True,0.0,1
scenario252,c4,right,base,left,right,0,60,100,80,60,80,100,1.0,True,0.0,1
scenario253,c4,right,base,left,right,0,100,80,0,80,20,100,0.4,True,0.0,1
scenario254,c4,left,right,right,base,0,80,100,80,20,100,80,1.0,False,9999.0,0
scenario255,c2,base,left,right,base,0,0,20,40,60,40,0,1.0,False,3.141,0
scenario256,c2,base,left,right,base,60,0,20,60,80,20,20,0.8,False,2.84,0
scenario257,c2,base,left,right,base,0,0,20,40,60,20,0,0.8,False,2.194,0
scenario258,c4,right,base,left,right,0,60,40,60,60,80,80,0.8,True,0.0,1
scenario259,c2,base,left,right,left,0,60,20,80,60,80,100,0.8,False,4.818,0
scenario260,c4,right,base,left,right,0,80,60,60,60,80,100,0.6,True,0.0,1
scenario261,c1,base,left,left,right,0,60,20,40,80,80,0,0.8,False,5.393,0
scenario262,c4,right,base,left,base,0,40,40,60,80,80,100,0.8,False,3.239,0
scenario263,c4,right,base,left,right,20,80,0,40,20,20,100,1.0,False,0.863,0
scenario264,c2,base,left,right,base,0,80,40,40,100,80,80,0.2,False,4.16,0
scenario265,c2,base,left,right,left,0,40,40,80,80,80,80,1.0,False,6.777,0
scenario266,c4,right,base,left,right,0,40,40,60,60,80,80,0.8,True,0.0,1
scenario267,c1,base,left,left,right,20,60,40,80,40,60,100,0.8,False,4.571,0
scenario268,c1,left,right,base,left,20,80,20,100,80,80,100,0.8,False,4.312,0
scenario269,c4,right,base,left,right,0,80,20,80,80,80,80,0.8,True,0.0,1
scenario270,c4,right,base,left,right,0,60,40,60,60,80,80,0.8,False,1.042,0
scenario271,c4,left,right,right,base,20,100,0,40,40,0,0,1.0,True,0.0,1
scenario272,c4,right,base,left,right,40,0,20,100,60,80,100,0.1,True,0.0,1
scenario273,c2,base,left,right,base,20,80,40,40,100,100,80,0.2,False,4.039,0
scenario274,c4,right,base,left,base,20,80,20,60,60,100,0,0.6,False,4.73,0
scenario275,c1,left,right,base,left,0,40,40,80,60,100,20,0.8,False,3.657,0
scenario276,c4,right,base,left,right,40,60,20,60,60,80,60,0.8,False,0.803,0
scenario277,c2,right,left,base,left,0,80,20,80,40,60,100,0.8,False,3.63,0
scenario278,c2,base,left,right,left,0,80,80,40,40,40,100,0.6,False,4.978,0
scenario279,c1,base,left,left,right,0,40,60,40,60,60,80,0.6,False,5.057,0
scenario280,c1,left,right,base,left,0,100,0,100,80,80,100,1.0,False,5.109,0
scenario281,c1,base,left,left,right,40,20,0,60,20,20,60,0.6,False,2.511,0
scenario282,c4,left,right,right,base,20,100,0,40,40,0,0,1.0,True,0.0,1
scenario283,c1,left,right,base,left,0,20,20,40,80,100,40,1.0,False,5.65,0
scenario284,c4,left,right,right,base,0,100,20,100,40,60,100,1.0,False,1.92,0
scenario285,c2,base,left,right,base,20,60,40,20,100,80,80,0.2,False,4.102,0
scenario286,c4,right,base,left,right,0,40,40,20,40,60,80,0.6,False,0.816,0
scenario287,c2,base,left,right,base,20,0,60,60,60,80,100,0.1,False,4.093,0
scenario288,c4,right,base,left,base,20,80,0,60,40,80,0,0.8,False,3.556,0
scenario289,c1,base,left,left,right,40,80,20,60,80,80,80,0.8,False,5.0,0
scenario290,c2,right,left,base,left,0,60,20,100,40,60,100,0.6,False,3.926,0
scenario291,c1,base,right,left,right,0,80,100,40,40,20,100,0.6,False,4.724,0
