Instances,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario72,20,100,0,0,0,0.8,80,20,0,60,100,c4,0.00659,right,base,left,base,0,3.246852632578143,0
scenario73,20,40,0,0,0,0.8,80,20,0,80,0,c1,0.00507,left,right,base,left,0,2.785567124330115,0
scenario74,20,40,0,0,80,0.4,0,100,0,80,0,c2,0.00437,base,left,right,base,0,3.298606860038934,0
scenario75,20,100,0,0,80,0.4,0,100,0,80,0,c4,0.00361,right,base,left,right,1,0.0,1
scenario76,60,40,0,20,40,0.8,0,100,0,80,20,c1,0.00363,left,right,base,right,0,9999.0,0
scenario77,40,20,0,20,40,0.8,0,100,0,80,20,c2,0.00322,right,base,base,left,0,9999.0,0
scenario78,60,80,0,20,40,0.8,0,100,0,80,20,c4,0.00288,left,base,right,base,0,9999.0,0
scenario79,20,40,0,60,40,0.6,0,100,0,80,40,c1,0.00284,base,right,left,right,0,4424.845014197127,0
scenario80,20,80,0,60,40,0.6,0,100,0,80,40,c2,0.00258,base,left,right,left,0,4.90589650957906,0
scenario81,40,60,0,20,40,0.8,0,100,0,80,40,c4,0.00298,left,right,right,base,0,9999.0,0
scenario82,60,100,0,0,0,0.8,80,20,0,80,60,c1,0.00244,base,left,left,right,0,2.770290896818266,0
scenario83,40,100,0,20,40,0.8,0,100,0,80,60,c2,0.00259,right,left,base,left,0,9999.0,0
scenario84,60,20,0,40,40,0.8,0,100,0,80,60,c4,0.00126,right,base,left,base,0,3.204653256101304,0
scenario85,40,80,0,0,0,0.8,80,20,0,80,80,c1,0.00205,left,right,base,left,0,2.4902051133846737,0
scenario86,20,40,0,0,20,0.8,0,100,0,80,80,c2,0.00204,base,left,right,base,0,2.415289383924691,0
scenario87,60,40,0,0,0,0.8,80,20,0,80,80,c4,0.002,right,base,left,right,1,0.0,1
