Row,cloudiness,windintensity,precipitation,precipitationdeposits,wetness,roadfriction,fogdensity,fogdistance,startego,goalego,startother,goalother
scenario20,0,0,0,0,0,0,0,0,-1.26632415443124,0.0900207170586094,1.17630343737262,0.0900207170586099
scenario21,0,0,0,0,0,0,0,0,0.0900207170586099,1.17630343737262,1.17630343737262,-1.26632415443123
scenario22,0,0,0,0,0,0,0,0,-1.26632415443124,0.0900207170586094,0.0900207170586099,1.17630343737262
scenario23,0,0,0,0,0,0,0,0,1.17630343737262,0.0900207170586094,-1.26632415443123,0.0900207170586099
scenario24,0,0,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,0.0900207170586099,-1.26632415443123
scenario25,0,0,0,0,0,0,0,0,0.0900207170586099,1.17630343737262,-1.26632415443123,0.0900207170586099
scenario26,0,0,0,0,0,0,0,0,-1.26632415443124,0.0900207170586094,1.17630343737262,-1.26632415443123
scenario27,0,0,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,0.0900207170586099,1.17630343737262
scenario28,0,0,0,0,0,0,0,0,0.0900207170586099,1.17630343737262,-1.26632415443123,1.17630343737262
scenario29,0,0,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,-1.26632415443123,0.0900207170586099
scenario30,0,0,0,0,0,0,0,0,0.0900207170586099,-1.26632415443124,1.17630343737262,-1.26632415443123
scenario31,0,0,0,0,0,0,0,0,-1.26632415443124,1.17630343737262,0.0900207170586099,1.17630343737262
scenario32,0,0,0,0,0,0,0,0,-1.26632415443124,0.0900207170586094,1.17630343737262,0.0900207170586099
scenario33,0,0,0,0,0,0,0,0,0.0900207170586099,1.17630343737262,1.17630343737262,-1.26632415443123
scenario34,0,0,0,0,0,0,0,0,-1.26632415443124,0.0900207170586094,0.0900207170586099,1.17630343737262
scenario35,0,0,0,0,0,0,0,0,1.17630343737262,0.0900207170586094,-1.26632415443123,0.0900207170586099
scenario36,0,0,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,0.0900207170586099,-1.26632415443123
scenario37,0,0,0,0,0,0,0,0,0.0900207170586099,1.17630343737262,-1.26632415443123,0.0900207170586099
scenario38,0,0,0,0,0,0,0,0,-1.26632415443124,0.0900207170586094,1.17630343737262,-1.26632415443123
scenario39,0,0,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,0.0900207170586099,1.17630343737262
scenario40,0,0,0,0,0,0,0,0,0.0900207170586099,1.17630343737262,-1.26632415443123,1.17630343737262
scenario41,0,0,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,-1.26632415443123,0.0900207170586099
scenario42,0,0,0,0,0,0,0,0,0.0900207170586099,-1.26632415443124,1.17630343737262,-1.26632415443123
scenario43,0,0,0,0,0,0,0,0,-1.26632415443124,1.17630343737262,0.0900207170586099,1.17630343737262
scenario44,0,0,0,0,0,0,0,0,-1.26632415443124,0.0900207170586094,1.17630343737262,0.0900207170586099
