Instances,feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario128,left,20,60,100,40,0,40,100,0,0.6,False,1.3497640746795756,0
scenario129,right,100,80,20,0,0,40,80,40,1.0,False,0.7151621659815688,0
scenario130,right,100,40,60,40,-60,60,60,0,0.2,False,1.084912959191967,0
scenario131,right,80,40,80,40,60,40,0,100,0.6,False,2.134218350494818,0
scenario132,right,0,80,100,100,-90,80,100,60,0.4,False,2.229945887333717,0
scenario133,left,80,40,20,100,-60,80,40,100,1.0,False,0.8823885222258202,0
scenario134,left,100,0,100,100,-90,40,60,0,0.8,False,1.3934286309257229,0
scenario135,right,100,20,0,40,-30,100,60,20,0.2,False,1.805886588551704,0
scenario136,left,80,40,80,80,-30,20,40,60,0.4,False,1.4500366566196778,0
scenario137,right,0,60,0,20,90,20,100,100,1.0,False,0.7763204152213589,0
scenario138,right,80,40,0,60,-90,40,80,0,0.6,False,2.074840639422784,0
scenario139,right,100,100,100,40,30,60,100,40,0.1,False,1.304994645355773,0
scenario140,left,60,0,80,80,-30,80,20,100,0.1,False,1.7264058784552552,0
scenario141,right,100,40,100,60,-90,20,0,0,0.4,False,1.4941477036520348,0
scenario142,right,0,0,20,80,-60,60,60,40,1.0,False,0.9442812861564384,0
scenario143,right,80,100,100,20,0,100,0,60,0.8,False,0.843846315018291,0
scenario144,right,40,0,100,40,-60,60,60,20,0.4,False,0.900752685646095,0
scenario145,left,100,40,80,100,-30,0,60,40,0.2,False,1.4090319447131223,0
scenario146,left,60,0,100,20,60,100,80,0,0.1,False,1.391271092898799,0
scenario147,right,20,20,80,20,-90,80,20,80,0.2,False,0.8407174940689411,0
scenario148,left,40,20,80,0,-30,20,20,80,0.4,False,1.4322315672247246,0
scenario149,left,0,100,0,20,-90,40,20,80,0.4,False,1.69805060013761,0
scenario150,left,20,40,0,20,60,60,80,0,1.0,False,1.4284047549098664,0
scenario151,left,60,60,40,80,30,0,60,80,0.2,False,2.0753776589715778,0
scenario152,left,100,100,80,40,0,100,0,0,0.6,False,1.3715115923702632,0
scenario153,right,60,100,0,60,60,60,0,0,0.4,False,1.046015896426225,0
scenario154,left,0,20,40,80,60,80,80,100,0.4,False,1.534396238606658,0
scenario155,right,80,80,40,60,30,80,60,0,1.0,False,0.7786746007023738,0
scenario156,left,100,100,80,100,90,20,60,60,0.2,False,1.4076689909705415,0
scenario157,right,40,60,60,60,60,0,40,60,0.4,False,1.8391715858474216,0
scenario158,right,40,20,100,60,-90,0,0,0,0.6,False,0.7857011017045397,0
scenario159,left,100,100,40,20,30,0,80,80,0.8,False,1.4727978028998563,0
scenario160,right,100,0,60,40,90,100,60,100,0.1,False,0.9165564474637764,0
scenario161,right,80,40,40,0,30,80,20,20,1.0,False,1.041503972671469,0
scenario162,right,20,0,40,80,-30,0,40,80,0.2,False,0.7888738340201378,0
scenario163,right,80,80,80,100,60,80,0,80,1.0,False,1.0402731895097597,0
scenario164,right,0,20,40,100,90,40,40,40,0.1,False,1.0318746417152938,0
scenario165,left,20,80,100,60,-90,20,100,100,0.1,False,1.846490723913596,0
scenario166,left,100,80,20,60,0,60,40,20,0.4,False,1.3326271575654869,0
scenario167,right,100,40,80,80,-90,0,20,20,0.8,False,0.8889755656289957,0
scenario168,left,100,0,40,60,60,60,60,80,0.6,False,1.403336262606205,0
scenario169,right,40,20,80,0,-30,60,0,40,1.0,False,1.633884825961259,0
scenario170,right,80,100,40,0,-60,60,80,0,0.1,False,1.4818771941827882,0
scenario171,left,40,20,20,40,-30,40,0,0,0.6,False,1.3874917865795988,0
scenario172,right,20,20,60,80,60,20,80,80,1.0,False,0.8033807474615601,0
scenario173,right,0,60,100,0,0,0,60,0,0.4,False,1.7663509697972686,0
scenario174,right,80,60,100,100,0,40,0,60,0.1,False,2.4212885767530463,0
scenario175,right,20,80,60,100,-30,0,60,0,0.2,False,1.339972974799822,0
scenario176,right,80,60,80,0,0,40,100,40,0.2,False,4.364763889468406,0
scenario177,right,20,0,80,100,-90,80,80,20,0.4,False,1.0114471936306977,0
scenario178,right,100,100,20,20,-90,20,40,20,0.2,False,0.8581095059837057,0
scenario179,left,100,0,20,100,0,60,80,80,0.6,False,1.403969097209533,0
scenario180,right,100,40,20,60,-90,60,60,100,0.4,False,0.6882390479967744,0
scenario181,right,80,0,40,80,-90,40,60,60,0.1,False,0.6865662643992851,0
scenario182,left,40,40,0,100,90,0,80,80,0.8,False,1.44742379909149,0
scenario183,right,60,80,80,100,-90,60,80,100,0.2,False,2.302595993802909,0
scenario184,right,80,60,80,20,-90,60,0,40,1.0,False,1.16195511127393,0
