Instances,feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario260,right,80,60,80,60,30,20,40,60,0.4,False,0.61,0
scenario261,right,100,80,80,100,60,100,0,100,0.1,False,1.973,0
scenario262,right,80,100,60,40,30,0,100,20,1.0,False,0.604,0
scenario263,right,20,100,80,20,0,20,100,0,1.0,False,0.799,0
scenario264,right,40,60,20,40,0,60,20,40,0.1,False,0.777,0
scenario265,left,40,60,0,40,-90,80,20,0,0.6,False,0.954,0
scenario266,right,80,100,20,40,60,20,60,20,0.1,False,0.875,0
scenario267,right,20,80,80,40,0,0,0,80,0.2,False,1.711,0
scenario268,right,80,0,20,0,-30,80,20,100,0.4,False,0.969,0
scenario269,right,100,100,80,40,30,20,60,20,0.1,False,1.292,0
scenario270,right,0,80,80,60,30,40,0,80,0.4,False,0.66,0
scenario271,right,80,60,60,60,60,0,100,80,0.4,False,0.606,0
scenario272,right,100,0,40,40,-30,80,20,100,0.2,False,0.787,0
scenario273,right,80,60,100,60,30,40,0,100,0.6,False,1.825,0
scenario274,right,80,100,60,40,30,0,100,20,1.0,False,0.842,0
scenario275,right,60,80,60,60,0,40,100,0,0.8,False,1.9,0
scenario276,right,100,0,20,20,30,0,80,20,1.0,False,2.291,0
scenario277,right,60,100,60,60,60,20,100,40,0.1,False,0.909,0
scenario278,left,80,100,80,40,30,0,80,20,1.0,False,1.106,0
scenario279,right,80,100,80,40,30,0,100,20,1.0,False,0.733,0
scenario280,right,80,100,60,40,-90,20,100,40,1.0,False,1.201,0
scenario281,right,80,100,60,40,30,40,80,20,0.8,False,0.669,0
scenario282,right,60,100,60,60,0,20,100,40,1.0,False,1.556,0
scenario283,right,100,80,60,60,0,20,100,100,1.0,False,0.762,0
scenario284,left,100,80,80,0,60,0,80,0,1.0,False,1.37,0
scenario285,right,60,0,60,20,60,0,20,0,1.0,False,1.467,0
scenario286,right,80,100,60,40,30,40,80,20,0.8,False,0.766,0
scenario287,right,60,0,60,20,30,20,20,0,1.0,False,0.704,0
scenario288,right,60,80,60,100,0,0,0,100,1.0,False,0.774,0
scenario289,left,80,60,80,40,30,0,80,20,0.8,False,1.079,0
scenario290,right,60,80,40,60,60,0,100,60,0.1,False,2.31,0
scenario291,right,80,0,60,20,60,0,0,0,0.8,False,0.751,0
scenario292,right,100,60,60,40,-30,40,80,0,1.0,False,0.705,0
scenario293,left,100,80,60,80,30,40,100,100,1.0,False,1.208,0
scenario294,left,100,0,20,20,-30,0,80,20,1.0,False,1.373,0
scenario295,right,60,20,60,20,90,0,100,0,0.6,False,0.905,0
scenario296,left,100,100,80,40,-90,0,20,40,0.8,False,1.429,0
scenario297,left,60,0,40,80,-30,20,100,40,1.0,False,1.383,0
scenario298,right,60,0,60,20,30,20,20,0,1.0,False,0.701,0
scenario299,left,60,0,40,80,-60,20,80,60,0.4,False,1.481,0
scenario300,left,60,0,20,80,-30,40,40,40,0.8,False,1.435,0
scenario301,right,60,20,60,40,90,0,100,0,0.8,False,2.007,0
scenario302,left,80,80,60,0,30,0,0,0,1.0,False,0.958,0
scenario303,left,100,80,80,40,0,0,80,40,0.8,False,1.407,0
scenario304,right,80,0,20,0,60,40,80,0,1.0,False,1.826,0
scenario305,right,40,20,40,60,60,0,0,0,1.0,False,1.396,0
scenario306,right,100,0,80,0,90,20,0,0,0.8,False,1.06,0
scenario307,left,80,80,100,80,0,0,60,40,0.6,False,1.413,0
scenario308,right,80,100,80,40,0,20,80,0,0.6,False,1.808,0
scenario309,left,100,60,60,40,0,20,80,0,1.0,False,1.363,0
scenario310,right,60,0,60,20,30,20,20,0,1.0,False,0.668,0
scenario311,left,20,0,0,60,-60,40,60,100,0.8,False,0.979,0
scenario312,right,0,40,60,80,-30,80,80,0,1.0,False,0.716,0
scenario313,left,100,100,100,20,0,20,80,0,0.6,False,1.403,0
scenario314,right,60,40,40,40,60,0,20,20,1.0,False,1.747,0
scenario315,left,40,0,40,60,-30,20,60,20,0.6,False,1.381,0
scenario316,right,60,80,0,0,60,20,80,20,0.6,False,0.824,0
scenario317,left,60,0,60,40,90,0,80,0,1.0,False,1.36,0
scenario318,right,40,40,60,60,-30,0,20,0,1.0,False,0.872,0
scenario319,right,100,20,80,60,0,20,80,20,0.8,False,0.944,0
scenario320,left,80,60,80,40,0,0,60,60,0.8,False,1.524,0
scenario321,left,60,60,80,60,0,0,80,20,1.0,False,1.398,0
scenario322,right,60,0,60,20,30,20,20,0,1.0,False,1.515,0
scenario323,right,20,20,80,60,-60,80,80,0,0.8,False,1.604,0
scenario324,left,100,60,60,40,60,20,80,40,0.2,False,1.37,0
scenario325,left,40,0,60,40,90,20,80,0,1.0,False,1.385,0
scenario326,left,40,80,60,40,30,20,80,100,1.0,False,2.034,0
scenario327,right,100,100,100,100,-30,40,80,0,0.8,False,1.917,0
scenario328,right,40,20,20,0,60,40,0,0,1.0,False,0.812,0
scenario329,left,80,60,80,20,0,0,80,80,0.6,False,1.713,0
scenario330,left,20,20,0,80,-60,20,0,100,1.0,False,0.854,0
scenario331,right,60,60,80,0,60,100,60,40,0.8,False,0.982,0
scenario332,left,60,60,100,60,0,20,60,20,0.8,False,1.029,0
