Instances,feature_TimeofDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,feature_Direction,Visibility,RoadSurface,VehicleStability,probability,collision,min_ttc,run_duration,algo_safety
scenario120,60,60,20,20,0,100,0.2,40,60,left,60,20,100,1e-05,0,1.482612395789504,78.14126944541931,0
scenario121,90,20,60,0,0,60,0.1,0,100,right,60,40,0,1e-05,0,1.4033879774771556,168.67465329170227,0
scenario122,30,60,60,0,40,0,0.8,0,100,left,60,40,20,1e-05,0,1.3327318402077604,80.19590878486633,0
scenario123,-60,40,80,20,100,40,0.6,100,0,right,60,40,40,1e-05,0,1.3953988630745744,188.5421154499054,0
scenario124,0,20,100,0,0,80,0.4,40,60,left,60,40,60,1e-05,0,1.4793907606041183,80.18622612953186,0
scenario125,-90,80,40,20,60,40,0.6,20,80,left,60,40,80,1e-05,0,1.5600065571283517,79.34476971626282,0
scenario126,-90,60,20,0,0,80,0.4,40,60,left,60,40,100,1e-05,0,1.4688346786619295,82.59773135185242,0
scenario127,0,40,100,20,60,40,0.6,40,60,right,60,60,0,1e-05,0,0.6366298207662279,96.2481780052185,0
scenario128,-30,40,60,60,0,0,0.8,0,100,left,60,60,20,1e-05,0,1.3718297076361134,82.86898016929626,0
scenario129,30,20,20,40,100,40,0.6,40,60,right,60,60,40,1e-05,0,0.6035375418167676,86.63252997398376,0
scenario130,60,20,20,0,60,40,0.6,40,60,left,60,60,60,1e-05,0,1.4230100954672216,78.58755135536194,0
scenario131,90,60,80,60,100,40,0.6,20,80,left,60,60,80,1e-05,0,1.352285783755029,80.36188054084778,0
scenario132,-90,40,80,0,0,0,0.8,40,60,right,60,60,100,1e-05,0,0.9146473598370092,113.92488288879396,0
scenario133,-30,20,40,0,20,60,0.8,80,20,left,60,80,0,1e-05,0,1.408586673348872,81.30424880981445,0
scenario134,0,20,40,0,0,60,0.1,0,100,left,60,80,20,1e-05,0,1.54415216163401,79.91878724098206,0
scenario135,-90,40,20,40,60,100,0.6,40,60,left,60,80,40,1e-05,0,1.467187131301377,82.32938265800476,0
scenario136,90,40,80,20,100,100,0.6,40,60,left,60,80,60,1e-05,0,1.399736698842851,79.35553908348083,0
scenario137,0,20,60,0,100,40,0.6,80,20,left,60,80,80,1e-05,0,1.3894530205788025,81.97374510765076,0
scenario138,30,20,100,0,80,60,0.6,0,100,left,60,80,100,1e-05,0,1.377362169000937,79.69950771331787,0
scenario139,-90,80,100,0,0,100,0.1,0,100,left,60,100,0,1e-05,0,1.4836682646657218,82.7712790966034,0
scenario140,30,20,80,60,40,60,0.6,20,80,left,60,100,20,1e-05,0,1.3742792169077092,79.88286542892456,0
scenario141,-90,60,40,20,100,40,0.6,40,60,right,60,100,40,1e-05,0,0.882366166543495,105.0641040802002,0
scenario142,30,40,100,40,100,0,0.6,20,80,right,60,100,60,1e-05,0,0.6925264076677392,88.25903797149658,0
scenario143,-90,40,20,100,0,0,0.8,80,20,right,60,100,80,1e-05,0,0.8785979429650088,96.99576449394226,0
scenario144,-30,20,60,0,40,100,0.4,0,100,right,60,100,100,1e-05,0,0.7187127027484267,163.68699169158936,0
scenario145,90,20,80,0,0,80,0.2,40,60,left,80,0,0,1e-05,0,1.454586905521443,78.75804471969604,0
scenario146,60,40,20,0,0,40,0.8,40,60,right,80,0,20,1e-05,0,1.5799769329342208,107.50486612319946,0
scenario147,-90,60,20,0,0,0,0.8,20,80,left,80,0,40,1e-05,0,1.444371581217848,82.32523846626282,0
scenario148,60,80,60,0,80,40,0.6,0,100,left,80,0,60,1e-05,0,1.4149281298437422,81.21215319633484,0
scenario149,90,20,60,20,100,40,0.6,40,60,right,80,0,80,1e-05,0,0.940512504918286,103.8018159866333,0
scenario150,90,20,100,40,20,40,0.8,100,0,right,80,0,100,1e-05,0,2.141338921008289,116.63317847251892,0
scenario151,0,40,100,100,0,80,0.4,100,0,right,80,20,0,1e-05,0,0.8631727865105351,109.81649398803712,0
scenario152,-90,0,60,0,0,80,0.4,0,100,right,80,20,20,1e-05,0,0.8204780439211051,115.7071144580841,0
scenario153,-90,40,100,40,60,100,0.6,40,60,right,80,20,40,1e-05,0,0.7663333844446268,163.75202202796936,0
