Instances,feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeofDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,collision,min_ttc,algo_safety
scenario118,left,0,40,20,80,30,40,60,20,0.4,0,1.441026914776742,0
scenario119,left,40,100,20,80,30,40,0,20,0.2,0,1.4032029910001935,0
scenario120,left,0,100,0,80,30,40,100,20,0.4,0,1.6881232581624814,0
scenario121,left,0,100,0,80,30,0,0,20,0.4,0,1.8216367794596573,0
scenario122,left,0,20,20,80,30,40,60,20,0.4,0,1.4014263615336648,0
scenario123,left,100,100,20,80,30,40,0,20,0.6,0,1.3608993122966957,0
scenario124,left,100,100,20,100,30,40,0,20,0.4,0,1.3750976228001608,0
scenario125,left,40,100,20,80,30,40,80,20,0.4,0,1.3900450309440535,0
scenario126,left,0,100,100,80,30,40,60,20,0.4,0,0.8398602317298137,0
scenario127,left,40,100,60,80,30,40,0,20,0.4,0,0.8755498328810175,0
scenario128,left,40,100,20,80,30,20,0,20,0.4,0,1.3844371640092563,0
scenario129,left,20,100,20,80,-30,40,0,20,0.4,0,0.95386810520505,0
scenario130,left,60,100,20,80,30,40,60,20,0.4,0,1.3983639558904437,0
scenario131,left,0,100,20,0,-60,40,0,20,0.4,0,0.8362605036616967,0
scenario132,left,0,100,20,80,-60,40,0,20,0.0,0,1.0614000353317692,0
scenario133,left,0,100,40,80,-60,40,0,20,0.4,0,1.0399856894415889,0
scenario134,left,40,100,20,80,30,40,0,20,1.0,0,1.3684311506301894,0
scenario135,left,40,20,20,80,30,40,0,20,0.4,0,1.4686164142280689,0
scenario136,left,0,100,20,80,30,40,60,20,0.6,0,1.1255183629883148,0
scenario137,left,0,100,20,100,30,40,60,20,0.4,0,1.042328344034315,0
scenario138,left,0,100,20,80,30,40,20,20,0.8,0,1.331203314372781,0
scenario139,left,20,100,20,80,30,80,0,20,0.4,0,1.0192723182390775,0
scenario140,left,20,100,20,80,30,40,0,80,0.4,0,1.0970144965899995,0
scenario141,left,0,100,20,80,30,0,20,20,0.4,0,1.535585656832967,0
scenario142,left,0,100,20,40,30,40,0,20,0.2,0,1.355730154993252,0
scenario143,left,0,100,20,80,30,40,0,0,0.8,0,1.3343351562610724,0
scenario144,left,0,100,20,40,30,40,0,60,0.4,0,1.3370991309052631,0
scenario145,left,20,100,20,60,30,40,0,20,0.4,0,1.3126157689271394,0
scenario146,left,0,100,20,80,30,40,100,0,0.4,0,1.8474581938004828,0
scenario147,left,0,100,20,40,30,40,80,20,0.4,0,1.3684911497622447,0
scenario148,left,40,100,20,80,30,40,0,20,0.6,0,1.356609120125198,0
scenario149,left,0,100,20,80,30,0,0,0,0.4,0,1.3432348400036218,0
scenario150,left,0,60,20,80,30,40,40,20,0.4,0,1.4326109450334794,0
scenario151,left,40,100,20,100,30,40,0,20,0.4,0,1.3984013524039056,0
scenario152,left,0,100,20,80,30,40,0,100,0.8,0,1.0163722701524254,0
scenario153,left,0,100,60,40,30,40,0,20,0.4,0,1.1367264001540462,0
scenario154,left,0,100,20,40,30,20,0,20,0.4,0,1.376835823258881,0
scenario155,left,20,100,20,80,30,40,0,40,0.4,0,1.3101342141567915,0
scenario156,left,0,100,20,80,30,40,100,100,0.4,0,2.084391421927516,0
scenario157,left,0,40,20,40,30,40,0,20,0.4,0,1.486280243056066,0
scenario158,left,0,100,20,80,30,40,40,20,0.2,0,1.5465303943006383,0
scenario159,left,0,100,20,80,30,0,0,100,0.4,0,2.0011451862586265,0
scenario160,left,0,100,20,40,30,40,0,20,1.0,0,1.3644903537031463,0
scenario161,left,0,20,20,40,30,40,0,20,0.4,0,1.4233404978569275,0
scenario162,left,0,100,20,80,30,40,40,60,0.4,0,1.4242170251955644,0
scenario163,left,0,100,20,80,30,60,0,20,0.2,0,1.3526668883368689,0
scenario164,left,0,100,20,80,30,40,0,20,0.8,0,1.4378727025187148,0
scenario165,left,0,100,20,80,30,60,0,60,0.4,0,1.3246993581590512,0
scenario166,left,0,100,60,80,30,40,40,20,0.4,0,0.6862933276324781,0
scenario167,left,0,100,20,80,30,20,40,20,0.4,0,1.600982212313326,0
