Instances,feature_TimeofDay,feature_Direction,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,run_duration,algo_safety
scenario93,30,left,0.2,0,60,40,40,40,60,60,0,1.3544500873597216,74.04412627220154,0
scenario94,-90,left,0.1,60,40,20,80,60,100,40,0,0.7397698750805176,121.60298037528992,0
scenario95,90,right,0.4,80,40,20,60,40,60,20,0,2.153386666194519,108.45061898231506,0
scenario96,-30,left,0.6,60,60,60,40,80,100,0,0,1.4081911447401756,78.50710415840149,0
scenario97,0,right,0.2,100,100,80,40,100,0,80,0,0.9651165220823518,96.09655451774596,0
scenario98,90,left,0.4,20,20,100,60,80,20,40,0,1.3846683105189763,73.33557391166687,0
scenario99,0,right,0.8,60,60,40,60,60,0,100,0,0.7675858992501307,129.41938495635986,0
scenario100,-90,left,0.6,20,20,20,0,100,20,100,0,1.4233299445738543,78.44909405708313,0
scenario101,-30,right,0.1,0,40,80,40,60,60,60,0,0.7734071885077808,154.58305478096008,0
scenario102,0,right,0.2,100,40,0,80,80,20,60,0,0.8761313500229374,103.35906267166138,0
scenario103,-30,left,0.6,40,0,80,20,0,60,40,0,0.9092574691165032,91.89223074913023,0
scenario104,90,right,0.6,80,20,0,20,20,100,80,0,0.916853831098968,148.30817127227783,0
scenario105,90,left,1.0,100,100,100,80,20,20,0,0,1.361956825890451,76.62098622322083,0
scenario106,60,right,0.4,0,100,0,80,60,0,20,0,0.8926708671218444,103.80292916297913,0
scenario107,30,right,0.8,100,100,60,0,100,20,40,0,1.799020679196017,158.66541838645935,0
scenario108,-90,right,0.8,100,60,40,80,20,80,20,0,1.8242451243802609,160.29873538017273,0
scenario109,-60,left,0.6,0,40,100,40,20,60,20,0,1.453790770969038,78.72315907478333,0
scenario110,-90,left,0.4,100,0,40,0,0,0,60,0,1.390636009235121,78.2784583568573,0
scenario111,-30,left,0.8,40,20,20,100,100,80,0,0,0.8795101805483494,88.01580166816711,0
scenario112,-60,left,1.0,100,0,60,20,80,80,100,0,1.4861869455325698,77.42704391479492,0
scenario113,-60,right,0.6,80,100,80,80,60,80,0,0,0.9702106962287932,98.7951476573944,0
scenario114,30,right,0.2,20,80,100,100,40,100,40,0,0.5374823704951831,80.45565533638,0
scenario115,-60,right,0.1,0,100,0,100,60,20,80,0,1.0875778289124436,163.28640246391296,0
scenario116,90,left,0.6,100,100,80,60,40,100,100,0,1.3754663533977534,76.0511863231659,0
scenario117,-90,right,0.2,40,40,60,60,0,80,40,0,0.8859112859170328,101.22661995887756,0
scenario118,-30,right,1.0,80,60,40,80,80,40,80,0,1.0547720485278362,110.54980802536012,0
scenario119,90,right,0.2,40,80,40,20,80,0,0,0,2.0936608298605583,159.1037197113037,0
scenario120,-90,left,0.8,60,80,60,20,60,60,80,0,1.489843841534143,77.03812098503113,0
scenario121,-30,right,0.8,0,40,40,0,40,40,40,0,0.9038256340786328,112.4498724937439,0
scenario122,30,right,0.8,60,20,100,20,20,80,40,0,2.137731874066372,110.20158576965332,0
scenario123,30,right,0.1,60,0,60,60,0,100,60,0,0.9332263846299956,98.86832070350648,0
