instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,algo_safety
scenario154,c4,2,0,1,0,0.6,60,80,20,0,0,60,100,0,13.331318900931327,0
scenario155,c1,0,1,1,2,0.8,80,20,60,80,40,60,20,0,2.9824676762070994,0
scenario156,c1,1,2,0,2,0.2,60,100,0,40,100,100,40,0,5.139302929565334,0
scenario157,c1,0,2,1,2,1.0,40,80,40,100,80,0,60,0,2.5889330171192007,0
scenario158,c1,1,2,0,2,0.2,20,0,100,20,100,100,80,0,6.561556623402337,0
scenario159,c1,1,2,0,1,0.8,60,60,40,100,0,0,0,0,4.548730632593639,0
scenario160,c1,0,1,1,2,0.1,100,40,100,0,0,80,60,0,2.740683312490244,0
scenario161,c4,1,2,2,0,1.0,0,60,100,0,0,60,80,1,0.0,1
scenario162,c1,1,2,0,1,0.1,0,60,60,40,60,60,100,0,5.5341042248781065,0
scenario163,c4,2,0,1,0,0.1,40,0,20,0,80,100,40,0,2.4737615487946267,0
scenario164,c1,0,1,1,2,1.0,60,0,20,40,100,20,0,0,2.1637709207798967,0
scenario165,c1,1,2,0,2,0.1,80,0,100,40,80,100,20,0,4.148769020565069,0
scenario166,c2,2,0,0,1,1.0,80,60,0,100,80,100,0,0,2.6300136112510426,0
scenario167,c4,2,0,1,0,0.6,100,80,0,100,40,80,80,0,4.19057870414181,0
scenario168,c1,0,2,1,2,0.8,40,60,0,80,0,80,100,0,2.568041434486809,0
scenario169,c2,2,0,0,1,0.2,60,40,60,0,100,100,20,0,2.6209236224028065,0
scenario170,c4,1,2,2,0,0.4,0,0,40,80,80,0,20,0,2.853758022329769,0
scenario171,c2,0,1,2,1,0.4,20,20,100,40,20,40,0,0,3.7716705594107167,0
scenario172,c2,0,1,2,1,0.8,20,0,80,40,20,100,40,0,4.031357791857178,0
scenario173,c4,2,0,1,2,0.6,80,20,0,40,100,60,60,1,0.0,1
scenario174,c4,2,0,1,0,0.4,100,100,100,80,100,0,0,0,2.523802387075049,0
scenario175,c1,1,2,0,2,0.8,0,40,80,20,20,20,60,0,6.151577632838796,0
scenario176,c4,2,0,1,0,0.1,100,100,0,60,60,0,20,0,3.842628337121586,0
scenario177,c1,0,1,1,2,1.0,40,100,80,20,60,20,0,0,2.2753399338176488,0
scenario178,c4,1,0,2,0,1.0,100,60,100,100,100,20,40,0,3.3045858913789683,0
scenario179,c2,0,1,2,1,0.1,0,80,100,20,0,0,100,0,3.864448821399965,0
scenario180,c1,1,2,0,2,0.4,20,60,60,0,0,20,20,0,5.907078118671556,0
scenario181,c4,2,0,1,0,0.2,100,0,20,40,20,80,40,0,2.4999121223659,0
scenario182,c1,1,2,0,2,0.4,20,80,40,80,40,60,40,0,7.041904626093611,0
scenario183,c1,1,2,0,2,0.2,80,80,20,20,40,100,40,0,5.867208525937137,0
scenario184,c4,1,2,2,0,0.4,40,80,40,0,20,20,40,0,3.147978060107125,0
