instances,feature_timeofday,feature_direction,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,run_duration,algo_safety
scenario122,30,1,0.8,60,20,100,20,20,80,40,0,0.8162062141869881,26.957051753997803,0
scenario123,30,1,0.1,60,0,60,60,0,100,60,0,0.8234497804248272,27.01088309288025,0
scenario124,0,1,0.1,40,100,0,60,20,40,0,0,0.8011064307528364,27.59126162528992,0
scenario125,30,1,0.4,80,80,20,20,100,100,100,0,0.9423616390383728,27.260559558868408,0
scenario126,-60,0,0.8,40,100,60,80,80,60,60,0,1.0922917903146867,23.553585052490234,0
scenario127,-60,0,0.4,60,60,80,20,0,20,60,0,1.0731988756837725,23.052452325820923,0
scenario128,60,0,0.2,100,20,40,60,100,80,60,0,1.123784506004827,22.461530685424805,0
scenario129,90,0,0.4,0,0,60,60,100,0,80,0,1.1771775018721171,22.380265951156616,0
scenario130,-30,0,0.1,0,100,60,80,40,100,20,0,2.705405059172114,61.46735835075378,0
scenario131,0,0,1.0,0,80,20,0,60,100,100,0,1.044571664992705,23.27407145500183,0
scenario132,-60,1,1.0,60,40,0,40,0,40,0,0,0.7880036074266477,27.567710638046265,0
scenario133,0,0,0.1,40,20,100,100,0,0,60,0,1.126806785643379,23.328310012817383,0
scenario134,30,1,0.1,40,60,80,80,100,20,60,0,0.7989712418496093,27.03442692756653,0
scenario135,0,0,0.4,60,0,40,20,100,60,60,0,1.066824062477871,22.94272804260254,0
scenario136,90,1,0.8,100,80,0,100,0,60,20,0,0.8094864276587019,26.838168621063232,0
scenario137,-90,0,0.2,100,80,100,0,20,100,80,0,1.353512041369149,66.37964034080505,0
scenario138,-30,0,0.4,80,20,80,100,20,40,20,0,1.1172457135685063,23.288572072982788,0
scenario139,90,0,0.4,20,100,60,40,0,60,100,0,1.208457199476687,22.63856172561645,0
scenario140,30,1,0.4,0,60,20,60,20,20,0,0,0.7774507239182931,27.126638174057007,0
scenario141,60,0,0.4,0,40,40,100,0,100,100,0,1.0924004626614336,22.66700124740601,0
scenario142,90,0,0.1,100,20,40,40,0,100,40,0,1.1970172880396732,22.635411262512207,0
scenario143,-30,0,0.1,20,80,60,20,20,0,20,0,0.8557339335710594,23.530168533325195,0
scenario144,60,0,0.6,80,60,40,80,100,20,40,0,1.2126168970468072,22.818785190582275,0
scenario145,0,1,1.0,0,20,80,0,100,20,20,0,0.8838697205659028,27.76292562484741,0
scenario146,60,1,0.6,100,40,80,20,20,40,100,0,0.8339499972796068,27.242413997650143,0
scenario147,30,0,0.1,80,80,100,40,0,80,0,0,1.2189390129859932,22.6739308834076,0
scenario148,30,0,1.0,100,100,20,100,40,40,0,0,1.1218074376817535,22.815242290496823,0
scenario149,30,1,0.6,20,0,20,80,20,60,80,0,0.8034623143675044,26.943475484848022,0
scenario150,0,0,0.2,60,0,40,100,40,20,0,0,1.100122370527229,23.416085720062256,0
scenario151,30,1,0.6,60,0,0,100,80,0,40,0,0.8442594720859673,26.724299430847168,0
scenario152,30,1,0.4,0,80,100,80,0,60,40,0,0.8093764254213168,27.458144664764404,0
scenario153,30,0,0.4,100,20,0,0,40,80,80,0,1.1817929669208318,22.7128484249115,0
scenario154,60,1,1.0,60,60,0,40,20,100,60,0,0.8356129710858415,26.832749128341675,0
scenario155,-60,1,0.8,100,40,40,60,0,60,80,0,0.7045714381740331,27.60301327705384,0
scenario156,-30,0,0.2,80,20,100,40,60,20,100,0,1.052542716298455,22.91891574859619,0
scenario157,-90,0,0.2,40,0,0,0,20,60,20,0,1.2011976126998358,23.254188537597656,0
scenario158,-60,1,1.0,20,60,80,20,80,40,40,0,0.8042047389825535,27.806621551513672,0
scenario159,30,0,1.0,60,40,20,20,80,60,0,0,1.186756071234193,22.74579405784607,0
scenario160,-30,1,0.1,100,40,0,0,100,100,20,0,0.7917344047397301,27.566202640533447,0
scenario161,90,0,0.4,80,80,40,80,60,100,60,0,1.1861174352516404,22.44320917129517,0
