Row,direction,cloudiness,precipitation,precipitationdeposits,windintensity,timeofday,fogdensity,fogdistance,wetness,roadfriction
scenario170,0,-0.581513083738736,-1.56515003888201,0,0,0,0,1.69875493647252,0,0
scenario171,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario172,0,-0.581513083738736,-0.25645595589108,0,0,0,0,-0.581518984137751,0,0
scenario173,0,1.73003861988031,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario174,0,-0.581513083738736,-0.977920779857446,0,0,0,0,-0.581518984137751,0,0
scenario175,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.69875493647252,0,0
scenario176,0,-0.581513083738736,-2.21360322365284,0,0,0,0,-0.581518984137751,0,0
scenario177,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario178,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario179,0,-0.581513083738736,-1.9952891888281,0,0,0,0,1.69875493647252,0,0
scenario180,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario181,0,-0.581513083738736,-0.977920779857446,0,0,0,0,-0.581518984137751,0,0
scenario182,0,-0.581513083738736,-1.56515003888201,0,0,0,0,-0.581518984137751,0,0
scenario183,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario184,0,-0.581513083738736,-1.9952891888281,0,0,0,0,-0.581518984137751,0,0
scenario185,0,-0.581513083738736,-0.977920779857446,0,0,0,0,1.74198504635896,0,0
scenario186,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.69875493647252,0,0
scenario187,0,1.62833745171735,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario188,0,-0.581513083738736,-2.21360322365284,0,0,0,0,-0.581518984137751,0,0
scenario189,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario190,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario191,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario192,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario193,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario194,0,-0.581513083738736,-0.25645595589108,0,0,0,0,-0.581518984137751,0,0
scenario195,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario196,0,-0.581513083738736,-0.977920779857446,0,0,0,0,-0.581518984137751,0,0
scenario197,0,-0.581513083738736,-0.25645595589108,0,0,0,0,-0.581518984137751,0,0
scenario198,0,1.62833745171735,0.585275952657141,0,0,0,0,1.75137291733101,0,0
scenario199,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
