instances,feature_timeofday,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,feature_direction,visibility,roadsurface,vehiclestability,probability,collision,min_ttc,run_duration,algo_safety
scenario73,-90,40,20,0,0,0,0.8,0,100,1,40,0,0,0.00208,0,0.8742660292398001,26.413477897644043,0
scenario74,90,40,40,0,0,0,0.8,0,100,0,40,0,20,0.00157,0,1.176723313456757,22.076364755630493,0
scenario75,-60,60,20,0,0,0,0.8,0,100,0,40,0,40,0.0015,0,1.016869535195941,22.06612014770508,0
scenario76,0,40,40,0,0,0,0.8,0,100,0,40,0,60,0.00163,0,1.1022083422310136,22.800382614135746,0
scenario77,60,40,40,0,0,0,0.8,0,100,0,40,0,80,0.00152,0,1.1603463741955402,21.877403259277344,0
scenario78,-90,20,40,0,0,0,0.8,0,100,1,40,0,100,0.00788,0,0.942411464644001,26.87666177749633,0
scenario79,-90,20,80,0,0,0,0.8,0,100,1,40,20,0,0.0077,0,0.9229161807009624,27.052826404571533,0
scenario80,-90,20,40,0,0,0,0.8,0,100,0,40,20,20,0.00801,0,1.0333114621286397,22.28005313873291,0
scenario81,30,40,60,0,0,0,0.8,0,100,1,40,20,40,0.00155,0,0.9233571268816864,26.424453020095825,0
scenario82,-90,20,100,0,0,0,0.8,0,100,0,40,20,60,0.00619,0,1.0470283515752794,22.388572692871094,0
scenario83,60,20,40,0,0,0,0.8,0,100,1,40,20,80,0.00413,0,0.8103996795463887,26.415205717086792,0
scenario84,30,20,40,0,0,0,0.8,0,100,1,40,20,100,0.004,0,0.8817899986797447,26.143102884292603,0
scenario85,30,20,40,0,0,0,0.8,0,100,0,40,40,0,0.00406,0,1.1054442390159287,22.10773277282715,0
scenario86,60,40,60,0,0,0,0.8,0,100,1,40,40,20,0.00152,0,0.9099599314357883,26.433241605758667,0
scenario87,0,20,60,0,0,0,0.8,0,100,0,40,40,40,0.00425,0,1.1246051338106169,22.6374900341034,0
scenario88,0,20,80,0,0,0,0.8,0,100,1,40,40,60,0.00419,0,0.8347605368741066,27.123525381088257,0
