instances,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,visibility,roadsurface,vehiclestability,pathinteraction,probability,feature_startego,feature_goalego,feature_startother,feature_goalother,collision,min_ttc,algo_safety
scenario113,80,60,0,0,40,0.4,0,100,20,0,20,c2,1e-05,2,1,0,1,0,3.0651620377168705,0
scenario114,80,40,0,40,80,0.8,0,100,20,0,20,c4,1e-05,2,0,1,0,0,6.882110194295725,0
scenario115,60,100,40,100,0,0.6,60,40,20,0,40,c1,1e-05,0,2,1,2,0,2.6593304628285725,0
scenario116,60,60,60,100,100,0.1,40,60,20,0,40,c2,1e-05,2,0,0,1,0,2.478650243629046,0
scenario117,60,40,20,100,0,0.6,20,80,20,0,40,c4,1e-05,1,0,2,0,0,2.595746147649828,0
scenario118,40,60,20,0,20,0.8,0,100,20,0,60,c1,1e-05,1,2,0,2,0,5.617809843183842,0
scenario119,80,100,0,0,80,0.4,40,60,20,0,60,c2,1e-05,0,1,2,0,0,2.230398564014907,0
scenario120,20,60,0,0,0,0.8,0,20,20,0,60,c4,1e-05,1,2,2,0,0,3.3389594913715217,0
scenario121,20,80,80,20,40,0.8,100,0,20,0,80,c1,1e-05,0,1,1,2,0,1.9309902329656696,0
scenario122,80,40,40,0,100,0.6,0,100,20,0,80,c2,1e-05,0,1,2,1,0,3.5783336975289823,0
scenario123,20,60,60,0,80,0.8,100,0,20,0,80,c4,1e-05,2,0,1,2,1,0.0,1
scenario124,60,40,0,60,60,0.6,40,60,20,0,100,c1,1e-05,1,2,0,1,0,5.914223676349,0
scenario125,20,20,0,0,0,0.4,80,20,20,0,100,c2,1e-05,2,1,0,1,0,3.413303424011472,0
scenario126,0,80,0,40,40,0.6,0,100,20,0,100,c4,1e-05,2,0,1,0,0,9.886709185702223,0
scenario127,0,20,0,0,100,0.6,80,20,20,20,0,c1,1e-05,0,2,1,2,1,0.0,1
scenario128,60,40,20,80,100,0.6,60,40,20,20,0,c2,1e-05,2,0,0,1,0,2.4036891121530566,0
scenario129,20,100,60,100,100,0.6,40,60,20,20,0,c4,1e-05,1,0,2,0,0,3.5951977229207337,0
scenario130,20,20,20,20,0,0.8,0,100,20,20,20,c1,1e-05,1,2,0,2,0,6.189729633309231,0
scenario131,20,20,60,0,40,0.8,0,100,20,20,20,c2,1e-05,0,1,2,0,0,2.299247057927257,0
scenario132,40,80,20,60,100,0.6,40,60,20,20,20,c4,1e-05,1,2,2,0,0,4.997995239321865,0
scenario133,60,40,100,0,0,0.8,20,80,20,20,40,c1,1e-05,0,1,1,2,0,2.731485156429736,0
scenario134,80,100,60,60,40,0.6,40,60,20,20,40,c2,1e-05,0,1,2,1,0,2.8362761658676585,0
scenario135,60,60,60,0,80,0.6,40,60,20,20,40,c4,1e-05,2,0,1,2,0,1.133390938580337,0
scenario136,60,40,80,60,60,0.6,40,60,20,20,60,c1,1e-05,1,2,0,1,0,5.956939813768294,0
scenario137,20,20,0,100,100,0.1,20,80,20,20,60,c2,1e-05,2,1,0,1,0,3.3575554734503923,0
scenario138,40,60,20,0,80,0.8,20,80,20,20,60,c4,1e-05,2,0,1,0,0,10.760836718085644,0
scenario139,80,100,0,0,80,0.2,0,100,20,20,80,c1,1e-05,0,2,1,2,1,0.0,1
scenario140,20,40,20,0,80,0.4,100,100,20,20,80,c2,1e-05,2,0,0,1,0,2.6268623124308164,0
