Row,startego,goalego,startother,goalother,cloudiness,precipitation,precipitationdeposits,windintensity,timeofday,fogdensity,fogdistance,wetness,roadfriction
scenario190,1,2,2,0,80,80,0,60,90,40,0,80,0.4
scenario191,1,2,2,0,80,80,20,60,-30,40,0,60,0.2
scenario192,2,0,0,1,100,0,40,0,-60,80,20,80,0.4
scenario193,0,1,2,0,100,0,40,20,-30,80,40,80,0.4
scenario194,0,2,1,2,0,20,0,100,-30,80,100,20,0.4
scenario195,0,1,2,1,80,20,20,60,30,100,0,60,1
scenario196,1,0,2,0,0,60,100,60,-60,80,80,80,0.8
scenario197,2,0,0,1,100,0,40,0,-60,80,20,80,0.4
scenario198,1,2,0,2,0,20,40,20,-60,0,20,100,0.2
scenario199,0,2,1,2,80,0,20,0,-60,0,80,100,0.2
scenario200,2,0,0,1,100,20,60,0,-60,0,40,60,0.2
scenario201,2,0,0,1,100,0,20,20,-60,60,100,100,0.6
scenario202,2,1,0,1,100,20,60,20,-90,80,100,60,0.4
scenario203,2,0,0,1,100,0,60,20,0,80,100,80,0.4
scenario204,2,0,0,1,80,20,20,0,-60,60,20,0,0.2
scenario205,2,0,0,1,100,0,60,0,30,80,80,80,0.4
scenario206,1,0,2,0,80,0,60,20,90,80,60,60,0.4
scenario207,1,2,0,2,100,20,60,20,-30,40,0,60,0.2
scenario208,2,0,0,1,60,80,40,0,-90,80,40,100,0.4
scenario209,2,0,0,1,100,0,40,0,-60,80,20,80,0.4
scenario210,1,0,2,0,60,0,80,0,60,0,0,80,0.1
scenario211,2,0,0,1,100,40,60,0,60,0,40,60,0.2
scenario212,1,0,2,0,100,0,40,0,-60,40,0,100,0.8
scenario213,2,0,0,1,0,0,20,40,-90,40,100,100,0.8
scenario214,2,0,1,0,60,80,40,0,-60,80,20,80,0.2
scenario215,1,0,2,0,80,80,80,20,90,60,60,80,0.8
scenario216,1,2,0,1,100,0,60,20,30,60,100,60,0.4
scenario217,1,2,0,1,0,40,80,0,-60,40,40,60,0.2
scenario218,1,2,0,1,100,20,80,20,0,20,0,20,0.4
scenario219,0,2,1,2,80,0,40,20,-60,20,100,20,0.4
scenario220,0,2,1,2,0,20,20,40,-60,0,20,100,0.2
scenario221,2,0,0,1,100,0,40,0,-60,80,20,80,0.4
scenario222,2,0,1,0,40,60,40,0,-30,80,0,80,0.2
scenario223,1,2,0,1,100,40,80,20,0,20,0,0,0.6
scenario224,1,0,2,0,80,80,60,60,90,60,60,80,1
scenario225,0,2,1,2,60,0,40,20,-30,20,80,40,0.2
scenario226,2,0,1,0,20,20,20,40,-90,20,100,80,0.8
scenario227,1,2,0,1,80,40,80,20,-30,40,40,60,0.8
scenario228,2,1,0,1,0,20,20,60,-60,60,80,80,1
scenario229,0,1,2,0,20,20,100,60,-60,20,40,100,0.2
scenario230,0,2,1,2,60,100,20,20,-30,0,20,80,0.2
scenario231,1,2,0,2,100,20,60,20,30,20,0,40,0.2
scenario232,2,0,1,2,100,40,60,0,60,20,40,80,0.2
scenario233,1,2,0,1,80,40,80,20,-30,40,40,60,0.8
scenario234,0,1,1,2,100,20,80,0,30,20,0,0,0.4
scenario235,0,2,1,2,80,100,20,40,-30,0,20,100,0.1
scenario236,2,0,1,0,80,80,0,40,-60,20,20,100,0.2
scenario237,0,1,2,0,80,60,40,40,60,0,20,80,0.2
scenario238,1,0,2,0,100,20,60,100,30,20,0,60,0.2
scenario239,2,0,1,0,0,100,0,40,-30,20,100,60,0.2
scenario240,2,1,0,1,0,40,0,80,-90,60,80,80,1
scenario241,1,2,0,1,100,20,60,0,-30,20,40,40,0.8
scenario242,0,1,2,0,100,20,40,20,60,0,0,40,0.2
scenario243,0,1,2,1,100,40,60,40,0,20,0,40,0.1
scenario244,1,2,0,2,100,100,40,80,90,60,20,40,1
scenario245,2,0,1,0,0,100,0,40,-30,20,100,60,0.2
scenario246,0,1,1,2,100,20,60,20,-60,40,40,40,0.8
scenario247,1,2,2,0,60,60,60,0,-60,40,20,40,0.8
scenario248,1,0,2,0,80,20,40,100,0,40,0,0,0.2
scenario249,0,2,1,2,60,100,20,0,60,40,20,40,0.8
scenario250,0,2,1,2,100,100,60,20,0,0,20,100,0.1
scenario251,0,1,2,1,100,20,40,0,60,0,20,40,0.4
scenario252,2,0,1,0,80,40,60,40,90,0,20,80,0.4
scenario253,1,2,2,0,80,20,60,80,-30,40,0,40,0.4
scenario254,2,0,1,0,100,0,60,100,90,60,40,60,0.2
scenario255,1,2,0,2,20,80,80,80,90,60,20,60,1
scenario256,2,0,1,2,100,40,80,0,0,0,20,0,0.4
scenario257,2,1,0,1,40,40,80,60,-60,80,100,80,0.8
scenario258,1,2,0,1,80,80,20,60,-60,80,60,80,0.6
scenario259,1,0,2,0,100,0,100,0,-30,40,0,80,0.2
scenario260,2,1,0,1,80,60,20,0,-30,60,20,0,0.1
scenario261,2,0,1,0,80,80,20,20,-60,60,0,60,0.2
scenario262,1,0,2,0,0,60,100,60,-60,80,40,80,0.1
scenario263,1,2,0,2,20,20,0,60,90,60,0,60,0.4
scenario264,0,1,2,0,80,20,20,80,-30,40,0,80,0.2
scenario265,1,2,2,0,100,80,20,60,30,100,0,60,1
scenario266,1,0,2,0,0,60,100,60,-60,80,80,80,0.8
scenario267,1,2,2,0,80,80,0,60,60,40,0,80,0.4
scenario268,2,1,0,1,20,0,60,40,-60,80,40,80,0.4
scenario269,2,1,0,1,40,40,80,60,-60,80,100,80,0.8
scenario270,2,0,0,1,60,20,80,40,-30,80,100,60,1
scenario271,0,1,2,1,60,40,80,80,-90,80,100,60,1
scenario272,0,1,2,1,60,60,80,40,-30,0,100,60,0.6
scenario273,1,0,2,0,40,40,0,60,-90,100,80,20,0.6
scenario274,1,2,2,0,40,20,80,80,-90,100,100,80,1
scenario275,2,1,0,1,40,40,80,60,-60,80,100,80,0.8
scenario276,1,2,0,1,80,80,20,60,-60,80,60,80,0.6
scenario277,1,0,2,0,100,0,100,0,-30,40,0,80,0.2
scenario278,2,1,0,1,80,60,20,0,-30,60,20,0,0.1
scenario279,2,0,1,0,80,80,20,20,-60,60,0,60,0.2
scenario280,1,0,2,0,0,60,100,60,-60,80,40,80,0.1
scenario281,1,2,0,2,20,20,0,60,90,60,0,60,0.4
scenario282,0,1,2,0,80,20,20,80,-30,40,0,80,0.2
scenario283,1,2,2,0,100,80,20,60,30,100,0,60,1
scenario284,1,0,2,0,0,60,100,60,-60,80,80,80,0.8
scenario285,1,2,2,0,80,80,0,60,60,40,0,80,0.4
scenario286,2,1,0,1,20,0,60,40,-60,80,40,80,0.4
scenario287,2,1,0,1,80,60,20,0,-30,60,20,0,0.1
scenario288,1,2,0,1,0,80,20,20,-30,0,20,20,0.1
scenario289,0,2,1,2,60,60,20,0,-30,0,80,20,0.1
scenario290,2,1,0,1,80,80,40,0,-30,0,40,0,0.1
scenario291,2,1,0,1,80,60,0,20,-30,40,100,20,0.2
scenario292,2,1,0,1,80,80,40,20,-60,60,100,0,0.1
scenario293,2,1,0,1,100,60,40,20,0,60,100,0,0.1
scenario294,2,1,0,1,60,80,0,0,-30,40,20,0,0.1
scenario295,2,0,0,1,80,60,60,0,30,60,80,0,0.1
scenario296,1,2,2,0,60,60,40,20,90,60,60,0,0.1
scenario297,1,2,0,1,100,80,40,20,0,40,0,0,0.1
scenario298,2,1,0,1,60,80,20,0,-60,60,40,20,0.1
scenario299,1,2,2,0,60,60,40,20,90,60,60,0,0.1
scenario300,1,0,2,0,60,60,60,0,60,0,0,20,0.1
scenario301,2,1,0,1,80,100,40,0,60,0,40,0,0.1
scenario302,1,2,2,0,100,60,20,0,-30,20,0,40,0.4
scenario303,2,1,0,1,0,40,0,40,-60,40,100,40,0.4
scenario304,2,0,1,0,60,80,20,0,-30,60,20,0,0.1
scenario305,1,2,2,0,60,80,60,20,90,40,60,20,0.8
scenario306,1,2,0,1,80,60,60,20,30,40,100,0,0.1
scenario307,1,2,0,1,0,40,60,0,-30,40,40,0,0.1
scenario308,1,2,0,1,100,80,60,20,0,20,0,20,0.2
scenario309,0,2,1,2,60,60,20,20,-30,20,100,20,0.1
scenario310,0,2,1,2,0,80,20,40,-30,0,20,40,0.1
scenario311,1,2,0,1,80,60,60,20,30,40,100,0,0.1
scenario312,2,0,1,0,40,60,20,0,0,80,0,0,0.1
scenario313,1,2,0,1,100,100,80,20,0,20,0,0,0.4
scenario314,1,2,2,0,60,80,40,60,90,40,60,20,1
scenario315,0,2,1,2,40,60,20,20,0,20,80,40,0.1
scenario316,2,0,1,0,20,60,0,40,-60,20,100,20,0.4
scenario317,1,2,0,1,80,40,60,20,0,40,40,0,0.8
scenario318,2,1,0,1,0,60,0,60,-30,60,80,20,0.6
scenario319,0,1,2,0,20,80,100,60,-30,20,40,60,0.1
scenario320,0,2,1,2,60,100,20,20,0,0,20,0,0.1
scenario321,1,2,0,2,100,80,40,20,30,20,0,40,0.1
scenario322,2,0,1,2,100,100,40,0,60,20,40,20,0.1
scenario323,1,2,2,0,60,80,40,60,90,40,60,20,1
scenario324,0,1,1,2,100,80,80,0,30,20,0,0,0.2
scenario325,0,2,1,2,80,100,20,40,0,0,20,100,0.1
scenario326,2,0,1,0,80,80,0,40,-30,20,20,20,0.1
scenario327,0,1,2,0,80,100,20,40,60,0,20,20,0.1
scenario328,1,0,2,0,100,80,40,100,30,20,0,60,0.1
scenario329,2,0,1,0,0,100,0,40,0,20,100,0,0.1
scenario330,2,1,0,1,0,80,0,80,-60,60,80,20,0.6
scenario331,1,2,0,1,100,80,60,0,-30,20,40,40,0.6
scenario332,0,1,2,0,100,80,20,20,60,0,0,40,0.1
scenario333,0,1,2,1,100,40,40,40,0,20,0,40,0.1
scenario334,1,2,0,1,80,100,20,80,90,40,20,40,1
scenario335,1,2,2,0,60,80,40,60,90,40,60,20,1
scenario336,0,1,1,2,100,20,60,20,-60,40,40,40,0.6
scenario337,1,2,2,0,40,100,60,40,60,40,40,0,1
scenario338,1,0,2,0,80,20,20,100,0,40,0,0,0.1
scenario339,0,2,1,2,60,100,0,0,60,20,20,40,0.8
scenario340,0,2,1,2,100,100,60,20,30,0,20,100,0.1
scenario341,0,1,2,1,100,80,20,0,60,0,20,40,0.2
scenario342,2,0,1,0,80,80,40,40,90,0,20,20,0.2
scenario343,1,2,2,0,80,80,40,80,-30,40,0,40,0.2
scenario344,2,0,1,0,100,60,40,100,90,60,40,60,0.1
scenario345,1,2,0,1,20,80,80,80,90,40,20,60,1
scenario346,2,0,1,2,100,100,80,0,0,0,20,0,0.2
scenario347,0,1,1,2,40,100,100,100,60,20,80,20,0.2
scenario348,0,1,1,2,20,100,40,100,60,0,60,0,0.4
scenario349,0,1,1,2,80,40,0,80,90,20,100,80,1
scenario350,0,1,1,2,60,100,80,80,90,40,40,0,0.8
scenario351,0,1,1,2,0,100,60,0,0,20,0,80,0.1
scenario352,0,1,1,2,100,80,60,100,-90,20,100,100,0.6
scenario353,0,1,1,2,0,80,40,20,-90,20,40,0,1
scenario354,0,1,1,2,0,0,0,100,30,80,20,0,0.4
scenario355,0,1,1,2,0,40,60,100,60,20,100,80,0.8
scenario356,0,1,1,2,60,0,80,100,30,20,40,20,1
scenario357,0,1,1,2,100,0,80,80,60,80,40,20,1
scenario358,1,2,0,2,20,0,80,20,90,20,20,0,1
scenario359,1,2,0,2,20,0,80,20,90,20,20,0,1
scenario360,0,2,1,2,20,0,100,20,90,40,20,0,1
scenario361,0,2,1,2,20,0,100,0,90,20,40,0,1
scenario362,1,0,2,0,0,0,80,20,90,40,20,0,0.1
scenario363,2,0,0,1,40,0,100,20,90,20,40,0,0.1
scenario364,2,0,0,1,0,20,80,40,60,20,0,0,1
scenario365,1,2,0,2,20,0,100,20,-90,40,20,0,1
scenario366,0,1,2,0,0,60,80,20,30,0,20,0,1
scenario367,0,1,2,0,40,20,60,20,60,0,20,20,1
scenario368,1,2,0,1,0,40,80,0,-60,20,20,0,1
scenario369,1,2,0,2,40,20,80,20,90,20,0,0,0.8
scenario370,0,1,2,0,60,0,60,40,90,20,40,0,0.6
scenario371,1,2,0,2,20,0,80,20,90,20,20,0,1
scenario372,1,2,0,1,20,0,100,0,-90,60,20,0,1
scenario373,0,1,2,0,80,60,80,40,30,0,40,0,0.8
scenario374,1,0,2,0,0,0,0,40,30,40,20,0,0.1
scenario375,0,2,1,2,0,20,80,20,90,20,60,0,1
scenario376,1,2,0,2,20,0,60,20,90,80,0,0,0.1
scenario377,1,2,0,1,0,40,60,20,-60,40,20,0,1
scenario378,2,0,1,0,40,100,60,40,90,0,40,80,0.6
scenario379,0,1,1,2,0,0,60,20,0,40,40,20,0.6
scenario380,0,2,1,2,60,40,60,0,60,0,40,0,0.1
scenario381,0,2,1,2,0,20,60,20,90,100,60,20,0.8
scenario382,0,2,1,2,20,0,100,20,30,20,40,0,1
scenario383,0,2,1,2,0,20,80,20,90,20,60,0,1
scenario384,0,2,1,2,20,0,60,0,90,40,80,0,1
scenario385,1,2,0,1,0,40,60,20,-60,40,20,0,1
scenario386,1,2,0,2,20,0,100,40,90,20,0,60,1
scenario387,0,2,1,2,40,0,100,20,30,100,0,0,0.1
scenario388,2,0,1,2,40,100,20,20,90,20,80,80,0.6
scenario389,1,2,0,2,0,60,60,20,-30,60,80,20,1
scenario390,2,0,0,1,20,0,100,0,-90,20,20,80,1
scenario391,1,2,0,2,40,0,60,40,90,60,0,0,0.1
scenario392,0,1,1,2,0,80,80,20,90,0,60,0,1
scenario393,2,0,1,2,0,80,80,0,-30,60,60,40,0.4
scenario394,0,1,1,2,0,40,60,100,90,100,80,60,0.8
scenario395,2,0,0,1,20,0,100,0,-90,20,20,80,1
scenario396,0,1,1,2,0,80,100,0,0,60,60,40,1
scenario397,2,0,1,2,20,60,80,20,60,0,80,100,0.1
scenario398,1,2,0,1,80,0,80,20,90,40,80,0,1
scenario399,1,2,0,1,0,60,100,0,-60,40,40,0,1
scenario400,2,0,1,2,0,100,20,0,60,0,40,0,1
scenario401,1,2,0,2,0,100,100,60,90,20,0,60,1
scenario402,1,2,0,2,20,0,0,40,-90,80,20,80,1
scenario403,0,1,1,2,100,0,60,0,90,40,100,0,1
scenario404,0,1,2,0,20,0,100,40,60,80,0,0,0.1
scenario405,2,0,1,2,0,80,80,20,0,60,60,80,0.6
scenario406,1,2,0,1,0,60,40,100,90,80,60,20,0.8
scenario407,0,1,1,2,0,80,100,0,0,60,60,40,1
scenario408,2,1,0,1,80,60,60,100,60,80,40,20,1
scenario409,2,1,0,1,0,100,20,0,60,0,20,0,1
scenario410,2,0,1,2,0,100,80,20,30,60,60,100,0.6
scenario411,0,2,1,2,40,0,100,60,60,100,0,0,0.1
scenario412,0,1,1,2,0,100,40,20,60,0,40,100,0.4
scenario413,1,2,0,1,80,0,100,40,60,60,80,0,1
scenario414,0,1,2,1,20,80,100,20,0,60,80,20,1
scenario415,0,1,2,0,40,0,100,40,30,60,20,0,0.1
scenario416,1,2,0,1,80,20,80,20,90,60,60,0,1
