instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario149,c2,2,0,0,1,100,0,40,0,-30,80,40,60,0.4,False,1.648,0
scenario150,c4,1,2,2,0,80,80,0,60,90,40,0,80,0.4,True,0.0,1
scenario151,c4,1,2,2,0,80,80,20,60,-30,40,0,60,0.2,False,1.388,0
scenario152,c2,2,0,0,1,100,0,40,0,-60,80,20,80,0.4,False,1.087,0
scenario153,c2,0,1,2,0,100,0,40,20,-30,80,40,80,0.4,False,4.019,0
scenario154,c1,0,2,1,2,0,20,0,100,-30,80,100,20,0.4,False,1.668,0
scenario155,c2,0,1,2,1,80,20,20,60,30,100,0,60,1.0,False,4.602,0
scenario156,c4,1,0,2,0,0,60,100,60,-60,80,80,80,0.8,False,2.622,0
scenario157,c2,2,1,0,1,40,40,80,60,-60,80,100,80,0.8,False,1.099,0
scenario158,c4,2,0,1,2,60,40,60,60,-90,40,20,100,0.6,False,1.069,0
scenario159,c4,1,2,2,0,40,60,60,60,-90,60,80,80,0.8,True,0.0,1
scenario160,c2,0,1,2,1,60,40,80,60,0,60,60,80,1.0,False,3.729,0
scenario161,c2,2,1,0,1,40,40,60,60,-90,60,100,100,0.8,False,2.191,0
scenario162,c1,1,2,0,1,40,60,80,60,-30,80,100,80,0.8,False,0.544,0
scenario163,c2,2,1,0,1,40,20,80,80,-60,80,100,60,0.6,False,0.973,0
scenario164,c4,1,2,2,0,100,40,80,20,-60,80,80,80,0.8,True,0.0,1
scenario165,c2,2,1,0,1,40,60,80,40,-90,80,80,100,0.8,False,1.116,0
scenario166,c2,2,1,0,1,20,60,100,20,-30,80,80,60,0.6,False,1.387,0
scenario167,c2,0,1,2,1,20,100,100,80,-30,80,100,80,0.6,False,4.096,0
scenario168,c2,2,1,0,1,60,0,100,60,-60,100,100,80,0.8,True,0.0,1
scenario169,c4,1,2,2,0,40,60,60,60,-90,60,80,80,0.8,False,3.502,0
scenario170,c1,1,2,0,1,40,60,80,40,-90,60,40,100,0.8,False,1.409,0
scenario171,c4,2,0,1,2,60,40,100,60,90,40,20,80,0.6,False,1.706,0
scenario172,c1,1,2,0,2,20,80,60,80,-90,80,60,80,1.0,False,1.485,0
