instances,feature_timeofday,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,visibility,roadsurface,vehiclestability,pathinteraction,probability,feature_startego,feature_goalego,feature_startother,feature_goalother,collision,min_ttc,algo_safety
scenario81,-60,20,100,20,0,0,0.6,40,60,0,80,40,c4,1e-05,2,0,1,2,0,0.9825799799404475,0
scenario82,0,40,20,20,100,60,0.6,0,100,0,80,60,c1,1e-05,1,2,0,1,0,3.185788638894189,0
scenario83,30,20,20,60,0,0,0.8,0,100,0,80,60,c2,1e-05,0,1,2,1,0,2.4627849170609264,0
scenario84,-30,60,40,100,0,0,0.8,0,100,0,80,60,c4,1e-05,1,0,2,0,0,2.8700382278718326,0
scenario85,-90,60,40,0,0,60,0.8,0,100,0,80,80,c1,1e-05,0,1,1,2,0,2.628640925530612,0
scenario86,-90,80,80,0,100,40,0.4,0,100,0,80,80,c2,1e-05,0,1,2,0,0,1.6193926493695647,0
scenario87,60,60,80,40,0,80,0.2,40,60,0,80,80,c4,1e-05,2,0,1,0,0,2.4371292435547867,0
scenario88,-30,60,20,20,80,40,0.6,40,60,0,80,100,c1,1e-05,0,2,1,2,0,3.198427028246967,0
scenario89,60,40,20,80,0,0,0.8,100,0,0,80,100,c2,1e-05,2,1,0,1,1,0.0,1
scenario90,-90,20,100,0,0,60,0.4,80,20,0,80,100,c4,1e-05,1,2,2,0,0,4.02391235214103,0
scenario91,90,60,100,60,40,40,0.8,40,60,0,100,0,c1,1e-05,1,2,0,2,0,3.374441208075204,0
scenario92,-60,20,80,60,40,40,0.8,40,60,0,100,0,c2,1e-05,2,0,0,1,0,2.947082813474317,0
scenario93,0,0,60,0,0,0,0.8,80,20,0,100,0,c4,1e-05,2,0,1,2,0,1.026048950579817,0
scenario94,-60,40,20,60,0,80,0.4,100,0,0,100,20,c1,1e-05,1,2,0,1,0,3.4883288176655483,0
scenario95,90,60,60,0,100,40,0.4,0,100,0,100,20,c2,1e-05,0,1,2,1,0,2.832647484906755,0
scenario96,30,80,20,20,0,80,0.2,40,60,0,100,20,c4,1e-05,1,0,2,0,0,3.7989560071554944,0
scenario97,0,20,100,60,100,60,0.6,100,0,0,100,40,c1,1e-05,0,1,1,2,0,3.101157692911982,0
scenario98,-60,0,80,0,20,0,0.8,0,100,0,100,40,c2,1e-05,0,1,2,0,0,2.0150290099231976,0
scenario99,-90,0,20,0,0,100,0.2,0,100,0,100,40,c4,1e-05,2,0,1,0,0,3.923306372806562,0
scenario100,90,20,80,40,0,0,0.8,40,60,0,100,60,c1,1e-05,0,2,1,2,0,3.007756149137623,0
scenario101,-60,60,100,0,20,0,0.8,80,20,0,100,60,c2,1e-05,2,1,0,1,1,0.0,1
scenario102,0,60,60,0,0,0,0.8,40,60,0,100,60,c4,1e-05,1,2,2,0,0,4.362632172396661,0
scenario103,90,40,20,60,0,100,0.1,0,100,0,100,80,c1,1e-05,1,2,0,2,0,3.2865958300979616,0
scenario104,0,20,40,80,0,0,0.8,40,60,0,100,80,c2,1e-05,2,0,0,1,1,0.0,1
scenario105,30,60,100,40,80,40,0.6,40,60,0,100,80,c4,1e-05,2,0,1,2,0,1.0091207320272435,0
scenario106,90,60,80,100,0,80,0.8,20,80,0,100,100,c1,1e-05,1,2,0,1,0,2.6872742792791366,0
scenario107,60,40,20,80,100,0,0.6,100,0,0,100,100,c2,1e-05,0,1,2,1,0,3.227226373644215,0
scenario108,60,60,100,0,0,80,0.1,0,100,0,100,100,c4,1e-05,1,0,2,0,0,3.122366128288548,0
scenario109,-30,60,20,60,40,40,0.8,0,100,20,0,0,c1,1e-05,0,1,1,2,0,2.8017373790028794,0
scenario110,-30,20,20,60,0,80,0.4,40,60,20,0,0,c2,1e-05,0,1,2,0,1,0.0,1
scenario111,-30,0,60,0,0,100,0.6,0,100,20,0,0,c4,1e-05,2,0,1,0,0,2.915546489485382,0
scenario112,60,20,60,40,40,40,0.8,0,100,20,0,20,c1,1e-05,0,2,1,2,0,3.2411434172671907,0
scenario113,-90,80,40,60,100,40,0.6,40,60,20,0,20,c2,1e-05,2,1,0,1,0,1.838491714495011,0
scenario114,30,40,40,100,100,60,0.6,0,100,20,0,20,c4,1e-05,1,2,2,0,0,4.135293309759731,0
scenario115,30,20,100,0,20,40,0.8,40,60,20,0,40,c1,1e-05,1,2,0,2,0,3.868359136930173,0
scenario116,-90,40,20,0,40,0,0.8,0,100,20,0,40,c2,1e-05,2,0,0,1,0,2.1988909293547643,0
scenario117,60,60,100,60,0,0,0.8,0,100,20,0,40,c4,1e-05,2,0,1,2,0,0.9143038177678088,0
scenario118,-60,80,20,0,0,80,0.4,80,20,20,0,60,c1,1e-05,1,2,0,1,0,4.185991532877553,0
scenario119,-90,40,40,40,100,40,0.6,100,100,20,0,60,c2,1e-05,0,1,2,1,0,2.4422824434810573,0
scenario120,-30,40,100,40,0,0,0.8,20,0,20,0,60,c4,1e-05,1,0,2,0,0,3.189050402890804,0
scenario121,90,20,20,20,0,80,0.8,40,60,20,0,80,c1,1e-05,0,1,1,2,0,2.620426647221743,0
scenario122,30,20,20,0,0,60,0.8,0,100,20,0,80,c2,1e-05,0,1,2,0,0,1.7914146489519245,0
scenario123,-30,80,20,0,20,40,0.8,40,60,20,0,80,c4,1e-05,2,0,1,0,0,2.5001033649403834,0
scenario124,0,20,20,40,20,60,0.8,100,0,20,0,100,c1,1e-05,0,2,1,2,0,3.917776573198069,0
scenario125,-90,60,40,0,0,100,0.6,40,60,20,0,100,c2,1e-05,2,1,0,1,1,0.0,1
scenario126,-90,20,60,0,100,0,0.6,0,100,20,0,100,c4,1e-05,1,2,2,0,0,4.151716432164725,0
scenario127,-30,20,60,60,100,40,0.6,0,100,20,20,0,c1,1e-05,1,2,0,2,0,3.614602877709114,0
scenario128,30,20,20,100,0,80,0.4,20,80,20,20,0,c2,1e-05,2,0,0,1,0,3.0897508201417634,0
