instances,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,visibility,roadsurface,vehiclestability,pathinteraction,probability,feature_startego,feature_goalego,feature_startother,feature_goalother,collision,min_ttc,algo_safety
scenario82,20,40,20,60,60,0.6,20,80,0,80,60,c1,1e-05,1,2,0,2,0,2261.26317875771,0
scenario83,20,40,40,0,80,0.4,60,40,0,80,60,c2,1e-05,0,1,2,0,0,4.116461621849964,0
scenario84,60,100,0,0,40,0.8,80,20,0,80,60,c4,1e-05,1,2,2,0,0,2.736945080147065,0
scenario85,20,20,80,0,0,0.8,100,0,0,80,80,c1,1e-05,0,1,1,2,0,2.724259684546743,0
scenario86,40,40,0,0,80,0.4,20,0,0,80,80,c2,1e-05,0,1,2,1,0,3.408842766381912,0
scenario87,20,60,0,0,20,0.8,40,60,0,80,80,c4,1e-05,2,0,1,2,1,0.0,1
scenario88,80,100,0,60,40,0.6,40,60,0,80,100,c1,1e-05,1,2,0,1,0,7.620237623455033,0
scenario89,20,100,0,80,100,0.1,0,100,0,80,100,c2,1e-05,2,1,0,1,0,9999.0,0
scenario90,40,100,80,100,40,0.6,40,60,0,80,100,c4,1e-05,2,0,1,0,0,2.976738938051268,0
scenario91,20,60,20,40,0,0.6,100,0,0,100,0,c1,1e-05,0,2,1,2,0,4.9556717600609135,0
scenario92,0,100,0,0,60,0.8,20,80,0,100,0,c2,1e-05,2,0,0,1,0,3.617189298080672,0
scenario93,60,20,80,0,80,0.4,20,80,0,100,0,c4,1e-05,1,0,2,0,1,0.0,1
scenario94,60,60,60,40,40,0.8,0,100,0,100,20,c1,1e-05,1,2,0,2,0,673.8076685658536,0
scenario95,60,60,20,20,60,0.2,40,60,0,100,20,c2,1e-05,0,1,2,0,0,2.338716030070543,0
scenario96,20,60,20,20,60,0.2,100,0,0,100,20,c4,1e-05,1,2,2,0,0,2.2694086617660485,0
scenario97,40,40,20,100,40,0.6,100,60,0,100,40,c1,1e-05,0,1,1,2,0,4.926715662251659,0
scenario98,20,20,0,100,100,0.1,80,20,0,100,40,c2,1e-05,0,1,2,1,0,4.002799778067153,0
scenario99,20,100,40,60,40,0.6,100,0,0,100,40,c4,1e-05,2,0,1,2,1,0.0,1
scenario100,20,60,60,0,0,0.4,0,100,0,100,60,c1,1e-05,1,2,0,1,0,602.3002483561675,0
scenario101,80,60,20,20,40,0.8,100,0,0,100,60,c2,1e-05,2,1,0,1,1,0.0,1
scenario102,60,60,0,0,0,0.4,80,20,0,100,60,c4,1e-05,2,0,1,0,0,2.673592526869512,0
scenario103,60,100,40,0,80,0.4,60,40,0,100,80,c1,1e-05,0,2,1,2,0,4.705207635647884,0
scenario104,0,60,100,100,40,0.6,40,60,0,100,80,c2,1e-05,2,0,0,1,0,2.8378056506389155,0
scenario105,20,20,40,100,0,0.6,40,60,0,100,80,c4,1e-05,1,0,2,0,1,0.0,1
scenario106,20,80,40,60,0,0.6,0,100,0,100,100,c1,1e-05,1,2,0,2,0,3581.432099783366,0
scenario107,80,20,0,0,0,0.8,40,60,0,100,100,c2,1e-05,0,1,2,0,0,3.955267654043993,0
scenario108,20,60,20,20,40,0.8,20,20,0,100,100,c4,1e-05,1,2,2,0,0,1.917593394570491,0
