instances,feature_direction,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario197,0,40,100,40,40,-90,60,20,20,0.4,False,1.031,0
scenario198,0,80,20,60,20,90,80,40,40,1.0,False,1.148,0
scenario199,1,80,40,40,0,30,0,80,60,0.4,False,0.843,0
scenario200,1,0,60,0,80,-60,60,100,0,0.1,False,0.759,0
scenario201,1,20,100,20,20,0,80,40,80,0.1,False,0.92,0
scenario202,0,0,100,0,40,30,40,40,100,0.1,False,1.098,0
scenario203,1,60,100,0,40,30,20,80,100,0.4,False,0.879,0
scenario204,0,60,40,100,60,-60,20,0,0,0.2,False,1.102,0
scenario205,1,60,40,0,100,-90,80,0,80,0.6,False,0.721,0
scenario206,1,40,0,100,80,0,60,60,40,0.8,False,0.919,0
scenario207,0,40,80,60,0,-30,80,20,20,0.2,False,1.126,0
scenario208,1,60,20,100,100,60,100,20,60,1.0,False,0.85,0
scenario209,0,0,40,100,40,-30,40,20,80,0.8,False,1.122,0
scenario210,1,100,20,60,20,-30,80,60,80,0.8,False,0.901,0
scenario211,1,60,0,80,80,90,20,100,100,0.2,False,0.789,0
scenario212,0,20,0,100,60,90,0,40,60,0.1,False,1.159,0
scenario213,1,40,100,40,100,0,60,60,0,1.0,False,0.95,0
scenario214,0,0,60,60,60,90,100,0,80,0.2,False,1.195,0
scenario215,1,60,80,20,40,60,80,60,20,0.6,False,0.888,0
scenario216,0,0,80,100,0,60,20,20,20,0.6,False,1.169,0
scenario217,1,80,20,100,40,-60,100,80,0,0.8,False,0.945,0
scenario218,0,0,0,80,20,0,80,40,60,0.8,False,1.016,0
scenario219,0,20,0,20,60,30,100,100,80,0.8,False,1.226,0
scenario220,0,100,60,60,0,-30,40,60,100,0.6,False,0.97,0
scenario221,1,20,40,0,80,90,100,40,100,0.2,False,0.823,0
scenario222,1,100,0,100,80,-90,20,100,20,1.0,False,0.766,0
scenario223,1,60,0,20,0,-60,40,40,60,0.2,False,0.906,0
scenario224,1,0,100,80,60,-60,60,100,20,0.1,False,0.839,0
scenario225,0,0,60,100,100,-90,40,0,100,0.6,False,1.374,0
scenario226,0,100,80,80,100,0,40,60,40,0.4,False,1.116,0
scenario227,1,60,100,40,60,0,60,60,80,0.2,False,0.942,0
scenario228,0,40,40,60,100,-90,60,80,40,0.8,False,1.057,0
scenario229,0,40,40,0,0,-60,20,100,20,0.6,False,1.08,0
scenario230,1,20,20,40,0,-30,0,20,0,0.1,False,0.861,0
scenario231,1,60,60,20,100,-30,40,0,60,0.1,False,0.901,0
scenario232,0,100,40,80,100,0,0,40,40,0.4,False,1.053,0
scenario233,1,80,60,20,80,-90,100,100,0,0.8,False,0.847,0
scenario234,0,0,60,60,0,0,20,60,40,0.1,False,1.064,0
scenario235,1,0,0,20,80,-90,60,80,20,0.6,False,0.858,0
scenario236,0,100,80,100,60,-60,0,100,0,0.6,False,1.135,0
scenario237,0,40,20,40,40,60,0,20,60,0.4,False,1.1,0
scenario238,1,100,80,40,60,60,20,40,80,0.4,False,0.874,0
scenario239,1,100,100,40,20,30,60,40,60,0.8,False,0.751,0
scenario240,0,20,40,0,80,30,20,20,0,0.6,False,1.208,0
scenario241,0,0,40,20,60,0,60,40,20,1.0,False,1.062,0
scenario242,1,20,60,0,40,-30,100,40,0,0.1,False,0.702,0
scenario243,0,0,80,40,20,90,80,0,100,0.4,False,1.232,0
scenario244,1,100,100,20,100,-60,40,40,40,0.6,False,0.693,0
scenario245,1,60,80,100,40,-30,20,40,20,0.1,False,0.948,0
scenario246,0,100,60,20,60,0,0,60,80,0.4,False,1.087,0
scenario247,1,100,60,60,60,30,20,40,0,0.4,False,0.772,0
scenario248,0,100,100,80,40,60,100,20,80,0.2,False,1.176,0
scenario249,0,80,100,0,40,-30,100,60,100,0.6,False,1.111,0
scenario250,1,20,80,40,40,0,40,60,100,1.0,False,0.934,0
scenario251,1,80,40,100,20,90,0,100,40,1.0,False,0.858,0
scenario252,0,80,40,60,60,60,100,0,60,0.8,False,1.216,0
scenario253,1,0,20,20,80,90,20,20,100,0.1,False,0.813,0
scenario254,0,80,20,0,80,60,80,80,0,0.8,False,1.198,0
scenario255,1,80,100,60,0,-90,40,0,40,0.4,False,0.824,0
scenario256,0,20,80,100,0,0,100,60,20,0.1,False,1.152,0
scenario257,1,80,0,0,40,90,20,40,20,1.0,False,0.801,0
