feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
left,80,60,100,20,-90,0,80,100,1.0,False,1.404,0
left,20,20,60,40,90,20,100,100,0.2,False,1.358,0
left,40,80,40,20,-30,80,40,60,0.2,False,0.878,0
right,80,60,20,80,-30,80,80,20,0.4,False,1.892,0
right,0,20,20,60,-60,100,40,100,0.4,False,1.1,0
right,20,40,0,80,-90,100,40,60,0.8,False,0.853,0
left,40,80,100,60,60,40,40,60,0.4,False,1.383,0
left,40,40,0,60,-60,20,80,100,0.1,False,1.48,0
right,80,40,40,100,90,80,100,40,1.0,False,2.274,0
left,100,0,20,20,-30,80,100,60,0.6,False,1.542,0
right,0,20,60,20,30,100,0,0,0.1,False,0.85,0
left,80,40,40,0,30,40,80,20,0.6,False,1.113,0
right,80,20,20,40,30,60,20,20,0.1,False,0.949,0
left,100,20,60,0,-90,100,20,100,0.4,False,1.433,0
right,40,0,0,100,90,80,40,80,1.0,False,1.83,0
right,80,80,100,60,-60,20,0,0,0.1,False,1.771,0
left,60,20,20,20,-90,0,0,80,0.8,False,1.52,0
left,20,60,20,80,30,100,80,100,1.0,False,1.431,0
right,80,20,80,40,-90,40,100,0,1.0,False,0.82,0
right,100,80,0,60,90,60,100,60,0.1,False,0.825,0
right,20,20,0,40,-60,100,0,0,0.4,False,1.568,0
right,100,0,40,100,30,100,60,100,0.8,False,1.541,0
right,40,100,20,0,30,0,20,40,0.2,False,2.232,0
left,20,100,40,20,0,40,80,20,0.6,False,1.367,0
right,60,80,100,0,90,0,60,100,0.2,False,0.748,0
right,20,60,80,80,-90,80,20,20,0.1,False,0.963,0
left,0,0,80,20,-30,20,100,0,0.1,False,1.413,0
left,20,100,100,100,-90,100,0,100,0.1,False,0.931,0
left,80,40,20,80,60,0,100,60,0.1,False,1.468,0
left,20,20,0,0,-90,100,0,100,1.0,False,0.635,0
right,60,0,20,0,90,100,20,40,0.4,False,2.076,0
right,60,40,0,40,-30,40,0,100,0.4,False,0.809,0
right,80,80,60,40,30,100,0,60,0.1,False,2.161,0
right,80,0,40,60,60,0,80,80,0.2,False,0.984,0
left,80,40,20,60,-90,80,20,40,0.1,False,1.37,0
left,40,60,0,60,60,20,60,80,0.4,False,1.429,0
right,80,20,40,20,60,20,60,20,0.1,False,1.739,0
left,60,100,80,0,60,40,40,0,0.6,False,1.345,0
right,100,0,60,100,-90,40,20,40,0.4,False,0.735,0
right,80,80,20,60,60,20,60,20,0.8,False,0.949,0
left,40,80,40,80,-60,60,100,80,1.0,False,1.703,0
right,20,60,60,100,90,40,80,20,0.2,False,0.779,0
right,60,100,100,20,30,20,40,40,1.0,False,0.612,0
left,100,20,20,100,-30,80,80,40,0.2,False,1.385,0
left,40,20,40,100,-90,20,100,0,0.2,False,1.377,0
right,20,20,40,100,-30,60,40,20,0.1,False,0.965,0
