feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
left,40,40,80,20,90,40,60,0,0.8,False,1.226,0
right,20,40,0,20,0,60,80,20,0.6,False,0.877,0
right,60,60,0,20,90,100,100,0,0.8,False,0.914,0
left,20,40,20,100,30,80,20,100,1.0,False,1.208,0
left,20,60,0,40,60,100,80,20,0.6,False,1.171,0
left,20,20,0,100,-60,40,100,60,0.2,False,1.036,0
left,60,80,0,80,0,0,100,40,0.6,False,1.104,0
right,20,40,0,20,-90,40,100,0,0.2,False,0.808,0
left,20,80,0,20,90,100,60,20,0.8,False,1.174,0
right,40,80,0,0,90,100,80,0,1.0,False,0.872,0
right,0,20,0,80,90,20,40,60,0.2,False,0.795,0
left,80,100,0,0,0,60,40,80,0.2,False,1.077,0
right,0,20,0,100,90,20,0,20,0.1,False,0.875,0
left,40,80,60,20,30,60,60,60,0.2,False,1.126,0
right,20,100,20,0,30,100,20,20,0.2,False,0.846,0
left,40,100,20,0,60,60,60,60,0.1,False,1.219,0
right,60,20,20,60,90,0,20,20,0.1,False,0.864,0
right,20,20,0,80,60,40,60,60,0.2,False,0.889,0
right,80,0,100,60,90,80,80,40,0.8,False,0.84,0
left,100,0,40,100,60,80,60,40,0.2,False,1.11,0
left,60,20,100,100,-60,0,80,60,0.2,False,1.086,0
left,20,20,100,60,90,0,40,60,0.1,False,1.175,0
right,0,20,0,80,90,20,40,60,0.2,False,0.816,0
right,0,20,20,60,60,0,20,60,0.2,False,0.944,0
right,20,20,0,100,60,0,20,60,1.0,False,0.826,0
left,0,0,0,100,60,0,60,60,0.4,False,0.969,0
left,0,60,0,80,60,0,20,40,0.2,False,0.974,0
right,0,60,0,80,-90,20,20,40,0.1,False,0.717,0
right,0,20,0,60,90,60,60,60,0.1,False,0.829,0
right,0,0,100,0,90,40,40,60,0.2,False,0.757,0
left,0,20,40,60,90,20,40,60,0.2,False,1.078,0
right,0,40,0,60,90,20,20,60,1.0,False,0.819,0
right,0,20,0,80,90,20,40,80,0.1,False,0.836,0
right,20,0,20,80,90,60,40,60,0.1,False,0.896,0
right,0,60,0,80,-90,20,20,40,0.1,False,0.852,0
right,0,40,0,60,90,40,80,60,0.1,False,0.79,0
left,0,20,40,60,90,40,40,60,0.1,False,1.124,0
right,0,100,20,80,90,20,40,60,0.4,False,0.911,0
left,20,40,0,0,60,100,100,40,0.8,False,1.237,0
left,0,20,40,60,90,20,40,80,0.4,False,1.078,0
right,20,40,0,60,90,60,60,80,0.8,False,0.926,0
left,0,80,20,60,60,20,20,40,0.2,False,1.183,0
right,20,20,0,100,60,0,40,40,1.0,False,0.8,0
left,20,0,20,100,60,0,0,0,1.0,False,0.852,0
right,100,100,20,80,90,0,20,20,0.1,False,0.861,0
left,0,0,0,20,90,20,80,40,0.4,False,1.203,0
right,0,40,0,60,90,40,80,60,0.1,False,0.786,0
right,0,40,0,60,90,0,40,100,0.2,False,0.765,0
left,0,20,0,40,90,60,60,80,0.8,False,1.095,0
right,100,40,0,80,60,40,100,60,0.4,False,0.747,0
