feature_TimeofDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,feature_Direction,Visibility,RoadSurface,VehicleStability,probability,collision,min_ttc,run_duration,algo_safety
-90,20,40,0,0,0,0.8,0,100,right,40,0,100,0.00788,0,0.915468982767848,26.95743727684021,0
-90,20,80,0,0,0,0.8,0,100,right,40,20,0,0.0077,0,0.7888259370670443,26.73757314682007,0
-90,20,40,0,0,0,0.8,0,100,left,40,20,20,0.00801,0,1.113416675369627,22.02508783340454,0
30,40,60,0,0,0,0.8,0,100,right,40,20,40,0.00155,0,0.8605392066972696,26.247520685195923,0
-90,20,100,0,0,0,0.8,0,100,left,40,20,60,0.00619,0,1.1010185406996469,22.46190404891968,0
60,20,40,0,0,0,0.8,0,100,right,40,20,80,0.00413,0,0.7666253920440395,26.29046082496643,0
30,20,40,0,0,0,0.8,0,100,right,40,20,100,0.004,0,0.8973528843414561,26.58073210716248,0
30,20,40,0,0,0,0.8,0,100,left,40,40,0,0.00406,0,1.0762481584331445,21.90037178993225,0
60,40,60,0,0,0,0.8,0,100,right,40,40,20,0.00152,0,0.8721674026994546,26.925472497940063,0
0,20,60,0,0,0,0.8,0,100,left,40,40,40,0.00425,0,1.1291693456515863,23.607436418533325,0
0,20,80,0,0,0,0.8,0,100,right,40,40,60,0.00419,0,0.977426347558942,27.84752917289734,0
90,20,40,0,0,0,0.8,0,100,left,40,40,80,0.00406,0,1.23150412484709,22.58090615272522,0
30,40,80,0,0,0,0.8,0,100,right,40,40,100,0.00155,0,0.7923278579518632,26.921894073486328,0
-30,20,80,0,0,0,0.8,0,100,right,40,60,0,0.004,0,0.7730438072733461,27.50822234153748,0
-60,20,40,0,0,0,0.8,0,100,right,40,60,20,0.00396,0,0.9547046156757149,27.364012956619263,0
-30,20,80,0,0,0,0.8,0,100,left,40,60,40,0.00395,0,1.0807937837467338,22.54486393928528,0
90,20,40,0,0,0,0.8,0,100,right,40,60,60,0.00438,0,0.8063627289749363,26.572622299194336,0
0,20,80,0,0,0,0.8,0,100,left,40,60,80,0.00401,0,1.0690063575044189,23.39957356452942,0
-30,20,40,0,0,0,0.8,0,100,right,40,60,100,0.00406,0,0.9618654562710176,27.765002727508545,0
0,20,40,0,0,0,0.8,0,100,right,40,80,0,0.00385,0,0.9097786036669476,27.56529974937439,0
-30,20,40,0,0,0,0.8,0,100,left,40,80,20,0.00403,0,1.124101040194517,23.020050525665283,0
60,20,60,0,0,0,0.8,0,100,left,40,80,40,0.00386,0,1.1935180632033138,22.5313663482666,0
90,60,100,0,0,0,0.8,0,100,left,40,80,60,0.00148,0,1.1963151277236417,22.2447726726532,0
30,20,80,0,0,0,0.8,0,100,right,40,80,80,0.00353,0,0.8468340174506258,27.06825566291809,0
30,20,80,0,0,0,0.8,0,100,left,40,80,100,0.00349,0,1.171259574209836,22.753422260284424,0
60,20,100,0,0,0,0.8,0,100,left,40,100,0,0.0033,0,1.1270575387418398,22.323335647583008,0
30,40,60,0,0,0,0.8,0,100,left,40,100,20,0.00149,0,1.148849500065112,22.575304985046387,0
-60,20,80,0,0,0,0.8,0,100,right,40,100,40,0.0033,0,0.7841629314277742,27.70506000518799,0
60,40,20,0,0,0,0.8,0,100,right,40,100,60,0.00167,0,0.8353701574925909,26.69298768043518,0
-60,20,60,0,0,0,0.8,0,100,left,40,100,80,0.0031,0,1.061464879285512,22.920122861862183,0
90,20,80,0,0,0,0.8,0,100,right,40,100,100,0.00303,0,0.7797587615474353,27.008636951446533,0
-60,20,100,0,0,0,0.8,0,100,left,60,0,0,0.00351,0,1.0720463443464876,23.07729983329773,0
-90,40,60,0,0,0,0.8,0,100,left,60,0,20,0.00304,0,1.0961845572152638,22.65094518661499,0
-90,40,40,0,0,0,0.8,0,100,right,60,0,40,0.00311,0,0.7147566401847334,27.60297966003418,0
60,20,100,0,0,0,0.8,0,100,right,60,0,60,0.00308,0,0.9105836979300218,26.8528413772583,0
90,20,80,0,0,0,0.8,0,100,left,60,0,80,0.00297,0,1.1963548717282455,22.54466986656189,0
-30,40,20,0,0,0,0.8,0,100,right,60,0,100,0.00144,0,0.8071040742331875,27.726706504821777,0
-90,40,100,0,0,0,0.8,0,100,left,60,20,0,0.00257,0,1.0373781202511958,22.688520908355716,0
-90,40,100,0,0,0,0.8,0,100,right,60,20,20,0.00244,0,0.8593997063853922,27.659152507781982,0
-90,60,60,0,0,0,0.8,0,100,right,60,20,40,0.00226,0,0.8562189641215274,27.33594346046448,0
-90,60,80,0,0,0,0.8,0,100,left,60,20,60,0.00229,0,1.0476690877332135,22.762304544448853,0
-90,60,80,0,0,0,0.8,0,100,right,60,20,80,0.00235,0,0.8216495949686683,27.384275436401367,0
-90,60,40,0,0,0,0.8,0,100,left,60,20,100,0.0024,0,1.0496897172263109,22.76766967773437,0
-90,40,20,0,0,0,0.8,0,100,left,60,40,0,0.00204,0,1.0760983435932951,23.02192068099976,0
0,40,60,0,0,0,0.8,0,100,left,60,40,20,0.00164,0,1.119995793293881,24.24540328979492,0
-90,60,20,0,0,0,0.8,0,100,right,60,40,40,0.00158,0,0.7927180501820766,27.766308546066284,0
90,60,40,0,0,0,0.8,0,100,left,60,40,60,0.00165,0,1.2124990693449955,22.243804216384888,0
30,40,40,0,0,0,0.8,0,100,right,60,40,80,0.0017,0,0.8472780490483615,26.900440216064453,0
-90,20,80,0,0,0,0.8,0,100,left,60,40,100,0.00824,0,1.0652176631027126,22.79008436203003,0
90,60,40,0,0,0,0.8,0,100,right,60,60,0,0.0016,0,0.7598492813011277,27.009653329849243,0
60,60,20,0,0,0,0.8,0,100,right,60,60,20,0.00151,0,0.8981199350658372,27.215628147125244,0
30,40,40,0,0,0,0.8,0,100,left,60,60,40,0.00176,0,1.0377895266385877,22.518953800201416,0
-60,40,20,0,0,0,0.8,0,100,right,60,60,60,0.00157,0,0.9260079788093712,27.56818127632141,0
60,60,40,0,0,0,0.8,0,100,left,60,60,80,0.00152,0,1.1594834901595186,22.526206254959103,0
-60,40,20,0,0,0,0.8,0,100,left,60,60,100,0.00151,0,1.007971092069512,23.159932851791385,0
-90,20,40,0,0,0,0.8,0,100,right,60,80,0,0.00805,0,0.891428132317598,27.735466480255127,0
0,40,60,0,0,0,0.8,0,100,right,60,80,20,0.00148,0,0.8181060062690941,27.907874584198,0
90,40,20,0,0,0,0.8,0,100,left,60,80,40,0.00158,0,1.201343410193821,22.57198190689087,0
90,40,20,0,0,0,0.8,0,100,right,60,80,60,0.00167,0,0.794183482979482,27.268213033676147,0
-60,60,40,0,0,0,0.8,0,100,right,60,80,80,0.00161,0,0.977155913883034,27.69056272506714,0
60,40,40,0,0,0,0.8,0,100,right,60,80,100,0.00161,0,0.957892196533328,26.39599299430847,0
-90,20,40,0,0,0,0.8,0,100,right,60,100,0,0.00806,0,0.9146708751997432,27.34702467918396,0
-90,20,40,0,0,0,0.8,0,100,left,60,100,20,0.00793,0,0.9707534399457248,26.31400680541992,0
-90,20,40,0,0,0,0.8,0,100,right,60,100,40,0.00778,0,0.9711841811341614,27.548401832580566,0
-90,20,40,0,0,0,0.8,0,100,left,60,100,60,0.00779,0,1.0609649753837005,22.72905850410461,0
-90,20,80,0,0,0,0.8,0,100,left,60,100,80,0.00791,0,1.114176930870978,22.63562798500061,0
-90,20,80,0,0,0,0.8,0,100,left,60,100,100,0.00813,0,1.1249374394785394,22.918537855148315,0
-90,20,80,0,0,0,0.8,0,100,right,80,0,0,0.008,0,0.8103363037268719,27.206340551376343,0
-90,20,40,0,0,0,0.8,0,100,left,80,0,20,0.00789,0,1.069657165505888,22.59213638305664,0
-90,20,40,0,0,0,0.8,0,100,right,80,0,40,0.00811,0,0.8428434370297521,27.45027756690979,0
-90,20,40,0,0,0,0.8,0,100,right,80,0,60,0.00783,0,0.967184546371722,28.129649877548218,0
-90,20,40,0,0,0,0.8,0,100,right,80,0,80,0.0079,0,0.9653232937762032,27.62900424003601,0
