feature_TimeofDay,feature_Direction,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,run_duration,algo_safety
0,right,1.0,0,20,80,0,100,20,20,0,1.8580646004714791,169.53697061538696,0
60,right,0.6,100,40,80,20,20,40,100,0,1.798385456120579,106.74077105522156,0
30,left,0.1,80,80,100,40,0,80,0,0,1.3673158106163974,77.01094555854797,0
30,left,1.0,100,100,20,100,40,40,0,0,1.3476996327969455,78.81828594207764,0
30,right,0.6,20,0,20,80,20,60,80,0,1.5495326876466111,152.4966492652893,0
0,left,0.2,60,0,40,100,40,20,0,0,1.384130987311444,81.28443670272827,0
30,right,0.6,60,0,0,100,80,0,40,0,1.0239725002076905,151.92461037635803,0
30,right,0.4,0,80,100,80,0,60,40,0,0.6914485128527844,87.28458189964294,0
30,left,0.4,100,20,0,0,40,80,80,0,1.431476352865174,75.68109583854675,0
60,right,1.0,60,60,0,40,20,100,60,0,1.4929817712437268,152.0841989517212,0
-60,right,0.8,100,40,40,60,0,60,80,0,0.9497124507238214,104.62637090682983,0
-30,left,0.2,80,20,100,40,60,20,100,0,0.9895413501533618,103.64218473434448,0
-90,left,0.2,40,0,0,0,20,60,20,0,1.7335034107222438,81.22469830513,0
-60,right,1.0,20,60,80,20,80,40,40,0,0.7855096145044158,115.73132252693176,0
30,left,1.0,60,40,20,20,80,60,0,0,1.3266226876346383,79.48907399177551,0
-30,right,0.1,100,40,0,0,100,100,20,0,0.9741269490994796,105.15217447280884,0
90,left,0.4,80,80,40,80,60,100,60,0,1.3622417355634917,77.40297937393188,0
0,left,0.2,80,60,20,60,80,80,80,0,1.436868210709145,80.18029069900513,0
0,left,0.6,0,80,80,80,80,0,100,0,1.4462597115273153,81.2538275718689,0
-90,right,0.2,60,100,60,0,100,80,0,0,1.0162556865734285,100.36343455314636,0
-60,left,0.8,0,20,0,20,40,0,0,0,1.3807118060048136,82.69702243804932,0
60,left,0.8,0,60,100,0,100,40,0,0,1.3575976178893892,77.19785261154175,0
-90,right,0.6,40,20,20,40,60,0,60,0,1.8696900194056971,171.60070633888245,0
30,left,0.4,20,0,60,80,80,80,60,0,1.458717875433919,77.11298656463623,0
-60,right,0.2,0,80,60,0,40,40,100,0,1.1268131318931964,172.87948393821716,0
90,left,0.6,60,80,100,20,80,40,60,0,1.0227772281103873,85.10763573646545,0
90,left,0.6,40,40,100,60,100,20,100,0,1.3752672440994047,77.73653984069824,0
0,right,0.2,40,20,100,80,60,40,80,0,0.998729418740924,115.21806383132936,0
-90,left,0.8,40,60,80,0,40,0,40,0,1.747927574841927,82.3180820941925,0
60,left,0.1,100,60,60,40,40,20,80,0,1.3443168751475765,78.37114238739014,0
-90,left,0.4,40,20,80,60,60,100,20,0,1.4068287991436683,79.91454696655273,0
60,right,1.0,40,100,20,0,40,60,80,0,3.240911271701892,170.1242995262146,0
-30,right,1.0,20,100,20,20,60,20,40,0,0.9183156162644578,110.82654786109924,0
-60,right,0.2,20,60,20,40,0,0,0,0,0.8491854423956114,109.43145227432252,0
-30,left,0.8,0,100,100,100,80,60,80,0,1.408784009403729,82.85328459739685,0
0,left,0.6,60,100,40,40,20,100,20,0,1.3605193593050104,82.10520935058594,0
30,left,1.0,20,40,40,0,20,0,60,0,1.4949159307686597,75.8925199508667,0
-30,right,1.0,20,0,100,60,40,0,80,0,0.744059525027274,161.5379593372345,0
-90,left,0.2,20,60,20,80,40,20,20,0,1.3802752447719315,82.50527477264404,0
-90,right,0.1,0,100,100,60,20,80,100,0,1.8384425019757948,172.5476360321045,0
90,right,0.2,20,80,80,20,60,80,20,0,0.8942724871469409,102.4076042175293,0
