feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
left,60,100,20,60,30,80,60,100,1.0,False,1.194,0
left,100,20,80,20,30,40,100,60,0.8,False,1.114,0
right,40,20,60,80,-30,80,40,100,1.0,False,0.873,0
right,80,60,20,20,-30,80,40,20,0.4,False,0.829,0
right,100,20,100,100,0,40,60,40,0.8,False,0.912,0
right,40,0,80,100,30,60,60,40,0.2,False,0.866,0
right,0,40,100,0,-30,60,100,40,1.0,False,0.966,0
right,20,20,80,40,30,100,40,20,0.1,False,0.777,0
left,20,0,100,80,-60,100,20,0,0.1,False,1.094,0
right,40,100,60,0,60,20,0,80,0.2,False,0.784,0
right,100,60,60,100,-60,40,40,40,1.0,False,0.743,0
left,0,100,80,20,30,100,100,0,0.2,False,1.13,0
right,20,0,60,60,-60,100,40,0,0.1,False,0.883,0
right,80,80,0,40,-30,60,100,80,0.8,False,4.777,0
right,20,80,60,40,-60,0,40,20,1.0,False,4.814,0
right,100,40,100,20,-90,100,40,40,0.8,False,0.812,0
left,20,80,100,60,90,60,80,40,0.1,False,1.201,0
right,100,0,20,20,0,40,20,0,0.4,False,0.858,0
right,20,60,40,40,-30,80,100,80,0.1,False,0.764,0
right,100,40,100,20,-90,100,0,60,0.4,False,0.684,0
left,60,100,80,100,90,40,100,0,1.0,False,1.124,0
right,40,80,20,20,-60,60,20,60,1.0,False,0.814,0
right,60,100,80,60,90,80,100,20,0.2,False,0.842,0
left,80,60,80,100,-30,0,80,0,0.1,False,0.845,0
left,80,80,20,20,-30,80,60,0,1.0,False,1.06,0
left,100,80,60,0,30,60,0,60,0.2,False,1.124,0
right,60,80,0,80,0,100,40,100,0.1,False,0.94,0
right,40,0,100,20,30,0,0,60,0.4,False,0.806,0
left,80,0,0,60,-90,40,60,20,0.2,False,1.043,0
right,40,60,60,60,0,0,100,100,0.8,False,0.993,0
left,100,40,0,20,30,60,80,20,1.0,False,1.215,0
left,0,0,40,60,60,100,80,60,0.8,False,1.157,0
right,20,20,60,40,-60,40,20,100,0.1,False,0.839,0
left,100,60,80,0,-60,20,0,0,0.8,False,1.074,0
left,60,80,100,100,90,0,20,100,0.1,False,1.182,0
right,60,20,80,20,90,0,20,80,0.4,False,0.925,0
left,100,80,40,80,30,100,40,20,0.4,False,1.189,0
left,100,80,20,60,-30,40,0,80,0.8,False,1.1,0
left,100,100,60,80,0,0,40,100,1.0,False,1.138,0
right,80,40,100,60,0,20,40,60,0.2,False,0.958,0
right,20,20,40,100,-60,60,0,80,0.6,False,0.861,0
right,80,80,20,60,-60,40,20,40,1.0,False,0.842,0
left,60,40,0,80,60,20,0,40,0.6,False,1.199,0
left,0,20,80,100,60,80,20,60,0.2,False,1.234,0
right,40,0,20,20,60,0,100,60,0.2,False,0.755,0
left,60,20,80,40,90,40,60,60,0.8,False,1.168,0
right,40,40,40,80,0,60,0,100,0.6,False,0.712,0
right,20,40,40,60,-90,80,20,100,0.2,False,0.951,0
left,40,80,80,80,60,60,40,20,0.2,False,1.202,0
right,20,60,80,20,0,80,100,100,0.4,False,0.783,0
right,60,100,100,100,0,60,20,100,0.4,False,1.058,0
left,20,100,80,60,-60,80,100,0,0.8,False,0.976,0
left,0,100,0,0,0,20,100,20,0.1,False,1.102,0
left,0,20,80,60,-30,0,80,100,1.0,False,0.967,0
right,100,60,0,0,30,80,60,0,0.1,False,0.806,0
right,80,40,0,80,90,100,100,60,0.2,False,0.815,0
left,0,80,20,20,-60,80,80,40,0.4,False,1.052,0
right,60,0,40,60,0,80,20,100,0.2,False,0.802,0
right,100,0,100,100,90,0,0,60,0.6,False,0.88,0
right,80,60,0,100,-90,100,20,0,0.6,False,0.957,0
right,100,40,80,0,30,0,20,20,1.0,False,0.817,0
right,40,0,0,100,-30,80,80,100,0.1,False,0.834,0
left,40,0,20,80,-60,100,60,0,0.4,False,1.095,0
left,80,20,80,60,60,80,40,60,1.0,False,1.183,0
left,100,100,0,80,60,40,0,0,0.6,False,1.178,0
left,0,40,80,80,30,60,40,0,1.0,False,1.191,0
right,60,60,20,40,30,60,60,20,1.0,False,0.881,0
right,0,80,40,20,60,0,0,40,0.2,False,0.899,0
right,100,100,20,100,0,40,40,0,0.1,False,0.95,0
left,40,60,40,40,-90,20,0,20,0.6,False,2.727,0
right,80,80,80,60,-90,0,0,40,0.8,False,0.817,0
left,80,80,40,60,-90,40,60,60,0.1,False,1.029,0
left,80,80,20,100,0,20,20,40,0.4,False,1.086,0
