feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
right,60,20,60,40,90,40,80,60,0.8,False,0.959,0
left,20,60,40,80,60,100,60,100,0.1,False,1.224,0
right,0,0,0,60,90,80,40,0,0.1,False,0.743,0
left,80,40,60,60,-30,0,20,100,0.6,False,1.109,0
right,20,60,80,0,-30,20,20,60,1.0,False,0.961,0
left,0,0,40,80,-30,60,20,0,1.0,False,1.138,0
left,0,100,80,60,30,40,0,20,0.8,False,1.112,0
left,20,40,60,60,30,60,100,80,0.8,False,1.032,0
right,40,100,0,60,-60,80,20,100,0.8,False,0.858,0
right,100,0,20,60,-60,20,60,40,0.6,False,0.794,0
right,100,20,100,20,-30,40,80,0,0.1,False,0.822,0
left,0,60,20,20,0,80,0,100,0.2,False,1.12,0
right,20,40,20,40,30,60,80,0,0.4,False,0.827,0
right,60,20,100,20,30,40,60,80,0.6,False,0.906,0
left,40,0,80,100,-90,60,0,60,0.4,False,1.062,0
right,80,60,100,20,30,60,40,0,0.6,False,0.767,0
left,20,0,60,100,0,100,40,80,0.8,False,1.062,0
left,40,0,0,20,60,20,80,20,0.8,False,1.059,0
left,20,80,100,40,30,80,60,0,0.1,False,1.209,0
right,100,20,60,40,60,20,60,40,0.4,False,0.822,0
left,60,100,0,60,30,80,80,80,0.1,False,1.118,0
left,60,80,40,80,-30,100,100,60,0.2,False,1.044,0
right,20,100,0,100,90,0,100,60,0.6,False,0.768,0
right,80,60,80,0,-90,40,40,0,0.1,False,1.031,0
right,40,40,20,60,90,0,0,80,0.1,False,0.804,0
left,100,0,40,60,30,100,0,80,0.6,False,1.225,0
right,20,40,60,80,-90,20,60,20,0.1,False,0.944,0
right,100,80,20,20,0,60,20,40,0.2,False,0.932,0
left,20,60,80,0,90,20,60,80,0.2,False,1.184,0
right,40,80,100,20,30,0,0,100,0.4,False,0.83,0
left,80,80,100,80,-60,100,100,20,0.6,False,1.032,0
left,80,60,80,0,60,80,100,40,0.8,False,1.165,0
left,40,20,80,40,0,0,20,20,0.1,False,1.042,0
right,20,100,20,0,-60,40,100,80,0.1,False,5.01,0
left,100,20,20,40,30,60,20,0,0.1,False,1.177,0
left,20,60,100,100,90,40,20,80,0.8,False,1.165,0
left,80,20,80,100,90,20,80,80,0.2,False,1.185,0
right,20,20,0,20,0,80,20,60,0.1,False,0.83,0
right,20,0,80,80,90,40,100,100,0.8,False,0.811,0
left,0,100,40,60,60,100,60,80,0.8,False,1.093,0
right,100,0,80,20,60,60,80,80,0.4,False,0.902,0
left,80,20,60,20,30,0,80,80,0.2,False,1.085,0
right,60,60,100,60,30,100,40,60,0.2,False,0.884,0
right,40,80,40,0,-30,100,100,40,0.1,False,0.793,0
right,20,100,20,20,-60,0,60,60,0.8,False,0.929,0
