feature_TimeofDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,feature_Direction,Visibility,RoadSurface,VehicleStability,probability,collision,min_ttc,run_duration,algo_safety
-90,20,80,40,100,0,0.6,20,80,right,20,20,20,1e-05,0,0.7953264338137179,27.242588758468628,0
-90,20,20,0,0,0,0.4,80,20,right,20,20,40,1e-05,0,0.8485840193933267,27.14127779006958,0
0,40,20,0,100,100,0.6,80,20,left,20,20,60,1e-05,0,1.1201582387467452,22.9478771686554,0
60,0,80,0,0,0,0.8,80,20,left,20,20,80,1e-05,0,1.2326006672696503,22.494660139083862,0
-60,40,20,60,0,0,0.8,40,60,left,20,20,100,1e-05,0,1.064952304759652,22.53948187828064,0
90,60,100,20,60,40,0.6,60,40,right,20,40,0,1e-05,0,0.8026899348048875,26.57900094985962,0
-60,20,100,60,60,40,0.6,100,0,left,20,40,20,1e-05,0,1.094080673798085,22.80962538719177,0
90,20,20,20,20,0,0.8,100,0,left,20,40,40,1e-05,0,1.0148145432784248,22.203253507614136,0
-60,20,40,20,40,40,0.8,40,60,right,20,40,60,1e-05,0,0.9332010234910753,27.346312284469604,0
0,60,20,20,40,40,0.8,20,0,left,20,40,80,1e-05,0,1.0887039262190703,22.947348594665527,0
-90,40,100,20,20,40,0.8,40,60,left,20,40,100,1e-05,0,1.0500950952925188,22.850908279418945,0
-30,20,20,40,80,40,0.6,100,0,left,20,60,0,1e-05,0,1.0646242222248887,22.7705979347229,0
60,60,20,0,0,0,0.4,0,100,right,20,60,20,1e-05,0,0.8867093554170004,26.74880433082581,0
90,20,40,40,0,80,0.4,40,60,right,20,60,40,1e-05,0,0.763239279389027,26.839510679244995,0
0,60,100,0,0,100,0.6,80,20,left,20,60,60,1e-05,0,1.1299453894160858,22.976295232772827,0
30,60,60,0,20,100,0.8,0,100,left,20,60,80,1e-05,0,1.0476742744674223,22.410826206207275,0
30,20,80,20,40,0,0.8,0,100,right,20,60,100,1e-05,0,0.923242400531775,26.895022869110107,0
-30,60,20,0,0,100,0.2,80,20,right,20,80,0,1e-05,0,0.8278886170044925,27.52009344100952,0
-30,60,20,40,0,80,0.4,40,60,left,20,80,20,1e-05,0,1.1819198459596572,22.90019106864929,0
-60,0,80,0,0,80,0.4,80,20,right,20,80,40,1e-05,0,0.924715234288169,27.459779500961304,0
-90,60,100,40,100,40,0.6,40,60,left,20,80,60,1e-05,0,1.0986558600960514,22.859212160110477,0
-30,20,40,0,0,0,0.2,0,100,right,20,80,80,1e-05,0,0.798810885025646,27.414836645126343,0
30,20,20,0,40,40,0.8,80,20,right,20,80,100,1e-05,0,0.7904966758566025,26.4782030582428,0
90,20,100,80,80,40,0.6,100,0,left,20,100,0,1e-05,0,1.1798632684996058,22.48524570465088,0
30,40,100,20,100,40,0.6,40,60,left,20,100,20,1e-05,0,1.1160301876678569,22.39294409751892,0
30,40,60,40,20,0,0.8,100,0,right,20,100,40,1e-05,0,0.9395646937607868,26.87318515777588,0
60,60,100,100,0,80,0.4,100,0,left,20,100,60,1e-05,0,1.1846429508186924,22.664700984954838,0
60,60,20,40,100,0,0.6,20,80,left,20,100,80,1e-05,0,1.021595379325915,22.21293020248413,0
-90,40,20,60,0,0,0.8,100,0,left,20,100,100,1e-05,0,1.047181971625145,22.88599634170532,0
90,40,20,40,0,0,0.8,40,60,left,40,0,0,1e-05,0,1.092053072751533,22.480270624160767,0
-90,20,80,0,40,0,0.8,0,100,left,40,0,20,1e-05,0,1.0348695485511246,22.55683994293213,0
-60,20,40,20,100,100,0.1,40,60,right,40,0,40,1e-05,0,0.7981542495308632,27.54350733757019,0
0,80,80,40,60,40,0.6,100,0,left,40,0,60,1e-05,0,1.0252600386154032,22.937760829925537,0
-60,0,80,100,0,100,0.4,100,0,right,40,0,80,1e-05,0,0.8092392956277855,27.25957679748535,0
60,0,100,0,20,40,0.8,0,100,left,40,0,100,1e-05,0,1.0966096282255269,22.276402235031128,0
-60,20,20,0,80,0,0.6,0,100,right,40,20,0,1e-05,0,0.8759808037667327,27.339178562164307,0
90,80,20,0,80,40,0.6,0,100,right,40,20,20,1e-05,0,0.8392120296783098,26.568923473358154,0
90,60,80,20,60,40,0.6,100,0,left,40,20,40,1e-05,0,1.0178872312131535,22.277432441711422,0
