feature_TimeofDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,feature_Direction,Visibility,RoadSurface,VehicleStability,probability,collision,min_ttc,run_duration,algo_safety
-90,40,40,0,0,0,0.8,0,100,right,60,0,40,0.00311,0,2.0463890210707496,162.25035047531128,0
60,20,100,0,0,0,0.8,0,100,right,60,0,60,0.00308,0,1.8565975384031004,160.703462600708,0
90,20,80,0,0,0,0.8,0,100,left,60,0,80,0.00297,0,1.3541512580490882,74.9807493686676,0
-30,40,20,0,0,0,0.8,0,100,right,60,0,100,0.00144,0,0.8335795357493473,105.20230531692503,0
-90,40,100,0,0,0,0.8,0,100,left,60,20,0,0.00257,0,1.37163070344482,77.14917802810669,0
-90,40,100,0,0,0,0.8,0,100,right,60,20,20,0.00244,0,1.7520784165125691,160.68811964988708,0
-90,60,60,0,0,0,0.8,0,100,right,60,20,40,0.00226,0,1.7695632010775009,160.39563822746277,0
-90,60,80,0,0,0,0.8,0,100,left,60,20,60,0.00229,0,1.3809569901702805,76.7051739692688,0
-90,60,80,0,0,0,0.8,0,100,right,60,20,80,0.00235,0,0.8392413906002433,102.20305156707764,0
-90,60,40,0,0,0,0.8,0,100,left,60,20,100,0.0024,0,1.3673278826369994,77.69023323059082,0
-90,40,20,0,0,0,0.8,0,100,left,60,40,0,0.00204,0,1.3937937986923208,77.14987516403198,0
0,40,60,0,0,0,0.8,0,100,left,60,40,20,0.00164,0,1.3375687989274048,75.81443786621094,0
-90,60,20,0,0,0,0.8,0,100,right,60,40,40,0.00158,0,0.7607583182275898,152.5553376674652,0
90,60,40,0,0,0,0.8,0,100,left,60,40,60,0.00165,0,1.8877868765729235,75.11757612228394,0
30,40,40,0,0,0,0.8,0,100,right,60,40,80,0.0017,0,1.1363384936245648,158.3853051662445,0
-90,20,80,0,0,0,0.8,0,100,left,60,40,100,0.00824,0,1.377426923471882,77.30956602096558,0
90,60,40,0,0,0,0.8,0,100,right,60,60,0,0.0016,0,0.8391409196508816,85.91879725456238,0
60,60,20,0,0,0,0.8,0,100,right,60,60,20,0.00151,0,0.7211601444505318,82.82833409309387,0
30,40,40,0,0,0,0.8,0,100,left,60,60,40,0.00176,0,1.4386326341319589,74.12404465675354,0
-60,40,20,0,0,0,0.8,0,100,right,60,60,60,0.00157,0,1.0555092034776092,108.45807242393494,0
60,60,40,0,0,0,0.8,0,100,left,60,60,80,0.00152,0,2.0094617075751264,76.4615957736969,0
-60,40,20,0,0,0,0.8,0,100,left,60,60,100,0.00151,0,1.3492178813393518,76.8658459186554,0
-90,20,40,0,0,0,0.8,0,100,right,60,80,0,0.00805,0,1.7271520672625815,160.71092557907104,0
0,40,60,0,0,0,0.8,0,100,right,60,80,20,0.00148,0,1.1788333966097408,140.06626224517822,0
90,40,20,0,0,0,0.8,0,100,left,60,80,40,0.00158,0,1.35107597736735,74.74919605255127,0
90,40,20,0,0,0,0.8,0,100,right,60,80,60,0.00167,0,2.196260260756,104.99586415290833,0
-60,60,40,0,0,0,0.8,0,100,right,60,80,80,0.00161,0,2.287840754529584,108.0013144016266,0
60,40,40,0,0,0,0.8,0,100,right,60,80,100,0.00161,0,1.445118376381154,160.73601841926575,0
-90,20,40,0,0,0,0.8,0,100,right,60,100,0,0.00806,0,0.7549523221533596,152.57430243492126,0
-90,20,40,0,0,0,0.8,0,100,left,60,100,20,0.00793,0,1.4023187477516632,77.15192294120789,0
-90,20,40,0,0,0,0.8,0,100,right,60,100,40,0.00778,0,1.071327493571028,108.6025252342224,0
-90,20,40,0,0,0,0.8,0,100,left,60,100,60,0.00779,0,1.357223372017734,76.96462559700012,0
-90,20,80,0,0,0,0.8,0,100,left,60,100,80,0.00791,0,1.406959284414359,77.41973948478699,0
-90,20,80,0,0,0,0.8,0,100,left,60,100,100,0.00813,0,1.3858029813495871,77.38167357444763,0
-90,20,80,0,0,0,0.8,0,100,right,80,0,0,0.008,0,1.0071772663205694,110.4881763458252,0
-90,20,40,0,0,0,0.8,0,100,left,80,0,20,0.00789,0,1.4376813115298266,76.8250482082367,0
-90,20,40,0,0,0,0.8,0,100,right,80,0,40,0.00811,0,0.7924927068647919,107.74328899383544,0
-90,20,40,0,0,0,0.8,0,100,right,80,0,60,0.00783,0,1.7738939979947776,160.10394072532654,0
-90,20,40,0,0,0,0.8,0,100,right,80,0,80,0.0079,0,0.8568985044159203,105.45739436149596,0
-90,20,80,0,0,0,0.8,0,100,left,80,0,100,0.00813,0,1.3717878238461023,77.000412940979,0
-90,20,40,0,0,0,0.8,0,100,right,80,20,0,0.00833,0,1.8414859168371984,162.2651605606079,0
-90,20,40,0,0,0,0.8,0,100,left,80,20,20,0.00775,0,1.4171504307222214,75.98321104049683,0
-90,20,40,0,0,0,0.8,0,100,left,80,20,40,0.00782,0,1.3893630065642837,77.81723213195801,0
-90,20,80,0,0,0,0.8,0,100,right,80,20,60,0.00791,0,1.447582667551391,161.51661491394043,0
-90,20,60,0,0,0,0.8,0,100,left,80,20,80,0.00792,0,1.4767716476912391,78.07712364196777,0
-30,40,60,0,0,0,0.8,0,100,right,80,20,100,0.00147,0,1.4850727771695569,161.4946675300598,0
30,40,80,0,0,0,0.8,0,100,left,80,40,0,0.00148,0,1.446985192216613,72.94060277938843,0
-90,20,40,0,0,0,0.8,0,100,right,80,40,20,0.00775,0,1.7979121318362188,162.93590569496155,0
-90,20,80,0,0,0,0.8,0,100,right,80,40,40,0.00798,0,1.908912645894004,160.3461606502533,0
-90,20,40,0,0,0,0.8,0,100,right,80,40,60,0.00795,0,1.687848392064745,163.52992224693298,0
0,40,100,0,0,0,0.8,0,100,right,80,40,80,0.00148,0,0.7694997791991832,85.11778831481934,0
-90,20,40,0,0,0,0.8,0,100,left,80,40,100,0.00789,0,1.3614636980351753,77.67011189460754,0
-90,20,40,0,0,0,0.8,0,100,right,80,60,0,0.00798,0,0.8677086484617454,104.06225538253784,0
-90,20,40,0,0,0,0.8,0,100,right,80,60,20,0.00803,0,1.9156009887126368,160.4828884601593,0
-90,20,80,0,0,0,0.8,0,100,right,80,60,40,0.00804,0,0.8602869148353255,103.07591557502748,0
-90,20,60,0,0,0,0.8,0,100,left,80,60,60,0.00804,0,1.371621966243287,77.66009998321533,0
