instances,feature_timeofday,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,algo_safety
scenario89,60,c2,2,0,0,1,0.1,0,0,60,40,60,100,80,0,3.588738530377766,0
scenario90,30,c1,1,2,0,2,0.2,60,20,60,80,20,40,100,0,3.981437550523936,0
scenario91,-30,c1,0,2,1,2,0.1,20,40,40,100,80,100,40,0,3.1174584863647103,0
scenario92,-90,c2,0,1,2,0,0.2,40,40,20,40,40,100,40,0,1.6816646419204582,0
scenario93,-90,c4,2,0,1,0,0.2,60,100,100,40,60,80,0,0,7115.690675999696,0
scenario94,-90,c4,1,2,2,0,0.4,60,100,60,20,20,100,20,0,3.779085605026273,0
scenario95,-60,c2,0,1,2,1,0.8,0,20,20,80,100,100,60,0,3.68273615435382,0
scenario96,90,c1,1,2,0,1,0.8,40,60,80,60,80,100,60,0,2.7491811328235505,0
scenario97,0,c4,1,0,2,0,0.4,0,20,0,40,0,80,40,0,2.3064888236302945,0
scenario98,30,c1,0,1,1,2,0.6,20,100,80,40,20,100,100,0,2.5691365068333125,0
scenario99,60,c2,2,1,0,1,0.2,60,20,40,80,100,60,20,1,2606.904865561339,1
scenario100,30,c2,2,0,0,1,0.1,60,40,40,100,20,40,100,0,2.8638061840467586,0
scenario101,-30,c2,0,1,2,0,1.0,0,100,100,100,20,40,40,0,1.6579351277813292,0
scenario102,0,c1,1,2,0,2,0.2,60,60,80,20,40,40,100,0,3.842440997381463,0
scenario103,-90,c1,0,2,1,2,0.4,40,20,80,100,100,40,80,0,1.966402813850436,0
scenario104,90,c2,0,1,2,1,0.1,80,40,60,80,60,60,20,0,2.800593949223961,0
scenario105,-30,c2,2,1,0,1,0.8,80,80,20,20,60,20,100,0,3.56309155264423,0
scenario106,60,c1,1,2,0,1,0.8,40,80,60,100,60,20,80,0,3.63910125499124,0
scenario107,0,c2,2,0,0,1,0.1,60,100,20,80,20,60,20,1,2395.39839271941,1
scenario108,30,c1,0,1,1,2,0.1,80,20,40,80,100,60,100,0,2.878724327119089,0
scenario109,90,c4,2,0,1,2,0.2,0,40,100,0,100,100,80,0,0.971305779256828,0
scenario110,-90,c2,0,1,2,0,0.8,20,60,60,80,60,60,60,0,1.7506052162096553,0
scenario111,60,c2,0,1,2,1,0.6,40,20,20,80,20,40,20,0,2.9795238424792703,0
scenario112,90,c1,1,2,0,2,0.2,0,80,20,40,60,0,20,0,3.167188545488244,0
scenario113,90,c1,0,2,1,2,0.2,60,60,20,100,60,20,20,0,2.6245984575178283,0
scenario114,60,c2,2,1,0,1,0.8,40,40,40,20,40,60,100,0,3.174623500311629,0
scenario115,0,c1,1,2,0,1,0.2,80,100,80,40,100,80,80,0,2.7321378879148965,0
scenario116,-90,c2,2,0,0,1,0.6,20,20,60,60,100,20,20,0,2.812585670562241,0
scenario117,90,c1,0,1,1,2,0.1,0,60,0,40,20,40,0,0,1.7598013813376243,0
scenario118,60,c1,1,2,0,2,0.4,40,80,60,40,100,20,60,0,3.958296820926257,0
scenario119,0,c2,0,1,2,0,0.6,80,40,40,100,20,40,80,0,1.8492265006058164,0
scenario120,-30,c2,0,1,2,1,0.2,80,60,60,60,80,20,80,0,3.492704170615411,0
scenario121,30,c1,0,2,1,2,0.2,20,40,60,80,40,20,60,0,2.0377237426189367,0
scenario122,-90,c1,1,2,0,1,0.1,20,100,40,60,60,40,60,0,4.168388717284016,0
scenario123,-30,c2,2,1,0,1,0.6,60,80,100,100,60,40,80,1,0.4972531301664453,1
scenario124,-30,c2,2,0,0,1,0.8,40,20,100,20,100,80,60,0,2.664618096640406,0
scenario125,-90,c4,2,0,1,0,0.1,80,40,20,80,20,60,80,0,2.9574714908691635,0
