PathInteraction,GoalEgo,WindIntensity,RoadFriction,FogDistance,StartOther,PrecipitationDeposits,Cloudiness,FogDensity,GoalOther,Precipitation,Wetness,StartEgo,Min_TTC,Collision_Occurred
c2,base,80,1.0,40,base_left_lane,40,0,60,left,60,60,right,3.6953631941973355,False
c1,right,100,0.4,40,base,80,60,20,right,80,40,left,6.097325206828602,False
c2,left,60,0.6,100,right,40,40,60,base,0,60,base,2.0703830645455055,False
c4,base,20,0.1,0,right,60,40,20,base,80,40,left,2.881979715230498,False
c2,left,60,0.6,100,right,80,40,0,base,60,80,base,1.7365771056243564,False
c1,right,100,0.8,80,base,0,80,100,right,0,80,left,5.015515784123265,False
c1,right,40,0.4,60,base_left_lane,80,100,80,left,0,100,left,0.965397029086034,False
c2,left,0,1.0,100,right,40,0,20,left,20,40,base,2.9029466732748848,False
c1,right,60,0.2,20,base_left_lane,60,20,80,left,0,60,left,0.8483989923803218,False
c1,right,40,0.1,40,base,80,60,40,right,100,80,left,6.3562713043377075,False
c4,right,80,0.1,40,right,40,40,60,base,0,0,left,3.2507967703928418,False
c4,base,80,0.4,100,left,20,100,40,right,20,100,right,0.9947470379434985,False
c2,base,100,0.1,80,base_left_lane,80,20,0,left,0,60,right,4.919163523803198,False
c1,right,20,1.0,100,left,40,20,100,right,100,80,base,4.572290161763074,False
c2,left,80,0.8,40,right,80,80,60,left,80,0,base,3.192304018671177,False
c4,base,20,0.4,80,left,100,80,80,right,60,20,right,1.1108317419990168,False
c1,left,80,0.1,60,left,40,80,60,right,40,20,base,2.8892809204188135,False
c2,base,20,1.0,80,base_left_lane,20,0,80,left,40,100,right,3.1438508539112977,False
c4,base,60,0.6,80,right,60,80,100,base,60,20,left,3.7538776679029207,False
c4,base,100,0.4,60,left,80,60,80,base,40,20,right,23.066154173333704,False
c2,left,0,1.0,100,right,0,0,20,base,40,20,base,1.7454895295767743,False
c2,left,0,0.4,60,right,80,100,0,base,20,60,base,2.232046061532471,False
c4,base,80,0.8,100,left,100,60,40,base,60,80,right,76.4968102108014,False
c2,base,20,0.6,100,base_left_lane,40,0,80,left,100,20,right,4.091596187134821,False
c4,base,80,0.8,100,right,80,20,40,base,40,40,left,3.2282429583058088,False
c4,base,20,0.2,20,left,20,80,60,base,80,80,right,24.26446513651294,False
c1,left,40,0.1,60,left,60,80,40,right,0,100,base,2.217766744955819,False
c1,right,80,1.0,60,base_left_lane,0,100,0,left,40,20,left,0.8306301657658549,False
c4,base,0,0.2,20,left,60,80,80,right,60,40,right,0.0,True
c4,right,60,0.6,80,right,0,80,20,base,20,0,left,3.223932746819719,False
c4,base,40,0.6,80,right,80,100,0,base,80,0,left,0.0,True
c4,right,0,0.2,0,right,20,40,80,base,40,0,left,4.820912540604619,False
c1,right,20,0.4,40,left,40,40,100,right,20,60,base,0.0,True
c1,right,80,0.4,60,left,100,60,0,right,100,20,base,3.1763442702787206,False
c2,left,20,0.1,100,right,20,100,20,left,0,20,base,3.991523904297133,False
c2,left,0,0.6,40,right,100,20,20,left,0,40,base,3.172662300215938,False
c1,left,0,0.8,40,left,20,0,0,right,80,0,base,2.995027323289857,False
c1,right,80,0.8,60,base_left_lane,60,100,80,left,0,80,left,0.7625302228975079,False
c1,right,40,0.1,0,left,100,40,100,right,0,0,base,2.039897687140645,False
c2,base,0,1.0,20,base_left_lane,80,40,40,left,20,60,right,5.005638705992978,False
c4,base,80,0.2,20,left,100,60,20,right,100,80,right,1.2247162488684449,False
c2,left,100,0.4,0,right,80,100,60,base,20,0,base,0.0,True
c2,left,80,1.0,60,base_left_lane,40,20,60,left,60,40,right,4.32724056888795,False
c4,base,20,0.6,100,left,20,0,100,base,80,100,right,3.0957149752025552,False
c1,right,100,0.8,0,base,20,0,40,right,20,40,left,5.937498541566565,False
c1,right,100,0.1,40,base_left_lane,60,100,80,left,40,40,left,1.0054919637960076,False
c2,left,40,0.6,60,right,40,80,100,base,20,100,base,2.0825409483097945,False
c2,left,60,0.1,80,base_left_lane,60,80,40,left,100,100,right,5.369123773340376,False
c4,right,80,0.2,20,right,60,80,40,base,0,20,left,4.903995591969417,False
c4,base,60,0.6,20,right,80,0,80,base,60,100,left,0.0,True
c2,left,60,0.6,80,base_left_lane,40,60,60,left,40,60,right,3.952179037427945,False
c4,base,100,0.2,60,left,0,0,0,right,20,60,right,0.7161513571791286,False
c4,base,40,1.0,100,left,20,100,0,right,40,0,right,1.2785905868733296,False
c2,left,60,0.4,40,right,60,60,0,left,100,0,base,3.4312181267838033,False
c1,left,100,0.6,100,left,0,60,80,right,40,40,base,1.9877555421739206,False
c2,base,80,1.0,40,base_left_lane,40,20,40,left,0,0,right,3.989224402444051,False
c2,left,60,0.8,0,base_left_lane,0,100,0,left,100,40,right,4.285203001613853,False
c1,right,80,0.8,0,left,0,20,60,right,0,60,base,0.0,True
c4,base,20,0.1,80,right,100,60,20,base,100,0,left,2.591189776955943,False
c1,left,80,0.4,60,left,100,20,60,right,80,40,base,2.935779215603881,False
c2,left,60,0.8,40,right,80,80,100,base,20,40,base,0.0,True
c4,base,20,0.1,40,left,100,40,60,base,80,60,right,3.6746007936431515,False
c1,right,80,0.6,80,base,20,40,100,right,40,100,left,4.462218358058611,False
c1,right,60,0.4,20,base_left_lane,60,40,20,left,60,100,left,0.9704313909884497,False
c2,left,20,1.0,60,right,60,80,80,base,100,80,base,1.5834779345152623,False
c1,right,60,1.0,60,base_left_lane,40,80,40,left,40,100,left,1.2663308422667492,False
c4,base,40,0.2,60,left,20,20,100,right,100,100,right,0.0,True
c4,base,100,0.6,0,right,100,0,20,base,80,60,left,3.291677173430877,False
c1,right,100,0.4,0,left,80,80,20,right,0,100,base,5.111800646604582,False
c4,base,20,0.1,100,left,60,40,80,base,0,20,right,4.850099165664461,False
c4,base,0,0.2,20,left,20,100,100,base,80,80,right,2.3200172163274972,False
c2,left,40,0.6,60,right,0,20,0,left,20,60,base,4.248687785513433,False
c2,left,80,0.1,80,right,20,40,20,left,20,80,base,6.3805564011413844,False
c1,right,0,0.4,80,base,40,20,40,right,40,40,left,5.365875277906223,False
c1,left,80,0.6,100,left,100,100,40,right,100,20,base,2.7749602331253125,False
c1,right,20,0.8,100,left,40,80,40,right,20,40,base,2.005263425148991,False
c2,base,0,0.2,40,base_left_lane,80,60,20,left,20,80,right,4.187333918380044,False
c4,base,40,0.2,100,left,40,80,40,right,60,100,right,1.3766441838856076,False
c4,base,60,0.8,0,right,40,20,100,base,0,0,left,1.90485795563186,False
c4,base,20,0.1,0,left,20,0,80,right,60,40,right,1.2833687743846736,False
c4,base,100,0.4,0,left,20,80,100,base,0,0,right,3.584947158165296,False
c4,right,100,0.2,80,right,60,60,80,base,0,60,left,4.694162981324671,False
c4,right,40,1.0,80,right,20,40,0,base,20,100,left,3.9451566014834323,False
c2,left,40,0.6,20,right,80,80,80,left,60,0,base,4.13439557736843,False
c2,left,100,1.0,80,right,40,100,100,left,40,100,base,3.6209784507788867,False
c1,right,20,0.6,40,base,0,80,20,right,80,20,left,6.476918623298868,False
c4,base,0,1.0,100,left,100,60,60,base,20,0,right,19.989413864779312,False
c1,right,0,0.2,100,base_left_lane,80,60,40,left,100,40,left,0.7627041481167247,False
c2,left,100,1.0,80,right,0,0,40,base,100,40,base,2.308440174410051,False
c2,base,0,0.6,40,base_left_lane,60,40,0,left,60,60,right,4.152393975903083,False
c2,left,100,0.6,40,base_left_lane,80,80,100,left,20,60,right,3.2369015212478343,False
c2,base,40,0.4,20,base_left_lane,100,20,60,left,0,20,right,3.593163858972931,False
c1,right,60,0.1,0,left,0,100,100,right,0,80,base,1.9399971426834077,False
c4,base,20,1.0,40,right,0,40,60,base,100,20,left,1.7757157753625399,False
c4,right,80,0.1,80,right,60,20,0,base,40,60,left,3.0190135092830013,False
c2,left,60,0.2,100,right,60,80,0,base,20,40,base,1.6788916379993752,False
c1,right,40,0.6,100,left,100,40,20,right,0,0,base,2.8961313828628046,False
c2,base,20,0.2,40,base_left_lane,80,40,20,left,20,40,right,4.316201630777118,False
c4,right,0,1.0,60,right,20,0,20,base,100,60,left,4.62749288572868,False
c4,base,20,0.2,80,right,0,20,0,base,80,0,left,2.3563620381249817,False
c2,base,20,0.1,100,base_left_lane,80,20,60,left,80,60,right,4.799308524482439,False
c4,base,40,1.0,0,left,60,0,20,right,100,60,right,0.0,True
c2,left,40,0.1,20,right,0,80,0,left,80,20,base,4.319452107054161,False
c4,base,60,0.2,0,left,40,60,20,base,20,100,right,3.1256870175233713,False
c1,right,100,0.8,0,base_left_lane,60,0,60,left,100,100,left,0.9699153360608738,False
c1,left,20,0.2,40,left,100,40,0,right,60,80,base,3.899860538140201,False
c1,right,100,1.0,80,base,0,40,100,right,80,20,left,5.8232117052097365,False
c1,right,100,1.0,20,base,80,100,80,right,20,80,left,5.753527011413142,False
c2,left,100,0.4,80,right,80,0,100,left,20,20,base,4.115889202987554,False
c2,left,80,0.8,60,right,40,20,40,base,0,0,base,2.2813223706261088,False
c4,right,80,0.4,20,right,100,0,0,base,80,0,left,0.0,True
c4,base,0,0.1,100,left,0,0,40,right,80,20,right,1.1864182399204557,False
c1,right,80,0.8,100,base,40,40,100,right,100,60,left,5.337369186725333,False
c1,left,60,0.2,20,left,20,60,0,right,40,60,base,3.6079172217719373,False
c1,left,20,0.6,0,left,60,0,80,right,80,100,base,2.8285057166973973,False
