Row,startego,goalego,startother,goalother,cloudiness,precipitation,precipitationdeposits,windintensity,fogdensity,fogdistance,wetness,roadfriction
scenario212,1,2,0,2,100,20,40,40,60,60,0,1
scenario213,0,1,2,1,80,0,20,60,40,100,0,0.6
scenario214,2,0,1,2,60,0,0,0,0,20,20,0.2
scenario215,1,2,0,1,80,0,0,20,60,20,20,0.8
scenario216,0,2,1,2,20,0,20,20,20,0,0,1
scenario217,2,1,0,1,40,0,0,0,40,60,40,1
scenario218,1,2,0,2,100,20,40,40,100,80,0,1
scenario219,0,2,1,2,40,0,20,40,80,40,0,0.8
scenario220,1,2,0,1,20,80,20,20,80,20,0,0.8
scenario221,0,1,2,1,80,0,0,20,0,40,40,0.8
scenario222,2,0,1,2,60,0,0,0,0,20,20,0.2
scenario223,1,2,0,1,40,20,0,0,20,60,60,0.8
scenario224,2,0,1,0,20,0,40,40,20,20,0,0.6
scenario225,2,0,1,0,20,0,20,60,60,80,20,1
scenario226,2,1,0,1,40,0,60,80,60,40,0,1
scenario227,2,1,0,1,100,20,20,40,80,60,0,1
scenario228,1,2,2,0,40,0,0,0,0,20,40,0.8
scenario229,2,0,0,1,80,0,40,40,80,40,80,0.8
scenario230,0,1,2,1,40,20,60,40,100,20,0,0.8
scenario231,0,2,1,2,20,0,40,40,60,40,0,1
scenario232,0,1,1,2,80,20,0,0,40,40,100,0.8
scenario233,0,2,1,2,40,80,60,80,20,80,0,1
scenario234,2,0,1,2,60,0,0,0,0,20,20,0.2
scenario235,1,2,2,0,80,40,60,0,40,80,20,0.6
scenario236,0,2,1,2,60,40,0,0,60,60,100,0.4
scenario237,1,2,0,1,20,0,20,60,20,40,100,0.8
scenario238,0,1,2,1,80,40,40,20,60,40,80,0.8
scenario239,1,2,0,2,40,20,60,80,60,60,0,1
scenario240,0,1,1,2,60,0,0,20,20,60,0,0.4
scenario241,1,2,2,0,60,0,60,80,80,40,0,1
scenario242,2,1,0,1,40,0,0,100,40,60,80,0.2
scenario243,2,1,0,1,100,0,40,40,100,60,80,0.8
scenario244,2,0,1,2,60,20,20,20,100,60,80,1
scenario245,0,1,1,2,80,20,20,100,20,40,100,0.8
