Visibility,VehicleStability,RoadSurface,PathInteraction,PrecipitationDeposits,RoadFriction,WindIntensity,StartEgo,GoalEgo,GoalOther,Wetness,Precipitation,FogDistance,StartOther,FogDensity,Cloudiness,Min_TTC,Collision_Occurred
20,40,0,4,60,0.6,0,left,base,left,20,60,40,base,40,40,4.080271860194952,False
20,40,20,1,40,0.6,80,left,right,left,20,20,40,right,60,40,0.8258059006761593,False
20,40,20,2,80,0.2,60,base,left,base,40,60,100,left,0,80,0.0,True
20,40,20,4,40,0.4,80,base,left,right,20,60,60,left,20,100,2.163981976587276,False
20,40,40,1,40,0.8,60,base,left,right,40,40,100,left,20,60,3.5250408700734455,False
20,40,40,2,60,0.4,60,left,base,left,20,60,80,base,20,60,3.4324234955254718,False
20,40,40,4,40,0.6,80,left,right,base,40,40,80,right,40,100,4.386325710092275,False
20,40,60,1,20,0.2,20,right,left,right,40,20,40,base,20,60,1.1097005077256137,False
20,40,60,2,40,0.2,80,right,left,right,20,40,60,left,40,60,0.8982570074264161,False
20,40,60,4,40,1.0,60,left,right,left,20,20,40,right,40,40,3.2076047502987572,False
20,40,80,1,80,0.1,20,base,right,base,20,80,60,left,20,60,2.818876873212884,False
20,40,80,2,40,0.2,80,left,base,base,20,20,80,right,40,40,1.4382587761127699,False
20,40,80,4,0,1.0,100,left,base,base,20,0,100,right,40,60,2.8235049909971806,False
20,40,100,1,20,0.4,40,base,right,base,40,20,40,right,60,80,1.8536847584297271,False
20,40,100,2,20,0.4,100,right,base,right,40,40,40,left,40,40,2.7775034471036264,False
20,40,100,4,20,1.0,40,left,base,left,20,20,40,right,80,80,2.4684856452508965,False
20,60,0,1,20,0.8,80,left,right,base,20,40,80,right,40,60,2.21100908522589,False
20,60,0,2,40,0.4,40,base,right,base,0,40,20,right,40,80,1.994937756277686,False
20,60,0,4,60,0.1,80,right,base,right,40,40,80,left,40,60,1.2415678264125423,False
20,60,20,1,40,0.1,80,left,right,left,60,60,100,base,0,40,6.149854235614298,False
20,60,20,2,0,1.0,0,left,base,right,20,0,20,base,60,20,4.472613056809586,False
20,60,20,4,20,0.6,100,right,left,left,20,20,60,base,60,40,3.0375594595926927,False
20,60,40,1,40,0.1,40,left,right,base,40,40,60,right,20,80,2.225617411693667,False
20,60,40,2,20,0.6,80,base,left,right,40,40,100,left,20,40,3.254036141241128,False
20,60,40,4,0,0.8,20,right,left,right,40,20,60,left,20,20,0.8949806110988944,False
20,60,60,1,40,0.4,60,left,base,right,40,20,40,base,40,20,5.989965197336292,False
20,60,60,2,20,1.0,0,base,right,base,0,0,0,left,60,0,2.118766011394018,False
20,60,60,4,80,0.1,20,base,right,right,100,80,80,left,20,100,0.0,True
20,60,80,1,80,0.2,60,base,left,left,20,60,100,right,20,60,3.0673883138711955,False
20,60,80,2,40,0.8,60,base,right,base,20,20,60,right,40,20,2.0651444996563675,False
20,60,80,4,20,0.8,100,left,right,left,0,0,40,right,40,0,3.1768221298644095,False
20,60,100,1,60,0.2,80,base,right,base,40,40,60,left,20,60,2.535731044115038,False
20,60,100,2,60,0.2,60,base,left,right,40,60,60,left,40,80,3.115991840808825,False
20,60,100,4,20,0.8,100,right,base,right,0,20,80,base,20,0,0.0,True
20,80,0,1,20,0.8,40,left,base,left,20,40,100,right,20,40,1.2943690809453015,False
20,80,0,2,80,0.1,0,base,left,right,40,60,20,left,80,100,2.781276056640516,False
20,80,0,4,60,0.4,0,right,left,right,40,60,40,left,20,80,0.8426425506818092,False
20,80,20,1,40,0.2,20,left,base,base,40,60,40,right,20,100,1.7866000767933226,False
20,80,20,2,20,0.4,20,right,base,right,40,40,100,left,0,100,0.9177692720966507,False
20,80,20,4,40,0.6,100,left,right,left,40,40,100,base,20,40,1.2958667945043838,False
20,80,40,1,60,0.1,20,left,base,left,60,60,100,base,0,80,3.4682744780356094,False
20,80,40,2,60,0.4,60,right,left,base,40,40,40,left,20,80,3.956164931172919,False
20,80,40,4,40,0.4,0,left,base,right,20,40,40,base,40,20,4.4789880465226934,False
20,80,60,1,60,0.1,60,right,left,left,40,60,20,base,40,100,0.0,True
20,80,60,2,60,0.2,40,left,right,left,20,40,80,base,20,80,6.115047536167753,False
20,80,60,4,20,0.8,20,right,base,right,20,40,60,base,40,80,0.0,True
20,80,80,1,40,0.2,60,right,base,right,60,40,80,base,20,80,1.2357703578167323,False
20,80,80,2,40,1.0,80,left,right,left,0,40,100,base,0,100,6.914420652912675,False
20,80,80,4,20,0.4,20,base,left,left,40,20,60,right,40,20,9.05194871618141,False
20,80,100,1,40,0.6,80,base,right,left,60,40,100,right,0,40,3.2929806881123262,False
20,80,100,2,40,0.2,0,base,left,base,20,20,20,left,80,100,0.0,True
20,80,100,4,40,0.8,0,base,left,right,0,20,80,left,20,20,2.1772785202638527,False
20,100,0,1,80,0.1,100,left,base,left,60,100,100,right,0,100,1.1569961138926208,False
20,100,0,2,60,0.4,0,right,left,base,20,40,20,left,60,100,2.147739228616644,False
20,100,0,4,20,0.8,20,left,right,left,0,20,80,right,40,60,0.9158343525972578,False
20,100,20,1,60,0.2,80,base,left,right,0,40,80,left,20,60,3.1966707767266067,False
20,100,20,2,40,0.6,40,base,left,base,0,40,40,right,40,100,2.017095312902747,False
20,100,20,4,0,0.6,20,left,base,right,40,20,80,base,20,40,4.859818618544365,False
20,100,40,1,20,1.0,40,right,base,base,0,0,100,left,20,40,2.0095640788321454,False
20,100,40,2,40,1.0,60,base,left,base,20,40,80,left,20,100,2.688353301398807,False
20,100,40,4,100,0.1,0,base,right,left,40,80,40,right,40,80,3.581906397629258,False
20,100,60,1,0,1.0,80,right,base,right,20,0,100,left,0,0,0.9710486468676381,False
20,100,60,2,0,1.0,20,base,right,base,0,20,60,right,40,40,2.0864339608632956,False
20,100,60,4,40,0.1,40,right,left,left,80,60,100,base,0,80,3.9330966717303983,False
20,100,80,1,20,0.6,20,right,base,left,20,40,20,base,80,60,2.240312692323005,False
20,100,80,2,60,0.4,40,base,right,right,60,60,60,left,60,60,3.4622011211093726,False
20,100,80,4,60,0.1,100,left,right,right,80,60,40,base,40,40,9.974152890486724,False
20,100,100,1,40,0.4,100,right,left,right,20,20,60,left,40,100,0.8997512968677905,False
20,100,100,2,40,0.2,60,base,left,right,40,20,60,left,40,40,3.460251825393181,False
20,100,100,4,40,0.8,0,left,base,left,20,60,60,base,20,60,4.733982595631017,False
40,0,0,1,40,0.8,40,left,right,left,20,60,100,right,20,80,0.8061074984826365,False
40,0,0,2,0,1.0,0,right,base,right,20,20,40,left,80,60,3.4153112293957077,False
40,0,0,4,20,1.0,80,right,left,left,0,40,100,base,20,60,3.7258897719023905,False
40,0,20,1,0,1.0,80,right,left,base,20,20,60,left,40,0,2.1318190211001418,False
40,0,20,2,80,0.2,40,right,base,right,40,80,100,base,0,60,0.0,True
40,0,20,4,60,0.2,40,left,base,base,20,40,60,right,40,100,2.95809283515135,False
